#"+EI TIC Scan MEOH-ABS.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.189057680304618
1,2.102,0.189844274668411
2,2.110,0.152791829671847
3,2.117,0.155828193929285
4,2.125,0.200884099060944
5,2.132,0.210768784877278
6,2.140,0.253899459048605
7,2.148,0.166180435835985
8,2.155,0.127004736123169
9,2.163,0.108269488549194
10,2.170,0.117208060865022
11,2.178,0.106135232513168
12,2.185,0.126977232823736
13,2.193,0.138358098129242
14,2.200,0.112455490722945
15,2.208,0.0903538392983314
16,2.215,0.102026239577831
17,2.223,0.113159575188437
18,2.230,0.0907223835107379
19,2.238,0.0932471863987163
20,2.245,0.0721301530938159
21,2.253,0.072031141215856
22,2.261,0.0716240923842429
23,2.268,0.078989475972485
24,2.276,0.0701334135549571
25,2.283,0.0684172076703182
26,2.291,0.103126371555164
27,2.298,0.0636151315892611
28,2.306,0.0723996854282624
29,2.313,0.0837420461145621
30,2.321,0.0790774865306717
31,2.328,0.0683511997516782
32,2.336,0.0651938209767335
33,2.343,0.0747209639004343
34,2.351,0.0700509036566572
35,2.359,0.0722071623322292
36,2.366,0.0651443150377535
37,2.374,0.0537139437932672
38,2.381,0.0541319939446536
39,2.389,0.0782303849081255
40,2.396,0.155256125301072
41,2.404,0.265390337551844
42,2.411,0.207660912041313
43,2.419,0.10281833460151
44,2.426,0.0754360496857006
45,2.434,0.0763546598867733
46,2.441,0.0637251447869944
47,2.449,0.0590825878426505
48,2.456,0.0663214562534995
49,2.464,0.0447368668582327
50,2.472,0.0538679622700937
51,2.479,0.0755625648630938
52,2.487,0.0805571640401841
53,2.494,0.0660684258987129
54,2.502,0.0582024822607844
55,2.509,0.0481912812670572
56,2.517,0.0501770194861427
57,2.524,0.0565687862744454
58,2.532,0.0406938818415351
59,2.539,0.0606997818493296
60,2.547,0.0402758316901487
61,2.554,0.0471461558885912
62,2.562,0.0644732345315806
63,2.570,0.0793635208447781
64,2.577,0.0565027783558055
65,2.585,0.0463430595451383
66,2.592,0.0381580776337833
67,2.600,0.0540384827265803
68,2.607,0.0662334456953128
69,2.615,0.0667120031054526
70,2.622,0.0453529407655389
71,2.630,0.0683071944725849
72,2.637,0.0545720467355866
73,2.645,0.0337465484046794
74,2.652,0.036529882307331
75,2.660,0.0575314017546115
76,2.667,0.0522562689233014
77,2.675,0.0536314338949672
78,2.683,0.0487138439562902
79,2.690,0.0313647626737542
80,2.698,0.0461450357892185
81,2.705,0.0512881527832486
82,2.713,0.0404518528065219
83,2.720,0.0512276455244954
84,2.728,0.0450063991926792
85,2.735,0.0721246524339292
86,2.743,0.0636206322491478
87,2.750,0.0658814034625664
88,2.758,0.0647482675259138
89,2.765,0.0525203005978612
90,2.773,0.11397917351155
91,2.781,0.0723776827887158
92,2.788,0.0697483673628907
93,2.796,0.0518767233911216
94,2.803,0.0792975129261382
95,2.811,0.0900953082836583
96,2.818,0.0941217913206958
97,2.826,0.0581254730223711
98,2.833,0.0552541285615329
99,2.841,0.0466841004581115
100,2.848,0.0519317299899883
101,2.856,0.0525423032374079
102,2.863,0.0506665782160557
103,2.871,0.0565247809953521
104,2.878,0.0590220805838973
