#"+EI TIC Scan MEOH-ASA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.207698631875926
1,2.102,0.174267101247103
2,2.110,0.16929545921704
3,2.117,0.153021617638635
4,2.125,0.193441067343046
5,2.132,0.207157275299319
6,2.140,0.219497995627275
7,2.148,0.188016453483577
8,2.155,0.128384369356323
9,2.163,0.111011242484604
10,2.170,0.136593102752627
11,2.178,0.179161406623365
12,2.185,0.334392642942028
13,2.193,0.281687713376661
14,2.200,0.166025223570599
15,2.208,0.129853765778542
16,2.215,0.126439904917899
17,2.223,0.122678029115151
18,2.230,0.104194568856717
19,2.238,0.127749103985815
20,2.246,0.111458690267309
21,2.253,0.0967260577182229
22,2.261,0.0744862457037417
23,2.268,0.0856116757576824
24,2.276,0.0794965560607051
25,2.283,0.0854956707769809
26,2.291,0.0847609725658716
27,2.298,0.0897049943624341
28,2.306,0.104901646834326
29,2.313,0.094361765730593
30,2.321,0.0876776692235085
31,2.328,0.0684042702869648
32,2.336,0.0821370503833385
33,2.343,0.0580908750979344
34,2.351,0.0661559832800364
35,2.359,0.0815017850128304
36,2.366,0.110812376803401
37,2.374,0.124296574798271
38,2.381,0.102504210566496
39,2.389,0.105768922166237
40,2.396,0.178829963821361
41,2.404,0.245251101343001
42,2.411,0.180139162889278
43,2.419,0.0904286444801433
44,2.426,0.0387788078344903
45,2.434,0.0686473283417679
46,2.441,0.0390218658892934
47,2.449,0.0917267954546597
48,2.456,0.0804632642332173
49,2.464,0.0896276577086332
50,2.472,0.104636492592723
51,2.479,0.105437479364233
52,2.487,0.0795352243876056
53,2.494,0.0427782176453409
54,2.502,0.0507880853604421
55,2.509,0.0653273762750259
56,2.517,0.0501362478498339
57,2.524,0.0433913868290486
58,2.532,0.0495562229463265
59,2.539,0.0548482596849934
60,2.547,0.0466505743820898
61,2.554,0.0531634254414722
62,2.562,0.0589691985232456
63,2.570,0.0964332832431192
64,2.577,0.562259569319909
65,2.585,0.603590486729831
66,2.592,0.150784378725106
67,2.600,0.0826673588665452
68,2.607,0.0934005816047809
69,2.615,0.0648357361187197
70,2.622,0.0667470562769439
71,2.630,0.0590575832704467
72,2.637,0.0498876657483307
73,2.645,0.0365526170143621
74,2.652,0.0518376542334554
75,2.660,0.0406846039460144
76,2.667,0.0418998942200297
77,2.675,0.0653494724618262
78,2.683,0.0414137781104236
79,2.690,0.0392207315704959
80,2.698,0.031796412805602
81,2.705,0.0564226129945134
82,2.713,0.0520033756344575
83,2.720,0.0580411586776338
84,2.728,0.0608308022611691
85,2.735,0.0642722833553126
86,2.743,0.0646479185309174
87,2.750,0.063509964910703
88,2.758,0.0535887770373775
89,2.765,0.0455347169486757
90,2.773,0.109878812911089
91,2.781,0.0826176424462445
92,2.788,0.161252447221739
93,2.796,0.596061211077636
94,2.803,0.529043476512389
95,2.811,0.240760051375844
96,2.818,0.147530715218765
97,2.826,0.109878812911089
98,2.833,0.0946987325792973
99,2.841,0.0859873109332871
100,2.848,0.0893404072802295
101,2.856,0.0791485411186007
102,2.863,0.0624493479442896
103,2.871,0.0944446264310941
104,2.878,0.0632834789960001
105,2.886,0.059875142182057
106,2.894,0.0832584318634526
107,2.901,0.114419579298547
108,2.909,0.117336275956183
109,2.916,0.076961018625373
110,2.924,0.0507162727533412
111,2.931,0.0588200492623437
112,2.939,0.0720888094359114
113,2.946,0.0436233967904515
114,2.954,0.259889825098186
115,2.961,6.65581891202685
116,2.969,41.126306720152
117,2.976,100
118,2.984,66.2578853695126
119,2.992,1.14306888745865
120,2.999,0.156871878188583
121,3.007,0.100537649941271
122,3.014,0.0888156228437229
123,3.022,0.0919532813693626
124,3.029,0.0905391254141447
125,3.037,0.0880477803524132
126,3.044,0.0740111776875357
127,3.052,0.0726025457790179
128,3.059,0.0585935633476408
129,3.067,0.0782591695998894
130,3.074,0.0851366077414764
131,3.082,0.0579859182106331
132,3.089,0.0495230786661261
133,3.097,0.0587150923750423
134,3.105,0.0369945407503677
135,3.112,0.0586653759547417
136,3.120,0.0638358836660071
137,3.127,0.0688793383031708
138,3.135,0.0734974413444292
139,3.142,0.047849292516005
140,3.150,0.0571683592990228
141,3.157,0.0414193021571237
142,3.165,0.0729118923942218
143,3.172,0.0342214693069327
144,3.180,0.035514096234749
145,3.187,0.0322604327284079
146,3.195,0.0502412047371352
147,3.203,0.0358179188032529
148,3.210,0.031879273506103
149,3.218,0.0542682347814861
150,3.225,0.0447779225507661
151,3.233,0.030216535449382
152,3.240,0.0169312031357141
153,3.248,0.0311887676685943
154,3.255,0.0404525939846114
155,3.263,0.070945331768997
156,3.270,0.0377347630081771
157,3.278,0.032823885491815
158,3.285,0.0228032647778883
159,3.293,0.035674293589051
160,3.300,0.0180802048493286
161,3.308,0.0253719464934208
162,3.316,0.0581516396116352
163,3.323,0.045164605819771
164,3.331,0.0259188271167277
165,3.338,0.0314207776299973
166,3.346,0.0173013142646187
167,3.353,0.016295937765206
168,3.361,0.0155999078809972
169,3.368,0
170,3.376,0.0128655047644627
171,3.383,0.0150916955845908
172,3.391,0.0256757690619246
173,3.398,0.0200799097547539
174,3.406,0.0195661734116474
175,3.413,0.0302993961498831
176,3.421,0.0293216398839707
177,3.429,0.0366686219950636
178,3.436,0.0210134736470657
179,3.444,0.0158042976088998
180,3.451,0.0378949603624791
181,3.459,0.0111143819605405
182,3.466,0.0281781622170563
183,3.474,0.0196877024390489
184,3.481,0.021516161896772
185,3.489,0.0810764334169251
186,3.496,0.0640347493472096
187,3.504,0.0351329370124442
188,3.511,0.00315423066573988
189,3.519,0.00748508327859463
190,3.527,0.0286808504667626
191,3.534,0.031879273506103
192,3.542,0.00537489743916796
193,3.549,0.0138653572171753
194,3.557,0.0208477522460636
195,3.564,0.0275981373135489
196,3.572,0.019930760493852
197,3.579,0.00929697059621754
198,3.587,0.0339231707851289
199,3.594,0.0121860470203541
200,3.602,0.0305258820645859
201,3.609,0.0155446674139965
202,3.617,0.0340281276724302
203,3.624,0.0181630655498296
204,3.632,0.0220740906134791
205,3.640,0.0235655832224979
206,3.647,0.0265651405806359
207,3.655,0.0248250658701139
208,3.662,0.0188480473406383
209,3.670,0.0293050677438705
210,3.677,0.019538553178147
