#"+EI TIC Scan MEOH-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.191664034186387
1,2.102,0.185130831971393
2,2.110,0.139274026026915
3,2.117,0.15374117497154
4,2.125,0.155190594005992
5,2.132,0.128846862226826
6,2.140,0.110896780975531
7,2.148,0.134925768923558
8,2.155,0.124201149724608
9,2.163,0.106472807952465
10,2.170,0.104904406758468
11,2.178,0.109815124979672
12,2.185,0.106083411793955
13,2.193,0.0928006761647961
14,2.200,0.10627810987321
15,2.208,0.088587626060922
16,2.215,0.0935740602018359
17,2.223,0.103687543763126
18,2.230,0.0984469204631846
19,2.238,0.0804752060919731
20,2.246,0.0921516825672802
21,2.253,0.0791880354568999
22,2.261,0.0720058396443904
23,2.268,0.0980629325846543
24,2.276,0.0778359654620751
25,2.283,0.0839635466786211
26,2.291,0.0672844112224622
27,2.298,0.0766948183864429
28,2.306,0.094461018118441
29,2.313,0.080491430931911
30,2.321,0.0563975436241328
31,2.328,0.0832063874815192
32,2.336,0.0665597017052361
33,2.343,0.0903290922142564
34,2.351,0.0572790932607585
35,2.359,0.0774357527436069
36,2.366,0.0728333064812232
37,2.374,0.0638447451556279
38,2.381,0.0698317110927121
39,2.389,0.095364200874984
40,2.396,0.18400050145572
41,2.404,0.264124169349038
42,2.411,0.244383947424596
43,2.419,0.0944447932785031
44,2.426,0.0838283396791386
45,2.434,0.0602482389693938
46,2.441,0.0528929781975468
47,2.449,0.0699398766922981
48,2.456,0.0810809334496546
49,2.464,0.0581336014974878
50,2.472,0.0596587364516502
51,2.479,0.0628009471196231
52,2.487,0.0804860226519317
53,2.494,0.0457324155049546
54,2.502,0.042920109915719
55,2.509,0.0571492945412554
56,2.517,0.0698533442126293
57,2.524,0.0382906222534388
58,2.532,0.0578848206184401
59,2.539,0.0520114285609211
60,2.547,0.0316384378789007
61,2.554,0.0529957355171535
62,2.562,0.0646505788725434
63,2.570,0.0619788885627696
64,2.577,0.0503510866072762
65,2.585,0.063087585958526
66,2.592,0.0650453833110323
67,2.600,0.0546885271506742
68,2.607,0.0603996708088142
69,2.615,0.0529200195974433
70,2.622,0.0581606428973843
71,2.630,0.0527469546381058
