#"+EI TIC Scan MEOH-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.186324679707569
1,2.102,0.174688285644835
2,2.110,0.149712477023598
3,2.117,0.143688931861712
4,2.125,0.142440415228157
5,2.132,0.120629705791984
6,2.140,0.132895834121642
7,2.147,0.123898848029843
8,2.155,0.116643214084845
9,2.163,0.106282716406401
10,2.170,0.0907693496394717
11,2.178,0.107941929300993
12,2.185,0.0967381352998857
13,2.193,0.103873298341647
14,2.200,0.113291932594777
15,2.208,0.0822761509612127
16,2.215,0.0867390503311553
17,2.223,0.102712396910447
18,2.230,0.0809728748261865
19,2.238,0.0948598843994068
20,2.245,0.0786017884124624
21,2.253,0.0739088991363386
22,2.260,0.0751902714707761
23,2.268,0.0767125856116891
24,2.276,0.0856274324512801
25,2.283,0.0700702580831732
26,2.291,0.0798722088466055
27,2.298,0.0846362854746425
28,2.306,0.0700593061828789
29,2.313,0.093277334806875
30,2.321,0.0703111998896487
31,2.328,0.0574043853927716
32,2.336,0.0644190775312949
33,2.343,0.0626120139827292
34,2.351,0.0665218423878078
35,2.358,0.0709135544058372
36,2.366,0.0694021921652186
37,2.373,0.0508168173657274
38,2.381,0.0636360166602498
39,2.389,0.106660556966556
40,2.396,0.20342059606703
41,2.404,0.23336309147175
42,2.411,0.13905080208706
43,2.419,0.0830811156328465
44,2.426,0.0652952295548419
45,2.434,0.0682522426343131
46,2.441,0.0596933325542882
47,2.449,0.0700866859336147
48,2.456,0.0554494711902323
49,2.464,0.0626503456337594
50,2.471,0.0641726597746723
51,2.479,0.0643040825782044
52,2.487,0.0691283946578602
53,2.494,0.0765537830574212
54,2.502,0.0583736285688205
55,2.509,0.0654157004580797
56,2.517,0.0534069417853383
57,2.524,0.0591676413401599
58,2.532,0.0777201604387682
59,2.539,0.0686848426959395
60,2.547,0.0608432820851936
61,2.554,0.06578258911794
62,2.562,0.0587240893782393
63,2.569,0.0668503993966379
64,2.577,0.0684219970888754
65,2.584,0.0520105744978102
66,2.592,0.0634060267540687
67,2.600,0.0536862152428439
68,2.607,0.0481938372452335
69,2.615,0.0578041297535149
70,2.622,0.0457734672801848
71,2.630,0.0667354044435474
72,2.637,0.0414255628633327
73,2.645,0.0611992188447596
74,2.652,0.0592607324926618
75,2.660,0.058844560281477
76,2.667,0.0650214320474835
77,2.675,0.0350406049917338
78,2.682,0.0549675875772814
79,2.690,0.0748124309106215
80,2.698,0.0524924581107611
81,2.705,0.0607775706834276
