#"+EI TIC Scan MEOH-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.156773091800132
1,2.102,0.149549249587488
2,2.110,0.134353710529533
3,2.117,0.131476095964706
4,2.125,0.121352962241362
5,2.132,0.118795082628182
6,2.140,0.13699829792621
7,2.147,0.106276646385716
8,2.155,0.102916719775184
9,2.163,0.119759706719593
10,2.170,0.101632360732126
11,2.178,0.0951455346792115
12,2.185,0.107951190454514
13,2.193,0.0896775250823941
14,2.200,0.0808821042938561
15,2.208,0.0801125727153149
16,2.215,0.0908968532878291
17,2.223,0.109555284449219
18,2.230,0.104374494385237
19,2.238,0.0957850045825064
20,2.245,0.0874393804208622
21,2.253,0.0726394456251154
22,2.260,0.0660388156063605
23,2.268,0.0679680637891822
24,2.276,0.0592593507841418
25,2.283,0.0713388288726514
26,2.291,0.0638006709448287
27,2.298,0.0648303258738627
28,2.306,0.0628089506710749
29,2.313,0.0702712392883372
30,2.321,0.0693770652710182
31,2.328,0.0647923912185825
32,2.336,0.0685695990371968
33,2.343,0.0681956717208634
34,2.351,0.0623916694629927
35,2.358,0.0526587207653869
36,2.366,0.0724172569299028
37,2.374,0.0731922077449126
38,2.381,0.0538834682072906
39,2.389,0.0795164567037689
40,2.396,0.186616827032712
41,2.404,0.242554185861602
42,2.411,0.209578131950171
43,2.419,0.0786981519970103
44,2.426,0.0394032683631912
45,2.434,0.0662610043015731
46,2.441,0.0631937164603455
47,2.449,0.0621694807677801
48,2.456,0.0395983608760608
49,2.464,0.0389643102092345
50,2.471,0.0583814344762286
51,2.479,0.0554984006749334
52,2.487,0.0488869321832413
53,2.494,0.0571133331425762
54,2.502,0.0633508743179349
55,2.509,0.0513581040129229
56,2.517,0.0581809227268904
57,2.524,0.0540026914095998
58,2.532,0.0544524880364936
59,2.539,0.0498786524569951
60,2.547,0.0571892024531366
61,2.554,0.0568206943732718
62,2.562,0.0629606892921957
63,2.569,0.056912821393238
64,2.577,0.0583380805844798
65,2.585,0.0812722893195953
66,2.592,0.0617359418502921
67,2.600,0.0395170723290318
68,2.607,0.0635351283578673
69,2.615,0.0519325430785945
70,2.622,0.0450609512364096
71,2.630,0.0471961304050381
72,2.637,0.0504043183944493
73,2.645,0.0487460320350577
74,2.652,0.0205714216348059
75,2.660,0.0514068771411403
76,2.667,0.0328243152903107
77,2.675,0.0393707529443796
78,2.682,0.0583814344762286
79,2.690,0.0514177156140775
80,2.698,0.0484479740292847
81,2.705,0.0416901861529404
82,2.713,0.0575848067153444
83,2.720,0.0692090689404916
84,2.728,0.0575848067153444
85,2.735,0.0809579736044165
86,2.743,0.0799879302765371
87,2.750,0.0600939132003062
88,2.758,0.0563492208005036
89,2.765,0.0590967736900838
90,2.773,0.108742398978929
91,2.780,0.0816733128182718
92,2.788,0.0518891891868457
93,2.796,0.0576606760259048
94,2.803,0.0580725379975184
95,2.811,0.100521417256063
96,2.818,0.054826415352827
97,2.826,0.0512497192835509
98,2.833,0.0348294327836927
99,2.841,0.0440854886720616
100,2.848,0.0533848984521794
101,2.856,0.04567874419383
102,2.863,0.055585108458431
103,2.871,0.0474020613908449
104,2.878,0.055720589370146
105,2.886,0.060245651821427
106,2.893,0.0652476070819449
107,2.901,0.0496943984170627
108,2.909,0.0768827077800293
109,2.916,0.0550865387033198
110,2.924,0.0480035966388595
111,2.931,0.0530109711358459
112,2.939,0.0430612529794962
113,2.946,0.0585277538608808
114,2.954,0.269612433549322
115,2.961,6.48265324083347
116,2.969,41.9337212206028
117,2.976,100
