#"+EI TIC Scan MEOH-PEEK-2Day.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.183563827138358
1,2.102,0.161444725786782
2,2.110,0.160999872351778
3,2.117,0.141636390889253
4,2.125,0.165293943703551
5,2.132,0.158695284417662
6,2.140,0.132609573270635
7,2.147,0.145516501405675
8,2.155,0.132461288792301
9,2.163,0.11842369150996
10,2.170,0.136681217904906
11,2.178,0.115495073062852
12,2.185,0.123329436334862
13,2.193,0.102489288608922
14,2.200,0.106116079808189
15,2.208,0.0995421346020224
16,2.215,0.0981519676176356
17,2.223,0.110243331121835
18,2.230,0.102149470012739
19,2.238,0.0963849109174818
20,2.245,0.0953160269694866
21,2.253,0.0978492201410358
22,2.261,0.0915965579712607
23,2.268,0.0825944544323652
24,2.276,0.0781829912019112
25,2.283,0.0849299349661349
26,2.291,0.0814390712053415
27,2.298,0.0873519147789332
28,2.306,0.0789614847131678
29,2.313,0.0924986218811295
30,2.321,0.0989922463281983
31,2.328,0.0639167886821378
32,2.336,0.0937837540266959
33,2.343,0.0928631545570353
34,2.351,0.07522348015515
35,2.358,0.0764035774618961
36,2.366,0.0763912204220349
37,2.374,0.0539817286337204
38,2.381,0.0785289883180252
39,2.389,0.110922968314202
40,2.396,0.257823458184333
41,2.404,0.25860813021552
42,2.411,0.163378602525062
43,2.419,0.0982940735760396
44,2.426,0.0859741048344076
45,2.434,0.0951553854512908
46,2.441,0.0892054707581155
47,2.449,0.113116342889568
48,2.456,0.0821619580372226
49,2.464,0.085479823239959
50,2.472,0.0800427257010241
51,2.479,0.0718129371534545
52,2.487,0.10662889696243
53,2.494,0.102798214605453
54,2.502,0.0773179984116261
55,2.509,0.0704413057288596
56,2.517,0.0766816108587735
57,2.524,0.0822855284358348
58,2.532,0.0826068114722264
59,2.539,0.0969595132710283
60,2.547,0.0817850683214555
61,2.554,0.0952109921306663
62,2.562,0.0792148040303227
63,2.569,0.0984423580543742
64,2.577,0.097058369589918
65,2.585,0.0767186819783571
66,2.592,0.0821372439575002
67,2.600,0.0848619712468982
68,2.607,0.0929990819955087
69,2.615,0.0755694772712641
70,2.622,0.0953963477285845
71,2.630,0.0763850419021043
72,2.637,0.073413173815482
73,2.645,0.0776392814480177
74,2.652,0.0790788765918493
75,2.660,0.0800983323803996
76,2.667,0.0740928110078488
77,2.675,0.0749516252782033
78,2.683,0.0609881702350297
79,2.690,0.072041542390887
80,2.698,0.0921958744045297
81,2.705,0.0950071009729562
82,2.713,0.0753594075936234
83,2.720,0.0819024602001371
84,2.728,0.108884056737101
85,2.735,0.100493626671336
86,2.743,0.0680934681552286
87,2.750,0.0911084548967427
88,2.758,0.0832184849453566
89,2.765,0.110502828958921
90,2.773,0.136532933426571
91,2.780,0.0847816504878003
92,2.788,0.0770955716941242
93,2.796,0.0681676103943959
94,2.803,0.0862397811914238
95,2.811,0.100716053388838
96,2.818,0.0752296586750806
97,2.826,0.0855416084392651
98,2.833,0.0764777197010634
99,2.841,0.0784548460788579
100,2.848,0.0633977930079667
101,2.856,0.0778802437253114
102,2.863,0.067080190886609
103,2.871,0.0762552929835616
104,2.878,0.067772185118837
105,2.886,0.069947024134411
106,2.894,0.0945437119781607
107,2.901,0.0712259777600468
108,2.909,0.0781953482417724
109,2.916,0.0736726716525675
110,2.924,0.0673767598432781
111,2.931,0.0904411747442371
112,2.939,0.053530696678786
113,2.946,0.102408967849824
114,2.954,1.37179824463306
115,2.961,17.7694542130277
116,2.969,60.2237266780953
117,2.976,100
118,2.984,13.1783134444717
119,2.991,0.216303804250649
120,2.999,0.154395034545958
121,3.007,0.132337718393689
122,3.014,0.115538322702366
123,3.022,0.109433945010925
124,3.029,0.0920228758464727
125,3.037,0.117286843842728
126,3.044,0.129742740022833
127,3.052,0.115161432986599
128,3.059,0.100011702116749
129,3.067,0.11425936907673
130,3.074,0.0939752881445447
131,3.082,0.083385304983483
132,3.089,0.0958226656037965
133,3.097,0.092270016643697
134,3.104,0.0994000286436184
135,3.112,0.0836139102209155
136,3.120,0.0940617874235733
137,3.127,0.126616408937946
138,3.135,0.0915903794513301
139,3.142,0.059202577975084
140,3.150,0.0974970445049912
141,3.157,0.0991899589659777
142,3.165,0.0804875791360279
143,3.172,0.0713495481586589
144,3.180,0.0780655993232296
145,3.187,0.0841205488552253
146,3.195,0.0549455777428952
147,3.202,0.0808026836524889
148,3.210,0.0564654936458247
149,3.218,0.0778431726057278
150,3.225,0.0647385318329086
151,3.233,0.070719339125737
152,3.240,0.0650845289490226
153,3.248,0.0950132794928868
154,3.255,0.20208085137039
155,3.263,0.340139879219821
156,3.270,0.180820564289168
157,3.278,0.0969286206713753
158,3.285,0.072152755749638
159,3.293,0.0632062588901179
160,3.300,0.0700335234134395
161,3.308,0.0956682026055313
162,3.315,0.083904300657654
163,3.323,0.0839969784566131
164,3.331,0.0687113201482894
165,3.338,0.0631630092506036
166,3.346,0.0643739991570027
167,3.353,0.0622053386613594
168,3.361,0.0591407927757779
169,3.368,0.0416741169319497
170,3.376,0.0675806510009882
171,3.383,0.0550011844222707
172,3.391,0.0388381762838007
173,3.398,0.053499804079133
174,3.406,0.0564654936458247
175,3.413,0.041637045812366
176,3.421,0.0470988574310233
177,3.429,0.0508677545886941
178,3.436,0.0442011315835682
179,3.444,0.0601355344846058
180,3.451,0.0631444736908118
181,3.459,0.0642195361587375
182,3.466,0.0447077702178781
183,3.474,0.0471729996701906
184,3.481,0.0809571466507541
185,3.489,0.120888920962272
186,3.496,0.0696380981378806
187,3.504,0.0449734465748942
188,3.511,0.0459620097637915
189,3.519,0.043212568394671
190,3.526,0.0567620626024939
191,3.534,0.0602405693234261
192,3.542,0.0519489955765504
193,3.549,0.0586650467411211
194,3.557,0.0487485222524956
195,3.564,0.0442567382629437
196,3.572,0.0516771406996037
197,3.579,0.0483839895765897
198,3.587,0.0383253591295602
199,3.594,0.0410377293790971
200,3.602,0.0415320109735457
201,3.609,0.0555140015765111
202,3.617,0.049057448249026
203,3.624,0.0428480357187651
204,3.632,0.0447757339371148
205,3.640,0.0523876704916236
206,3.647,0.0474201404674149
207,3.655,0.0478402798226962
208,3.662,0.0428542142386957
209,3.670,0.037367688540316
210,3.677,0.0509295397880001
211,3.685,0.0507071130704983
212,3.692,0.0545377954274751
213,3.700,0.04289746387821
214,3.707,0.0624401224187225
