#"+EI TIC Scan MEOH-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.179322522707828
1,2.102,0.172775351449543
2,2.110,0.138040358896048
3,2.117,0.149951879124225
4,2.125,0.134042086371905
5,2.132,0.132253970048607
6,2.140,0.124635039627601
7,2.147,0.128788800527683
8,2.155,0.109197265159381
9,2.162,0.119065223875218
10,2.170,0.122174991393996
11,2.178,0.101517250019256
12,2.185,0.114211765283411
13,2.193,0.098079846279749
14,2.200,0.0975078711825452
15,2.208,0.0917492481165221
16,2.215,0.107198128897309
17,2.223,0.0946868677905107
18,2.230,0.084613442292183
19,2.238,0.0905664258281297
20,2.245,0.0697420897648832
21,2.253,0.0927821351852591
22,2.260,0.0877287629672446
23,2.268,0.0865792596165534
24,2.275,0.0737847875392948
25,2.283,0.0748176746080318
26,2.291,0.0955476070144582
27,2.298,0.0749065251085684
28,2.306,0.0774498706864262
29,2.313,0.0899278128555235
30,2.321,0.0903998311396237
31,2.328,0.0722243506236222
32,2.336,0.0607237639604266
33,2.343,0.0681872060054942
34,2.351,0.077760847438304
35,2.358,0.0559091774626041
36,2.366,0.0691367957299782
37,2.373,0.0690701578545758
38,2.381,0.0832584721590011
39,2.389,0.127633744020708
40,2.396,0.219188631667307
41,2.404,0.261264896827632
42,2.411,0.152922817735915
43,2.419,0.0684648638196708
44,2.426,0.0641000829808143
45,2.434,0.0804985534860855
46,2.441,0.0619843304367885
47,2.449,0.0768834487455059
48,2.456,0.0635281078836105
49,2.464,0.0543598468594985
50,2.471,0.066787810622044
51,2.479,0.0531381524771214
52,2.486,0.0616566942160601
53,2.494,0.0622953071886663
54,2.502,0.074495591543587
55,2.509,0.0589078818557116
56,2.517,0.0627006875973642
57,2.524,0.0476571872252749
58,2.532,0.0737681280704442
59,2.539,0.068248290724613
60,2.547,0.0543765063283491
61,2.554,0.0488233500448167
62,2.562,0.0716912476204031
63,2.569,0.0644610381392439
64,2.577,0.0656882856779046
65,2.584,0.0563478768090031
66,2.592,0.0585191609158643
67,2.600,0.0497007487376149
68,2.607,0.0708693804904403
69,2.615,0.0614234616521517
70,2.622,0.0588745629180104
71,2.630,0.0676818687836927
72,2.637,0.0707583173647697
73,2.645,0.0504837437735929
74,2.652,0.0602073204260581
75,2.660,0.0573918701903072
76,2.667,0.0666823006526569
77,2.675,0.0727630067831249
78,2.682,0.0632782158508516
79,2.690,0.0542487837338279
80,2.697,0.053760105980877
81,2.705,0.0481014397279575
82,2.713,0.0824532644978889
83,2.720,0.0588356908240256
84,2.728,0.0783439288480749
85,2.735,0.0839192977567414
86,2.743,0.0742179337294104
87,2.750,0.0819090551821027
88,2.758,0.0602128735823417
89,2.765,0.0648497590790912
90,2.773,0.107075959459071
91,2.780,0.0755062659871899
92,2.788,0.059163327044754
93,2.795,0.0651773952998196
94,2.803,0.0778108258448558
95,2.810,0.103649662032132
96,2.818,0.0556148601795769
97,2.826,0.0596797705791226
98,2.833,0.0566977256548657
99,2.841,0.0741235300725903
100,2.848,0.0645276760146463
101,2.856,0.0605071908653689
102,2.863,0.0373505291630388
103,2.871,0.0496618766436301
104,2.878,0.0565977688417621
105,2.886,0.0646609517654511
106,2.893,0.0748010151391812
107,2.901,0.065244033175222
108,2.908,0.0628228570356019
109,2.916,0.0555371159916074
110,2.924,0.065588328864801
111,2.931,0.0635558736650282
112,2.939,0.057869441630691
113,2.946,0.0543209747655138
114,2.954,0.986140599142248
115,2.961,15.5190948888361
116,2.969,59.0655026436633
117,2.976,100
118,2.984,19.6682189034216
119,2.991,0.281767149826433
120,2.999,0.154222256306261
121,3.006,0.12005923884997
122,3.014,0.0925822215590519
123,3.021,0.10712038470934
124,3.029,0.0929431767174816
125,3.037,0.120636767103458
126,3.044,0.108941819970338
127,3.052,0.0617677573417307
128,3.059,0.0872178725891597
129,3.067,0.0894502414151397
130,3.074,0.0825754339361266
131,3.082,0.0732683440049263
132,3.089,0.0700808322981787
133,3.097,0.0739236164463831
134,3.104,0.0701474701735811
135,3.112,0.0760449221466925
136,3.119,0.0801209388588053
137,3.127,0.102711178620215
138,3.135,0.0713969303373759
139,3.142,0.0618343952171331
140,3.150,0.0621231593438768
141,3.157,0.0750398008593731
142,3.165,0.0768556829640882
143,3.172,0.0638835098857566
144,3.180,0.0754951596746228
145,3.187,0.0678706760973328
146,3.195,0.0511056972773486
147,3.202,0.0478071224449303
148,3.210,0.0507058700249342
149,3.217,0.0444196971119756
150,3.225,0.0385111388262971
151,3.232,0.0497673866130173
152,3.240,0.0459023898396787
153,3.248,0.061728885247746
154,3.255,0.0622120098444133
155,3.263,0.0683815664754178
156,3.270,0.0596464516414214
157,3.278,0.056847660874521
158,3.285,0.058546926697282
159,3.293,0.0458246456517093
160,3.300,0.051350036153824
161,3.308,0.0690479452294417
162,3.315,0.0619176925613861
163,3.323,0.0443586123928567
164,3.330,0.0466631722505226
165,3.338,0.0450694163971488
166,3.346,0.0472462536602935
167,3.353,0.0315919060970157
168,3.361,0.0505392753364283
169,3.368,0.0484568417301036
170,3.376,0.0367452351281338
171,3.383,0.0289985821126061
172,3.391,0.0410045059976031
173,3.398,0.0269827863816839
174,3.406,0.0386832866710866
175,3.413,0.0324359858521127
176,3.421,0.0430924927602113
177,3.428,0.033441107139432
178,3.436,0.0407379544959936
179,3.443,0.0318473512860582
180,3.451,0.0204522745922498
181,3.459,0.0406935292457253
182,3.466,0.0373116570690541
183,3.474,0.0301258728381632
184,3.481,0.0611624633068257
185,3.489,0.0972746386186368
186,3.496,0.070980443616111
187,3.504,0.0222403909155472
188,3.511,0.0379391637290933
189,3.519,0.0364453646888231
190,3.526,0.0236342331427138
191,3.534,0.0220349241330565
192,3.541,0.0303868711834892
193,3.549,0.0434423416060739
194,3.557,0.0223014756346661
195,3.564,0.0366785972527314
196,3.572,0.0164706615369571
197,3.579,0.0357123480593968
198,3.587,0.0394551753944976
199,3.594,0.0353069676506989
200,3.602,0.0219072015385353
201,3.609,0.0300203628687761
202,3.617,0.0328802383547953
203,3.624,0.0269272548188485
204,3.632,0.0147047578387938
205,3.639,0.0305701253408458
206,3.647,0.0377059311651849
207,3.654,0.0321805406630702
208,3.662,0.0187085835192206
209,3.670,0.0277046966985431
210,3.677,0.0123169006368748
211,3.685,0.0264052581281965
212,3.692,0.0222237314466966
213,3.700,0.0370562118800116
214,3.707,0.0207299324064264
215,3.715,0.0279323761061679
216,3.722,0.0317418413166711
217,3.730,0.0364287052199725
218,3.737,0.0370950839739963
219,3.745,0.0292318146765145
220,3.752,0.0357401138408144
221,3.760,0.0341741237688583
222,3.767,0.0184809041115958
223,3.775,0.0230344922640923
224,3.783,0.0321694343505031
225,3.790,0.0156487944069943
226,3.798,0.0296038761475112
227,3.805,0.0308311236861718
228,3.813,0.0308255705298883
229,3.820,0.0196193011497199
230,3.828,0.036089962686677
231,3.835,0.0419707551909378
232,3.843,0.021257482253362
233,3.850,0.0284765854219541
234,3.858,0.0188640718951595
235,3.865,0.023406553735089
236,3.873,0.0171648060723986
237,3.881,0.020402296185698
238,3.888,0.0317307350041041
239,3.896,0.0397550458338084
240,3.903,0.0246615670551673
241,3.911,0.0154599870933542
242,3.918,0.0302980206829527
243,3.926,0.0129666199220481
244,3.933,0.0240618261765458
245,3.941,0.0361899194997806
246,3.948,0.015521071812473
247,3.956,0.0200968725901037
248,3.963,0.0591466675759034
249,3.971,0.0937206185971761
250,3.978,0.0448972685523593
251,3.986,0.0278324192930643
252,3.994,0.0323915606018444
253,4.001,0.0167316598822831
254,4.009,0.033002407793033
255,4.016,0.00831862811273151
256,4.024,0.0365675341270608
257,4.031,0.025461221559996
258,4.039,0.0163096200047346
259,4.046,0.0149768624966868
260,4.054,0.0367674477532679
261,4.061,0.0314253114085098
262,4.069,0.0382834594186723
263,4.076,0.0204522745922498
264,4.084,0.0257000072801879
265,4.092,0.0202468078097591
266,4.099,0.0401604262425062
267,4.107,0.0347460988660621
268,4.114,0.022717962355931
269,4.122,0.0320361585996983
270,4.129,0.0201746167780732
271,4.137,0.027099402663638
272,4.144,0.0302480422764009
273,4.152,0.0306089974348305
274,4.159,0.0292429209890815
275,4.167,0.0241784424585
276,4.174,0.0248170554311062
277,4.182,0.0254056899971607
278,4.189,0.0266662564735225
279,4.197,0.0392497086120069
280,4.205,0.0218794357571176
281,4.212,0.0378336537597062
282,4.220,0.0312476104074367
283,4.227,0.0290541136754414
284,4.235,0.0231677680148971
285,4.242,0.0191084107716349
286,4.250,0.029070773144292
287,4.257,0.0205577845616369
288,4.265,0.0304201901211904
289,4.272,0.0169149140396396
290,4.280,0.0261664724080046
291,4.287,0.0274159325717994
292,4.295,0.0186808177378029
293,4.303,0.024855927525091
294,4.310,0.0252279889960876
295,4.318,0.0379058447913921
296,4.325,0.0129388541406305
297,4.333,0.015937558533738
298,4.340,0.0274381451969335
299,4.348,0.01199481757243
300,4.355,0.0340630606431877
301,4.363,0.020840995532097
302,4.370,0.0213185669724808
303,4.378,0.0198247679322106
304,4.385,0.0180144389837791
305,4.393,0.0290152415814567
306,4.400,0.0172036781663833
307,4.408,0.0214407364107185
308,4.416,0.0846911864801524
309,4.423,0.124168574499784
310,4.431,0.0459412619336634
311,4.438,0.0286043080164753
312,4.446,0.0296760671791971
313,4.453,0.0393218996436928
314,4.461,0.0366508314713138
315,4.468,0.0233676816411043
316,4.476,0.0218294573505658
317,4.483,0.0133053624553436
318,4.491,0.0212075038468102
319,4.498,0.021768372631447
320,4.506,0.0128166847023927
321,4.513,0.028715371142146
322,4.521,0.023667552080415
323,4.529,0.0231788743274642
324,4.536,0.0269716800691168
325,4.544,0.0274770172909183
326,4.551,0.0230178327952417
327,4.559,0.0342907400508125
328,4.566,0.0271382747576228
329,4.574,0.0190750918339337
330,4.581,0.0339186785798158
331,4.589,0.0219516267888035
332,4.596,0.0143882279306324
333,4.604,0.0258943677501115
334,4.611,0.0258832614375445
335,4.619,0.0340630606431877
336,4.627,0.0121003275418171
337,4.634,0.0251335853392676
338,4.642,0.0252057763709535
339,4.649,0.0222181782904131
340,4.657,0.0220571367581906
341,4.664,0.0167316598822831
342,4.672,0.0229345354509888
343,4.679,0.0285932017039083
344,4.687,0.0199413842141648
345,4.694,0.0134941697689837
346,4.702,0.027871291387049
347,4.709,0.0172425502603681
348,4.717,0.0238285936126375
349,4.724,0.0278102066679302
350,4.732,0.0111451846610495
351,4.740,0.0260220903446328
352,4.747,0.0277824408865125
353,4.755,0.0129832793908987
354,4.762,0.0206188692807558
355,4.770,0.0200746599649696
356,4.777,0.0190417728962326
357,4.785,0.0339131254235323
358,4.792,0.0220515836019071
359,4.800,0.0190084539585314
360,4.807,0.0242284208650518
361,4.815,0.0145159505251537
362,4.822,0.0239341035820246
363,4.830,0.0220737962270412
364,4.838,0.0153544771239671
365,4.845,0.0293095588644839
366,4.853,0.0193527496481104
367,4.860,0.0249281185567769
368,4.868,0.0257055604364714
369,4.875,0.00928487730606615
370,4.883,0.0293317714896181
371,4.890,0.030092553900462
372,4.898,0.00880175270939883
373,4.905,0.0308033579047542
374,4.913,0.0137385086454591
375,4.920,0.0296260887726453
376,4.928,0.0164317894429723
377,4.935,0.0166483625380301
378,4.943,0.0227235155122145
379,4.951,0.0184920104241628
380,4.958,0.00829086233131385
381,4.966,0.007457888888784
382,4.973,0.0251669042769688
383,4.981,0.0282211402329116
384,4.988,0.027610293041723
385,4.996,0.0159153459086038
386,5.003,0.0280489923881221
387,5.011,0.0315030555964792
388,5.018,0.0131387677668376
389,5.026,0.0173202944483375
390,5.033,0.0278823976996161
391,5.041,0.0261775787205717
392,5.049,0.0266718096298061
393,5.056,0.0526994531307223
394,5.064,0.0567976824679693
395,5.071,0.0403714461812805
396,5.079,0.0366341720024632
397,5.086,0.0261442597828705
398,5.094,0.0266440438483884
399,5.101,0.0363676205008536
400,5.109,0.019452706461214
401,5.116,0.0265551933478519
402,5.124,0.0223403477286508
403,5.131,0.019452706461214
404,5.139,0.0317918197232229
405,5.146,0.0260443029697669
406,5.154,0.0271771468516075
407,5.162,0.00726908157514389
408,5.169,0.0153267113425494
