#"+EI TIC Scan MEOH-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.20144770362137
1,2.102,0.172046133279264
2,2.110,0.160318644044497
3,2.117,0.167069161134106
4,2.125,0.152905348913363
5,2.132,0.141490838198206
6,2.140,0.134077543067072
7,2.147,0.116722577313059
8,2.155,0.127492720487844
9,2.162,0.124258609118549
10,2.170,0.110966227285737
11,2.178,0.110285038743059
12,2.185,0.107106158877225
13,2.193,0.101411177187082
14,2.200,0.0866275447608378
15,2.208,0.0903280554926871
16,2.215,0.097047888413707
17,2.223,0.0800181748467387
18,2.230,0.07947813347957
19,2.238,0.0744766139995415
20,2.245,0.0775143466898655
21,2.253,0.0728994477340601
22,2.260,0.0676524549053185
23,2.268,0.0998831055913428
24,2.276,0.089094551915404
25,2.283,0.0791037866227826
26,2.291,0.0687079903047846
27,2.298,0.0746545821773584
28,2.306,0.0494076482622205
29,2.313,0.073292205092001
30,2.321,0.0796990594934117
31,2.328,0.0890147730770722
32,2.336,0.0640071756769296
33,2.343,0.057735331617311
34,2.351,0.0336359856074066
35,2.358,0.0485975862114674
36,2.366,0.0556242608183787
37,2.373,0.0612087795016007
38,2.381,0.064240375358207
39,2.389,0.0782507667360047
40,2.396,0.167277813480513
41,2.404,0.257796110818452
42,2.411,0.21567902101301
43,2.419,0.0965139838802561
44,2.426,0.0647067747207618
45,2.434,0.0608344326448133
46,2.441,0.0647435957230687
47,2.449,0.0642342385244892
48,2.456,0.0576739632801327
49,2.464,0.0614788001851851
50,2.471,0.0454555273479403
51,2.479,0.0638598916677017
52,2.487,0.0669774031963576
53,2.494,0.0796131438213622
54,2.502,0.0565938805457953
55,2.509,0.05508421945121
56,2.517,0.0511198248694941
57,2.524,0.0669344453603328
58,2.532,0.0498249529550327
59,2.539,0.0520833077631928
60,2.547,0.0564711438714387
61,2.554,0.0482293761883979
62,2.562,0.0613192425085216
63,2.569,0.0688061796442698
64,2.577,0.0582937834856332
65,2.584,0.0725864692144509
66,2.592,0.0667626140162336
67,2.600,0.0499108686270823
68,2.607,0.0723041748634309
69,2.615,0.0551455877883882
70,2.622,0.047020419945986
71,2.630,0.0497513109504188
72,2.637,0.0522428654398563
73,2.645,0.0380360953830882
74,2.652,0.0538323053727734
75,2.660,0.0511198248694941
76,2.667,0.0407731232212387
77,2.675,0.0521814971026781
78,2.682,0.0599323180882928
79,2.690,0.0415034064336601
80,2.698,0.0725557850458618
81,2.705,0.0489596594008192
82,2.713,0.0634732711434787
83,2.720,0.0681188542678733
84,2.728,0.0494506060982453
85,2.735,0.0747343610156902
86,2.743,0.0768883896506472
87,2.750,0.0663207619885501
88,2.758,0.0762072011079685
89,2.765,0.0707331454316673
90,2.773,0.0964157945407709
91,2.780,0.0948324914415717
92,2.788,0.0417120587800662
93,2.795,0.0581464994764053
94,2.803,0.0769804421564146
95,2.811,0.0879776481787596
96,2.818,0.08018386935712
97,2.826,0.0411597437454618
98,2.833,0.034188300642011
99,2.841,0.0551639982895417
100,2.848,0.0428289625167106
101,2.856,0.0722673538611239
102,2.863,0.0637310181596274
103,2.871,0.0424423419924875
104,2.878,0.0483827970313435
105,2.886,0.0626693459264434
106,2.893,0.0831725073777015
107,2.901,0.0485546283754427
108,2.908,0.0593124978827924
109,2.916,0.0696776100322012
110,2.924,0.0570602799083501
111,2.931,0.0611105901621155
112,2.939,0.0512180142089793
113,2.946,0.0633505344691222
114,2.954,0.246805041629825
115,2.961,6.69035770867321
116,2.969,40.0009561186932
117,2.976,100
118,2.984,75.4155986530386
119,2.991,1.42972269857689
120,2.999,0.159072866799779
121,3.006,0.133893438055537
122,3.014,0.10598925514058
123,3.022,0.0862961557400751
124,3.029,0.0615585790235168
125,3.037,0.0877689958323535
126,3.044,0.0927091469752038
127,3.052,0.087787406333507
128,3.059,0.0666337405081593
129,3.067,0.0698310308751468
130,3.074,0.0648295113951183
131,3.082,0.053279990338169
132,3.089,0.0642833331942318
133,3.097,0.0455168956851186
134,3.104,0.0645901748801231
135,3.112,0.0507822990150136
136,3.119,0.0560354286774731
137,3.127,0.0925679997996937
138,3.135,0.0891497834188644
139,3.142,0.054869430271086
140,3.150,0.0459464740453664
141,3.157,0.0737401939534023
142,3.165,0.0771522735005138
143,3.172,0.0579194366288458
144,3.180,0.0469651884425256
145,3.187,0.0496715321120871
146,3.195,0.0458360110384455
147,3.202,0.0502790786501519
148,3.210,0.0410554175722588
149,3.217,0.0489412488996657
150,3.225,0.0466399362554808
151,3.233,0.0649031533997322
152,3.240,0.0529424644836885
153,3.248,0.0303527795683695
154,3.255,0.0488185122253092
155,3.263,0.0720341541798465
156,3.270,0.0424914366622301
157,3.278,0.0276525727325259
158,3.285,0.0490394382391509
159,3.293,0.0381711057248803
160,3.300,0.0227553794257004
161,3.308,0.061233326836472
162,3.315,0.0567350277213053
163,3.323,0.0508313936847563
164,3.330,0.0287326554668633
165,3.338,0.0275850675616298
166,3.346,0.0204295194466442
167,3.353,0.0323779346952522
168,3.361,0.0337955432840701
169,3.368,0.0222521590608386
170,3.376,0.046173536892926
171,3.383,0.0349247206881502
172,3.391,0.0205952139570255
173,3.398,0.0320342720070539
174,3.406,0.0294813491804381
175,3.413,0.0415525011034027
176,3.421,0.0247253030491227
177,3.428,0.032740007884604
178,3.436,0.0288247079726307
179,3.444,0.0341207954711149
180,3.451,0.0364466554501711
181,3.459,0.0190241845252619
182,3.466,0.0177906809479788
183,3.474,0.025455586261544
184,3.481,0.0377353905309147
185,3.489,0.086161145398283
186,3.496,0.0657929942888171
187,3.504,0.0410615544059766
188,3.511,0.0112488162047758
189,3.519,0.0252837549174449
190,3.526,0.0288922131435268
191,3.534,0.0357409195726211
192,3.541,0.0331143547413914
193,3.549,0.0350290468613532
194,3.557,0.0294015703421064
195,3.564,0.0128505298051285
196,3.572,0.0204540667815155
197,3.579,0.0137035496919064
198,3.587,0.0292358758317251
199,3.594,0.0147836324262439
200,3.602,0.0173795130888844
201,3.609,0.0255415019335936
202,3.617,0.0223564852340417
203,3.624,0.0277384884045754
204,3.632,0.0126357406250046
205,3.639,0.0131144136549951
206,3.647,0.0192635210402571
207,3.655,0.0145442959112486
208,3.662,0.0110033428560628
209,3.670,0.0237679569891417
210,3.677,0.0296593173582551
211,3.685,0.0294261176769777
212,3.692,0.0196317310633267
213,3.700,0.00161398726778835
214,3.707,0.0276402990650902
215,3.715,0.0301686745568347
216,3.722,0.0151457056155956
217,3.730,0
218,3.737,0.0322183770185887
219,3.745,0.0233567891300474
220,3.752,0.0326786395474257
221,3.760,0.0380974637202664
222,3.768,0.0130898663201238
223,3.775,0.00951822909634878
224,3.783,0.0250260079012961
225,3.790,0.0129425823108959
226,3.798,0.0242773141877213
227,3.805,0.0204847509501046
228,3.813,0.0270143420258719
229,3.820,0.0394598408056239
230,3.828,0.0273150468780454
231,3.835,0.0195396785575593
232,3.843,0.0148572744308578
233,3.850,0.0262533746448614
234,3.858,0.0188032585114202
235,3.865,0.0344276371570062
236,3.873,0.02411161967734
237,3.881,0.0363975607804285
238,3.888,0.0181650278047662
239,3.896,0.0222705695619921
240,3.903,0.0338078169515058
241,3.911,0.0414849959325066
242,3.918,0.0185209641604001
243,3.926,0.00945072392545269
244,3.933,0.00712486394639648
245,3.941,0.0300950325522208
246,3.948,0.0213132235020112
247,3.956,0.0180116069618205
248,3.963,0.0399937453390748
249,3.971,0.0730405949095701
250,3.979,0.0728135320620105
251,3.986,0.0307025790902856
252,3.994,0.0112610898722115
253,4.001,0.0292481494991607
254,4.009,0.0286099187925068
255,4.016,0.0176618074399044
256,4.024,0.0390241256116582
257,4.031,0.0330713969053666
258,4.039,0.0244859665341274
