#"+EI TIC Scan MEOH-PLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.194426395836045
1,2.102,0.19479439157869
2,2.110,0.185594498012556
3,2.117,0.157591209080283
4,2.125,0.13525624166779
5,2.132,0.124257917294856
6,2.140,0.136662935071128
7,2.147,0.159644862740852
8,2.155,0.13158221965654
9,2.162,0.123225155049368
10,2.170,0.101317537531559
11,2.178,0.130377330370137
12,2.185,0.115075829974333
13,2.193,0.105389232361474
14,2.200,0.109680537553936
15,2.208,0.0795345637330343
16,2.215,0.0825972379782765
17,2.223,0.0976553863507174
18,2.230,0.0734863756402013
19,2.238,0.0920226773221615
20,2.245,0.0975900967834739
21,2.253,0.0802290073118973
22,2.260,0.102445266420311
23,2.268,0.101471858326862
24,2.275,0.0633368156414335
25,2.283,0.0716404615117704
26,2.291,0.0663045232434124
27,2.298,0.0681623082022512
28,2.306,0.0739374671957021
29,2.313,0.0564339277592306
30,2.321,0.0577990732561409
31,2.328,0.0512641811165834
32,2.336,0.05566825919792
33,2.343,0.0574726254199232
34,2.351,0.0716820094181981
35,2.358,0.0560184486949536
36,2.366,0.0720440697456396
37,2.373,0.0691357162957003
38,2.381,0.070150672295577
39,2.389,0.0957619889006549
40,2.396,0.199346855040126
41,2.404,0.258997777839902
42,2.411,0.239630518029388
43,2.419,0.0804426822592398
44,2.426,0.0539054408823446
45,2.434,0.0585410001566356
46,2.441,0.062850111594709
47,2.449,0.0427646665445158
48,2.456,0.0733023777688786
49,2.464,0.0589920917121364
50,2.471,0.0515490810463733
51,2.479,0.0691001038044765
52,2.486,0.0570037276188105
53,2.494,0.0696224203424248
54,2.502,0.050332320929562
55,2.509,0.0552349738880311
56,2.517,0.0479047361111433
57,2.524,0.0403608233869129
58,2.532,0.0505638021225163
59,2.539,0.042734989468496
60,2.547,0.0522435246252364
61,2.554,0.0367520909429066
62,2.562,0.0482489901929728
63,2.569,0.0690526204828448
64,2.577,0.0477444799006364
65,2.584,0.0482608610233807
66,2.592,0.0624049554544121
67,2.600,0.0555910988002686
68,2.607,0.0581433273379704
69,2.615,0.0611110349399493
70,2.622,0.0429367935854306
71,2.630,0.0430080185678781
72,2.637,0.0481362173040976
73,2.645,0.0431979518544047
74,2.652,0.0456611491640472
75,2.660,0.0536027347069427
76,2.667,0.0434709809537868
77,2.675,0.0503976104968055
78,2.682,0.0525581016310462
79,2.690,0.0391974820069372
80,2.697,0.0671354813719665
81,2.705,0.063544555173572
82,2.713,0.0518161747305514
83,2.720,0.0569977922036066
84,2.728,0.0754331918270995
85,2.735,0.0938863976962042
86,2.743,0.0871556368549161
87,2.750,0.0533593826835805
88,2.758,0.0523266204380918
89,2.765,0.0584875814198
90,2.773,0.0991273693212989
91,2.780,0.0876660825624564
92,2.788,0.0572055317357451
93,2.795,0.0393992861238718
94,2.803,0.0545345948939641
95,2.811,0.113781909459871
96,2.818,0.0664647794539193
97,2.826,0.0522019767188087
98,2.833,0.0690822975588646
99,2.841,0.0543446616074375
100,2.848,0.067622185418691
101,2.856,0.0423254458194229
102,2.863,0.0430020831526741
103,2.871,0.0481955714561372
104,2.878,0.0580542961099111
105,2.886,0.0550212989406886
106,2.893,0.0522791371164602
107,2.901,0.0454712158775206
108,2.908,0.0689339121787657
109,2.916,0.0588496417472414
110,2.924,0.0454652804623166
111,2.931,0.0639837758986649
112,2.939,0.0554842613265974
113,2.946,0.0391084507788778
114,2.954,0.278893289603568
115,2.961,6.95421141747152
116,2.969,42.5603754886108
117,2.976,100
118,2.984,98.4282605060856
119,2.991,2.23809668803238
120,2.999,0.138479172123539
121,3.006,0.118275018769267
122,3.014,0.105650390630449
123,3.021,0.0977266113331649
124,3.029,0.0803239739551607
125,3.037,0.0913282337432984
126,3.044,0.102118818584094
127,3.052,0.0813151882942216
128,3.059,0.0667615502141171
129,3.067,0.0796592074523174
130,3.074,0.0795226929026264
131,3.082,0.0630163032204198
132,3.089,0.0694680995471219
133,3.097,0.185487660538885
134,3.104,1.45329234810427
135,3.112,1.05471141091289
136,3.119,0.277124535872789
137,3.127,0.202842814595257
138,3.135,0.162387024565081
139,3.142,0.107110502770622
140,3.150,0.104819432501894
141,3.157,0.0966285595204327
142,3.165,0.109318477226494
143,3.172,0.088574201088662
144,3.180,0.0708985346112757
145,3.187,0.0791131492535533
146,3.195,0.0805851322241348
147,3.202,0.070162543125985
148,3.210,0.0741036588214129
149,3.217,0.063413976039085
150,3.225,0.0644823507757974
151,3.232,0.059182024998663
152,3.240,0.0646841548927319
153,3.248,0.0464327531405617
154,3.255,0.0674738000385921
155,3.263,0.0774868454876688
156,3.270,0.0550747176775243
157,3.278,0.0700913181435375
158,3.285,0.0598289852558945
159,3.293,0.0412214585914868
160,3.300,0.0289292137040902
