#"+EI TIC Scan MEOH-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.19748729133941
1,2.102,0.189401187040111
2,2.110,0.150348298127944
3,2.117,0.170986165973314
4,2.125,0.154061916398733
5,2.132,0.133337530564975
6,2.140,0.149336703186797
7,2.147,0.131507342349085
8,2.155,0.133676947288649
9,2.162,0.109611636057157
10,2.170,0.123441203739414
11,2.178,0.118682714378098
12,2.185,0.13984634538367
13,2.193,0.142182331070134
14,2.200,0.117238529495014
15,2.208,0.115421651738875
16,2.215,0.0818659827042555
17,2.223,0.0927006969423278
18,2.230,0.108041001806429
19,2.238,0.0994557552664331
20,2.245,0.0914495137256463
21,2.253,0.102443953480742
22,2.260,0.0952696156744507
23,2.268,0.0956689294670086
24,2.275,0.0964941779716284
25,2.283,0.0723955905907561
26,2.291,0.0751774766789099
27,2.298,0.0519573796416651
28,2.306,0.0816929467274804
29,2.313,0.0722158993841051
30,2.321,0.0861519507443775
31,2.328,0.0760759327121652
32,2.336,0.084301796838859
33,2.343,0.0717966199019192
34,2.351,0.0635840662349774
35,2.358,0.0507128516548595
36,2.366,0.0766016958723665
37,2.373,0.0609752161235988
38,2.381,0.0788844397198228
39,2.389,0.0855662905152925
40,2.396,0.201673430931392
41,2.404,0.280225109157417
42,2.411,0.224254625900544
43,2.419,0.10977136157418
44,2.426,0.0807612145448452
45,2.434,0.0801422781663804
46,2.441,0.0604028663542657
47,2.449,0.0712841672014699
48,2.456,0.0652611841637208
49,2.464,0.0645557297968684
50,2.471,0.0528092490657887
51,2.479,0.0603695902048859
52,2.486,0.0633777541088225
53,2.494,0.0582332614147009
54,2.502,0.0637371365221246
55,2.509,0.0545928506725476
56,2.517,0.0604228320438936
57,2.524,0.075922862425018
58,2.532,0.0580269492885459
59,2.539,0.0755168934025841
60,2.547,0.0487761797609535
61,2.554,0.0503068826324256
62,2.562,0.07007957059392
63,2.569,0.0694340132959513
64,2.577,0.0445301431000873
65,2.584,0.0635707557752255
66,2.592,0.0673043397356423
67,2.600,0.0389597156939039
68,2.607,0.048084035853853
69,2.615,0.049641359644829
70,2.622,0.0496679805643329
71,2.630,0.0595044103210104
72,2.637,0.0617472227892108
73,2.645,0.0648485599114109
74,2.652,0.0512652357345647
75,2.660,0.0662661238749916
76,2.667,0.044590040168971
77,2.675,0.0411958729322284
78,2.682,0.0441574502270332
79,2.690,0.041475392587019
80,2.697,0.0365239015593004
81,2.705,0.0641497607744345
82,2.713,0.0664524703115187
83,2.720,0.0802620723041477
84,2.728,0.0791706146044893
85,2.735,0.0827311625881311
86,2.743,0.0621864679610246
87,2.750,0.0656405322666508
88,2.758,0.0661197088177204
89,2.765,0.0724821085791437
90,2.773,0.106463712325825
91,2.780,0.0902382618882205
92,2.788,0.0589586814711812
93,2.795,0.0414154955181353
94,2.803,0.0585726781383751
95,2.810,0.111960932203373
96,2.818,0.0968202842355507
97,2.826,0.064236278762822
98,2.833,0.0444835564909555
99,2.841,0.069300908698432
100,2.848,0.0518309302740218
101,2.856,0.0670048543912238
102,2.863,0.0533616331454939
103,2.871,0.0520106214806728
104,2.878,0.0606956964688082
105,2.886,0.0620799842830091
106,2.893,0.0584595392304837
107,2.901,0.0561634849232755
