#"+EI TIC Scan MEOH-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.153562677467784
1,2.102,0.144006921337147
2,2.110,0.184385379573374
3,2.117,0.131176103424894
4,2.125,0.123883552693619
5,2.132,0.123512339109596
6,2.140,0.110046865714983
7,2.147,0.120231290012109
8,2.155,0.102167558028317
9,2.162,0.103796107945318
10,2.170,0.115680929949901
11,2.178,0.498276401443542
12,2.185,1.45525304642116
13,2.193,0.709999865285393
14,2.200,0.245557785830718
15,2.208,0.169991872218705
16,2.215,0.146389873053935
17,2.223,0.135480983536378
18,2.230,0.119536761371035
19,2.238,0.119039814153715
20,2.245,0.0985272699785504
21,2.253,0.0907257973982119
22,2.260,0.0720453718796729
23,2.268,0.0843792425746057
24,2.275,0.0830261091876859
25,2.283,0.071991486036831
26,2.291,0.059837234818038
27,2.298,0.0694169402121605
28,2.306,0.0605317634591119
29,2.313,0.046527431636079
30,2.321,0.0531134790945382
31,2.328,0.0548498006972229
32,2.336,0.0638307745042128
33,2.343,0.0576279152615185
34,2.351,0.0621543260602414
35,2.358,0.0503533264778567
36,2.366,0.0754222180311011
37,2.373,0.0489043960369956
38,2.381,0.0584182409565336
39,2.389,0.0619387826888736
40,2.396,0.161340200784638
41,2.404,0.231900718328222
42,2.411,0.169500912317256
43,2.419,0.0739194017473981
44,2.426,0.0415280228835213
45,2.434,0.0541133608450498
46,2.441,0.0591367188610928
47,2.449,0.200844510903651
48,2.456,0.363316314387969
49,2.464,0.152646618139472
50,2.471,0.0463837360551671
51,2.479,0.0403245723933846
52,2.486,0.0847624307903706
53,2.494,1.05852750947119
54,2.502,2.86685856014034
55,2.509,1.37868725105863
56,2.517,0.530560008621735
57,2.524,0.327584013267892
58,2.532,0.260160849240883
59,2.539,0.233014359080288
60,2.547,0.197982573917157
61,2.554,0.167818476557413
62,2.562,0.141594033041003
63,2.569,0.133978167252675
64,2.577,0.119279306788568
65,2.584,0.117944135349263
66,2.592,0.118758410307763
67,2.600,0.102544758928211
68,2.607,0.117812414400093
69,2.615,0.0941984406035813
70,2.622,0.078445812546121
71,2.630,0.0762364929896015
72,2.637,0.09301893937693
73,2.645,0.0590528964388942
74,2.652,0.158538136956857
75,2.660,0.359759848760401
76,2.667,0.226847423732822
77,2.675,0.139468535906682
78,2.682,0.169908049796506
79,2.690,0.241432525195374
80,2.697,0.160687583354663
81,2.705,0.107166966780875
82,2.713,0.0911928080361754
83,2.720,0.078224281858882
84,2.728,0.11441161898518
85,2.735,0.119339179947282
86,2.743,0.0857323759615255
87,2.750,0.0907377720299545
88,2.758,0.0735362135316332
89,2.765,0.0702671390658889
90,2.773,0.107753723736265
91,2.780,0.0728416848905594
92,2.788,0.0684230457775203
93,2.795,0.0609448882542334
94,2.803,0.0914502626186424
95,2.811,0.095988648049108
96,2.818,0.0699977098516792
97,2.826,0.042623701687974
98,2.833,0.0508861975904047
99,2.841,0.0680278829300128
100,2.848,0.0475632372818185
101,2.856,0.0598671713973946
102,2.863,0.0511316775411291
103,2.871,0.0513352462807542
104,2.878,0.0566160588792643
105,2.886,0.0872591415087138
106,2.893,0.0689080183630978
107,2.901,0.0486768780338852
108,2.908,0.0630164995457124
109,2.916,0.0709616677069628
110,2.924,0.0874507356165962
111,2.931,0.0687343862028293
112,2.939,0.0387379336874831
113,2.946,0.0565621730364223
114,2.954,0.268076080822777
115,2.961,6.82118731467386
116,2.969,40.9450978102889
117,2.976,95.2199724882836
118,2.984,54.846681305654
119,2.991,0.861598703147382
120,2.999,0.117926173401649
121,3.006,0.0852893145870473
122,3.014,0.074595968440858
123,3.021,0.057436321153636
124,3.029,0.0630344614933264
125,3.037,0.121494613660959
126,3.044,0.160573824353108
127,3.052,0.0758772540373219
128,3.059,0.062477641117293
129,3.067,0.0537960331038695
130,3.074,0.0588014291722985
131,3.082,0.0322297213353511
132,3.089,0.0440247336018645
133,3.097,0.0403664836044839
134,3.104,0.040294635814028
135,3.112,0.0532272380960934
136,3.119,0.0437732663352687
137,3.127,0.0630284741774551
138,3.135,0.0536822741023142
139,3.142,0.0358819840168603
140,3.150,0.0368219926086586
141,3.157,0.0381930879431923
142,3.165,0.0542331071624763
143,3.172,0.0418453506247016
144,3.180,0.040570052344109
145,3.187,0.0541253354767924
146,3.195,0.0225781681507726
147,3.202,0.0250090183945312
148,3.210,0.0281284099634923
149,3.217,0.041761528202503
150,3.225,0.0203927978577384
151,3.232,0.0288049766569522
152,3.240,0.0219854238795113
153,3.248,0.0214465654510919
154,3.255,0.0466232286900202
155,3.263,0.0377919377798135
156,3.270,0.0419351603627715
157,3.278,0.00829243248178733
158,3.285,0.00605317634591119
159,3.293,0.0217219819811729
160,3.300,0.0161358162732252
161,3.308,0.029643200878938
162,3.315,0.0329541865557816
163,3.323,0.035217391955143
164,3.330,0.0274518432700324
165,3.338,0.0275416530081023
166,3.346,0.0534487687833325
167,3.353,0.0510777916982872
168,3.361,0.0515627642838646
169,3.368,0.0324392773908475
170,3.376,0.0274219066906758
171,3.383,0.0139983445071616
172,3.391,0.0390073629016928
173,3.398,0.02902052002832
174,3.406,0.0162016767478098
175,3.413,0.0553227986510577
176,3.421,0.0304574758374384
177,3.428,0.00628668166489292
178,3.436,0.0207640114417606
179,3.443,0.0223925613587615
180,3.451,0.0179739222457224
181,3.459,0.0167644844397145
182,3.466,0.0107172954096746
183,3.474,0.0218357409827281
184,3.481,0.044731236874681
185,3.489,0.0681895404585386
186,3.496,0.0646809733579412
187,3.504,0.0268650863146424
188,3.511,0.0149084165196032
189,3.519,0.0260388367243994
190,3.526,0.0346545842632383
191,3.534,0.0246976779692222
192,3.541,0.0168004083349424
193,3.549,0.0372830159307507
194,3.557,0.0277571963794701
195,3.564,0.010376018405009
196,3.572,0.0119686444267819
197,3.579,0.0584302155882762
198,3.587,0.344390408918706
199,3.594,0.289923796437248
200,3.602,0.170854045704176
201,3.609,0.125530064558233
202,3.617,0.105274974965536
203,3.624,0.0996109741512606
204,3.632,0.0509161341697614
205,3.639,0.06156158178898
206,3.647,0.0614717720509101
207,3.654,0.0454916259903395
208,3.662,0.0354269480106395
209,3.670,0.0388157687938103
210,3.677,0.0478925396547414
211,3.685,0.0611484569938585
212,3.692,0.0309364611071445
213,3.700,0.0157466407415889
214,3.707,0.0210214660242277
215,3.715,0.040881392769418
216,3.722,0.0306550572611922
217,3.730,0.0216561215065883
218,3.737,0.0326847573415719
219,3.745,0.0248054496549061
220,3.752,0.0177104803473841
221,3.760,0.0222488657778496
222,3.768,0.0163214230652363
223,3.775,0.0139863698754189
224,3.783,0
225,3.790,0.0180816939314063
226,3.798,0.0417375789390177
227,3.805,0.029643200878938
228,3.813,0.0273081476891206
229,3.820,0.0189797913121053
230,3.828,0.0244102868073985
231,3.835,0.0445216808191846
232,3.843,0.0246617540739942
233,3.850,0.0240450605392476
234,3.858,0.0239552508011777
235,3.865,0.0137828011357938
236,3.873,0.0152556808401402
237,3.881,0.0252784476087409
