#"+EI TIC Scan MEOH-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.491913132099187
1,2.102,0.431665244313546
2,2.110,0.334299589912596
3,2.117,0.297392979103679
4,2.125,0.258517483073009
5,2.132,0.224487156761957
6,2.140,0.209415197716595
7,2.147,0.197139626377492
8,2.155,0.184921124175251
9,2.162,0.184841227383644
10,2.170,0.161619795594331
11,2.177,0.156734677478909
12,2.185,0.134118178540338
13,2.193,0.127863401140219
14,2.200,0.134380696569905
15,2.208,0.114720378920807
16,2.215,0.14128035521657
17,2.223,0.110360296864519
18,2.230,0.103763104643225
19,2.238,0.119228840732937
20,2.245,0.123320697845971
21,2.253,0.106473888644189
22,2.260,0.0876353665659092
23,2.268,0.112346302827331
24,2.275,0.0955052005392349
25,2.283,0.0960473573394277
26,2.291,0.086870640131953
27,2.298,0.334031364969343
28,2.306,1.22073737205528
29,2.313,0.679356712123756
30,2.321,0.36205801808247
31,2.328,0.258112292201286
32,2.336,0.208793144124795
33,2.343,0.1516783519529
34,2.351,0.143631603655301
35,2.358,0.141434441886098
36,2.366,0.131521532813099
37,2.373,0.111878335905059
38,2.381,0.121671399790648
39,2.388,0.160780879282454
40,2.396,0.262124252522713
41,2.404,0.273988926076407
42,2.411,0.148453945720174
43,2.419,0.0940042822397536
44,2.426,0.0859289993737233
45,2.434,0.0919783278811382
46,2.441,0.0728202186364289
47,2.449,0.0886683179431187
48,2.456,0.0861915174032904
49,2.464,0.0775055947728323
50,2.471,0.073014253701761
51,2.479,0.0703776595787179
52,2.486,0.0883601446040617
53,2.494,0.0522867431933355
54,2.502,0.0851471521987083
55,2.509,0.0679408074346932
56,2.517,0.056047599312568
57,2.524,0.0684544296664549
58,2.532,0.0529658659219981
59,2.539,0.064042985386991
60,2.547,0.0756850893069216
61,2.554,0.0604248021099145
62,2.562,0.0719185262740029
63,2.569,0.064899022439927
64,2.577,0.0651843681242391
65,2.584,0.0691278454814312
66,2.592,0.0639174332858937
67,2.599,0.0441486842767566
68,2.607,0.05936902307796
69,2.615,0.0570634299487188
70,2.622,0.0616517885524562
71,2.630,0.0623137905400601
72,2.637,0.0563158242558213
73,2.645,0.0648077118209472
74,2.652,0.05258350270502
75,2.660,0.0755367095510793
76,2.667,0.0522239671427869
77,2.675,0.048856888067905
78,2.682,0.0654354723264336
79,2.690,0.0553513558428467
80,2.697,0.058301830218633
81,2.705,0.0424309032571982
