#"+EI TIC Scan TCM-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.155160512217731
1,2.102,0.142171345173123
2,2.110,0.135473340776553
3,2.117,0.137899506813533
4,2.125,0.113052391244627
5,2.133,0.12994128529346
6,2.140,0.116639544710345
7,2.148,0.102261161939042
8,2.155,0.102772194867076
9,2.163,0.0928690713296288
10,2.170,0.0904478667773872
11,2.178,0.0843055486714955
12,2.185,0.094858626709647
13,2.193,0.0936529859182644
14,2.200,0.093270951593423
15,2.208,0.0841666270988259
16,2.215,0.0820232656919234
17,2.223,0.0681658388181307
18,2.230,0.0849356572332469
19,2.238,0.0799344806171412
20,2.246,0.0631200088393812
21,2.253,0.0567693083744851
22,2.261,0.0827674884026535
23,2.268,0.0597858910953108
24,2.276,0.0561640072364247
25,2.283,0.0513067136777269
26,2.291,0.0567593854050087
27,2.298,0.060237386206487
28,2.306,0.0693913255484661
29,2.313,0.04324926246289
30,2.321,0.0511826765592719
31,2.328,0.0555983979762699
32,2.336,0.135880182525085
33,2.344,0.13625229388045
34,2.351,0.0824152229862413
35,2.359,0.0786990709173294
36,2.366,0.0842460108546371
37,2.374,0.0618597917158784
38,2.381,0.0658091335674856
39,2.389,0.0632291615036216
40,2.396,0.149434958829848
41,2.404,0.343518318818758
42,2.411,0.132402181723607
43,2.419,0.0571066893366827
44,2.426,0.0567643468897469
45,2.434,0.0552312481056431
46,2.441,0.0514406737656583
47,2.449,0.0517334013652121
48,2.457,0.0453678164461014
49,2.464,0.0488656631865324
50,2.472,0.0378958204303721
51,2.479,0.0358715346571865
52,2.487,0.0511380231966281
53,2.494,0.031297045728566
54,2.502,0.0341796683614602
55,2.509,0.0411207855102021
56,2.517,0.0443060587121266
57,2.524,0.0379305508235395
58,2.532,0.03486931474007
59,2.539,0.0523238180490579
60,2.547,0.0484191295600944
61,2.554,0.0599992349390534
62,2.562,0.0499323824052454
63,2.570,0.0874064766328705
64,2.577,0.203276991208795
65,2.585,0.127614348951244
66,2.592,0.059790852580049
67,2.600,0.0423760411489667
68,2.607,0.045010589544951
69,2.615,0.049823229741005
70,2.622,0.0361593007720021
71,2.630,0.0395132644550253
72,2.637,0.0632341229883598
73,2.645,0.0478932121778452
74,2.652,0.0508056037191686
75,2.660,0.0371764051433331
76,2.668,0.0524280092285601
77,2.675,0.0343136284493916
78,2.683,0.0385656208700291
79,2.690,0.0312523923659222
80,2.698,0.0236414747775233
81,2.705,0.0461219621263078
82,2.713,0.0496198088667388
83,2.720,0.0376626306476767
84,2.728,0.0621029044680502
85,2.735,0.0830453315479927
86,2.743,0.0696096308769469
87,2.750,0.0485679741022404
88,2.758,0.0432145320697226
89,2.765,0.0459135797673034
90,2.773,0.0674414620463535
91,2.781,0.049351888690876
92,2.788,0.0418253163430265
93,2.796,0.0607732265582126
94,2.803,0.0497140770767646
95,2.811,0.0720903732460469
96,2.818,0.0292181836232602
97,2.826,0.032711068878953
98,2.833,0.0592996655909672
99,2.841,0.0451643955718352
100,2.848,0.0446235937353714
101,2.856,0.049724000046241
102,2.863,0.0510189475629113
103,2.871,0.0505128761196148
104,2.879,0.0554247460104329
105,2.886,0.0540305687989987
106,2.894,0.0607236117108306
107,2.901,0.0482454775942574
108,2.909,0.0603515003554656
109,2.916,0.045605967713535
110,2.924,0.045333086052934
111,2.931,0.0594981249804952
