#"+EI TIC Scan TCM-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.117264317219179
1,2.102,0.109587768978905
2,2.110,0.106143407968767
3,2.117,0.101572493523269
4,2.125,0.103673363443265
5,2.132,0.0980748495803779
6,2.140,0.08702625288156
7,2.148,0.0748625205186865
8,2.155,0.0852564983293898
9,2.163,0.0841641982079427
10,2.170,0.0842517344546092
11,2.178,0.0834753260059152
12,2.185,0.0805904357896892
13,2.193,0.0713153995668098
14,2.200,0.0732868680786898
15,2.208,0.0671022419555141
16,2.215,0.0520726489952552
17,2.223,0.0701660105888411
18,2.230,0.0579337715981416
19,2.238,0.0590146539482843
20,2.246,0.0695113917007265
21,2.253,0.0657054679326184
22,2.261,0.0656065139146476
23,2.268,0.0564913264900287
24,2.276,0.0513990004883
25,2.283,0.0518519054167049
26,2.291,0.0437909588758519
27,2.298,0.0525750309326454
28,2.306,0.0606283656259622
29,2.313,0.05407456489728
30,2.321,0.0532753209059773
31,2.328,0.127852397142056
32,2.336,0.168625258469798
33,2.343,0.10195308590008
34,2.351,0.0763087715505676
35,2.359,0.052418988058153
36,2.366,0.0610850764781352
37,2.374,0.0522971984975735
38,2.381,0.0525826427801816
39,2.389,0.0586721208091546
40,2.396,0.308237960055308
41,2.404,0.441281637217063
42,2.411,0.11040223666528
43,2.419,0.050306700366853
44,2.426,0.0410773352291908
45,2.434,0.0520155601387335
46,2.441,0.0442971467370103
47,2.449,0.0514522834210535
48,2.457,0.0436158863825189
49,2.464,0.0515550433627925
50,2.472,0.0510602732729384
51,2.479,0.0514484774972854
52,2.487,0.0423675433865795
53,2.494,0.0458423517868622
54,2.502,0.0434712612793308
55,2.509,0.0482781429984514
56,2.517,0.0460022005851227
57,2.524,0.0509917666451125
58,2.532,0.0552582071891616
59,2.539,0.0494846208329416
60,2.547,0.0382913990309357
61,2.554,0.0432048466155633
62,2.562,0.0587101800468357
63,2.570,0.143772576264052
64,2.577,0.272055042791904
65,2.585,0.0964687497502363
66,2.592,0.0543866506462649
67,2.600,0.0504855787839541
68,2.607,0.0503942366135195
69,2.615,0.0622534950749443
70,2.622,0.0506910986674319
71,2.630,0.0545084402068443
72,2.637,0.0385692314660076
73,2.645,0.0393151925245568
74,2.652,0.0352542718639854
75,2.660,0.046295256715267
76,2.668,0.0366967169720984
77,2.675,0.0388280342822389
78,2.683,0.0402324201526708
79,2.690,0.0360611277028243
80,2.698,0.0362019468822443
81,2.705,0.0404379400361487
82,2.713,0.039357057686006
83,2.720,0.0532524853633687
84,2.728,0.0685561048349314
85,2.735,0.0919435063899557
86,2.743,0.0600270296706011
87,2.750,0.0507748289903303
88,2.758,0.0381315502326752
89,2.765,0.0744020037427454
90,2.773,0.0884648920659049
91,2.781,0.0520155601387335
92,2.788,0.0549270918213362
93,2.796,0.0572677349387227
94,2.803,0.0705466029656519
95,2.811,0.0678976800230487
96,2.818,0.04168247710832
97,2.826,0.0514180301071406
98,2.833,0.0521411556230811
99,2.841,0.0586949563517633
100,2.848,0.0470830829352654
101,2.856,0.0733325391639071
102,2.863,0.0530089062422097
103,2.871,0.0384055767439789
104,2.879,0.0514294478784449
105,2.886,0.0746493887876725
106,2.894,0.0753991557699898
107,2.901,0.0488756730300443
108,2.909,0.0654047999549379
109,2.916,0.0568110240865497
110,2.924,0.0549499273639449
111,2.931,0.0560041682477108
112,2.939,0.045731979997587
113,2.946,0.0458537695581665
114,2.954,0.214954768498978
115,2.961,5.34820586850609
116,2.969,30.0046013618356
117,2.976,68.0852131107984
118,2.984,100
119,2.992,38.7207338734447
120,2.999,0.221721700958674
121,3.007,0.120773378933375
122,3.014,0.114893226711648
123,3.022,0.106409822632535
124,3.029,0.0712430870152157
125,3.037,0.0813516205433108
126,3.044,0.0917646279728546
127,3.052,0.0758406429270903
128,3.059,0.0723125515940541
129,3.067,0.0802479026505595
130,3.074,0.0640156377795784
131,3.082,0.0442705052706335
132,3.089,0.065408605878706
133,3.097,0.0551326117048141
134,3.105,0.0435435738309249
135,3.112,0.047490316778453
136,3.120,0.0509346777885908
137,3.127,0.0896599521290908
138,3.135,0.0782802400624476
139,3.142,0.0411077826193357
140,3.150,0.0385197544570222
141,3.157,0.0637796705059557
142,3.165,0.07280351576014
143,3.172,0.0499223020662741
144,3.180,0.0543447854848157
145,3.187,0.0484532154917843
146,3.195,0.0313493940779065
147,3.203,0.0451801210512114
148,3.210,0.0410544996865822
149,3.218,0.0446701272662849
150,3.225,0.0389498238428184
151,3.233,0.0402552556952795
152,3.240,0.033480711388047
153,3.248,0.0460745131367168
154,3.255,0.110535443997164
155,3.263,0.260663912953956
156,3.270,0.171807010739936
157,3.278,0.0507443816001854
158,3.285,0.0335035469306557
159,3.293,0.0317604338448622
160,3.300,0.0297623238666054
161,3.308,0.0445863969433865
162,3.316,0.0565636390416227
163,3.323,0.031752821997326
164,3.331,0.0275054110721173
165,3.338,0.031612002817906
166,3.346,0.016019133139967
167,3.353,0.0196918495761914
168,3.361,0.0133093154170741
169,3.368,0.0223864436040119
170,3.376,0.029256136005447
171,3.383,0.0139372928388119
