#"+EI TIC Scan TCM-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.164446020228414
1,2.102,0.151450858960853
2,2.110,0.141618297959328
3,2.117,0.119245659158755
4,2.125,0.1359090689907
5,2.132,0.13163863927101
6,2.140,0.111771257948619
7,2.148,0.126104088805448
8,2.155,0.112387229512062
9,2.163,0.114046675291188
10,2.170,0.105602348708765
11,2.178,0.0979762530091245
12,2.185,0.10056884973884
13,2.193,0.102035229804051
14,2.200,0.0967994715147858
15,2.208,0.0924738801625485
16,2.215,0.0845811699055968
17,2.223,0.078977667399351
18,2.230,0.0857395641890865
19,2.238,0.0780307260406253
20,2.245,0.085711983372813
21,2.253,0.0813863920205757
22,2.261,0.0966018089981586
23,2.268,0.0759989392418061
24,2.276,0.088304580102528
25,2.283,0.0587839130843898
26,2.291,0.06876816857542
27,2.298,0.0760449072689287
28,2.306,0.078517987128125
29,2.313,0.0624889360704719
30,2.321,0.0673431597346192
31,2.328,0.0776216105992341
32,2.336,0.150926823451655
33,2.343,0.14050587170296
34,2.351,0.0953836562794095
35,2.359,0.0930346900934443
36,2.366,0.0830780154186876
37,2.374,0.0758058735278912
38,2.381,0.0859188394948647
39,2.389,0.0749876426451088
40,2.396,0.172614538648101
41,2.404,0.380311875596177
42,2.411,0.162827945673698
43,2.419,0.0853994007883792
44,2.426,0.0566372062177641
45,2.434,0.0619878845748355
46,2.441,0.0693427689144526
47,2.449,0.0664697672192897
48,2.456,0.0577588260795557
49,2.464,0.0601123890682331
50,2.472,0.0701012413619756
51,2.479,0.0939632442413209
52,2.487,0.0740544916945198
53,2.494,0.0665203320491246
54,2.502,0.06809703537943
55,2.509,0.0747532057067835
56,2.517,0.0805129995052461
57,2.524,0.0687773621808446
58,2.532,0.06809703537943
59,2.539,0.0778974187619698
60,2.547,0.0566831742448867
61,2.554,0.0820483316111412
62,2.562,0.0811473582795381
63,2.570,0.114212160188829
64,2.577,0.237392682469279
65,2.585,0.160869707718275
66,2.592,0.0772078983551307
67,2.600,0.0941746971660849
68,2.607,0.0692048648330848
69,2.615,0.0808485661032411
70,2.622,0.0681889714336752
71,2.630,0.078747827263738
72,2.637,0.0792994435892093
73,2.645,0.0583793944457109
74,2.652,0.0626222433491275
75,2.660,0.0641621722577348
76,2.667,0.0666950105521905
77,2.675,0.0693657529280139
78,2.683,0.0563843820685897
79,2.690,0.0579564885961829
80,2.698,0.0629899875661083
81,2.705,0.0710895539451117
82,2.713,0.0772814471985269
83,2.720,0.0854177879992283
84,2.728,0.0792167011403886
85,2.735,0.0961743063459183
86,2.743,0.0845765731028846
87,2.750,0.0592665773691772
88,2.758,0.0579105205690603
89,2.765,0.0841031024235217
90,2.773,0.100504494500868
91,2.780,0.0812530847419201
92,2.788,0.0759575680173958
93,2.796,0.0837307614038286
94,2.803,0.0864520686094869
95,2.811,0.085817709835195
96,2.818,0.0648654830727107
97,2.826,0.0735488433961712
98,2.833,0.0700782573484143
99,2.841,0.0613581226032558
100,2.848,0.0711447155776588
101,2.856,0.0725145627859125
102,2.863,0.0950664768922635
103,2.871,0.0652700017113896
104,2.878,0.062718776206085
105,2.886,0.0803383210021802
106,2.894,0.0772033015524184
107,2.901,0.0676051774892181
108,2.909,0.0710297955098523
109,2.916,0.071323990883437
110,2.924,0.0803153369886189
111,2.931,0.077143543117159
112,2.939,0.0730385982951102
113,2.946,0.0592481901583281
114,2.954,0.129956209478322
115,2.961,3.20502875506953
116,2.969,28.2729522611466
117,2.976,78.4531308386577
118,2.984,100
119,2.991,3.60554357858609
120,2.999,0.166965068114733
121,3.007,0.132199449201905
122,3.014,0.11640943188529
123,3.022,0.0929151732229255
124,3.029,0.0819977667813063
125,3.037,0.0802096105262369
126,3.044,0.10809381577881
127,3.052,0.0919866190750488
128,3.059,0.0702437422460557
129,3.067,0.0742015893813122
130,3.074,0.0628934547091509
131,3.082,0.0539756574473651
132,3.089,0.0668375114362705
133,3.097,0.0468873876650591
134,3.105,0.0524770997631681
135,3.112,0.046832226032512
136,3.120,0.0527253271096302
137,3.127,0.0970017308341252
138,3.135,0.104563471295794
139,3.142,0.0746934472715241
140,3.150,0.0530471032994885
141,3.157,0.0549777604386379
142,3.165,0.0593631102261346
143,3.172,0.0500683751419435
144,3.180,0.0738062643480578
145,3.187,0.0617442540310857
146,3.195,0.0285921128702615
147,3.202,0.048225057254327
148,3.210,0.041472354070016
149,3.218,0.0563705916604529
150,3.225,0.0503579737128159
151,3.233,0.0564441405038491
152,3.240,0.0386958852318105
153,3.248,0.0445981799143533
154,3.255,0.0605766661421715
155,3.263,0.0718434295899224
156,3.270,0.0543020304399356
157,3.278,0.0504177321480753
158,3.285,0.0476274729017331
159,3.293,0.0497052277276749
160,3.300,0.0452417322940698
161,3.308,0.0502430536450094
162,3.316,0.0644287868150459
163,3.323,0.0535067835707145
164,3.331,0.0449337465123483
165,3.338,0.0361860309509162
166,3.346,0.0249698323330001
167,3.353,0.0309134982399532
168,3.361,0.0265833100850036
169,3.368,0.0364710327190764
170,3.376,0.0403461374055121
171,3.383,0.0412149331181294
172,3.391,0.0454439916134093
173,3.398,0.0427962332511471
174,3.406,0.0327430257194329
175,3.413,0.0327246385085839
176,3.421,0.0491398209940669
177,3.429,0.021706102407295
178,3.436,0.0331291571472628
179,3.444,0.0420423576063363
180,3.451,0.052334598879088
181,3.459,0.0428054268565716
182,3.466,0.0435776897122314
183,3.474,0.0327935905492678
184,3.481,0.0387280628507964
185,3.489,0.0984819013074732
186,3.496,0.0733971489066666
187,3.504,0.0441293060377027
188,3.511,0.0456278637218997
189,3.519,0.0339795656490311
190,3.526,0.0226254629497472
191,3.534,0.0266154877039894
192,3.542,0.035018443062002
193,3.549,0.0340715017032763
194,3.557,0.0366595016302791
195,3.564,0.0360711108831097
196,3.572,0.0282381590614175
197,3.579,0.03159842184408
198,3.587,0.0332762548340552
199,3.594,0.0377949119002075
200,3.602,0.0329636722496215
201,3.609,0.0399416187668332
202,3.617,0.0253329797472687
203,3.624,0.031368581708467
204,3.632,0.0252042692713254
205,3.640,0.0162864720095397
206,3.647,0.0264270187927867
207,3.655,0.0293781661340581
208,3.662,0.0254341094069384
209,3.670,0.0203822232261639
210,3.677,0.040185249310583
211,3.685,0.0308813206209674
212,3.692,0.0234666778460909
213,3.700,0.0356573986390062
214,3.707,0.0282243686532807
215,3.715,0.0299987345002133
216,3.722,0.0307801909612976
217,3.730,0.0179689018022271
218,3.737,0.0367744216980856
219,3.745,0.0372524891801607
220,3.753,0.0231954664860675
221,3.760,0.0336348054456115
222,3.768,0.0270062159345316
223,3.775,0.0368020025143591
224,3.783,0.0273279921243898
225,3.790,0.016433569696332
226,3.798,0.03145592096
227,3.805,0.0194950403026976
228,3.813,0.0275716226681397
229,3.820,0.0221795730866579
230,3.828,0.0364802263245009
231,3.835,0.0246204753268683
232,3.843,0.0294379245693175
233,3.851,0.0149258184067105
234,3.858,0.0283025142993891
235,3.866,0.0301963970168405
236,3.873,0.0274750898111822
237,3.881,0.0573267266246032
238,3.888,0.0289644538899547
239,3.896,0.0238711964847698
240,3.903,0.0295298606235627
241,3.911,0.0170219604435014
242,3.918,0.0380477360493818
243,3.926,0.0317271323200233
244,3.933,0.031474308170849
245,3.941,0.0450440697774426
246,3.948,0.018777939079585
247,3.956,0.0382591889741458
248,3.964,0.0350414270755633
249,3.971,0.0746612696525382
