#"+EI TIC Scan TCM-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.135944950902689
1,2.102,0.1210891936311
2,2.110,0.114199302767847
3,2.117,0.119582827867985
4,2.125,0.132458060661678
5,2.132,0.109760447722543
6,2.140,0.109640084356483
7,2.147,0.103093046717764
8,2.155,0.0804392022753782
9,2.163,0.0969873414212652
10,2.170,0.11495066196204
11,2.178,0.0908670466258501
12,2.185,0.0922092805261557
13,2.193,0.068957266628199
14,2.200,0.0796003060876873
15,2.208,0.0827334009799766
16,2.215,0.0741620703666122
17,2.223,0.0789875471331999
18,2.230,0.0739760542554286
19,2.238,0.0692782356043591
20,2.245,0.0706532958772264
21,2.253,0.073914048885034
22,2.260,0.0666411836752261
23,2.268,0.0612284795772547
24,2.276,0.0657439294918696
25,2.283,0.0585403644019144
26,2.291,0.0652114127814223
27,2.298,0.0628989772031785
28,2.306,0.0630631090659876
29,2.313,0.0616442802963711
30,2.321,0.0605938363743928
31,2.328,0.196498666155062
32,2.336,0.166360408768581
33,2.343,0.0968779201793925
34,2.351,0.0730423263247812
35,2.358,0.078389377677629
36,2.366,0.0664296359409388
37,2.374,0.0642630953518586
38,2.381,0.0593938500885218
39,2.389,0.0681730810614444
40,2.396,0.30611686626317
41,2.404,0.436970082044047
42,2.411,0.11984543884848
43,2.419,0.0650983441648205
44,2.426,0.0489222372413008
45,2.434,0.0468724126435516
46,2.441,0.0404275014972473
47,2.449,0.0519568530159047
48,2.456,0.0546267313175995
49,2.464,0.053605466393454
50,2.471,0.0495970015661827
51,2.479,0.0543312939645431
52,2.487,0.0431812694177112
53,2.494,0.0471386709987752
54,2.502,0.0414159400488311
55,2.509,0.0464639066738933
56,2.517,0.0524492486043321
57,2.524,0.0637415207655986
58,2.532,0.0580297319398417
59,2.539,0.0514498679285611
60,2.547,0.0426159263347021
61,2.554,0.0403071381311873
62,2.562,0.0608600947296165
63,2.569,0.158551379473596
64,2.577,0.269996914320979
65,2.584,0.100335631422571
66,2.592,0.0608600947296165
67,2.600,0.0654594342630005
68,2.607,0.0701207791667791
69,2.615,0.0559799073420924
70,2.622,0.0536893560122231
71,2.630,0.0438742706162386
72,2.637,0.0490316584831736
73,2.645,0.039015967477089
74,2.652,0.0396433159304927
75,2.660,0.0440639341021513
76,2.667,0.053204255173254
77,2.675,0.0307181899684064
78,2.682,0.0395557789369945
79,2.690,0.0383448505269362
80,2.698,0.0296312722991372
81,2.705,0.0500419812831318
82,2.713,0.0480869884283389
83,2.720,0.0586096645217672
84,2.728,0.0609148053505528
85,2.735,0.0916184058200429
86,2.743,0.0759419892344088
87,2.750,0.0519094371444266
88,2.758,0.031578970404472
89,2.765,0.0580662056871326
90,2.773,0.0834482864268785
91,2.780,0.0533720344107921
92,2.788,0.0665864730542897
93,2.795,0.0781450035707799
94,2.803,0.0669402684030116
95,2.811,0.0634570255367294
96,2.818,0.0392384573355636
97,2.826,0.0468286441468025
98,2.833,0.0478572038204062
99,2.841,0.0417040826524293
100,2.848,0.0421417676199202
101,2.856,0.0687858400159317
102,2.863,0.0640150738702804
103,2.871,0.0440821709757968
104,2.878,0.0565963136713088
105,2.886,0.063198061930964
106,2.893,0.0687055977718917
107,2.901,0.0572491937478161
108,2.909,0.0517343631574302
109,2.916,0.0522267587458575
110,2.924,0.0616661645447456
111,2.931,0.0510523040830901
112,2.939,0.0445928034378695
113,2.946,0.0452165045165441
114,2.954,0.181518898142684
115,2.961,4.99209249158733
116,2.969,29.4088517407825
117,2.976,67.1341993173573
118,2.984,100
119,2.991,31.7204776018365
120,2.999,0.176985211354423
121,3.006,0.104052306271515
122,3.014,0.0965533038285034
123,3.022,0.0808331187461201
124,3.029,0.0571762462532343
125,3.037,0.0749863770553868
126,3.044,0.0908779887500374
127,3.052,0.06995664730397
128,3.059,0.0692964724780045
129,3.067,0.0755699570120414
130,3.074,0.0616187486732674
131,3.082,0.0467921703995115
132,3.089,0.0594120869621672
133,3.097,0.0457891423490115
134,3.104,0.0449465987865914
135,3.112,0.0411934501903565
136,3.120,0.0515884681682665
137,3.127,0.075792446870516
138,3.135,0.0828537643460367
139,3.142,0.0485356155200172
140,3.150,0.0316081494023047
141,3.157,0.0454134627519151
142,3.165,0.0778422714682653
143,3.172,0.0460991692009842
144,3.180,0.0579203106979689
145,3.187,0.0556479962417451
146,3.195,0.0334683105141412
147,3.202,0.0253310174935387
148,3.210,0.0391873940893563
149,3.217,0.0429223058119457
150,3.225,0.0254294966112241
151,3.233,0.0335047842614321
152,3.240,0.03022214700525
153,3.248,0.0424444997224348
154,3.255,0.107261996033115
155,3.263,0.237378442118716
156,3.270,0.174286154054896
157,3.278,0.0621403232595275
158,3.285,0.0367582425197815
159,3.293,0.0371922801125434
160,3.300,0.0328117830629048
161,3.308,0.0417296142755329
162,3.315,0.058522127528269
