#"+EI TIC Scan TCM-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.123237699251868
1,2.102,0.106044521221312
2,2.110,0.109700802428002
3,2.117,0.0960031446491623
4,2.125,0.106963744117695
5,2.133,0.0965060378929235
6,2.140,0.0764480172032359
7,2.148,0.0719219780093853
8,2.155,0.085368189166344
9,2.163,0.0916502326375902
10,2.170,0.0742633170459128
11,2.178,0.0786986705728556
12,2.185,0.0595145299460973
13,2.193,0.0673382297547752
14,2.200,0.0691272106383191
15,2.208,0.0580305826694249
16,2.215,0.061348853663095
17,2.223,0.0646094155960056
18,2.230,0.0719343442366909
19,2.238,0.0544567429781058
20,2.246,0.0633439383350656
21,2.253,0.0690365249714114
22,2.261,0.0667528949956434
23,2.268,0.0682574526511584
24,2.276,0.0409899214423044
25,2.283,0.0501821504061358
26,2.291,0.0530016502318132
27,2.298,0.0568599131511612
28,2.306,0.0514929705005297
29,2.313,0.0461383940772037
30,2.321,0.0452645140142744
31,2.328,0.0555944358902212
32,2.336,0.153048551209908
33,2.343,0.100714677252597
34,2.351,0.0750712438965455
35,2.359,0.0587684342319926
36,2.366,0.0627503594243966
37,2.374,0.0577667698202388
38,2.381,0.0475893647477277
39,2.389,0.0570041858030599
40,2.396,0.155983469157104
41,2.404,0.353768908682914
42,2.411,0.153155725179889
43,2.419,0.0423460843701522
44,2.426,0.046171370683352
45,2.434,0.0429396632808211
46,2.441,0.0393988001956502
47,2.449,0.0316616639781115
48,2.457,0.0293574236235008
49,2.464,0.053941483507039
50,2.472,0.0408497708661743
51,2.479,0.0464928925932976
52,2.487,0.0293120807900469
53,2.494,0.0354209970790147
54,2.502,0.0270408170415846
55,2.509,0.0336814811046932
56,2.517,0.0458993136826287
57,2.524,0.0406436670777475
58,2.532,0.0459240461372399
59,2.539,0.0506685553468228
60,2.547,0.0290606341681664
61,2.554,0.032205777979558
62,2.562,0.0450254336196994
63,2.570,0.0793870572262008
64,2.577,0.174392659539378
65,2.585,0.119082646877185
66,2.592,0.0523668505634589
67,2.600,0.0468803677155398
68,2.607,0.0511261057571301
69,2.615,0.0515712899401318
70,2.622,0.0519670092139111
71,2.630,0.0311093058251279
72,2.637,0.0277498140737725
73,2.645,0.0436280499341663
74,2.652,0.0244933742166304
75,2.660,0.0404829061227747
76,2.668,0.0387640005272959
77,2.675,0.0157380852842637
78,2.683,0.0312329680981839
79,2.690,0.0271397468600294
80,2.698,0.0369337988860667
81,2.705,0.0437599563587594
82,2.713,0.0374202038267538
83,2.720,0.0450996309835331
84,2.728,0.0479479853395902
85,2.735,0.0649845244909422
86,2.743,0.0521937233811805
87,2.750,0.0500337556784685
88,2.758,0.0380343931162654
89,2.765,0.0482612630979988
90,2.773,0.0781751669502517
91,2.781,0.0468515131851601
92,2.788,0.0362330460054159
93,2.796,0.0616085444365127
94,2.803,0.0495968156470039
95,2.811,0.0650463556274702
96,2.818,0.0401737504401346
97,2.826,0.0322305104341692
98,2.833,0.0483931695225919
99,2.841,0.0379643178282003
100,2.848,0.0452810023173486
101,2.856,0.0567238846507996
102,2.863,0.0610438200562235
103,2.871,0.0354127529274776
104,2.879,0.0318347911603899
105,2.886,0.0617610612399484
106,2.894,0.0603430671755726
107,2.901,0.0516990742889564
108,2.909,0.0626926503636372
109,2.916,0.0541146106893174
110,2.924,0.0550997867979971
111,2.931,0.0467072405332614
112,2.939,0.0391143769676213
113,2.946,0.0441226990263904
114,2.954,0.102371751711548
115,2.961,3.00104840875097
116,2.969,25.2704885508933
117,2.976,70.1454622829655
118,2.984,100
119,2.992,6.85741105116972
120,2.999,0.136411853408103
121,3.007,0.0750300231388601
122,3.014,0.0821282376122761
123,3.022,0.0709697785068539
124,3.029,0.048100502143026
125,3.037,0.0653349009312676
126,3.044,0.0900508672393989
127,3.052,0.0554419190867854
128,3.059,0.0456849657426649
129,3.067,0.070685355278825
130,3.074,0.0448852830435693
131,3.082,0.0365339575365189
132,3.090,0.0336402603470079
133,3.097,0.0447739869978189
134,3.105,0.0375850868574951
135,3.112,0.0236236162294697
136,3.120,0.0376263076151805
137,3.127,0.0754257424126394
138,3.135,0.0623628843021544
139,3.142,0.0396708571963735
140,3.150,0.0278940867256712
141,3.157,0.0333393488159049
142,3.165,0.0474162375654493
143,3.172,0.0386980473149994
144,3.180,0.0335536967558687
145,3.187,0.0454500074238585
146,3.195,0.0262287681151833
147,3.203,0.024505740443936
148,3.210,0.0283145384540617
149,3.218,0.030523971065996
150,3.225,0.036480370551528
151,3.233,0.00679318086654442
152,3.240,0.0253961088099394
153,3.248,0.0316905185084912
154,3.255,0.0386980473149994
155,3.263,0.0612375576173446
156,3.270,0.029674823457678
157,3.278,0.027090281950807
158,3.285,0.0375191336451986
159,3.293,0.0198395506739553
160,3.300,0.0302601582168098
161,3.308,0.0399346700455597
162,3.316,0.0465506016540571
163,3.323,0.0313854849016197
164,3.331,0.0270573053446587
165,3.338,0.0199549687954742
166,3.346,0.0303425997321805
167,3.353,0.0184957539734131
168,3.361,0.0181412554573192
169,3.368,0.0111172383477368
170,3.376,0.0161667811641913
171,3.383,0.0132813281262173
172,3.391,0.0265173134189807
173,3.398,0.0277333257706983
174,3.406,0.0175476765466502
175,3.414,0.02216027933164
176,3.421,0.0165295238318223
177,3.429,0.0155525918746797
178,3.436,0.0266327315404997
179,3.444,0.022452946711206
180,3.451,0.0184916318976446
181,3.459,0.0200951193716044
182,3.466,0.028541252621331
183,3.474,0.0249550467027063
184,3.481,0.0307506852332654
185,3.489,0.0824868582041385
186,3.496,0.0825322010375924
187,3.504,0.0303632101110232
188,3.511,0.0194561976274816
189,3.519,0.0133885020961992
190,3.527,0.0253672542795597
191,3.534,0.0196787897189824
192,3.542,0.019142919869073
193,3.549,0.0174363805008998
194,3.557,0.0191016991113876
195,3.564,0.0210679292529785
196,3.572,0.0190604783537023
197,3.579,0.0289823147285642
198,3.587,0.0260680071602105
199,3.594,0.0174652350312795
200,3.602,0
201,3.609,0.0292791041838987
202,3.617,0.0165542562864335
203,3.625,0.0160678513457464
204,3.632,0.014390166507953
205,3.640,0.0286525486670815
206,3.647,0.000375108894936615
207,3.655,0.0126053077001777
208,3.662,0.0142005510226004
209,3.670,0.0193119249755829
210,3.677,0.00844613324972665
211,3.685,0.0071641676857125
212,3.692,0.0213441083294703
213,3.700,0.0165625004379706
214,3.707,0.0205279373273005
215,3.715,0.0221685234831771
216,3.722,0.0340071250904074
217,3.730,0.455720208666071
218,3.738,1.48943788159601
219,3.745,2.93273324703905
220,3.753,4.37894292005045
221,3.760,5.48215879043787
222,3.768,2.07364319196729
223,3.775,0.448123223024662
224,3.783,0.336641683864654
225,3.790,0.262246460394148
226,3.798,0.21884924670302
227,3.805,0.203412072949859
228,3.813,0.180171809766863
229,3.820,0.168531067796522
230,3.828,0.134103490977724
231,3.836,0.127137182928901
232,3.843,0.116102386096535
233,3.851,0.110277893035596
234,3.858,0.0983568499129954
235,3.866,0.101122762753682
236,3.873,0.108958828789665
237,3.881,0.113732192529628
238,3.888,0.0968275598028692
239,3.896,0.0879115099155296
240,3.903,0.0734801226498913
241,3.911,0.0776351750245738
242,3.918,0.0653307788554991
243,3.926,0.0940781352652568
244,3.933,0.0997624777500655
245,3.941,0.0665385470556796
246,3.949,0.0728865437392223
247,3.956,0.0763738198394023
248,3.964,0.0869675545645353
249,3.971,0.14339464976
250,3.979,0.106786494859648
251,3.986,0.066039775887687
252,3.994,0.0535416421574912
253,4.001,0.053215998171777
254,4.009,0.0828660891748437
255,4.016,0.0458498487734063
256,4.024,0.0579069203963689
257,4.031,0.0475769985204221
258,4.039,0.042028684535975
259,4.046,0.0513981627578534
260,4.054,0.0535416421574912
261,4.062,0.042869587992756
262,4.069,0.0413279316553242
263,4.077,0.0548978050853389
264,4.084,0.056410606892391
265,4.092,0.0790820236193293
266,4.099,0.0776928840853332
267,4.107,0.0568228144692444
268,4.114,0.0340854445300096
269,4.122,0.0421317364301884
270,4.129,0.0417772379140945
271,4.137,0.0483725591437492
272,4.144,0.0361588486415823
273,4.152,0.0387227797696106
274,4.160,0.0521071597900412
275,4.167,0.0581377566394068
276,4.175,0.0510519083932965
277,4.182,0.0561591602705104
278,4.190,0.0408332825631001
279,4.197,0.0263606745397764
280,4.205,0.0346501689102988
281,4.212,0.0346872675922156
282,4.220,0.0381539333135529
283,4.227,0.038834075815361
284,4.235,0.0214554043752207
285,4.242,0.0341019328330837
286,4.250,0.0321769234491782
287,4.257,0.0296995559122892
288,4.265,0.0370162404014374
289,4.273,0.0292914704112043
290,4.280,0.0233103384710611
291,4.288,0.0242501717462869
292,4.295,0.042560432310116
293,4.303,0.0403880983800984
294,4.310,0.0253425218249485
295,4.318,0.0338422420596661
296,4.325,0.0280136269229587
297,4.333,0.0330013386028851
298,4.340,0.018602927943395
299,4.348,0.0223292844381499
300,4.355,0.029382156078112
301,4.363,0.025833048841404
302,4.371,0.0411877810791941
303,4.378,0.0254496957949304
304,4.386,0.0275272219822716
305,4.393,0.0248890934904097
306,4.401,0.028471177333266
307,4.408,0.0572556324249405
308,4.416,0.111065209507386
309,4.423,0.184487623096518
310,4.431,0.0699804803224057
311,4.438,0.0349304700625591
312,4.446,0.0380343931162654
313,4.453,0.0400129894851618
314,4.461,0.0200003116289281
315,4.468,0.0272798974361596
316,4.476,0.0300952751860684
317,4.484,0.0296088702453814
318,4.491,0.0353426776394125
319,4.499,0.0333146163612937
320,4.506,0.032514933662198
321,4.514,0.0283433929844414
322,4.521,0.0292708600323616
323,4.529,0.0433889695395913
324,4.536,0.025709386568348
325,4.544,0.0420080741571324
326,4.551,0.029497574199631
327,4.559,0.0346171923041505
328,4.566,0.0373006636294663
329,4.574,0.037391349296374
330,4.582,0.0409610669119247
331,4.589,0.0405200048046915
332,4.597,0.042807756856228
333,4.604,0.051233279727112
334,4.612,0.0554336749352484
335,4.619,0.0408662591692484
336,4.627,0.0430715697054142
337,4.634,0.0375026453421245
338,4.642,0.0406848878354329
339,4.649,0.0350005453506242
340,4.657,0.0353426776394125
341,4.664,0.0356188567159043
342,4.672,0.0360393084442948
343,4.679,0.037506767417893
344,4.687,0.0427376815681629
345,4.695,0.028957582273953
346,4.702,0.0387392680726847
347,4.710,0.0291224653046944
348,4.717,0.036542201688056
349,4.725,0.0384342344658132
350,4.732,0.0422183000213276
351,4.740,0.0327334036779304
352,4.747,0.022576608984262
353,4.755,0.0297407766699745
354,4.762,0.0396832234236791
355,4.770,0.0449636024831714
356,4.777,0.0463197654110192
357,4.785,0.0519628871381426
358,4.793,0.0405983242442937
359,4.800,0.0477295153238579
360,4.808,0.0331744657851635
361,4.815,0.0454170308177102
362,4.823,0.0462620563502597
363,4.830,0.0534839330967317
364,4.838,0.0723630401166185
365,4.845,0.0755040618522416
366,4.853,0.0512868667121029
367,4.860,0.0357878618224142
368,4.868,0.0375603544028839
369,4.875,0.0481746995068596
370,4.883,0.0279724061652733
371,4.890,0.206899349050039
372,4.898,4.65822179752018
373,4.906,12.1128185756563
374,4.913,4.01463798570316
375,4.921,0.790102995009568
376,4.928,0.480238315337312
