#"+EI TIC Scan TCM-PEEK-2Day.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.105900839539565
1,2.102,0.110102916940133
2,2.110,0.102651850401569
3,2.117,0.108308641466061
4,2.125,0.101042790460304
5,2.132,0.0844544243032414
6,2.140,0.0793378452094369
7,2.148,0.0823244456759562
8,2.155,0.0771962906113513
9,2.163,0.0777287852681726
10,2.170,0.133189261373189
11,2.178,0.14647847585212
12,2.185,0.0850795267264663
13,2.193,0.0763859726553189
14,2.200,0.127586491505765
15,2.208,0.126482915622787
16,2.215,0.0762470610057134
17,2.223,0.0865419577042581
18,2.230,0.124183156090429
19,2.238,0.0699728848318627
20,2.245,0.0630928995194544
21,2.253,0.123940060703619
22,2.261,0.120031241229996
23,2.268,0.0708912451820327
24,2.276,0.062598991431968
25,2.283,0.0618002494467361
26,2.291,0.0605114580309513
27,2.298,0.0519722502371434
28,2.306,0.0739588774441553
29,2.313,0.127976215856047
30,2.321,0.0903002895574749
31,2.328,0.0673644327448251
32,2.336,0.0575750201045673
33,2.343,0.0472029502673528
34,2.351,0.0504287874637484
35,2.359,0.056440574966122
36,2.366,0.0580843628197876
37,2.374,0.0525433314632996
38,2.381,0.043452335728003
39,2.389,0.0688345810364839
40,2.396,0.299616993571439
41,2.404,0.330617443375078
42,2.411,0.0875799364193662
43,2.419,0.0755640787284861
44,2.426,0.0761235839838418
45,2.434,0.0562090555501127
46,2.441,0.042819515990911
47,2.449,0.0480016922525848
48,2.456,0.0444362932460423
49,2.464,0.164934431964991
50,2.472,0.34876470693327
51,2.479,0.171783548021931
52,2.487,0.141604992145125
53,2.494,0.0766830892391975
54,2.502,0.0633552881909316
55,2.509,0.0557035714918258
56,2.517,0.0429159824142482
57,2.524,0.046832519201738
58,2.532,0.0521613244268843
59,2.539,0.048557338851007
60,2.547,0.0404155727213483
61,2.554,0.0333966757593345
62,2.562,0.0485226109386056
63,2.570,0.0464620881361232
64,2.577,0.0580187656519184
65,2.585,0.0535465822660063
66,2.592,0.0535813101784077
67,2.600,0.0445327596693795
68,2.607,0.0530835434339878
69,2.615,0.0544263560468415
70,2.622,0.0449572119320631
71,2.630,0.0448260175963245
72,2.637,0.0525857766895679
73,2.645,0.0348591067371263
74,2.652,0.0454819892750174
75,2.660,0.0374289722548289
76,2.667,0.0437880388812164
77,2.675,0.0320692977742148
78,2.683,0.0382971700648636
79,2.690,0.0447527031145883
80,2.698,0.0389878696559579
81,2.705,0.0523079533903568
82,2.713,0.0514667661788565
83,2.720,0.0996498153073152
84,2.728,0.113726195800678
85,2.735,0.0575055642797645
86,2.743,0.0511966601935124
87,2.750,0.0455823143552881
88,2.758,0.055950525535569
89,2.765,0.0560971544990416
90,2.773,0.0608625958118987
91,2.781,0.0492634730698352
92,2.788,0.0458369857128983
93,2.796,0.0470524626469468
94,2.803,0.0562129142070462
95,2.811,0.0543144549957703
96,2.818,0.0590142991407581
97,2.826,0.20821698678792
98,2.833,0.199450118235036
99,2.841,0.069413379576507
100,2.848,0.0436992897717462
101,2.856,0.0530333808938525
102,2.863,0.0507953598724297
103,2.871,0.0466164344134627
104,2.878,0.0459373107931689
105,2.886,0.0545112464993782
106,2.894,0.0659135777378338
107,2.901,0.0561781862946448
108,2.909,0.0569692109660098
109,2.916,0.0528095787917102
110,2.924,0.0602490693594741
111,2.931,0.0615841646584608
112,2.939,0.0496146108507825
113,2.946,0.0432015230273263
114,2.954,0.336278093096504
115,2.961,7.23466148176362
116,2.969,36.2222428960486
117,2.976,76.2058312563791
118,2.984,100
119,2.992,3.94082703288614
120,2.999,0.129230279359431
121,3.007,0.085940007222634
122,3.014,0.0754328843927475
123,3.022,0.0724964464663635
124,3.029,0.0570888293309479
125,3.037,0.0797430041874531
126,3.044,0.0838061699384155
127,3.052,0.0555762358130208
128,3.059,0.059045168396226
129,3.067,0.0797545801582536
130,3.074,0.049483416515044
131,3.082,0.0559119389662342
132,3.089,0.0590490270531595
133,3.097,0.0423140319326241
134,3.105,0.0501393881937368
135,3.112,0.0538514161637518
136,3.120,0.0754753296190159
137,3.127,0.1001089954824
138,3.135,0.0731678527727904
139,3.142,0.0377916860065768
140,3.150,0.0467592047200018
141,3.157,0.0588715288342191
142,3.165,0.0627417617385071
143,3.172,0.0477007170117727
144,3.180,0.053338214791598
145,3.187,0.0452697631436756
146,3.195,0.050093084310535
147,3.202,0.0404387246629492
148,3.210,0.0482062010700596
149,3.218,0.0342147110292338
150,3.225,0.047615826559236
151,3.233,0.0218824434698077
152,3.240,0.0310467536868406
153,3.248,0.0410175232029723
154,3.255,0.105638450868088
155,3.263,0.187160295901879
156,3.270,0.0989166704899526
157,3.278,0.0472955580337565
158,3.285,0.0396322653638503
159,3.293,0.0402187812177404
160,3.300,0.0311084921977764
161,3.308,0.0502860171572094
162,3.316,0.0586554440459438
163,3.323,0.0272845631766903
164,3.331,0.0175568890473682
165,3.338,0.0245603513816481
166,3.346,0.0243365492795058
167,3.353,0.0291405771616978
168,3.361,0.0336436298030777
169,3.368,0.0289553616288904
170,3.376,0.0261809872937128
171,3.383,0.0281952062129933
172,3.391,0.0369890853644114
173,3.398,0.0182167193829946
174,3.406,0.0266208741841304
175,3.413,0.019027037339027
176,3.421,0.0251391499216712
177,3.429,0.0268716868848071
178,3.436,0.0312628384751159
179,3.444,0.0484647310846033
180,3.451,0.272274550540746
181,3.459,0.591165535494956
182,3.466,0.253996092646816
183,3.474,0.0542102712585662
184,3.481,0.0599480941186621
185,3.489,0.113622012063474
186,3.496,0.0546154302365824
187,3.504,0.040650950794291
188,3.511,0.0349864424159313
189,3.519,0.0362983857733171
190,3.527,0.0288396019208857
191,3.534,0.0351446473502043
192,3.542,0.0293335100083721
193,3.549,0.0722572097364873
194,3.557,0.13004831462933
195,3.564,0.0774239513704271
196,3.572,0.0190617652514284
197,3.579,0.0193087192951716
198,3.587,0.0292717714974363
199,3.594,0.0226696094842392
200,3.602,0.0238387825350859
201,3.609,0.0239622595569575
202,3.617,0.0191505143608986
203,3.624,0.0163298361425192
204,3.632,0.0326558136281049
205,3.640,0.0258491427974329
206,3.647,0.0220329310902137
207,3.655,0.0269141321110755
208,3.662,0.0200534400833346
209,3.670,0.0246259485495174
210,3.677,0.0269758706220113
211,3.685,0.0254980050164855
212,3.692,0.0195942599082496
213,3.700,0.0264703865637244
214,3.707,0.0481328865883233
215,3.715,0.0282453687531286
216,3.722,0.015608267295957
217,3.730,0.0173369456021594
218,3.738,0.015916959850636
219,3.745,0.0272266833226879
220,3.753,0.0309850151759048
221,3.760,0.0212341891049818
222,3.768,0.0257951216003641
223,3.775,0.0227583585937094
224,3.783,0.0181858501275267
225,3.790,0.0290171001398262
226,3.798,0.0298428527235925
227,3.805,0.0128956314717153
228,3.813,0.0231017790607898
229,3.820,0.0215197297180599
230,3.828,0.0117650449902034
231,3.835,0.0153883238507482
232,3.843,0.0298852979498608
233,3.851,0.0150950659238032
234,3.858,0.0235918284913427
235,3.866,0.0259147399653022
236,3.873,0.0203659912949471
237,3.881,0.0179929172808523
238,3.888,0.0274389094540298
239,3.896,0.0210451149152409
240,3.903,0.0198334966381259
241,3.911,0.0193704578061074
242,3.918,0.0283379765195323
243,3.926,0.0184366628282034
244,3.933,0.0234606341556041
245,3.941,0.0121431933696852
246,3.948,0.023341015790666
247,3.956,0.0226464575426383
248,3.964,0.0455668797275541
249,3.971,0.0788593717496845
250,3.979,0.0430240248083859
251,3.986,0.0141033910918969
252,3.994,0.0162680976315834
253,4.001,0.0214194046377892
254,4.009,0.0161330446389113
255,4.016,0.0321156016574166
256,4.024,0.0226271642579708
257,4.031,0.0218091289880715
258,4.039,0.029379813891574
259,4.046,0.0203659912949471
260,4.054,0.0195672493097152
261,4.062,0.0236381323745446
262,4.069,0.0105765786546893
263,4.077,0.0239815528416249
264,4.084,0.0422484347647549
265,4.092,0.214251926231895
266,4.099,0.356856310522793
267,4.107,0.171112141715504
268,4.114,0.0413300744145848
269,4.122,0.0135284512088072
270,4.129,0.0251005633523363
271,4.137,0.0152802814566106
272,4.144,0.00944599217317745
273,4.152,0.029688506446253
274,4.159,0.0102408755014759
275,4.167,0.0199878429154654
276,4.175,0.0246645351188522
277,4.182,0.0159285358214365
278,4.190,0.0154886489310189
279,4.197,0.00828067777926422
280,4.205,0.0183054684924648
281,4.212,0.0234953620680055
282,4.220,0.0211415813385781
283,4.227,0.0139683380992248
284,4.235,0.0135477444934747
285,4.242,0.0249577930457973
286,4.250,0.292173644346742
287,4.257,1.15564459963791
288,4.265,0.734402739522946
289,4.273,0.139830009955721
290,4.280,0.0301631212490719
291,4.288,0.0314519126648568
292,4.295,0.0287508528114155
293,4.303,0.0227660759075764
294,4.310,0.0277128740963074
295,4.318,0.0260304996733068
296,4.325,0.0249423584180633
297,4.333,0.0240085634401594
298,4.340,0.0145278433545805
299,4.348,0.0244523089875104
300,4.355,0.0234876447541385
301,4.363,0.0148133839676586
302,4.370,0.0251584432063386
303,4.378,0.0277244500671078
304,4.386,0.0212959276159176
305,4.393,0.00760927147283739
306,4.401,0.0162680976315834
307,4.408,0.0218901607836747
308,4.416,0.0986658577892759
309,4.423,0.110662422195489
310,4.431,0.0428233746478445
311,4.438,0.0211029947692432
312,4.446,0.0332307535111945
313,4.453,0.0249037718487285
314,4.461,0.0132390519387957
315,4.468,0.0188804083755544
316,4.476,0.011278854216584
317,4.484,0.0143194758801722
318,4.491,0.0164378785366568
319,4.499,0.0240664432941617
320,4.506,0.0170552636460148
