#"+EI TIC Scan TCM-PEEK-2Day.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.112547808040279
1,2.102,0.119473450500684
2,2.110,0.103529789500848
3,2.117,0.0990676853479142
4,2.125,0.108583305995808
5,2.133,0.0940631133226398
6,2.140,0.0987780972356123
7,2.148,0.103048502215614
8,2.155,0.0850206225483664
9,2.163,0.0801220968740758
10,2.170,0.137089380881417
11,2.178,0.13627771842581
12,2.185,0.0895520647000208
13,2.193,0.0837603024539819
14,2.200,0.133418545655055
15,2.208,0.130579766413334
16,2.215,0.0968692629179037
17,2.223,0.0882835871940221
18,2.230,0.115549735514283
19,2.238,0.0897927083426379
20,2.246,0.0832015197584134
21,2.253,0.106556189209694
22,2.261,0.119913950727847
23,2.268,0.072401106781293
24,2.276,0.0798936893488799
25,2.283,0.0676127061637932
26,2.291,0.0633382224779843
27,2.298,0.0658547839609462
28,2.306,0.0725601763077687
29,2.313,0.125183638630581
30,2.321,0.095425401062201
31,2.328,0.0694685173060099
32,2.336,0.0687057993200879
33,2.344,0.0520809944504721
34,2.351,0.0607196933498456
35,2.359,0.0509471142361067
36,2.366,0.0617108188609635
37,2.374,0.0567551913053739
38,2.381,0.0610296749911829
39,2.389,0.0712590691553135
40,2.396,0.303288485107891
41,2.404,0.335375663692107
42,2.411,0.10071548249397
43,2.419,0.0777278965653259
44,2.426,0.0990472918188789
45,2.434,0.0476474412381874
46,2.441,0.051901531394961
47,2.449,0.0595531834890237
48,2.457,0.0560251029659084
49,2.464,0.191038422591527
50,2.472,0.340441416304488
51,2.479,0.169009332527544
52,2.487,0.148199775499875
53,2.494,0.100022102506769
54,2.502,0.0657568950215766
55,2.509,0.0566736171892325
56,2.517,0.058814937737944
57,2.524,0.0620779023835997
58,2.532,0.0618698883874392
59,2.539,0.0697295544776624
60,2.547,0.0529416013757638
61,2.555,0.0558660334394327
62,2.562,0.0615843789809443
63,2.570,0.0688730262581777
64,2.577,0.06262037025594
65,2.585,0.0593247759638277
66,2.592,0.0473415383026572
67,2.600,0.0578931502255463
68,2.607,0.0603322162981739
69,2.615,0.0677309886321983
70,2.622,0.0427489155638968
71,2.630,0.056233116962069
72,2.637,0.0601282810078205
73,2.645,0.0490668308590476
74,2.652,0.0520483648040155
75,2.660,0.0575994834074373
76,2.668,0.0427407581522826
77,2.675,0.0390576868084988
78,2.683,0.0418556789921485
79,2.690,0.0584967986849926
80,2.698,0.0574200203519262
81,2.705,0.0593003037289853
82,2.713,0.0500334841353231
83,2.720,0.124314874293675
84,2.728,0.10405594254996
85,2.735,0.0727600328923151
86,2.743,0.0584356180978866
87,2.750,0.0539979861797948
88,2.758,0.0464197507902594
89,2.766,0.0669437984114338
90,2.773,0.0766266459974171
91,2.781,0.0547974125179805
92,2.788,0.050318993541818
93,2.796,0.054299810409518
94,2.803,0.0718260092624962
95,2.811,0.0580848493984786
96,2.818,0.0655774319660655
97,2.826,0.178553504116087
98,2.833,0.185532169751983
99,2.841,0.077964461502136
100,2.848,0.0500334841353231
101,2.856,0.0553480378019349
102,2.863,0.0560822048472074
103,2.871,0.0550176626315622
104,2.879,0.0578849928139322
105,2.886,0.0665196130074986
106,2.894,0.0571018812989748
107,2.901,0.060279193122682
108,2.909,0.0671110253495237
109,2.916,0.0700884805886845
110,2.924,0.0732005331194786
111,2.931,0.0756436778979133
112,2.939,0.0490342012125911
