#"+EI TIC Scan TCM-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.18628281288256
1,2.102,0.167212391916236
2,2.110,0.182465707233637
3,2.117,0.163747789427504
4,2.125,0.156093435091931
5,2.132,0.152024541471443
6,2.140,0.157750199944828
7,2.147,0.144893906116725
8,2.155,0.144848584281844
9,2.163,0.145170872885447
10,2.170,0.212181723637724
11,2.178,0.188750335003896
12,2.185,0.129539875610699
13,2.193,0.124650153202909
14,2.200,0.163682324554897
15,2.208,0.164845584983527
16,2.215,0.125904057301302
17,2.223,0.126931352225287
18,2.230,0.14844411651579
19,2.238,0.125027835160257
20,2.245,0.119815824148863
21,2.253,0.171492787432839
22,2.261,0.155766110728897
23,2.268,0.102789921511646
24,2.276,0.102366917719417
25,2.283,0.107735037273181
26,2.291,0.0981167367594022
27,2.298,0.104935155029379
28,2.306,0.112564330567795
29,2.313,0.190417171375656
30,2.321,0.143735681447527
31,2.328,0.106924280004742
32,2.336,0.0974620880333335
33,2.343,0.0800685749576316
34,2.351,0.0889768333915971
35,2.358,0.0684359706713342
36,2.366,0.0904019533106543
37,2.374,0.0647951166025061
38,2.381,0.0830749233381163
39,2.389,0.10094179780036
40,2.396,0.33398667276195
41,2.404,0.406244784841639
42,2.411,0.135446821423611
43,2.419,0.102452525629749
44,2.426,0.119866181743176
45,2.434,0.0807030806459751
46,2.441,0.0764831142425478
47,2.449,0.0636318561738763
48,2.456,0.0877078220149101
49,2.464,0.221588522255388
50,2.472,0.405710994341921
51,2.479,0.19668165610819
52,2.487,0.169025265311504
53,2.494,0.116089362169703
54,2.502,0.0844597571817231
55,2.509,0.0767600810112691
56,2.517,0.0835835350406774
57,2.524,0.060902474562113
58,2.532,0.0754004259648188
59,2.539,0.0840015030734751
60,2.547,0.0809447970986774
61,2.554,0.0769464041102271
62,2.562,0.0714423190518189
63,2.569,0.081851233796311
64,2.577,0.066064127979193
65,2.585,0.0532984778208537
66,2.592,0.067297889039861
67,2.600,0.0815339809521392
68,2.607,0.0733710149140058
69,2.615,0.0750177082480402
70,2.622,0.0737033750364715
71,2.630,0.0713617469009181
72,2.637,0.0754004259648188
73,2.645,0.058127771115468
74,2.652,0.0754709265968569
75,2.660,0.0713969972169372
76,2.667,0.0675647842897197
77,2.675,0.0665123105685785
78,2.683,0.0574680866299681
79,2.690,0.065877804880235
80,2.698,0.0725602576455669
81,2.705,0.0776363031523149
82,2.713,0.0794592480664446
83,2.720,0.14328246309871
84,2.728,0.114880779906192
85,2.735,0.0937658406107611
86,2.743,0.0789002787695706
87,2.750,0.0762212547521203
88,2.758,0.0609326891187008
89,2.765,0.0710747086133341
90,2.773,0.0924565431586237
91,2.780,0.0664619529742656
92,2.788,0.0583795590870329
93,2.796,0.0608017593734871
94,2.803,0.0767399379735439
95,2.811,0.0804966145092919
96,2.818,0.0720415744241433
97,2.826,0.186997890721805
98,2.833,0.229660844623758
99,2.841,0.0884480786513108
100,2.848,0.0740407709183684
101,2.856,0.0540286629383918
102,2.863,0.0512841740483346
103,2.871,0.0532229414293842
104,2.878,0.0627858485894183
105,2.886,0.0903062738814596
106,2.893,0.0765183645585668
107,2.901,0.0767449737329752
108,2.909,0.0741717006635822
109,2.916,0.0654749441257312
110,2.924,0.0717847506931471
111,2.931,0.0686323652891548
112,2.939,0.0566522936020979
113,2.946,0.059497497680781
114,2.954,0.262786070162833
115,2.961,6.74949886640019
116,2.969,39.2609710817486
117,2.976,90.6124681979203
118,2.984,100
119,2.991,2.63041383166
120,2.999,0.162468706531954
121,3.007,0.106778242981234
122,3.014,0.105071120534024
123,3.022,0.087249567906662
124,3.029,0.0776866607466279
125,3.037,0.0980059500519136
126,3.044,0.100287149074291
127,3.052,0.0705862399484983
128,3.059,0.065555516276632
129,3.067,0.0804764714715667
130,3.074,0.06865250832688
131,3.082,0.0519488942932659
132,3.089,0.0699618057790174
133,3.097,0.06706120834659
134,3.104,0.054894813560575
135,3.112,0.0606154362745291
136,3.120,0.0652785495079106
137,3.127,0.11623036343378
138,3.135,0.0863431312090284
139,3.142,0.0445463279292585
140,3.150,0.0498993402047278
141,3.157,0.0733256930791242
142,3.165,0.0781046287794256
143,3.172,0.0483432905404568
144,3.180,0.0596082843882695
145,3.187,0.0425723102321898
146,3.195,0.0485749354742965
147,3.202,0.0441384314153234
148,3.210,0.0560933243052238
149,3.218,0.061849197335197
150,3.225,0.0627103121979489
151,3.233,0.05475884805593
152,3.240,0.0393343169178655
153,3.248,0.0421996640342738
154,3.255,0.0596787850203077
155,3.263,0.0576896600449452
156,3.270,0.0567882591067429
157,3.278,0.0481217171254797
158,3.285,0.0613859074675176
159,3.293,0.0473260671353347
160,3.300,0.0587270264877925
161,3.308,0.0662806656347388
162,3.315,0.0771427987280477
163,3.323,0.0405630422191021
164,3.331,0.0375063362443044
165,3.338,0.0577148388421016
166,3.346,0.0544869170466399
167,3.353,0.0463793443622508
168,3.361,0.0563098619607696
169,3.368,0.0448635807734302
170,3.376,0.0524826847929835
171,3.383,0.0384278802202319
172,3.391,0.0455836943721058
173,3.398,0.0444909345755142
174,3.406,0.0422953434634684
175,3.413,0.0364135764477129
176,3.421,0.0393242453990029
177,3.429,0.0358495713914075
178,3.436,0.0273240306742207
179,3.444,0.0473663532107851
180,3.451,0.255801471831624
181,3.459,0.604054451062439
182,3.466,0.346505570708156
183,3.474,0.0810505480467347
184,3.481,0.0674036399879182
185,3.489,0.128975870554394
186,3.496,0.0952916757184442
187,3.504,0.0544516667306208
188,3.511,0.0408299374689608
189,3.519,0.0318159280869382
190,3.526,0.0475828908663309
191,3.534,0.0397573207100945
192,3.542,0.0417816960014761
193,3.549,0.0824958110035171
194,3.557,0.154955353460458
195,3.564,0.0851597277426735
196,3.572,0.0341474847036289
197,3.579,0.0243630041286177
198,3.587,0.0393544599555906
199,3.594,0.0258082670854001
200,3.602,0.0147245605771141
201,3.609,0.0270269208677742
202,3.617,0.031795785049213
203,3.624,0.0234968535064345
204,3.632,0.029731123682381
205,3.639,0.030003054691671
206,3.647,0.0252593693073887
207,3.655,0.027379424027965
208,3.662,0.0323094325112053
209,3.670,0.0240507870438773
210,3.677,0.0180884478772209
211,3.685,0.013148367875118
212,3.692,0.0246298993784765
213,3.700,0.0249924740575299
214,3.707,0.051747463916014
215,3.715,0.0358445356319762
216,3.722,0.0224745943418811
217,3.730,0.0227868114266216
218,3.737,0.0301843420311977
219,3.745,0.0260147332220833
220,3.753,0.0201380019657591
221,3.760,0.0201833238006407
222,3.768,0.0214674424556216
223,3.775,0.0341474847036289
224,3.783,0.0212106187246254
225,3.790,0.0300735553237092
226,3.798,0.0316396765068427
227,3.805,0.01071106031037
228,3.813,0.0115721751731219
229,3.820,0.0283966474330871
230,3.828,0.0291822259043695
231,3.835,0.0234263528743964
232,3.843,0.0256672658213238
233,3.850,0.0278225708579192
234,3.858,0.0236126759733544
235,3.866,0.028074358829484
236,3.873,0.0239651791335452
237,3.881,0.0312468872712015
238,3.888,0.0250579389301368
239,3.896,0.0226558816814078
240,3.903,0.0189495627399728
241,3.911,0.0283261468010489
242,3.918,0.0157669627793927
243,3.926,0.0212307617623506
244,3.933,0.0188438117919156
245,3.941,0.0208732228427285
246,3.948,0.0339712331235335
247,3.956,0.0267902401745032
248,3.964,0.0418723396712394
249,3.971,0.0935241241580588
250,3.979,0.0465002025886019
251,3.986,0.0142763779877287
252,3.994,0.0219005177667132
253,4.001,0.0294692641919535
254,4.009,0.0291419398289191
255,4.016,0.0296555872909115
256,4.024,0.0260499835381024
257,4.031,0.0133497982523699
258,4.039,0.0222479851674727
259,4.046,0.0138030166011867
260,4.054,0.0147195248176828
261,4.061,0.0142461634311409
262,4.069,0.0283261468010489
263,4.077,0.0221825202948659
264,4.084,0.0294843714702474
265,4.092,0.0278779642116634
266,4.099,0.0168395795382591
267,4.107,0.0203041820269919
268,4.114,0.0244032902040681
269,4.122,0.0246903284916521
270,4.129,0.00996073215510663
271,4.137,0.016854686816553
272,4.144,0.0157820700576866
273,4.152,0.0513043170860598
274,4.159,0.0193322804567514
275,4.167,0.033910804010358
276,4.175,0.0249521879820795
277,4.182,0.0299678043756519
278,4.190,0.0168647583354156
279,4.197,0.0211501896114499
280,4.205,0.00808742964666393
281,4.212,0.0282908964850298
282,4.220,0.0397976067855448
283,4.227,0.0338302318594572
284,4.235,0.0224544513041559
285,4.242,0.034605738811877
286,4.250,0.251002393093597
287,4.257,1.09922067594193
288,4.265,0.855590634655754
289,4.272,0.160580296745217
290,4.280,0.0347114897599343
291,4.288,0.0240810016004651
292,4.295,0.0166230418827133
293,4.303,0.0178316241462248
294,4.310,0.0317706062520565
295,4.318,0.0292124404609573
296,4.325,0.0150669922184424
297,4.333,0.0177158016793049
298,4.340,0.0216487297951483
299,4.348,0.0279585363625642
300,4.355,0.00203444681024423
301,4.363,0.0100614473437326
302,4.370,0.0174589779483087
