#"+EI TIC Scan TCM-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.138286039209865
1,2.102,0.112082836953062
2,2.110,0.10408191851916
3,2.117,0.101022286445554
4,2.125,0.109975695169206
5,2.132,0.105936358797572
6,2.140,0.0938766654146927
7,2.147,0.0783802315577761
8,2.155,0.0855141894422322
9,2.162,0.0837141771803776
10,2.170,0.0954395270329768
11,2.178,0.085016561862281
12,2.185,0.0795348830518815
13,2.193,0.088445526905382
14,2.200,0.0720782447835509
15,2.208,0.0753672520697906
16,2.215,0.065558545943097
17,2.223,0.0677473297517884
18,2.230,0.0854753122875485
19,2.238,0.0682255187543977
20,2.245,0.0619118688337674
21,2.253,0.0684587816824998
22,2.260,0.052009857535833
23,2.268,0.0510379286687409
24,2.276,0.0568461755784833
25,2.283,0.053677687471763
26,2.291,0.0721287850846396
27,2.298,0.0411475805172116
28,2.306,0.0399890413076378
29,2.313,0.0508241043179806
30,2.321,0.0506219431136254
31,2.328,0.0566401266586598
32,2.336,0.149933634753097
33,2.343,0.109781309395788
34,2.351,0.0931185608983608
35,2.358,0.0673430073430781
36,2.366,0.0617408093531592
37,2.373,0.0541247747506254
38,2.381,0.0644855364738273
39,2.389,0.0532033861846221
40,2.396,0.15948186394341
41,2.404,0.365355836570861
42,2.411,0.147247223364455
43,2.419,0.0552638753828574
44,2.426,0.0444793526736033
45,2.434,0.048433159304934
46,2.441,0.0642639366921303
47,2.449,0.0554038331397186
48,2.456,0.0580124902189938
49,2.464,0.0595131483897841
50,2.471,0.0470102554435112
51,2.479,0.0646915853936508
52,2.487,0.0633969761426841
53,2.494,0.0365872902728154
54,2.502,0.0385816883080884
55,2.509,0.0493351092935955
56,2.517,0.0337842474201217
57,2.524,0.0431808557071683
58,2.532,0.0419717761965057
59,2.539,0.0555399031811115
60,2.547,0.0456573304605189
61,2.554,0.0340797137957177
62,2.562,0.0454707201180373
63,2.569,0.0863306096905895
64,2.577,0.204762086003497
65,2.584,0.0953073447070523
66,2.592,0.051197325002944
67,2.600,0.0380685098662638
68,2.607,0.0627244013666564
69,2.615,0.0499493683375977
70,2.622,0.0368866443638797
71,2.630,0.0490396429179995
72,2.637,0.0383678639573281
73,2.645,0.0475234338853358
74,2.652,0.0388382775290007
75,2.660,0.0408054615559951
76,2.667,0.0352849055909119
77,2.675,0.0476983810814124
78,2.682,0.0372870790571217
79,2.690,0.05370878919551
80,2.697,0.0463260175210783
81,2.705,0.0327034625199153
82,2.713,0.0456923198997343
83,2.720,0.0468042065236876
84,2.728,0.0682605081936131
85,2.735,0.0645555153522579
86,2.743,0.0698700223975176
87,2.750,0.0417190746910617
88,2.758,0.038091836159074
89,2.765,0.0556370960678207
90,2.773,0.086050694176867
91,2.780,0.0570405613519017
92,2.788,0.0409687456056666
93,2.795,0.0575187503545111
94,2.803,0.0600224391161403
95,2.811,0.0577364624207397
96,2.818,0.0394136594183192
97,2.826,0.0350477549473415
98,2.833,0.0477450336670328
99,2.841,0.038535035722468
100,2.848,0.0379479906867443
101,2.856,0.0565856986421026
102,2.863,0.0723426094353999
103,2.871,0.0465359541563702
104,2.878,0.0580358165118041
105,2.886,0.0635447093304821
106,2.893,0.0531217441597863
107,2.901,0.0674090985060404
108,2.908,0.0504469959175489
109,2.916,0.0526241165798352
110,2.924,0.0598552673510005
111,2.931,0.0510962444007664
112,2.939,0.0431730802762315
113,2.946,0.0392698139459896
114,2.954,0.108245661785782
115,2.961,3.00718679193767
116,2.969,26.7037767250795
117,2.976,73.7254426134903
118,2.984,100
119,2.991,5.07575855063168
120,2.999,0.140641994783697
121,3.006,0.0892891611620179
122,3.014,0.0879790010491778
123,3.022,0.0814865162170025
124,3.029,0.0595170361052524
125,3.037,0.0627555030904033
126,3.044,0.0746285861308005
127,3.052,0.0609399399666753
128,3.059,0.0651075709487662
129,3.067,0.0640151229021547
130,3.074,0.0478694405620206
131,3.082,0.0348378183120496
132,3.089,0.0477022687968807
133,3.097,0.0421894882627343
134,3.104,0.0320075614510774
135,3.112,0.0352615792981017
136,3.119,0.057371017166713
137,3.127,0.0632103658002025
138,3.135,0.0664954853709738
139,3.142,0.0364784342397011
140,3.150,0.0183266907178888
141,3.157,0.0443549457786155
142,3.165,0.0526280042953036
143,3.172,0.0382279062004669
144,3.180,0.0476322899184501
145,3.187,0.0407315949620961
146,3.195,0.0149754799841552
147,3.202,0.024617014345709
148,3.210,0.0200644995322495
149,3.217,0.041901797318075
150,3.225,0.0362296204497255
151,3.233,0.0317742985229753
152,3.240,0.0402728445368287
153,3.248,0.0407043809538176
154,3.255,0.0385661374462149
155,3.263,0.0556954117998463
156,3.270,0.0213435579213427
157,3.278,0.0233029665174004
158,3.285,0.0342429978453892
159,3.293,0.0211025195623039
160,3.300,0.0230075001418044
161,3.308,0.0332360795390818
162,3.315,0.049615024807318
163,3.323,0.0297799004877022
164,3.330,0.013875256506607
165,3.338,0.0228053389374493
166,3.346,0.0191469986817146
167,3.353,0.0124562403606525
168,3.361,0.0163711698372995
169,3.368,0.0212891299047856
170,3.376,0.0259427253204226
171,3.383,0.0216856768825592
172,3.391,0.0215029542555458
173,3.398,0.0155197601497268
174,3.406,0.00331622129451828
175,3.413,0
176,3.421,0.0116592586896369
177,3.428,0.0237150643570475
178,3.436,0.0147772064952684
179,3.444,0.0277349621513404
180,3.451,0.0337725842737166
181,3.459,0.0154614444177013
182,3.466,0.0202433344437945
183,3.474,0.0186882482564471
184,3.481,0.0402806199677654
185,3.489,0.0835470054152378
186,3.496,0.0702238045051391
187,3.504,0.0179962349030775
188,3.511,0.0281664985683293
189,3.519,0.00653524970232735
190,3.526,0.0219811432581552
191,3.534,0.013875256506607
192,3.541,0.00239872044398333
193,3.549,0.0229647352716524
194,3.557,0.0175141581849998
195,3.564,0.0202783238830098
196,3.572,0.0313583129678598
197,3.579,0.0211336212860508
198,3.587,0.0204999236647068
199,3.594,0.0173547618507967
200,3.602,0.0161184683318555
201,3.609,0.0186377079553583
202,3.617,0.0159590719976524
203,3.624,0.0195474333749565
204,3.632,0.00867349320992999
205,3.639,0.0100691830630743
206,3.647,0.00261254479474359
207,3.654,0.0209197969352906
208,3.662,0.0220161326973705
209,3.670,0.0134825972443017
210,3.677,0.0171759269392518
211,3.685,0.0212074878799498
212,3.692,0.0189059603226757
213,3.700,0.0113715677449777
214,3.707,0.0104851686181897
215,3.715,0.0304097103935779
216,3.722,0.013696421595062
217,3.730,0.0142329263296969
218,3.737,0.0242710076690242
219,3.745,0.0296166164380308
220,3.752,0.0129033276395148
221,3.760,0.00788039925438283
222,3.768,0.0187621148503461
223,3.775,0.021526280548356
224,3.783,0.0197923594494637
225,3.790,0.0159551842821841
226,3.798,0.00848299515197993
227,3.805,0.0180078980494826
228,3.813,0.0138130530591131
229,3.820,0.0276377692646312
230,3.828,0.0229375212633738
231,3.835,0.0124562403606525
232,3.843,0.016091254323577
233,3.850,0.0155625250198789
234,3.858,0.00930719083127404
235,3.865,0.0297332479020818
236,3.873,0.0316926564981395
237,3.881,0.047472893584247
238,3.888,0.0375242297006922
239,3.896,0.0108933787423684
240,3.903,0.0100925093558845
241,3.911,0.00740221025177351
242,3.918,0.0176813299501397
243,3.926,0.0105395966347468
244,3.933,0.0200528363858444
245,3.941,0.0205582393967323
246,3.948,0.0257016869613837
247,3.956,0.0226420548877778
248,3.963,0.0358097471791417
249,3.971,0.0695939945992634
