#"+EI TIC Scan TCM-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.136004621431224
1,2.102,0.108569580429283
2,2.110,0.118887906308128
3,2.117,0.0983085558444905
4,2.125,0.122714814160852
5,2.133,0.107382625052502
6,2.140,0.09963057855725
7,2.148,0.0800048853446128
8,2.155,0.116673620587995
9,2.163,0.706696859537092
10,2.170,1.4083266475002
11,2.178,0.419429100658646
12,2.185,0.184555189291141
13,2.193,0.13258700853601
14,2.200,0.105016900198091
15,2.208,0.0989634277765076
16,2.215,0.117189332234458
17,2.223,0.0966181676699714
18,2.230,0.0870161079667708
19,2.238,0.0886942172925646
20,2.246,0.0766036442476991
21,2.253,0.0868728547316421
22,2.261,0.0742338264437123
23,2.268,0.0620409296594691
24,2.276,0.0529545816027319
25,2.283,0.0515752575959209
26,2.291,0.0745367047122702
27,2.298,0.0595237656707784
28,2.306,0.0552507263143669
29,2.313,0.0534621073500452
30,2.321,0.0522833378724144
31,2.328,0.0773813046669694
32,2.336,0.14677317176333
33,2.344,0.11762318488942
34,2.351,0.0745407976618453
35,2.359,0.0658350939155931
36,2.366,0.0502409560344361
37,2.374,0.0570270664299632
38,2.381,0.0476746766508441
39,2.389,0.0623970162725033
40,2.396,0.177265646097876
41,2.404,0.354113811339091
42,2.411,0.133859915853868
43,2.419,0.0465613943664151
44,2.426,0.0485260101624664
45,2.434,0.0388420914677636
46,2.441,0.0454276473341105
47,2.449,0.0438641405964197
48,2.457,0.0450551889227758
49,2.464,0.0510513600503073
50,2.472,0.0534580144004701
51,2.479,0.0454276473341105
52,2.487,0.0922059680280063
53,2.494,0.380828493215813
54,2.502,0.374009639223685
55,2.509,0.26229667352072
56,2.517,0.212137576477786
57,2.524,0.188087404774458
58,2.532,0.177977819323945
59,2.539,0.155253763282952
60,2.547,0.139049775915104
61,2.554,0.108287166908601
62,2.562,0.108258516261575
63,2.570,0.165007262120431
64,2.577,0.258113679054961
65,2.585,0.145655796529326
66,2.592,0.104063242947091
67,2.600,0.100125825455838
68,2.607,0.108324003454777
69,2.615,0.0911745447350793
70,2.622,0.0717657778499228
71,2.630,0.0611445737025207
72,2.637,0.0780648272460122
73,2.645,0.0967204914093491
74,2.652,0.280182863163937
75,2.660,0.203325456042581
76,2.668,0.108491814387356
77,2.675,0.0853871140358783
78,2.683,0.159146158328878
79,2.690,0.133659361324688
80,2.698,0.0978214948450528
81,2.705,0.0559506206917101
82,2.713,0.0611159230554949
83,2.720,0.0758587274250297
84,2.728,0.0919112756585986
85,2.735,0.0879370216211699
86,2.743,0.0748109323338023
87,2.750,0.0534784791483456
88,2.758,0.0470484553658528
89,2.765,0.0634529972628809
90,2.773,0.0786010036403512
91,2.781,0.0629823080617436
92,2.788,0.0591676790577441
93,2.796,0.0873640086806549
94,2.803,0.0598184580401861
95,2.811,0.0592127015030702
96,2.818,0.049471481514316
97,2.826,0.0332306576002922
98,2.833,0.0676032481320392
99,2.841,0.0401886718779738
100,2.848,0.0463240032910589
101,2.856,0.0488657249772002
102,2.863,0.0642429365308765
103,2.871,0.0452025351074796
104,2.879,0.0614228942736279
105,2.886,0.0728790601343519
106,2.894,0.0750810670057594
107,2.901,0.0676400846782152
108,2.909,0.046786506593046
109,2.916,0.0678488251065456
110,2.924,0.0666127543348634
111,2.931,0.0611773172991215
112,2.939,0.0428572750009434
113,2.946,0.0522587801749638
114,2.954,0.113902693725647
115,2.961,3.43752100194751
116,2.969,28.0804050120951
117,2.976,75.3253751658975
118,2.984,100
119,2.992,3.93337775002212
120,2.999,0.110292712200403
121,3.007,0.0796610775803039
122,3.014,0.0748968842748795
123,3.022,0.0503555586225391
124,3.029,0.0418504094054672
125,3.037,0.0535767099381482
126,3.044,0.0629986798600441
127,3.052,0.055717322565929
128,3.059,0.0622414841886493
129,3.067,0.0536913125262512
130,3.074,0.0359156325215623
131,3.082,0.0270707684897565
132,3.090,0.0433115924037803
133,3.097,0.0289207816977047
134,3.105,0.0259615791549025
135,3.112,0.022073277058551
136,3.120,0.0282740956648379
137,3.127,0.0696865594657686
138,3.135,0.0438805123947201
139,3.142,0.0204811196738345
140,3.150,0.019236863003002
141,3.157,0.0328254555923566
142,3.165,0.0423088197578791
143,3.172,0.0284255347991168
144,3.180,0.0232193029395809
145,3.187,0.0367383153861587
146,3.195,0.0222451809407055
147,3.203,0.0259615791549025
148,3.210,0.0272590441702114
149,3.218,0.0255932136931429
150,3.225,0.0258224188693489
151,3.233,0.0263381305158123
152,3.240,0.0306848429645758
153,3.248,0.0181563243151738
154,3.255,0.0334844204739488
155,3.263,0.0469543175256253
156,3.270,0.0224866649656368
157,3.278,0.0199040137837444
158,3.285,0.0250202007526279
159,3.293,0.0237350145860444
160,3.301,0.0221960655458042
161,3.308,0.018238183306676
162,3.316,0.0461725641567799
163,3.323,0.0318144970473052
164,3.331,0.0378761553680384
165,3.338,0.0404547136003557
166,3.346,0.0429636916898962
167,3.353,0.0435858200253124
168,3.361,0.0197198310528646
169,3.368,0.0365377608569785
170,3.376,0.0226421970494909
171,3.383,0.0175996831729593
172,3.391,0.0211441775050018
173,3.398,0.0104574861643979
174,3.406,0.00590612623687913
175,3.414,0.0217294692942421
176,3.421,0.0247664378789713
177,3.429,0.0183691576930794
178,3.436,0.0133225508669727
179,3.444,0.0194783470279333
180,3.451,0.00344626354223994
181,3.459,0.0257241880795463
182,3.466,0.0226790335956668
183,3.474,0.016936625341792
184,3.481,0.0271853710778594
185,3.489,0.0812818856120462
186,3.496,0.0919153686081737
187,3.504,0.0162531027627492
188,3.511,0.0155450224862557
189,3.519,0.0158479007548136
190,3.527,0.0219873251174738
191,3.534,0.0243817006189113
192,3.542,0.0150661473859682
193,3.549,0.0175423818789078
194,3.557,0.0109568260125609
195,3.564,0
196,3.572,0.0245699762993662
197,3.579,0.0287079483197992
198,3.587,0.145357011210343
199,3.594,0.121400977347243
200,3.602,0.0789202537072096
201,3.609,0.0706115660697427
202,3.617,0.0493896225228139
203,3.625,0.048358199229887
204,3.632,0.0302796409566402
205,3.640,0.0326249010631764
206,3.647,0.029199102268812
207,3.655,0.0243653288206109
208,3.662,0.0289453393951554
209,3.670,0.0126390282879298
210,3.677,0.0135312912953031
211,3.685,0.0159502244941912
212,3.692,0.00888170057798178
213,3.700,0.0159297597463157
214,3.707,0.0144358331514017
215,3.715,0.0259533932557523
216,3.722,0.0161344072250711
217,3.730,0.0147346184703845
218,3.738,0.0129173488590371
219,3.745,0.0162039873678479
220,3.753,0.0214470557735597
221,3.760,0.008353710082793
222,3.768,0.00792804332698189
223,3.775,0.0265959863390441
224,3.783,0.0147387114199596
225,3.790,0.00918867179611479
226,3.798,0.0186925007095128
227,3.805,0.0230842356036024
228,3.813,0.0242630050812332
229,3.820,0.00891444417458264
230,3.828,0.0192655136500278
231,3.836,0.0168875099468907
232,3.843,0.0159215738471655
233,3.851,0.0229368894188986
234,3.858,0.0233789279730101
235,3.866,0.0173254555514271
236,3.873,0.0198671772375685
237,3.881,0.0314379456863954
238,3.888,0.0318349617951808
239,3.896,0.0298376024025287
240,3.903,0.0302387114608891
241,3.911,0.0289576182438807
242,3.918,0.0278034064637006
243,3.926,0.0198426195401178
244,3.933,0.0261089253396064
245,3.941,0.0179844204330193
246,3.949,0.0141575125802945
247,3.956,0.0214757064205854
248,3.964,0.0378229470235621
249,3.971,0.0775818591961496
250,3.979,0.057362688295122
251,3.986,0.0308772115946058
252,3.994,0.0325143914246485
253,4.001,0.79914431159003
254,4.009,3.92738567184417
255,4.016,1.39176248056975
256,4.024,0.337754291887389
257,4.031,0.17241959380095
258,4.039,0.140858859627301
259,4.047,0.117889226611801
260,4.054,0.0883135729820797
261,4.062,0.0683154213581078
262,4.069,0.0525289148469208
263,4.077,0.0626425932470098
264,4.084,0.0499994720095048
265,4.092,0.0812041195701192
266,4.099,0.0602645895438727
267,4.107,0.0484646159188398
268,4.114,0.032800897894906
269,4.122,0.0326781094076528
270,4.129,0.0374177450156265
271,4.137,0.0396934249793859
272,4.144,0.0521973859313372
273,4.152,0.0407657777680638
274,4.160,0.0408762874065917
275,4.167,0.0487060999437711
276,4.175,0.0452843940989818
277,4.182,0.0306766570654256
278,4.190,0.0320273304252108
279,4.197,0.0281021917826834
280,4.205,0.020346052337856
281,4.212,0.0280980988331083
282,4.220,0.0319045419379576
283,4.227,0.014943358898715
284,4.235,0.0157210193179853
285,4.242,0.0177306575593627
286,4.250,0.0228468445282462
287,4.257,0.0196052284647616
288,4.265,0.0347532348422319
289,4.273,0.0182177185588004
290,4.280,0.00714628995813649
291,4.288,0.00904132561141095
292,4.295,0.0161344072250711
293,4.303,0.0187457090539892
294,4.310,0.00469461316264751
295,4.318,0.0106825983910288
296,4.325,0.0205506998166113
297,4.333,0.021230129446079
298,4.340,0.0132447848250456
299,4.348,0.0140961183366679
300,4.355,0.0150415896885175
301,4.363,0.0199367573803453
302,4.371,0.0111328228442905
303,4.378,0.0175751254755087
304,4.386,0.0191099815661737
305,4.393,0.0163922630483028
306,4.401,0.0201045683129247
307,4.408,0.0425052813374842
308,4.416,0.116243860882609
309,4.423,0.164638896658672
310,4.431,0.0587952206464094
311,4.438,0.0210009242698731
312,4.446,0.0230965144523277
313,4.453,0.021074597362225
314,4.461,0.0131015315899169
315,4.468,0.019773039397341
316,4.476,0.0150947980329939
317,4.484,0.0414370214983814
318,4.491,0.0693427517014596
319,4.499,0.0513624242180154
320,4.506,0.43377898186897
321,4.514,1.2627649888111
322,4.521,1.05422920795941
323,4.529,0.442030368212385
324,4.536,0.31266860394156
325,4.544,0.252399921448112
326,4.551,0.210766438370125
327,4.559,0.177679034004962
328,4.566,0.147522181535575
329,4.574,0.144718511076627
330,4.582,0.12531793009062
331,4.589,0.110636519964712
332,4.597,0.115670847942094
333,4.604,0.101963559815061
334,4.612,0.0869588066727193
335,4.619,0.061922234121791
336,4.627,0.0795546608913511
337,4.634,0.0631623978430483
338,4.642,0.0481822023981574
339,4.649,0.0724124638827897
340,4.657,0.0662975972175801
341,4.664,0.0453989966870848
342,4.672,0.0573176658497958
343,4.679,0.0538714023075559
344,4.687,0.0463935834338357
345,4.695,0.0442325060581793
346,4.702,0.0317940322994297
347,4.710,0.0388625562156392
348,4.717,0.0369061263187381
349,4.725,0.0409704252468192
350,4.732,0.041539345237759
351,4.740,0.0820349883338658
352,4.747,0.257737127694051
353,4.755,0.394392528107717
354,4.762,0.121265910011265
355,4.770,0.0897993136778435
356,4.777,0.0694409824912622
357,4.785,0.0674149724515843
358,4.793,0.0547718512140794
359,4.800,0.0653562188153056
360,4.808,0.0479570901715265
361,4.815,0.0558442040027573
362,4.823,0.0510145235041313
363,4.830,0.073763137242575
364,4.838,0.0524429629058436
365,4.845,0.0603218908379242
366,4.853,0.103617111443404
367,4.860,0.218162398252343
368,4.868,0.141067600055631
369,4.875,0.0785232375984242
370,4.883,0.0455258781239131
371,4.890,0.0574445472866241
372,4.898,0.0742092687462616
373,4.906,0.0581976500084438
374,4.913,0.0811795618726685
375,4.921,0.194681146539955
376,4.928,0.167647214596375
377,4.936,0.0626835227427608
378,4.943,0.0515097704027192
379,4.951,0.0349619752705624
380,4.958,0.0711682072119572
381,4.966,0.189556773671922
382,4.973,0.161450488939663
383,4.981,0.0535480592911224
384,4.988,0.0334721416252235
385,4.996,0.0292154740671124
386,5.004,0.0353139689340216
387,5.011,0.0692363350125068
388,5.019,0.258224188693489
389,5.026,0.333796409648261
390,5.034,0.131019408848744
391,5.041,0.0691626619201549
392,5.049,0.0787606286737804
393,5.056,0.0785232375984242
394,5.064,0.0576860313115554
395,5.071,0.0360916293532919
396,5.079,0.0431069449250249
397,5.086,0.0324284394835713
398,5.094,0.0407985213646647
399,5.101,0.0301527595198119
400,5.109,0.0314911540308718
401,5.117,0.0346263534054036
402,5.124,0.0318677053917816
403,5.132,0.0362021389918198
404,5.139,0.0376510431414076
405,5.147,0.0785887247916259
406,5.154,0.225930816545896
407,5.162,0.230519013019591
408,5.169,0.115220623488832
409,5.177,0.0714874572788156
410,5.184,0.0609317403246151
411,5.192,0.0927667021197959
412,5.199,0.180179826195352
413,5.207,0.140519144812567
414,5.214,0.0715856880686181
415,5.222,0.0513910748650411
416,5.230,0.0431437814712009
417,5.237,0.072461579277691
418,5.245,0.304306707959616
419,5.252,0.890826382072422
420,5.260,0.519227490148475
421,5.267,0.21785542703421
422,5.275,0.137731846151919
423,5.282,0.11344019042366
424,5.290,0.125841827636234
425,5.297,0.428863349429267
426,5.305,0.612460788519833
427,5.312,0.238500264691049
428,5.320,0.139070240662979
429,5.328,0.0952061000665596
430,5.335,0.0866190918579855
431,5.343,0.0809544496460376
432,5.350,0.080700686772381
433,5.358,0.0900080541061739
434,5.365,0.0627203592889368
435,5.373,0.0509326645126292
436,5.380,0.0535848958372984
437,5.388,0.0495819911528439
438,5.395,0.0586233167642549
439,5.403,0.0570516241274139
440,5.410,0.0394560339040297
441,5.418,0.0314911540308718
442,5.425,0.0325839715674253
443,5.433,0.0347900713884079
444,5.441,0.0479652760706767
445,5.448,0.0364518089159013
446,5.456,0.034794164337983
447,5.463,0.049123580800432
448,5.471,0.0568756272956843
449,5.478,0.0604078427790014
450,5.486,0.0376060206960814
451,5.493,0.0403974123063042
452,5.501,0.0398776077102657
453,5.508,0.0486774492967453
454,5.516,0.054833245457706
455,5.523,0.0704805916833393
456,5.531,0.084380248440402
457,5.539,0.0715529444720173
458,5.546,0.0624174810203789
459,5.554,0.0460907051652778
460,5.561,0.0523897545613672
461,5.569,0.053990097845234
462,5.576,0.029313704856915
463,5.584,0.0486242409522689
464,5.591,0.0979770269289069
465,5.599,0.16803604480601
466,5.606,0.144677581580876
467,5.614,2.0930239030711
468,5.621,16.4101533308956
469,5.629,44.6719374034115
470,5.636,74.5495156444402
471,5.644,60.7149163208738
472,5.652,2.60362754846482
473,5.659,1.50623409428633
474,5.667,1.07819752067124
475,5.674,0.847694879449947
476,5.682,0.71026181861701
477,5.689,0.67192725289656
478,5.697,0.601385266969594
479,5.704,0.509011488009008
480,5.712,0.443495644160274
481,5.719,0.393590309990996
482,5.727,0.392219171883336
483,5.734,0.368295881616836
484,5.742,0.315038421745546
485,5.750,0.294749670701742
486,5.757,0.256787563392626
487,5.765,0.248069580797649
488,5.772,0.23624914242474
489,5.780,0.234407315115942
490,5.787,0.203591497764963
491,5.795,0.205249142342881
492,5.802,0.201148006868624
493,5.810,0.185791260062824
494,5.817,0.184780301517772
495,5.825,0.191075257964286
496,5.832,0.173954449891615
497,5.840,0.150522313574128
498,5.847,0.141751122634674
499,5.855,0.133851729954718
500,5.863,0.148074729728214
501,5.870,0.123242804656041
502,5.878,0.122465144236771
503,5.885,0.128575917952405
504,5.893,0.125248349947844
505,5.900,0.11516332219478
506,5.908,0.101726168739705
507,5.915,0.113906786675223
508,5.923,0.119203063425411
509,5.930,0.103535252451902
510,5.938,0.10020768444734
511,5.945,0.105647214432657
512,5.953,0.103797201224709
513,5.960,0.0933929234047872
514,5.968,0.115200158740956
515,5.976,0.107038817288193
516,5.983,0.096450356737392
517,5.991,0.0872002906976506
518,5.998,0.0797715872188318
519,6.006,0.0956358597719458
520,6.013,0.0930163720438774
521,6.021,0.0891730923928521
522,6.028,0.10595418565079
523,6.036,0.0895414578546117
524,6.043,0.0926439136325427
525,6.051,0.0851579088596723
526,6.058,0.0955990232257698
527,6.066,0.0984559020291944
528,6.074,0.115642197295068
529,6.081,0.0884936627633844
530,6.089,0.089975310509573
531,6.096,0.0753593875768666
532,6.104,0.0764030897185189
533,6.111,0.0708612359938242
534,6.119,0.0659374176549707
535,6.126,0.0879861370160711
