#"+EI TIC Scan TCM-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.404735808798281
1,2.102,0.406429184096232
2,2.110,0.394900471006796
3,2.117,0.409987947984251
4,2.125,0.398061693064145
5,2.132,0.397947017536067
6,2.140,0.401582231776138
7,2.147,0.442903647060222
8,2.155,0.430583672827049
9,2.162,0.421294955052736
10,2.170,0.488877066266668
11,2.178,0.458346618174718
12,2.185,0.426527981650692
13,2.193,0.433335885500919
14,2.200,0.49820783173461
15,2.208,0.486671473609969
16,2.215,0.450319331209262
17,2.223,0.455858159215427
18,2.230,0.482451414176701
19,2.238,0.440824197484409
20,2.245,0.413741660270002
21,2.253,0.481411689388794
22,2.260,0.489133174946042
23,2.268,0.425281840912245
24,2.276,0.399189335756911
25,2.283,0.413948076220542
26,2.291,0.52523685370258
27,2.298,0.939242267687162
28,2.306,0.739492787845801
29,2.313,0.687831462446689
30,2.321,0.624442653042806
31,2.328,0.555656448784055
32,2.336,0.482137967733288
33,2.343,0.464309745634771
34,2.351,0.442284399208601
35,2.358,0.408371023038352
36,2.366,0.380401661740142
37,2.373,0.36800905967252
38,2.381,0.366537390395519
39,2.389,0.348009647575727
40,2.396,0.515990183621896
41,2.404,0.668726519468904
42,2.411,0.366690291099623
43,2.419,0.288225472271094
44,2.426,0.333690496636395
45,2.434,0.279926786555854
46,2.441,0.247989651986148
47,2.449,0.239155813806544
48,2.456,0.25099415082179
49,2.464,0.353850454472497
50,2.471,0.588335151768666
51,2.479,0.365168929093789
52,2.487,0.300962100922951
53,2.494,0.232432005343574
54,2.502,0.206117794167289
55,2.509,0.180720987215628
56,2.517,0.167735894919603
57,2.524,0.174700521991536
58,2.532,0.192666354723747
59,2.539,0.185518246806889
60,2.547,0.169115823774141
61,2.554,0.155129231866235
62,2.562,0.150553678295925
63,2.569,0.153072717396037
64,2.577,0.1491928620294
65,2.584,0.146517099707581
66,2.592,0.136869065278624
67,2.600,0.13163986119827
68,2.607,0.135355348307995
69,2.615,0.129782117643407
70,2.622,0.121192920590369
71,2.630,0.130806552360903
72,2.637,0.140920933937378
73,2.645,0.126295981589838
74,2.652,0.128448059000101
75,2.660,0.126108678227311
76,2.667,0.115982829098028
77,2.675,0.111250552306012
78,2.682,0.110421065986248
79,2.690,0.114579965137875
80,2.698,0.108605370125014
81,2.705,0.119205211437019
82,2.713,0.11037901829262
83,2.720,0.157235439065266
84,2.728,0.135076304523005
85,2.735,0.108823253628362
86,2.743,0.0895615874288711
87,2.750,0.0889805647532762
88,2.758,0.102202653140663
89,2.765,0.0879064373069461
90,2.773,0.143699904234467
91,2.780,0.123364110588645
92,2.788,0.112313212199534
93,2.795,0.128455704035306
94,2.803,0.120925344358188
95,2.811,0.127396866659386
96,2.818,0.108624482713027
97,2.826,0.290362259610946
98,2.833,0.330773915705612
99,2.841,0.151023847961044
100,2.848,0.116265695400621
101,2.856,0.103571114442393
102,2.863,0.114006587497485
103,2.871,0.106751449087754
104,2.878,0.0986859369462725
105,2.886,0.108307213752012
106,2.893,0.113265019082581
107,2.901,0.102298216080728
108,2.909,0.104637596853518
109,2.916,0.0974856664190567
110,2.924,0.118605076173411
111,2.931,0.122393191117585
112,2.939,0.0880822731166657
113,2.946,0.0842482879612599
114,2.954,0.213862214830153
115,2.961,4.7110618193219
116,2.969,29.3944990684333
117,2.976,68.6688109206576
118,2.984,100
119,2.991,21.1508652517057
120,2.999,0.214680233597109
121,3.006,0.13621541476858
122,3.014,0.117557706350299
123,3.022,0.104828722733647
124,3.029,0.0965529721240228
125,3.037,0.106655886147689
126,3.044,0.120382546858619
127,3.052,0.114480579680207
128,3.059,0.102397601538395
129,3.067,0.116969038639499
130,3.074,0.0884721699121306
131,3.082,0.0732050346073542
132,3.089,0.0924284756308196
133,3.097,0.0861366116569433
134,3.104,0.0708962339753851
135,3.112,0.0704948696271123
136,3.119,0.0859034380831848
137,3.127,0.099251669551457
138,3.135,0.0966408900288826
139,3.142,0.108620660195425
140,3.150,0.120718928407647
141,3.157,0.121728073054733
142,3.165,0.137151931581216
143,3.172,0.127133112944807
144,3.180,0.127912906535737
145,3.187,0.143730484375287
146,3.195,0.186642066982052
147,3.202,0.277189863952394
148,3.210,0.333824284752486
149,3.217,0.382007119133233
150,3.225,0.382110327108504
151,3.233,0.393596992504311
152,3.240,0.387867038618016
153,3.248,0.372576968207624
154,3.255,0.330575144790277
155,3.263,0.315472377742413
156,3.270,0.254369433864884
157,3.278,0.208300451718373
158,3.285,0.180430475877831
159,3.293,0.187700904357972
160,3.300,0.177865566566487
161,3.308,0.16197918341009
162,3.315,0.162709284272186
163,3.323,0.151623983224652
164,3.330,0.140817725962108
165,3.338,0.153615514895606
166,3.346,0.671257026121824
167,3.353,1.81698787218373
168,3.361,2.50049224470427
169,3.368,3.04363759337503
170,3.376,3.17049548505245
171,3.383,2.88265608705921
172,3.391,2.54038403840499
173,3.398,1.68631128542131
174,3.406,1.05313417965657
175,3.413,0.776842607340786
176,3.421,0.620513104947335
177,3.428,0.513398516687334
178,3.436,0.432494931628348
179,3.444,0.397148111357124
180,3.451,0.572926583312593
181,3.459,1.06918493106988
182,3.466,0.724386198280333
183,3.474,0.298802378477483
184,3.481,0.245015733291326
185,3.489,0.288611546548957
186,3.496,0.224916935736866
187,3.504,0.183542005206345
188,3.511,0.17113029055071
189,3.519,0.18460848761747
190,3.526,0.159211680665809
191,3.534,0.164226823760418
192,3.541,0.164135083337955
193,3.549,0.178538329664545
194,3.557,0.278581260359739
195,3.564,0.202853364134671
196,3.572,0.143516423389542
197,3.579,0.127886148912519
198,3.587,0.123532301363159
199,3.594,0.101235556187205
200,3.602,0.103162105058915
201,3.609,0.102145315376624
202,3.617,0.106101621095313
203,3.624,0.108226940882357
204,3.632,0.115986651615631
205,3.639,0.111258197341217
206,3.647,0.110069394366809
207,3.655,0.109870623451474
208,3.662,0.119155518708185
209,3.670,0.0968625960498332
210,3.677,0.0865647336284342
211,3.685,0.0958458063675422
212,3.692,0.0895998126048971
213,3.700,0.0828645365891194
214,3.707,0.0983610229500517
215,3.715,0.107278956516913
216,3.722,0.0899744193299517
217,3.730,0.0762898063126508
218,3.737,0.0745849634618921
219,3.745,0.0762171784782015
220,3.752,0.081251434160823
221,3.760,0.095333589008794
222,3.768,0.0808653598829606
223,3.775,0.0860066460584549
224,3.783,0.0812284990552074
225,3.790,0.0806818790380359
226,3.798,0.0849439861649327
227,3.805,0.0761483731613547
228,3.813,0.0695698203672835
229,3.820,0.0763242089710742
230,3.828,0.0665156288028077
231,3.835,0.0815075428401971
232,3.843,0.0599256084559288
233,3.850,0.0709803293626422
234,3.858,0.105382987786024
235,3.865,0.11479402612362
236,3.873,0.12295892372277
237,3.881,0.128448059000101
238,3.888,0.113280309152992
239,3.896,0.0839577766234624
240,3.903,0.0724787562628606
241,3.911,0.05997147866716
242,3.918,0.0738663301526037
243,3.926,0.0925087485004741
244,3.933,0.10511158903624
245,3.941,0.0968817086378462
246,3.948,0.0921532543634325
247,3.956,0.0846572973447378
248,3.963,0.0834149791238935
249,3.971,0.134839308431644
250,3.979,0.110294922905363
251,3.986,0.0562712816278451
252,3.994,0.0384583495997384
253,4.001,0.0463671385195137
254,4.009,0.0519327241488964
255,4.016,0.064868123716088
256,4.024,0.0653382933812076
257,4.031,0.0647419806352023
258,4.039,0.0627580939994539
259,4.046,0.0483395576024543
260,4.054,0.0560381080540866
261,4.061,0.0498150493970571
262,4.069,0.0577238383168324
263,4.076,0.0490352558061271
264,4.084,0.0455223621293395
265,4.092,0.0408244879957466
266,4.099,0.0423152698607598
267,4.107,0.0329042315231636
268,4.114,0.0293225325295292
269,4.122,0.0357252495138809
270,4.129,0.0345173339514599
271,4.137,0.032804846065496
272,4.144,0.0323499664707868
273,4.152,0.0570090275251465
274,4.159,0.0340165841455196
275,4.167,0.0291849218958357
276,4.174,0.0380990329450942
277,4.182,0.0378046990896942
278,4.190,0.047001676441545
279,4.197,0.0337834105717611
280,4.205,0.0235467084320037
281,4.212,0.0316772033727296
282,4.220,0.0291696318254253
283,4.227,0.0214022760569462
284,4.235,0.0320479875801816
285,4.242,0.0587864982103546
286,4.250,0.339932667881437
287,4.257,1.40163310948543
288,4.265,1.16432739419854
289,4.272,0.220903292254138
290,4.280,0.0524449415076445
291,4.287,0.041267900037648
292,4.295,0.0818018766955971
293,4.303,0.0648948813393062
294,4.310,0.0587215154111104
295,4.318,0.0481446092047218
296,4.325,0.0411952722031986
297,4.333,0.0292537272126825
298,4.340,0.028221647459981
299,4.348,0.0353162401304029
300,4.355,0.0220062338381567
301,4.363,0.0219909437677463
302,4.370,0.0290931814733734
303,4.378,0.0323920141644154
304,4.385,0.0265168046092223
305,4.393,0.0333591111178727
306,4.401,0.0210162017790838
307,4.408,0.0437104887857081
308,4.416,0.156168956654141
309,4.423,0.196240408682176
310,4.431,0.0639812996322853
311,4.438,0.0333247084594493
312,4.446,0.0188717694040263
313,4.453,0.026016054803282
314,4.461,0.0318377491120387
315,4.468,0.0214978389970111
316,4.476,0.0200567498608317
317,4.483,0.0240742158611622
318,4.491,0.0229236380627802
319,4.498,0.0177173690880417
320,4.506,0.0184398249149327
321,4.514,0.0127901438982929
322,4.521,0.0163145051278883
323,4.529,0.0201523128008966
324,4.536,0.0267805583238016
325,4.544,0.00800435185984021
326,4.551,0.0103475551502328
327,4.559,0.00912817203500402
328,4.566,0.0154429711144959
329,4.574,0.0189099945800523
330,4.581,0.0104010703966692
331,4.589,0.011039430836303
332,4.596,0.00413978656361363
333,4.604,0.0151639273295063
334,4.611,0.0401708374857024
335,4.619,0.0614775506025836
336,4.627,0.0294257405047994
337,4.634,0.0155347115369583
338,4.642,0.0124308272436487
339,4.649,0.0105042783719393
340,4.657,0.00357787647603173
341,4.664,0.0140324621191372
342,4.672,0.0138107560981866
343,4.679,0.0184895176437665
344,4.687,0.0270022643447523
345,4.694,0.0195177748788654
346,4.702,0.0175682909015404
347,4.709,0.00691493434309978
348,4.717,0.0180919758130963
349,4.725,0.0136081626652489
350,4.732,0.0147128702523997
351,4.740,0.0132144433521813
352,4.747,0.0120027052721577
353,4.755,0.00845923145454937
354,4.762,0.00497309540097999
355,4.770,0.00983916030908724
356,4.777,0.00876885538035981
357,4.785,0.00414743159881883
358,4.792,0.0107986122273393
359,4.800,0.0209359289094292
360,4.807,0.0219680086621307
361,4.815,0.0268455411230457
362,4.822,0.0300449883564203
363,4.830,0.0196821431357771
364,4.838,0.0206836427476578
365,4.845,0.0153588757272388
366,4.853,0.0149536888613634
367,4.860,0.0109515129314433
368,4.868,0.0126410657117916
369,4.875,0.0219794762149385
370,4.883,0.0147472729108231
371,4.890,0.0117733542160018
372,4.898,0.00645623223078802
373,4.905,0.0172777795637429
374,4.913,0.111319357622859
375,4.920,0.374377373998448
376,4.928,0.279078187648077
377,4.936,0.0521162049938211
378,4.943,0.0179849453202236
379,4.951,0.0120294628953759
380,4.958,0.0220521040493878
381,4.966,0.0124078921380331
382,4.973,0.0158902056739999
383,4.981,0.0187532713583458
384,4.988,0
385,4.996,0.0160239937900908
386,5.003,0.00862742222906368
387,5.011,0.00726278344493619
388,5.018,0.0114713753253966
389,5.026,0.00350142612397977
390,5.033,0.0111426388115732
391,5.041,0.0267155755245574
392,5.049,0.50123908819347
393,5.056,6.68267435104832
394,5.064,25.1359430603894
395,5.071,45.1490550602698
396,5.079,10.263398602694
397,5.086,0.541551358830469
398,5.094,0.313832517690898
399,5.101,0.231216444745948
400,5.109,0.185227735469091
401,5.116,0.140745098127658
402,5.124,0.128516864316947
403,5.131,0.105937252838401
404,5.139,0.0926272465461547
405,5.147,0.083648152697652
406,5.154,0.0880325803878319
407,5.162,0.0874209775714162
408,5.169,0.0788164904479681
409,5.177,0.0545626162594838
410,5.184,0.0558431596563541
411,5.192,0.0471392870752385
412,5.199,0.0402969805665881
413,5.207,0.0556138086001983
414,5.214,0.0515046021774054
415,5.222,0.0440506928523393
416,5.229,0.0357520071370991
417,5.237,0.0463365583786929
418,5.244,0.0643750189453529
419,5.252,0.0718633309288424
420,5.260,0.125623218491781
421,5.267,0.13486224353726
422,5.275,0.12659413796284
423,5.282,0.114495869750618
424,5.290,0.0977608876864438
425,5.297,0.0883613169016553
426,5.305,0.0865112183819979
427,5.312,0.0672419071473014
428,5.320,0.0646922879063685
429,5.327,0.0599982362903782
430,5.335,0.0480146436062334
431,5.342,0.0512217358748132
432,5.350,0.0532820728626135
433,5.358,0.0467914379734021
434,5.365,0.0588629485624066
435,5.373,0.0349951486517847
436,5.380,0.0474068633074204
437,5.388,0.0409276959710168
438,5.395,0.0437448914441315
439,5.403,0.0474374434482411
440,5.410,0.0425255083289027
441,5.418,0.0514434418957638
442,5.425,0.243823107799316
443,5.433,0.879339594336848
444,5.440,0.449092303058828
445,5.448,0.153454969156297
446,5.455,0.0933229447498275
447,5.463,0.0894086867247672
448,5.471,0.083667265285665
449,5.478,0.0743479673705311
450,5.486,0.071419918886941
451,5.493,0.0466156021636826
452,5.501,0.0451018851930538
453,5.508,0.0511873332163898
454,5.516,0.0383398515540579
455,5.523,0.0413825755657259
456,5.531,0.084684054967956
457,5.538,0.068396307463286
458,5.546,0.0390890650041671
459,5.553,0.0291314066493993
460,5.561,0.0261804230601937
461,5.568,0.0262759860002586
462,5.576,0.0312032111900075
463,5.584,0.0365088656224135
464,5.591,0.0322505810131193
465,5.599,0.0251674558955052
466,5.606,0.0258363964759599
467,5.614,0.0384048343533021
468,5.621,0.0325028671748908
469,5.629,0.0196056927837251
470,5.636,0.017105766271626
471,5.644,0.0229045254747672
472,5.651,0.0501170282876623
473,5.659,0.0548913527733072
474,5.666,0.0497882917738389
475,5.674,0.0789426335288538
476,5.682,0.0613131823456719
477,5.689,0.0760069400100586
478,5.697,0.150461937873462
479,5.704,0.165419449252428
480,5.712,0.0837934083665507
481,5.719,0.104794320075224
482,5.727,0.145469729884469
483,5.734,0.104851657839263
484,5.742,0.0768134912242067
485,5.749,0.0583507312036584
486,5.757,0.0640271698435164
487,5.764,0.212673411855745
488,5.772,0.228559795012142
489,5.779,0.0744091276521726
490,5.787,0.0540848015591591
491,5.795,0.0294066279167864
492,5.802,0.0426478288921859
493,5.810,0.142495811189648
494,5.817,0.246659415860444
495,5.825,0.131276722026023
496,5.832,0.0612864247224537
497,5.840,0.0333820462234883
498,5.847,0.0397809406902374
499,5.855,0.0474030407898178
500,5.862,0.0356411541266237
501,5.870,0.0287147522307162
502,5.877,0.0228318976403178
503,5.885,0.0420362260757702
504,5.893,0.0568752394090556
505,5.900,0.0386838781382917
506,5.908,0.0424414129416456
507,5.915,0.0193916317979796
508,5.923,0.0205345645611564
509,5.930,0.0254617897509053
510,5.938,0.0250374902970169
511,5.945,0.0224267107744425
512,5.953,0.0264212416691574
513,5.960,0.0100685113652431
514,5.968,0.0353162401304029
515,5.975,0.0504916350127169
516,5.983,0.0421279664982325
517,5.990,0.0215475317258449
518,5.998,0.0198273988046758
519,6.006,0.0226293042073801
520,6.013,0.0236308038192608
521,6.021,0.027166632601664
522,6.028,0.146666177894083
523,6.036,0.248910878728374
524,6.043,0.13709841633478
525,6.051,0.0698259290466576
526,6.058,0.0533011854506265
527,6.066,0.0320288749921686
528,6.073,0.0523761361907978
529,6.081,0.0365662033864524
530,6.088,0.0308018468417347
531,6.096,0.0290931814733734
532,6.104,0.0273271783409731
533,6.111,0.0321703081434647
534,6.119,0.0271245849080354
535,6.126,0.0272621955417289
536,6.134,0.0555832284593775
537,6.141,0.0490123207005115
538,6.149,0.0327322182310466
539,6.156,0.0387488609375359
540,6.164,0.029039666226937
541,6.171,0.0314707874221893
542,6.179,0.0414934285762013
543,6.186,0.0399529539823543
544,6.194,0.0485306834825842
545,6.201,0.0298997326875215
546,6.209,0.0322200008722985
547,6.217,0.0261613104721807
548,6.224,0.0321550180730544
549,6.232,0.0364438828231693
550,6.239,0.0360654535805121
551,6.247,0.0208900586981981
552,6.254,0.0346702346555638
553,6.262,0.0254694347861105
554,6.269,0.0488670650316128
555,6.277,0.0676318039427664
556,6.284,0.0415087186466117
557,6.292,0.0245290954558713
558,6.299,0.0291696318254253
559,6.307,0.0342344676488677
560,6.314,0.0330494871920623
561,6.322,0.168676234249842
562,6.330,0.36286012846182
563,6.337,0.259755361166944
564,6.345,0.138887354572796
565,6.352,0.104702579652762
566,6.360,0.0881013857046786
567,6.367,0.0571389931236349
568,6.375,0.0578920290913467
569,6.382,0.0713205334292734
570,6.390,0.0617069016587395
571,6.397,0.0505413277415507
572,6.405,0.0621273785950252
573,6.412,0.1338913240662
574,6.420,0.16139051569929
575,6.428,0.0848293106368548
576,6.435,0.0752003887959104
577,6.443,0.0632817789110098
578,6.450,0.0605295662371393
579,6.458,0.0482707522856075
580,6.465,0.0389935020641022
581,6.473,0.0724443536044372
582,6.480,0.297976714675322
583,6.488,0.658325449072235
584,6.495,0.314356202602454
585,6.503,0.132622248222138
586,6.510,0.195361229633578
587,6.518,0.295086891367758
588,6.525,0.223762535420882
589,6.533,0.137855274820094
590,6.541,0.101785998721979
591,6.548,0.102764563228245
592,6.556,0.104507631255029
593,6.563,0.0812667242312334
594,6.571,0.0672151495240832
595,6.578,0.0853568180660133
596,6.586,0.0896342152633204
597,6.593,0.0816642660619036
598,6.601,0.0756476233554144
599,6.608,0.0632053285589579
600,6.616,0.05529271712158
601,6.623,0.0472119149096879
602,6.631,0.0483472026376595
603,6.639,0.0705216272503305
604,6.646,0.10862830523063
605,6.654,0.095723485804259
606,6.661,0.0843094482429014
607,6.669,0.0672151495240832
608,6.676,0.0709459267042188
609,6.684,0.0474947812122801
610,6.691,0.0554112151672606
611,6.699,0.045870211231176
612,6.706,0.066332147957883
613,6.714,0.0846764099327508
614,6.721,0.0985865514886049
615,6.729,0.0683313246640418
616,6.736,0.0481446092047218
617,6.744,0.05607251071251
618,6.752,0.0527813230566731
619,6.759,0.0659307836096103
620,6.767,0.533149465139958
621,6.774,2.00632099155801
622,6.782,1.55614309350004
623,6.789,0.537591230594177
624,6.797,0.314581731141007
625,6.804,0.253650800555595
626,6.812,0.196955219473862
627,6.819,0.181271429750402
628,6.827,0.16393631242262
629,6.834,0.176091918398882
630,6.842,0.158936459398422
631,6.850,0.123020084004411
632,6.857,0.110260520246939
633,6.865,0.110195537447695
634,6.872,0.114128908060768
635,6.880,0.0955667625825525
636,6.887,0.154502338979408
637,6.895,1.30865036880223
638,6.902,11.2792097204788
639,6.910,33.0568340708945
640,6.917,54.3851979274768
641,6.925,13.2805002788718
642,6.932,1.35349614531591
643,6.940,0.931520782129914
644,6.947,0.700889182577164
645,6.955,0.552357616093013
646,6.963,0.463923671356909
647,6.970,0.384774621877514
648,6.978,0.441818052061084
649,6.985,2.42904556819412
650,6.993,16.3529176072768
651,7.000,47.9228687811127
652,7.008,57.0936733549385
653,7.015,12.9094026249764
654,7.023,6.58831932654579
655,7.030,5.08560738409486
656,7.038,4.04511809266769
657,7.045,3.40974686179905
658,7.053,3.03151639005719
659,7.061,2.78789205317321
660,7.068,2.46206447524536
661,7.076,2.30844131531455
662,7.083,2.10674235149586
663,7.091,1.92314683104308
664,7.098,1.87496399666233
665,7.106,1.69934224792857
666,7.113,1.58647859319426
667,7.121,1.62200507179281
668,7.128,1.45598166475917
669,7.136,1.4341015740019
670,7.143,1.4433750017058
671,7.151,1.4229245325319
672,7.158,1.35887060506516
673,7.166,1.2849201795253
674,7.174,1.24748244212546
675,7.181,1.36359523682198
676,7.189,4.13813905852691
677,7.196,11.7592988187771
678,7.204,8.41327714793093
679,7.211,2.18435857141661
680,7.219,1.26480991441804
681,7.226,1.14913670924582
682,7.234,1.11623247772265
683,7.241,0.975334478890892
684,7.249,0.921666331750416
685,7.256,0.923852811819102
686,7.264,0.899923851626839
687,7.271,0.895359765609337
688,7.279,0.845212157180854
