#"+EI TIC Scan TOL-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0678693674028087
1,2.102,0.064078810607185
2,2.110,0.0679356101429264
3,2.117,0.0719028142455307
4,2.125,0.0575465404011344
5,2.132,0.0665997148838862
6,2.140,0.0579035151673242
7,2.148,0.0563652115357021
8,2.155,0.056229045903238
9,2.163,0.0508486633447895
10,2.170,0.0561112810319176
11,2.178,0.0504401664473971
12,2.185,0.0628275588494063
13,2.193,0.0583340929780892
14,2.200,0.0568436313254411
15,2.208,0.0503444824894493
16,2.215,0.0450965854112362
17,2.223,0.0542307232430208
18,2.230,0.0665629133615986
19,2.238,0.109745819613879
20,2.245,0.0859168339326523
21,2.253,0.0580249601908733
22,2.261,0.0434257962993788
23,2.268,0.070574279290948
24,2.276,0.0587499501799392
25,2.283,0.0604391400529405
26,2.291,0.0435104398006403
27,2.298,0.0422444674339465
28,2.306,0.0321755709360567
29,2.313,0.0535278141673275
30,2.321,0.0348915232808822
31,2.328,0.0448168938418504
32,2.336,0.0341481325306725
33,2.343,0.0431166635121629
34,2.351,0.0403234279705333
35,2.359,0.0517061388140908
36,2.366,0.0436502855853332
37,2.374,0.0405810386265466
38,2.381,0.0357489987501835
39,2.389,0.0310126428317682
40,2.396,0.0352558583515295
41,2.404,0.0294080964600285
42,2.411,0.0408791309570762
43,2.419,0.0623601795163537
44,2.426,0.0310788855718859
45,2.434,0.0445519228813796
46,2.441,0.179444222674382
47,2.449,0.311767776211709
48,2.456,0.0831162380865652
49,2.464,0.0306041459343757
50,2.472,0.0407245645634683
51,2.479,0.03457135003698
52,2.487,0.0334341829982929
53,2.494,0.0334930654339531
54,2.502,0.0319253205845009
55,2.509,0.05943077834226
56,2.517,0.0739048170579766
57,2.524,0.0526813791547125
58,2.532,0.0735993644229895
59,2.539,0.0482320751101405
60,2.547,0.051595734247228
61,2.554,0.035509788855314
62,2.562,0.0249771931766003
63,2.570,0.0436098039108168
64,2.577,0.0357305979890397
65,2.585,0.0353625827661636
66,2.592,0.0288781545390869
67,2.600,0.0369781695945896
68,2.607,0.034803199627392
69,2.615,0.0363599040201578
70,2.622,0.0365549520882821
71,2.630,0.0316750702329452
72,2.637,0.0345934309503526
73,2.645,0.0509369869982798
74,2.652,0.0481731926744803
75,2.660,0.0362715803666676
76,2.667,0.0382699030268847
77,2.675,0.0335335471084694
78,2.683,0.0421782246938288
79,2.690,0.0324111006786974
80,2.698,0.0260517976273985
81,2.705,0.0365365513271383
82,2.713,0.0354987483986278
83,2.720,0.0400142951833174
84,2.728,0.0339126027880318
85,2.735,0.0355061087030853
86,2.743,0.0452033098258703
87,2.750,0.0484786453094675
88,2.758,0.0625846688023081
89,2.765,0.0477058133414277
90,2.773,0.0247747848040185
91,2.781,0.0421414231715412
92,2.788,0.0319474014978735
93,2.796,0.0569687565012189
94,2.803,0.0596957493027308
