#"+EI TIC Scan TOL-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.089932988044711
1,2.102,0.0743288752843946
2,2.110,0.0740431100166375
3,2.117,0.068377647440756
4,2.125,0.067636651455758
5,2.133,0.0729498917248692
6,2.140,0.0605556539488939
7,2.148,0.0630278558001876
8,2.155,0.0733054368835902
9,2.163,0.0490918147191044
10,2.170,0.0475167828944898
11,2.178,0.0587746053033382
12,2.185,0.0460248223686418
13,2.193,0.0560664809635473
14,2.200,0.0512749284506904
15,2.208,0.0443800106530634
16,2.215,0.0517467734276846
17,2.223,0.0422999053319479
18,2.230,0.089567474330138
19,2.238,0.108863275607642
20,2.246,0.0766914230213164
21,2.253,0.0500321818211422
22,2.261,0.0591799932413191
23,2.268,0.0591567332776645
24,2.276,0.0630976356911515
25,2.283,0.0722321557035258
26,2.291,0.059675098181968
27,2.298,0.0475500114139964
28,2.306,0.0539896984943826
29,2.313,0.0457623170645394
30,2.321,0.0421138256227108
31,2.328,0.0311351227777181
32,2.336,0.0373488559254591
33,2.344,0.0506701693956696
34,2.351,0.0598611778912052
35,2.359,0.0467060070185279
36,2.366,0.0491682403139696
37,2.374,0.0438682914526612
38,2.381,0.0380533005389998
39,2.389,0.025466337349886
40,2.396,0.0396881436987263
41,2.404,0.031620259162515
42,2.411,0.0380865290585065
43,2.419,0.0601535888628636
44,2.426,0.0430276099091433
45,2.434,0.0610540817414934
46,2.441,0.265688596271162
47,2.449,0.28280128381708
48,2.457,0.0571829592189703
49,2.464,0.0376512354529695
50,2.472,0.0292510657216919
51,2.479,0.0393791184673146
52,2.487,0.032075489879756
53,2.494,0.031660133385923
54,2.502,0.0391863930541761
55,2.509,0.0697798909639361
56,2.517,0.0687664211189837
57,2.524,0.0833205126628904
58,2.532,0.0700124906004825
59,2.539,0.0441374424606649
60,2.547,0.0334744105509853
61,2.555,0.0302445984549403
62,2.562,0.0290384031968494
63,2.570,0.0354216017940742
64,2.577,0.0387677137083925
65,2.585,0.0398974833716181
66,2.592,0.0432834695093444
67,2.600,0.0334445048834294
68,2.607,0.0365048515299906
69,2.615,0.0390136047527416
70,2.622,0.0286529523705724
71,2.630,0.0390833846437055
72,2.637,0.0449548640405282
73,2.645,0.0591334733140098
74,2.652,0.0465066359014881
75,2.660,0.0536441218915135
76,2.668,0.0246921128453814
77,2.675,0.027343748702011
78,2.683,0.0390634475320016
79,2.690,0.030178141415927
80,2.698,0.0417649261678911
81,2.705,0.0364483630468293
82,2.713,0.0337003644836305
83,2.720,0.0364915601221879
84,2.728,0.0361393378154176
85,2.735,0.0270147863588953
