#"+EI TIC Scan TOL-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0878927224717708
1,2.102,0.0936752907998797
2,2.110,0.077694093951835
3,2.117,0.0747719282479775
4,2.125,0.0759801684927693
5,2.132,0.0762503819660454
6,2.140,0.0668044909788074
7,2.147,0.061658854409135
8,2.155,0.0685647387475775
9,2.163,0.0637665195006887
10,2.170,0.0631836304369074
11,2.178,0.0669627588702977
12,2.185,0.0623305278998499
13,2.193,0.0773389562441007
14,2.200,0.0505801020048141
15,2.208,0.0576365338497962
16,2.215,0.0492406152158596
17,2.223,0.0599796706823477
18,2.230,0.356508076063085
19,2.238,0.359063523481782
20,2.245,0.129521038126195
21,2.253,0.0890391996369566
22,2.260,0.0762349411961439
23,2.268,0.0770610223858738
24,2.276,0.0750807436460074
25,2.283,0.0738570626313141
26,2.291,0.0714019802169768
27,2.298,0.0576288134648455
28,2.306,0.0668122113637581
29,2.313,0.0528305942179567
30,2.321,0.0541855217768126
31,2.328,0.0464574164411156
32,2.336,0.0551698708580328
33,2.343,0.0650365228250865
34,2.351,0.0590609448732089
35,2.358,0.0600723153017566
36,2.366,0.0623459686697514
37,2.374,0.0570883865182932
38,2.381,0.045592733326632
39,2.389,0.0398178853834738
40,2.396,0.0419988941320596
41,2.404,0.0429986839831813
42,2.411,0.0413426614112462
43,2.419,0.0731274862534686
44,2.426,0.0544094129403843
45,2.434,0.0789100545815775
46,2.441,0.311629478344397
47,2.449,0.378148315080027
48,2.456,0.0914711208964417
49,2.464,0.0476772372633335
50,2.471,0.0459555914193171
51,2.479,0.0421494416385992
52,2.487,0.0311980755859656
53,2.494,0.0441490213408425
54,2.502,0.0447473511745253
55,2.509,0.079504524222785
56,2.517,0.0813033739163089
57,2.524,0.0833724370831089
58,2.532,0.0906450397067118
59,2.539,0.0608018916796022
60,2.547,0.0428790180164447
61,2.554,0.0382429268535216
62,2.562,0.0347803342031119
63,2.569,0.0589760206387507
64,2.577,0.0525410797823037
65,2.585,0.0410415663981671
66,2.592,0.0311980755859656
67,2.600,0.0431685324520977
68,2.607,0.0388528372646305
69,2.615,0.0397291009565403
70,2.622,0.0310629688493276
71,2.630,0.0523094682337813
72,2.637,0.171045128583783
73,2.645,0.160433459468983
74,2.652,0.0699080857290074
75,2.660,0.0665497182754328
76,2.667,0.046461276633591
77,2.675,0.0529772815320208
78,2.682,0.0367451721730768
79,2.690,0.0350080855591589
80,2.698,0.036922741026944
81,2.705,0.0345564430395403
82,2.713,0.0307850349911007
83,2.720,0.0435313905447828
84,2.728,0.0410531469755932
85,2.735,0.0382545074309477
86,2.743,0.0394550272907888
87,2.750,0.0668392327110857
88,2.758,0.0842409803900678
89,2.765,0.0659745495966022
90,2.773,0.0517651810947537
91,2.780,0.0533903221268858
92,2.788,0.0550038825815917
93,2.796,0.0845922579053268
94,2.803,0.0703442874787245
95,2.811,0.0449365006058186
96,2.818,0.0367065702483231
97,2.826,0.0530429048041022
98,2.833,0.0575709105777149
99,2.841,0.0477119789956119
100,2.848,0.0325452827598709
101,2.856,0.0377140804843955
102,2.863,0.0363668733104903
103,2.871,0.0422150649106805
104,2.878,0.0446547065551164
105,2.886,0.0416707777716529
106,2.893,0.0318465879218283
107,2.901,0.0442455261527268
108,2.909,0.0494374850321037
109,2.916,0.0582503044533805
110,2.924,0.0551775912429835
111,2.931,0.0459710321892186
112,2.939,0.059817542598382
113,2.946,0.0616434136392335
114,2.954,0.0602344433857223
115,2.961,0.053382601741935
116,2.969,0.0755709880903798
117,2.976,2.15216539040983
118,2.984,21.85369222006
119,2.991,61.3974460348952
120,2.999,100
121,3.006,42.7301535538244
122,3.014,0.211646633039758
123,3.022,0.0924284486303342
124,3.029,0.0797245551938812
125,3.037,0.0805506363836111
126,3.044,0.0634963060274126
127,3.052,0.0679818496837962
128,3.059,0.0952541095223074
129,3.067,0.0932622502050148
130,3.074,0.0597905212510544
131,3.082,0.0781688976263059
132,3.089,0.0558338239637969
133,3.097,0.0544016925554335
134,3.104,0.0587366887052775
135,3.112,0.0599179076027417
136,3.120,0.0494683665719067
137,3.127,0.0604428937793925
138,3.135,0.0759763083002939
139,3.142,0.0927874465305439
140,3.150,0.0816160495068141
141,3.157,0.0576095125024686
142,3.165,0.0438865282525171
143,3.172,0.0552702358623925
144,3.180,0.0679162264117148
145,3.187,0.0441297203784656
146,3.195,0.063407521600479
147,3.202,0.046233525277544
148,3.210,0.049854385819444
149,3.217,0.0358611880962164
150,3.225,0.0484338349885067
151,3.233,0.0320048558133186
152,3.240,0.0303912953586126
153,3.248,0.0268321978963186
154,3.255,0.0332516979828641
155,3.263,0.187520430068676
156,3.270,0.560642774545767
157,3.278,0.374871011668435
158,3.285,0.0803151646426133
159,3.293,0.0397175203791141
160,3.300,0.029101991071838
161,3.308,0.0632839954412671
162,3.315,0.0748143903652066
163,3.323,0.061492866132694
164,3.331,0.0447782327143283
165,3.338,0.0194206283436022
166,3.346,0.0212735207317813
167,3.353,0.0188647606271485
168,3.361,0.0195981971974694
169,3.368,0.0210187480284067
170,3.376,0.0243578145196044
171,3.383,0.0216672603642694
172,3.391,0.029877889759388
173,3.398,0.0172705011348194
174,3.406,0.0110941931742224
175,3.413,0.0228755006090612
176,3.421,0.0167377945732179
177,3.428,0.0120399403306888
178,3.436,0.0107274748890619
179,3.444,0.0176140582651276
180,3.451,0.0386984295656156
181,3.459,0.163977116161375
182,3.466,0.285866553763757
183,3.474,0.133211382132651
184,3.481,0.044847716178885
185,3.489,0.0638707446975238
186,3.496,0.106074229030778
187,3.504,0.0599796706823477
188,3.511,0.0286271873973671
189,3.519,0.0210148878359313
190,3.526,0.0147690964107776
191,3.534,0.0219567747999224
192,3.542,0.0228484792617336
193,3.549,0.0240181175817716
194,3.557,0.0299589538013709
195,3.564,0.0456467760212873
196,3.572,0.0235394537148253
197,3.579,0.0138079084844097
198,3.587,0.0232769606265
199,3.594,0.0336299968454507
200,3.602,0.0232537994716477
201,3.609,0.0167956974603485
202,3.617,0.0140626811877843
203,3.624,0.011958876288706
204,3.632,0.0232344985092709
205,3.639,0.0217483244062522
206,3.647,0.0136650813628209
207,3.655,0.0135685765509366
208,3.662,0.00833029536185521
209,3.670,0.00564360139899552
210,3.677,0.0110131291322395
211,3.685,0.0177916271189948
212,3.692,0.0169346643894619
213,3.700,0.0227210929100462
214,3.707,0.0263959961466015
215,3.715,0.0177491650017657
216,3.722,0.017876551353453
217,3.730,0.0278976110195216
218,3.737,0.0196947020093537
219,3.745,0.0184710209946604
220,3.753,0.0220378388419052
221,3.760,0.0214433692006977
222,3.768,0.0235703352546283
223,3.775,0.0176951223071104
224,3.783,0.0156299193327858
225,3.790,0.0117465657025604
226,3.798,0.0109436456676828
