#"+EI TIC Scan TOL-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0798496475421192
1,2.102,0.0853036604109079
2,2.110,0.0781862642153591
3,2.117,0.0719965937968268
4,2.125,0.0711703380266715
5,2.132,0.060907371618426
6,2.140,0.0717103034203256
7,2.147,0.0791900924975215
8,2.155,0.058852603979487
9,2.162,0.063447745718772
10,2.170,0.0567869645540986
11,2.178,0.046038391684446
12,2.185,0.0604253890858353
13,2.193,0.0579285021312869
14,2.200,0.0506262855660981
15,2.208,0.0627048403113955
16,2.215,0.0495463547787898
17,2.223,0.0476909032247567
18,2.230,0.0923050908843296
19,2.238,0.100596640016415
20,2.245,0.072221277383448
21,2.253,0.0599470304820612
22,2.260,0.0560005720009244
23,2.268,0.061023337340553
24,2.276,0.0635963268002473
25,2.283,0.0636724293053932
26,2.291,0.0643066168482756
27,2.298,0.0420122067693468
28,2.306,0.0495137394194415
29,2.313,0.0474408521364202
30,2.321,0.0378374407727724
31,2.328,0.0402654730798079
32,2.336,0.0397798666184008
33,2.343,0.0369133389245723
34,2.351,0.049647824785651
35,2.358,0.0473176385566602
36,2.366,0.0443278972830717
37,2.373,0.0437118293842717
38,2.381,0.0427877275360716
39,2.389,0.0300097545291953
40,2.396,0.0297669512984917
41,2.404,0.0313324885472072
42,2.411,0.0500319612401969
43,2.419,0.0513401995429429
44,2.426,0.0330067436604167
45,2.434,0.0589250825558164
46,2.441,0.282246071942017
47,2.449,0.31186806608785
48,2.456,0.0718045255695539
49,2.464,0.0473357582007425
50,2.471,0.0375982614708853
51,2.479,0.0438459147504811
52,2.487,0.0346375116278286
53,2.494,0.0351593573774004
54,2.502,0.0397146358997043
55,2.509,0.0604181412282024
56,2.517,0.0634332500035062
57,2.524,0.0640493179023062
58,2.532,0.0710471244469115
59,2.539,0.0369459542839205
60,2.547,0.0222183075737829
61,2.554,0.0336336833456662
62,2.562,0.0385151154614524
63,2.569,0.0274476368559504
64,2.577,0.0300931048919741
65,2.584,0.0283898583482328
66,2.592,0.0272918079168421
67,2.600,0.0355761091912946
68,2.607,0.0379787739966147
69,2.615,0.0318797017984943
70,2.622,0.0362936470969558
71,2.630,0.0311585399640166
72,2.637,0.0562397513028115
73,2.645,0.0557468969837714
74,2.652,0.0479083389537449
75,2.660,0.0439655044014246
76,2.667,0.0453607169957659
77,2.675,0.0462485795558013
78,2.682,0.0476872792959402
79,2.690,0.0355036306149651
80,2.698,0.0407220881106832
81,2.705,0.03794253470845
82,2.713,0.0357609295609346
83,2.720,0.0360472199374358
84,2.728,0.0421354203491068
85,2.735,0.0382650643731159
86,2.743,0.0225009740214676
87,2.750,0.0463283059897636
88,2.758,0.0608095255403812
89,2.765,0.0451505291244106
90,2.773,0.0378990475626524
91,2.780,0.0369387064262876
92,2.788,0.0457557252367612
93,2.795,0.0734824046115799
94,2.803,0.0612009098525601
95,2.811,0.0322710861106731
96,2.818,0.0297524555832259
97,2.826,0.0543516843894301
98,2.833,0.0478648518079473
99,2.841,0.0313687278353719
100,2.848,0.0225299654519994
101,2.856,0.030915736733313
102,2.863,0.0331335811689932
103,2.871,0.0391855422924995
104,2.878,0.0456904945180648
105,2.886,0.03041563455664
106,2.893,0.0266467485875103
107,2.901,0.0446141876595729
108,2.909,0.0449620848259541
109,2.916,0.04448372622218
110,2.924,0.0406387377479044
111,2.931,0.0383157993765465
112,2.939,0.0578379039108751
113,2.946,0.0451215376938788
114,2.954,0.0476582878654084
115,2.961,0.0394537130249184
116,2.969,0.0614292173679978
117,2.976,1.6725953538116
118,2.984,19.0133774070724
119,2.991,59.9639433578476
120,2.999,100
121,3.006,51.8483323458731
122,3.014,0.228615549387065
123,3.022,0.077577444174192
124,3.029,0.0579248782024704
125,3.037,0.054311821172449
126,3.044,0.0577618014057292
127,3.052,0.0545038893997219
128,3.059,0.0752979929486318
129,3.067,0.0556019398311126
130,3.074,0.0468863910275001
131,3.082,0.0659446326733205
132,3.089,0.0378736800609371
133,3.097,0.035210092380831
134,3.104,0.0402473534357255
135,3.112,0.0396059180352102
136,3.119,0.0218522907633194
137,3.127,0.0472379121226978
138,3.135,0.0672202556167182
139,3.142,0.0866191465712868
140,3.150,0.076200351223933
141,3.157,0.0431609922041681
142,3.165,0.0324051714768825
143,3.172,0.0419614717659162
144,3.180,0.0522606774623265
145,3.187,0.0282340294091246
146,3.195,0.0434907697264669
147,3.202,0.0461761009794719
148,3.210,0.0283572429888846
149,3.217,0.0341917683834027
150,3.225,0.0312962492590425
151,3.233,0.0308106427976354
152,3.240,0.035826160279631
153,3.248,0.0195003609614298
154,3.255,0.0180507894348414
155,3.263,0.0323000775412049
156,3.270,0.0533949671818818
157,3.278,0.0398595930523631
158,3.285,0.0324522825514967
159,3.293,0.0190799852187191
160,3.300,0.0131766051766881
161,3.308,0.0609037476896095
162,3.315,0.0520142503028064
163,3.323,0.0498362690841074
164,3.330,0.0381309790069065
165,3.338,0.0169817304339825
166,3.346,0.0249253823996867
167,3.353,0.0159126714331236
168,3.361,0.0162895600300366
169,3.368,0.0124590672710269
170,3.376,0.0196779334734368
171,3.383,0.00805236983019828
172,3.391,0.0156300049854389
173,3.398,0.00449367173242388
174,3.406,0.0203229928027687
175,3.413,0.0158438167856107
176,3.421,0.012067682958848
177,3.428,0.0200765656432486
178,3.436,0.0130207762375798
179,3.444,0.0211963596475381
180,3.451,0.0185291480386156
181,3.459,0.113990680922091
182,3.466,0.233939100818461
183,3.474,0.0874164109109104
184,3.481,0.0294697891355411
185,3.489,0.0458137080978248
186,3.496,0.0853181561261737
187,3.504,0.0436139833062269
188,3.511,0.0231931444254136
189,3.519,0.0220081197024276
190,3.526,0.0132853230411822
191,3.534,0.00943308670927368
192,3.541,0.0112849143344903
193,3.549,0.0176992683396437
194,3.557,0.0234794348019148
195,3.564,0.0250485959794467
196,3.572,0.0147240227813212
197,3.579,0.0099658042452949
198,3.587,0.0174093540343261
199,3.594,0.0108971539511279
200,3.602,0.0146805356355235
201,3.609,0.0198518820566274
202,3.617,0.010382556059189
203,3.624,0.0271577225506327
204,3.632,0.00168875082847543
205,3.639,0.0121872726097915
206,3.647,0.0172825165257496
207,3.655,0.0183262080248932
208,3.662,0.0127127422881798
209,3.670,0.0211021374983099
210,3.677,0.0066064222324264
211,3.685,0.00872279666124539
212,3.692,0.019348155951138
213,3.700,0.0126583833559328
214,3.707,0.0148327406458153
215,3.715,0.00982809495026901
216,3.722,0.010574624286462
217,3.730,0.0950447810695816
218,3.737,0.146761869209437
219,3.745,0.0725691745498292
220,3.752,0.0547213251287102
221,3.760,0.0506878923559781
222,3.768,0.0416606856741491
223,3.775,0.0451179137650624
224,3.783,0.0325537525583578
225,3.790,0.0275817222221598
226,3.798,0.033847495145838
227,3.805,0.036271903524057
228,3.813,0.025381997430562
229,3.820,0.0336916662067297
230,3.828,0.0456397595146342
231,3.835,0.0228162558285006
232,3.843,0.0158800560737754
233,3.850,0.0280745765411998
234,3.858,0.0372829796638523
235,3.865,0.00859595915266891
236,3.873,0.0178840887092838
237,3.881,0.0228416233302159
238,3.888,0.0208194710506252
239,3.896,0.0101614964013843
240,3.903,0.0200620699279828
241,3.911,0.014368877757307
242,3.918,0.0142855273945282
243,3.926,0.0176304136921308
244,3.933,0.0155865178396412
245,3.941,0.0141478180995023
246,3.948,0.0087844034511254
247,3.956,0.0139231345128811
248,3.963,0.0273497907779057
249,3.971,0.0919137065721507
250,3.979,0.076138744434053
251,3.986,0.024820288464009
252,3.994,0.0196271984700062
253,4.001,0.0280347133242187
254,4.009,0.0174419693936743
255,4.016,0.0183298319537097
256,4.024,0.0302525577598988
257,4.031,0.0114697347041303
258,4.039,0.0211927357187217
259,4.046,0.0256791595935126
260,4.054,0.0196851813310698
261,4.061,0.0206165310369028
262,4.069,0.00900908703774659
263,4.076,0.0241824769923101
264,4.084,0.0344744348310874
265,4.092,0.0391384312178854
266,4.099,0.0312418903267954
267,4.107,0.0217399489700088
268,4.114,0.0199134888465074
269,4.122,0.0144123649031047
270,4.129,0.0237802208936819
271,4.137,0.0299626434545812
272,4.144,0.0145247066964153
273,4.152,0.0253530060000302
274,4.159,0.0223777604417076
275,4.167,0.0193807713104862
276,4.174,0.0247260663147808
277,4.182,0.0134012887633093
278,4.190,0.023519298018896
279,4.197,0.0232728708593759
280,4.205,0.0301945748988353
281,4.212,0.014800125286467
282,4.220,0.0166592007693166
283,4.227,0.0128468276543892
284,4.235,0.0191270962933333
285,4.242,0.0231496572796159
286,4.250,0.0911128183037107
287,4.257,0.377964903771463
288,4.265,0.345595971582745
289,4.272,0.0769939916347402
290,4.280,0.025628424590082
291,4.287,0.0223922561569735
292,4.295,0.0205585481758393
293,4.303,0.00779507088422885
294,4.310,0.0210586503525122
295,4.318,0.00966139422471135
296,4.325,0.0156843639176859
297,4.333,0.0169418672170013
298,4.340,0.017039713295046
299,4.348,0.0178079862041379
300,4.355,0.0154089453276341
301,4.363,0.00783131017239356
302,4.370,0.00674413152745229
303,4.378,0.0210405307084299
304,4.385,0.0169744825763496
305,4.393,0.0224103758010559
306,4.401,0.00918303562093719
307,4.408,0.0158039535686295
308,4.416,0.115784525686244
309,4.423,0.150371302310642
310,4.431,0.0483033471947403
311,4.438,0.0321080093139319
312,4.446,0.0136368441363799
313,4.453,0.00932799277359603
314,4.461,0.0136585877092787
315,4.468,0.0193046688053403
316,4.476,0.0249543738302184
317,4.483,0.0236533833851054
318,4.491,0.0206346506809851
319,4.498,0.0190618655746368
320,4.506,0.0178297297770367
321,4.514,0.0183080883808108
322,4.521,0.0215696243156346
323,4.529,0.0172571490240343
324,4.536,0.00878802737994187
325,4.544,0.0117705207958974
326,4.551,0.0217906839734394
327,4.559,0.00803425018611592
328,4.566,0.0205621721046557
329,4.574,0.00985708638080077
330,4.581,0.0134411519802905
331,4.589,0.0137781773602223
332,4.596,0.0003732646680965
333,4.604,0.0114334954159656
334,4.612,0.0132853230411822
335,4.619,0.0222146836449664
336,4.627,0.0124953065591916
337,4.634,0.0105383849982973
338,4.642,0.0118574950874927
339,4.649,0.00815021590824299
340,4.657,0.017539815471719
341,4.664,0.0159960217959024
342,4.672,0.00475821853602626
