#"+EI TIC Scan TOL-PEEK-2Day.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0716906942056444
1,2.102,0.0689406243678475
2,2.110,0.0656012538505227
3,2.117,0.060255994481728
4,2.125,0.064600198209017
5,2.132,0.0567617436576042
6,2.140,0.0607999643397538
7,2.147,0.0480922240453187
8,2.155,0.0514693702472286
9,2.162,0.0458105726963774
10,2.170,0.0510953909698359
11,2.177,0.0490252834545712
12,2.185,0.0563499886956264
13,2.193,0.0563877643802115
14,2.200,0.0606073083483696
15,2.208,0.0482962127420784
16,2.215,0.0307758502314988
17,2.223,0.0425731965274324
18,2.230,0.0594400396946894
19,2.238,0.105499931909329
20,2.245,0.0772097217235307
21,2.253,0.0587298568244891
22,2.260,0.0456254718419103
23,2.268,0.0507705200824039
24,2.275,0.0555491441824218
25,2.283,0.0531050573897644
26,2.291,0.0630967259625292
27,2.298,0.0407637412358051
28,2.306,0.03935470820078
29,2.313,0.043358930766803
30,2.321,0.0432607139868816
31,2.328,0.0342814337609982
32,2.336,0.0290343911721247
33,2.343,0.0426978562865633
34,2.351,0.0489950629069031
35,2.358,0.0454932569458623
36,2.366,0.0450210608885483
37,2.373,0.0429849514894102
38,2.381,0.0337072433553043
39,2.388,0.0327401858299252
40,2.396,0.026809403350061
41,2.404,0.025407925451953
42,2.411,0.0430340598793709
43,2.419,0.0630778381202366
44,2.426,0.0316295807031226
45,2.434,0.048492646301921
46,2.441,0.285965709877832
47,2.449,0.29917208920879
48,2.456,0.0647021925573968
49,2.464,0.0486513041771785
50,2.471,0.0399100107641813
51,2.479,0.0339452301681906
52,2.486,0.0322339916564845
53,2.494,0.038735186973584
54,2.502,0.0294876993871462
55,2.509,0.0648419625903618
56,2.517,0.0716000325626401
57,2.524,0.0696885829226329
58,2.532,0.0597686881505799
59,2.539,0.0386218599198287
60,2.547,0.0376396921206155
61,2.554,0.0351049436849538
62,2.562,0.0340925553380725
63,2.569,0.0460901127623073
64,2.577,0.047253603847529
65,2.584,0.0390865008402257
66,2.592,0.0443713191136842
67,2.599,0.0314709228278651
68,2.607,0.0413190437992064
69,2.615,0.0355166986469316
70,2.622,0.0386294150567457
71,2.630,0.042429648926009
72,2.637,0.0382781011901041
73,2.645,0.0581707766926293
74,2.652,0.045070169278509
75,2.660,0.0512011628866743
76,2.667,0.0448964011294174
77,2.675,0.0283242083019244
78,2.682,0.041655247392014
79,2.690,0.037031503598795
80,2.697,0.0322566570672356
81,2.705,0.0413945951683766
82,2.713,0.0324228700794102
83,2.720,0.0306398577669924
84,2.728,0.0371977166109696
85,2.735,0.0366273037737342
86,2.743,0.0373979277392707
87,2.750,0.0577514665937344
88,2.758,0.069541257752751
89,2.765,0.0532448274227294
90,2.773,0.0519189008937916
91,2.780,0.0368917335658301
92,2.788,0.0455914737257837
93,2.795,0.0807304155268641
94,2.803,0.0470345048769353
95,2.810,0.035932231177368
96,2.818,0.0366575243214023
97,2.826,0.0460221165300541
98,2.833,0.0570639491342852
99,2.841,0.0326004157969602
100,2.848,0.0387314094051255
101,2.856,0.0307267418415382
102,2.863,0.0426034170751005
103,2.871,0.0378436808173752
104,2.878,0.0412321597246606
105,2.886,0.0402084386724038
106,2.893,0.0336052490069245
107,2.901,0.0434231494305977
108,2.908,0.0438122389818244
109,2.916,0.0515335889110233
110,2.924,0.0495503654703044
111,2.931,0.046471647176617
112,2.939,0.0515524767533159
113,2.946,0.0459843408454689
114,2.954,0.0433702634721785
115,2.961,0.0380061162610912
116,2.969,0.0912207231361524
117,2.976,2.88766776889818
118,2.984,23.0170003802123
119,2.991,63.7173162415989
120,2.999,100
121,3.006,14.6765069806632
122,3.014,0.138066349590162
123,3.021,0.0984774321449544
124,3.029,0.0699983435362309
125,3.037,0.0653292689215099
126,3.044,0.0590018417535019
127,3.052,0.059466482673899
128,3.059,0.0872882743708413
129,3.067,0.071569812014972
130,3.074,0.0562668821895391
131,3.082,0.0645397571136808
132,3.089,0.0451532757845962
133,3.097,0.0450890571208015
134,3.104,0.0586769708660699
135,3.112,0.0533543769080262
136,3.119,0.0289815052137055
137,3.127,0.0458143502648359
138,3.134,0.0677809108510843
139,3.142,0.0743123267158519
140,3.150,0.0769944003213955
141,3.157,0.0387314094051255
142,3.165,0.0410810569863201
143,3.172,0.0541212233051042
144,3.180,0.0556851366469282
145,3.187,0.0385236431399073
146,3.195,0.046324322006735
147,3.202,0.0387087439943744
148,3.210,0.0382818787585626
149,3.217,0.0309496183805904
150,3.225,0.0340358918111949
151,3.232,0.0297559067477005
152,3.240,0.0319393413167206
153,3.248,0.0363930945293065
154,3.255,0.0393207100846534
155,3.263,0.0804848735770608
156,3.270,0.160659986540524
157,3.278,0.0889201839449185
158,3.285,0.0342058823918279
159,3.293,0.0299976711290453
160,3.300,0.0337412414714309
161,3.308,0.0594400396946894
162,3.315,0.058382320526306
163,3.323,0.0491235002344926
164,3.330,0.0341076656119066
165,3.338,0.0241197746076004
166,3.345,0.0288795108653257
167,3.353,0.0317957937152971
168,3.361,0.0225860818134444
169,3.368,0.0186234125004651
170,3.376,0.0241084419022248
171,3.383,0.0251359405229401
172,3.391,0.0154502549953149
173,3.398,0.0204668659082191
174,3.406,0.0159866697164236
175,3.413,0.0154993633852755
176,3.421,0.0157373501981618
177,3.428,0.0253965927465775
178,3.436,0.0237873485832513
179,3.443,0.0233642609158979
180,3.451,0.0373941501708122
181,3.459,0.143101848345359
182,3.466,0.20190347897056
183,3.474,0.0783996557879621
184,3.481,0.0412094943139095
185,3.489,0.0500074512537844
186,3.496,0.072948624502329
187,3.504,0.0317995712837556
188,3.511,0.02432376330436
189,3.519,0.0202288790953328
190,3.526,0.0211430506622927
191,3.534,0.0193260402337484
192,3.541,0.0233038198205617
193,3.549,0.0259367850361447
194,3.556,0.0270171696152792
195,3.564,0.0324153149424931
196,3.572,0.0224840874650646
197,3.579,0.0199040082079007
198,3.587,0.0261369961644459
199,3.594,0.0224274239381869
200,3.602,0.0262012148282406
201,3.609,0.0307418521153722
202,3.617,0.0104147562401181
203,3.624,0.0139127846327004
204,3.632,0.0232849319782692
205,3.639,0.0181776594223607
206,3.647,0.0214188131597641
207,3.654,0.0139618930226611
208,3.662,0.0116462435575931
209,3.670,0.0165835255328685
210,3.677,0.013009945771116
211,3.685,0.0165004190267813
212,3.692,0.024478643611159
213,3.700,0.0133801474800502
214,3.707,0.0117331276321389
215,3.715,0.0247317406978793
216,3.722,0.00967813039070824
217,3.730,0.0118766752335623
218,3.737,0.0110229447619386
219,3.745,0.0257592393185946
220,3.752,0.0119522266027326
221,3.760,0.0206293013519351
222,3.767,0.0100105564150573
223,3.775,0.0137390164836088
224,3.783,0.00812554975425973
225,3.790,0.00859019067465673
226,3.798,0.00580612272073324
227,3.805,0.0219552278808729
228,3.813,0.0120240004034443
229,3.820,0.0050506090290308
230,3.828,0.0194318121505867
231,3.835,0.0147929580835337
232,3.843,0.0121108844779901
233,3.850,0.0156655763974501
234,3.858,0.0112118231848642
235,3.865,0.0152122681824286
236,3.873,0.00876018125528978
237,3.880,0.0153104849623499
238,3.888,0.0149667262326253
239,3.896,0.00563235457164168
240,3.903,0.0246221912125825
241,3.911,0.0113931464708728
242,3.918,0.016742183408126
243,3.926,0.0129041738542777
244,3.933,0.0204781986135946
245,3.941,0.0106074122315022
246,3.948,0.0156693539659086
247,3.956,0.0124206450915881
248,3.963,0.0230280573230903
249,3.971,0.0766846397077975
250,3.978,0.0428036282034017
251,3.986,0.00821621139726402
252,3.994,0.0137239062097748
253,4.001,0.00905105402659521
254,4.009,0.0120655536564879
255,4.016,0.0085826355377397
256,4.024,0.0178565661033871
257,4.031,0.0276366908424752
258,4.039,0.0133008185424214
259,4.046,0.00682606620453153
260,4.054,0.0106640757583799
261,4.061,0.0221894371253006
262,4.069,0.0100294442573499
263,4.076,0.0183589827083693
264,4.084,0.0232811544098106
265,4.091,0.0692957158029477
266,4.099,0.0806548641576938
267,4.107,0.0398382369634696
268,4.114,0.0221705492830081
269,4.122,0.0166137460805366
270,4.129,0.00897172508896646
271,4.137,0.00947036412549007
272,4.144,0.020908841417865
273,4.152,0.0120315555403613
274,4.159,0.0124924188922998
275,4.167,0.0123375385855008
276,4.174,0.0163908695414844
277,4.182,0.0161982135501003
278,4.189,0.0226842985933657
279,4.197,0.0079631143105437
280,4.205,0.0113327053755366
281,4.212,0.0128815084435266
282,4.220,0.0144605320591847
283,4.227,0.0204177575182584
284,4.235,0.0109813915088949
285,4.242,0.0222045473991347
286,4.250,0.128935966625938
287,4.257,0.380287816718422
288,4.265,0.218887426760031
289,4.272,0.0470382824453938
290,4.280,0.0182456556546139
291,4.287,0.015480475542983
292,4.295,0.0126888524521425
293,4.302,0.0180832202108979
294,4.310,0.0131988241940416
295,4.318,0.0129910579288234
296,4.325,0.0189369506825216
297,4.333,0.0153558157838521
298,4.340,0.0121448825941167
299,4.348,0.012862620601234
300,4.355,0.00253474843566168
301,4.363,0.00955347063157734
302,4.370,0.0131383830987054
303,4.378,0.0155862474598213
304,4.385,0.0140412219602898
305,4.393,0.0138485659689057
306,4.400,0.0138334556950717
307,4.408,0.0217927924371568
308,4.416,0.118203894635305
309,4.423,0.0965924254841568
310,4.431,0.0343116543086662
311,4.438,0.0264883100310875
312,4.446,0.0214414785705152
313,4.453,0.0120844414987805
314,4.461,0.0221781044199251
315,4.468,0.00927015299718892
316,4.476,0.0170141683371389
317,4.483,0.0112458213009908
318,4.491,0.00896416995204944
319,4.498,0.00783089941449578
320,4.506,0.0108982850028077
321,4.513,0.0216454672672749
322,4.521,0.00797822458437775
323,4.529,0.0043668691380401
324,4.536,0.00186611881850502
325,4.544,0.0111891577741131
326,4.551,0.0104525319247032
327,4.559,0.0086430766330759
328,4.566,0.00920593433339422
329,4.574,0.0138221229896961
330,4.581,0.0114082567447068
331,4.589,0.00619898984041851
332,4.596,0.00658807939164526
333,4.604,0.0125490824191775
334,4.611,0.00663718778160592
335,4.619,0.0141961022670888
336,4.627,0.0127908468005223
337,4.634,0.0116764641052612
338,4.642,0.0155371390698607
339,4.649,0.0128663981696925
340,4.657,0.012382869407003
341,4.664,0.0135312502183907
342,4.672,0.0135539156291418
343,4.679,0.0112684867117419
344,4.687,0.0087677363922068
345,4.694,0.0109738363719779
346,4.702,0.00459730081400934
347,4.709,0.00999922370968178
348,4.717,0.00605921980745356
349,4.724,0.00884328776137704
350,4.732,0.00534903693725327
351,4.740,0.00849197389473541
352,4.747,0.006659853192357
353,4.755,0.00762691071773612
354,4.762,0.00421954396815812
355,4.770,0.0116915743790952
356,4.777,0.00881684478216746
357,4.785,0.0104449767877862
358,4.792,0.0110758307203578
359,4.800,0.0130930522772033
360,4.807,0.00411754961977829
361,4.815,0.016254877076978
362,4.822,0.0185478611312949
363,4.830,0.0161491051601396
364,4.837,0.015038500033337
365,4.845,0.0199153409132763
366,4.853,0.00599122357520034
367,4.860,0.0091077175534729
368,4.868,0.0133461493639236
369,4.875,0.00957991361078692
370,4.883,0.00948925196778263
371,4.890,0.0097272387806689
372,4.898,0.0101692142903148
373,4.905,0.00826154221876617
374,4.913,0.0182985416130331
375,4.920,0.0149553935272498
376,4.928,0.011004056919646
377,4.935,0.0135350277868492
378,4.943,0.0152613765723893
379,4.951,0.0112458213009908
380,4.958,0.033004615622021
381,4.966,0.0236022477287842
382,4.973,0.024486198748076
383,4.981,0.0149251729795817
384,4.988,0.0176450222697105
385,4.996,0.00452552701329761
386,5.003,0.0137390164836088
387,5.011,0.0133914801854257
388,5.018,0.0110493877411482
389,5.026,0.0144416442168921
390,5.033,0.00993500504588707
391,5.041,0.0121562152994922
392,5.048,0.00801977783742139
393,5.056,0.0158355669780831
394,5.064,0.0136596875459801
395,5.071,0.0103543151447819
396,5.079,0.0083030954718098
397,5.086,0.0156806866712841
398,5.094,0.00501661091290419
399,5.101,0.0141847695617133
400,5.109,0.00897550265742497
401,5.116,0.0132441550155438
402,5.124,0.0158922305049608
403,5.131,0.0178225679872605
404,5.139,0.00831065060872683
405,5.146,0.0148005132204508
406,5.154,0.0122544320794136
407,5.162,0.0138938967904078
408,5.169,0.0146418553451933
409,5.177,0.00963279956920609
410,5.184,0.0104714197669958
411,5.192,0.0139241173380759
412,5.199,0.00764202099157017
413,5.207,0.0143396498685123
414,5.214,0.0150536103071711
415,5.222,0.0113478156493706
416,5.229,0.00540947803258946
417,5.237,0.0102107675433585
418,5.244,0.0136181342929365
419,5.252,0
420,5.259,0.0110871634257333
421,5.267,0.0200475558093242
422,5.275,0.0130477214557011
423,5.282,0.00724537630342639
424,5.290,0.0161377724547641
425,5.297,0.0183514275714522
426,5.305,0.013946782748827
427,5.312,0.0124130899546711
428,5.320,0.00578723487844068
429,5.327,0.0137616818943599
430,5.335,0.0141998798355473
431,5.342,0.0123715367016274
432,5.350,0.0108642868866811
433,5.357,0.00597611330136629
434,5.365,0.009137938101141
435,5.373,0.00304472017756083
436,5.380,0.0152764868462233
437,5.388,0.00577967974152366
438,5.395,0.0165419722798249
439,5.403,0.00833709358793641
440,5.410,0.0175430279213306
441,5.418,0.0197113522165166
442,5.425,0.00938348005094429
443,5.433,0.0181172183270245
444,5.440,0.0181625491485266
445,5.448,0.00651630559093353
446,5.455,0.00578723487844068
447,5.463,0.0062594309357547
448,5.470,0.0208748433017384
449,5.478,0.00634253744184197
450,5.486,0.00885462046675258
451,5.493,0.0120391106772784
452,5.501,0.0112307110271568
453,5.508,0.00930037354485702
454,5.516,0.0227711826679115
455,5.523,0.0223254295898071
456,5.531,0.0122015461209944
457,5.538,0.0132857082685874
458,5.546,0.0086430766330759
459,5.553,0.00715471466042209
460,5.561,0.00954591549466031
461,5.568,0.0223329847267241
462,5.576,0.0113667034916632
463,5.583,0.0155862474598213
464,5.591,0.009137938101141
465,5.599,0.0128588430327755
466,5.606,0.00658052425472824
467,5.614,0.012537749713802
468,5.621,0.00627454120958875
469,5.629,0.0102712086386947
470,5.636,0.0111627147949035
471,5.644,0.00599877871211736
472,5.651,0.0150876084232977
473,5.659,0.0124244226600466
474,5.666,0.0140261116864558
475,5.674,0.00726804171417746
476,5.681,0.0104714197669958
477,5.689,0.00747203041093712
478,5.697,0.0162662097823535
479,5.704,0.0112344885956153
480,5.712,0.0148042907889093
481,5.719,0.00741158931560092
482,5.727,0.0142905414785516
483,5.734,0.0101314386057297
484,5.742,0.0147098515774465
485,5.749,0.00684117647836558
486,5.757,0.0135765810398928
487,5.764,0.014706074008988
488,5.772,0.0163870919730259
489,5.779,0.00813310489117675
490,5.787,0.014876064589621
491,5.794,0.0121939909840774
492,5.802,0.0131988241940416
493,5.810,0.0132932634055044
494,5.817,0.0101541040164808
495,5.825,0.0100030012781403
496,5.832,0.016587303101327
497,5.840,0.0130363887503256
498,5.847,0.0151253841078828
499,5.855,0.00343003216032907
500,5.862,0.0170481664532655
501,5.870,0.00952702765236775
502,5.877,0.00540570046413095
503,5.885,0.00941370059861239
504,5.892,0.0108151784967204
505,5.900,0.00394000390222822
506,5.908,0.0086430766330759
507,5.915,0.00511482769282551
508,5.923,0.022000558702375
509,5.930,0.0185063078782512
510,5.938,0.0152047130455116
511,5.945,0.00630853932571536
512,5.953,0.0136407997036875
513,5.960,0.0159073407787948
514,5.968,0.0170217234740559
