#"+EI TIC Scan TOL-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0787875453400609
1,2.102,0.0762139480887287
2,2.110,0.0768614717561312
3,2.117,0.0640512264634427
4,2.125,0.0849369580030997
5,2.133,0.0607146236167636
6,2.140,0.0615601163034994
7,2.148,0.0571429325596264
8,2.155,0.0586895655231674
9,2.163,0.0525896451149618
10,2.170,0.0628097957380405
11,2.178,0.0635810500425262
12,2.185,0.0524906606052952
13,2.193,0.0562438232634879
14,2.200,0.0605290276611387
15,2.208,0.0605414007248471
16,2.215,0.0569779583768487
17,2.223,0.0564665384102378
18,2.230,0.0705470849103147
19,2.238,0.118608188708029
20,2.246,0.0803506757218796
21,2.253,0.0560087350530297
22,2.261,0.0586483219774729
23,2.268,0.0726793762227165
24,2.276,0.0666784403241776
25,2.283,0.0775131197781031
26,2.291,0.0608837221541108
27,2.298,0.0423364996553277
28,2.306,0.0462546364962981
29,2.313,0.043392334425105
30,2.321,0.0389545289083848
31,2.328,0.0395236898389679
32,2.336,0.0517606498465039
33,2.344,0.0413714006860781
34,2.351,0.0611146860099996
35,2.359,0.0678786275038853
36,2.366,0.0557324032968771
37,2.374,0.0522308262674203
38,2.381,0.051360587453268
39,2.389,0.0305985865506942
40,2.396,0.0354405788152198
41,2.404,0.0418498258161335
42,2.411,0.0527298731703229
43,2.419,0.0642945633830398
44,2.426,0.0455906154106179
45,2.434,0.0640553508180121
46,2.441,0.261125260855116
47,2.449,0.401208963806232
48,2.457,0.0883148043954731
49,2.464,0.047269227720381
50,2.472,0.0438996300371464
51,2.479,0.0417178464699113
52,2.487,0.0312048666724023
53,2.494,0.0216074935893095
54,2.502,0.0478466373601029
55,2.509,0.0720359769098834
56,2.517,0.0781565190909362
57,2.524,0.0711863598685783
58,2.532,0.0875353013818485
59,2.539,0.0552704755850995
60,2.547,0.0419900538714945
61,2.554,0.0366696364769136
62,2.562,0.0475414351219642
63,2.570,0.0353250968872754
64,2.577,0.0427654325305497
65,2.585,0.0378863210748992
66,2.592,0.0431613705692162
67,2.600,0.0479827410608945
68,2.607,0.039767026758565
69,2.615,0.0423818675555916
70,2.622,0.0365665276126776
71,2.630,0.029394275016417
72,2.637,0.0483951765178388
73,2.645,0.0678580057310381
74,2.652,0.0560376055350158
75,2.660,0.0449595891614931
76,2.668,0.0350281433582755
77,2.675,0.0371893051526634
78,2.683,0.0328628572093182
79,2.690,0.0452812888179097
80,2.698,0.0421385306359944
81,2.705,0.0398907573956483
82,2.713,0.0454173925187013
83,2.720,0.0429963963864385
84,2.728,0.0317905250212631
85,2.735,0.0489024721298802
86,2.743,0.0303016330216944
87,2.750,0.0642904390284703
88,2.758,0.0676559123571354
89,2.765,0.0523380594862259
90,2.773,0.0452606670450625
91,2.781,0.0467866782357562
92,2.788,0.0431861166966329
93,2.796,0.0860216632548631
94,2.803,0.0769769536840756
95,2.811,0.0396845396671761
96,2.818,0.0400804777058426
97,2.826,0.0407156283095368
98,2.833,0.046617579698409
99,2.841,0.0445966459593822
100,2.848,0.0436356713447021
101,2.856,0.0402619493068981
102,2.863,0.0459618073218677
103,2.871,0.0502923796197823
104,2.879,0.0336176140955262
105,2.886,0.0354900710700531
106,2.894,0.0435573086078827
107,2.901,0.0501604002735602
108,2.909,0.0396845396671761
109,2.916,0.0454008951004235
110,2.924,0.0569862070859876
111,2.931,0.0471331240195894
112,2.939,0.0391360005094403
113,2.946,0.0599928615671112
114,2.954,0.0390988813183153
115,2.961,0.035564309452303
116,2.969,0.0608218568355692
117,2.976,1.82728291892781
118,2.984,20.4982525522125
119,2.992,60.7134275539385
120,2.999,100
121,3.007,32.8468629622979
122,3.014,0.196966801172867
123,3.022,0.102040656402578
124,3.029,0.0765645182271313
125,3.037,0.0660309166567751
126,3.044,0.0528041115525729
127,3.052,0.0631191223307487
128,3.059,0.0912554692034857
129,3.067,0.079711400763616
130,3.074,0.0665299635596776
131,3.082,0.0634490706963041
132,3.090,0.0537073452032808
133,3.097,0.0409795870019811
134,3.105,0.0556870353966132
135,3.112,0.057279036260418
136,3.120,0.0328133649544849
137,3.127,0.0636635371339151
138,3.135,0.0782884984371583
139,3.142,0.0834480660035309
140,3.150,0.0916349098238744
141,3.157,0.0560087350530297
142,3.165,0.0376924764101354
143,3.172,0.0544249828983638
144,3.180,0.062702562519235
145,3.187,0.0428437952673691
146,3.195,0.0620344170789853
147,3.203,0.0502305143012407
148,3.210,0.0320586080682769
149,3.218,0.0410332036113838
150,3.225,0.0371068180612745
151,3.233,0.030755312024333
152,3.240,0.0356509208982613
153,3.248,0.024659515970697
154,3.255,0.0213311618331568
155,3.263,0.0432232358877578
156,3.270,0.068480783271024
157,3.278,0.0446873817599099
158,3.285,0.0398165190133983
159,3.293,0.0251998064192939
160,3.300,0.0311512500629995
161,3.308,0.0583554928030425
162,3.316,0.0611311834282773
163,3.323,0.056346932127724
164,3.331,0.0352013662501921
165,3.338,0.0299098193375973
166,3.346,0.0268248021196543
167,3.353,0.0239954948850167
168,3.361,0.0188029324820885
169,3.368,0.0143403808379517
170,3.376,0.028350813310348
171,3.383,0.0247749978986413
172,3.391,0.019273108903005
173,3.398,0.0198546428972964
174,3.406,0.0227169449684895
175,3.414,0.0280786059087648
176,3.421,0.0204403012461572
177,3.429,0.00388101764984543
178,3.436,0.0187163210361303
179,3.444,0.0137217276525353
180,3.451,0.0379316889751631
181,3.459,0.167329189236853
182,3.466,0.258312451038756
183,3.474,0.107031125431603
184,3.481,0.0445265319317017
185,3.489,0.0595309338553336
186,3.496,0.103051123272091
187,3.504,0.0429015362313413
188,3.511,0.0219993072734065
189,3.519,0.0169593459895477
190,3.527,0.0172521751639782
191,3.534,0.0147115727492015
192,3.542,0.00963449227421778
193,3.549,0.0215167577887817
194,3.557,0.0334980078130123
195,3.564,0.0432356089514662
196,3.572,0.0186503313630192
197,3.579,0.0216074935893095
198,3.587,0.0328669815638876
199,3.594,0.0186874505541442
200,3.602,0.0246636403252664
201,3.609,0.022972654951795
202,3.617,0.0198917620884214
203,3.625,0.0127318825558691
204,3.632,0.0145713446938405
205,3.640,0.0248203657989052
206,3.647,0.0184647354073943
207,3.655,0.00919731068985687
208,3.662,0.0322813232150268
209,3.670,0.0250802001367801
210,3.677,0.023541815882378
211,3.685,0.0253730293112105
212,3.692,0.0120926075976055
213,3.700,0.0188977926371857
214,3.707,0.0135814995971743
215,3.715,0.0256328636490854
216,3.722,0.0179986833410473
217,3.730,0.0216611101987122
218,3.738,0.0214837629522262
219,3.745,0.0206011510743655
220,3.753,0.015218868361243
221,3.760,0.0205722805923794
222,3.768,0.026989776302432
223,3.775,0.0226633283590868
224,3.783,0.0156807960730205
225,3.790,0.0177017298120474
226,3.798,0.0173264135462281
227,3.805,0.0159983713748676
228,3.813,0.0089580981248292
229,3.820,0.0151899978792569
230,3.828,0.0202547052905323
231,3.836,0.0105212285066479
232,3.843,0.0249647182088357
233,3.851,0.0172810456459642
234,3.858,0.0291633111605282
235,3.866,0.0182213984877971
236,3.873,0.015973625247451
237,3.881,0.0143568782562295
238,3.888,0.0198876377338519
239,3.896,0.0183080099337554
240,3.903,0.0108841717087589
241,3.911,0.0151611273972708
242,3.918,0.0181347870418389
243,3.926,0.01087592299962
244,3.933,0.0232613597716559
