#"+EI TIC Scan TOL-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0766284433229697
1,2.102,0.0715385589096828
2,2.110,0.0773576222473855
3,2.117,0.0602344895740345
4,2.125,0.0585749789184675
5,2.132,0.0666426432743194
6,2.140,0.0645197627603797
7,2.147,0.0534671344331507
8,2.155,0.0499038561424093
9,2.162,0.0480934808817907
10,2.170,0.0470302446176179
11,2.178,0.0414554382595225
12,2.185,0.0443972980580277
13,2.193,0.0518686880224854
14,2.200,0.0535066465916166
15,2.208,0.0402126012750502
16,2.215,0.0462148573474583
17,2.223,0.0441171209343605
18,2.230,0.0959534808271921
19,2.238,0.12826005839466
20,2.245,0.0705687150200657
21,2.253,0.0568472199891866
22,2.260,0.0535030545772106
23,2.268,0.0628171479319408
24,2.275,0.0455215985671023
25,2.283,0.0570699248823579
26,2.291,0.0578565760372696
27,2.298,0.0410064364587738
28,2.306,0.0520842088868448
29,2.313,0.0487364514604628
30,2.321,0.0354711422591443
31,2.328,0.0310385964821535
32,2.336,0.0188724436890678
33,2.343,0.0376371269459558
34,2.351,0.0420804487661646
35,2.358,0.0482658975732782
36,2.366,0.0477630155564397
37,2.373,0.0414195181154626
38,2.381,0.0327268432529685
39,2.389,0.0367211632724286
40,2.396,0.0282476012886998
41,2.404,0.0311283968423032
42,2.411,0.0427054592728067
43,2.419,0.0585210987023776
44,2.426,0.0439339281996551
45,2.434,0.0552379975353034
46,2.441,0.266412524463414
47,2.449,0.328026347569349
48,2.456,0.0805581070831219
49,2.464,0.0341349129001163
50,2.471,0.0381148648619524
51,2.479,0.0448391158299644
52,2.486,0.0321700810200401
53,2.494,0.0190951485822391
54,2.502,0.0471811092226694
55,2.509,0.0587042914370831
56,2.517,0.0642216255646826
57,2.524,0.0603099218765603
58,2.532,0.0693546141508413
59,2.539,0.0383878579568076
60,2.547,0.0306362908686827
61,2.554,0.0299466241027328
62,2.562,0.032892075915644
63,2.569,0.0370588126265916
64,2.577,0.0424073220771096
65,2.584,0.0433915340243507
66,2.592,0.0344474181534373
67,2.599,0.0226476508297625
68,2.607,0.0391134448668174
69,2.615,0.0318432077090951
70,2.622,0.0223531056484714
71,2.630,0.0276477348828996
72,2.637,0.0612258855500876
73,2.645,0.059411918275063
74,2.652,0.0580146246711331
75,2.660,0.0422061692703742
76,2.667,0.0309811242516577
77,2.675,0.0316169108015178
78,2.682,0.0336284388688718
79,2.690,0.0295012143163901
80,2.697,0.0385351305474532
81,2.705,0.0378849759399691
82,2.713,0.0441243049631725
83,2.720,0.0433268777650429
84,2.728,0.0348317636948782
85,2.735,0.0276441428684936
86,2.743,0.0312541173465129
87,2.750,0.0476193349802001
88,2.758,0.0556690392640221
89,2.765,0.0490130365697239
90,2.773,0.0407011152342647
91,2.780,0.0489771164256641
92,2.788,0.0301801050391221
93,2.795,0.0715241908520589
94,2.803,0.0614270383568229
95,2.810,0.0444870984181774
96,2.818,0.0358698558582091
97,2.826,0.0539951605508311
98,2.833,0.0557588396241718
99,2.841,0.0353633818269646
100,2.848,0.0249860522080615
101,2.856,0.0366062188114369
102,2.863,0.040952556242684
103,2.871,0.045632951013688
104,2.878,0.0465165865575614
105,2.886,0.0411249729341715
106,2.893,0.0264336340136752
107,2.901,0.0407011152342647
108,2.908,0.0566891713553231
109,2.916,0.111693687954237
110,2.924,0.120849732675104
111,2.931,0.0677669437833941
112,2.939,0.0564700584765577
113,2.946,0.0560641608486809
114,2.954,0.0535677108365184
115,2.961,0.0373210296782288
116,2.969,0.0715313748808708
117,2.976,1.65465066007575
118,2.984,18.1963367775004
119,2.991,58.0954952834696
120,2.999,100
121,3.006,51.729317863533
122,3.014,0.225097174765725
123,3.021,0.0790494610326064
124,3.029,0.0758238320960281
125,3.037,0.084911628543181
126,3.044,0.0775875111693688
127,3.052,0.0595771509377385
128,3.059,0.0795774871502869
129,3.067,0.0736973595676824
130,3.074,0.0431688291311794
131,3.082,0.0624363944049059
132,3.089,0.0465201785719674
133,3.097,0.0337218312434275
134,3.104,0.0525403947164054
135,3.112,0.027529198407502
136,3.119,0.0190017562076834
137,3.127,0.0321197928183563
138,3.135,0.0578206558932097
139,3.142,0.0789632526868627
140,3.150,0.0813052460795677
141,3.157,0.0347850675076003
142,3.165,0.034565954628835
143,3.172,0.0443218657555019
144,3.180,0.0507264274413808
145,3.187,0.0476839912395079
146,3.195,0.0505971149227652
147,3.202,0.0490597327570018
148,3.210,0.0286463148877646
149,3.217,0.0252482692596988
150,3.225,0.0380753527034865
151,3.232,0.0185599384357467
152,3.240,0.0323173536106857
153,3.248,0.0271628129380911
154,3.255,0.0285601065420209
155,3.263,0.0294437420858943
156,3.270,0.05099582852183
157,3.278,0.0364230260767315
158,3.285,0.0267605073246203
159,3.293,0.0305824106525929
160,3.300,0.0270478684770994
161,3.308,0.059724423528384
162,3.315,0.0504606183753376
163,3.323,0.0440847928047066
164,3.330,0.0441602251072324
165,3.338,0.020126056716758
166,3.345,0.0307440513008624
167,3.353,0.0233049894660586
168,3.361,0.023829423569333
169,3.368,0.0148853076984196
170,3.376,0.0120332482600641
171,3.383,0.0139262398520205
172,3.391,0.014763179208616
173,3.398,0.00650154607484063
174,3.406,0.0249393560207837
175,3.413,0.024842371631822
176,3.421,0.0171482767741929
177,3.428,0.0139908961113283
178,3.436,0.0151259726636209
179,3.443,0.00598070398597218
180,3.451,0.0192065010288248
181,3.459,0.109890496722431
182,3.466,0.226832117723818
183,3.474,0.0999801289763061
184,3.481,0.035912960031081
185,3.489,0.048657427143531
186,3.496,0.0921028413839715
187,3.504,0.0386644430660688
188,3.511,0.0231146127025411
189,3.519,0.0186030426086186
190,3.526,0.0297346952527794
191,3.534,0.0241886250099319
192,3.541,0.0182689852688616
193,3.549,0.0121733368218977
194,3.556,0.0225578504696128
195,3.564,0.0448894040316482
196,3.572,0.016458610008243
197,3.579,0.0170189642555773
198,3.587,0.0132437571148825
199,3.594,0.010388105662121
200,3.602,0.0089944040725972
201,3.609,0.00368899879495101
202,3.617,0.0159269918761565
203,3.624,0.0196447267863555
204,3.632,0.0156001185652115
205,3.639,0.0155139102194678
206,3.647,0.0118105433668928
207,3.654,0.0160132002219003
208,3.662,0.0150253962602532
209,3.670,0.0206792269352804
210,3.677,0.013082116466613
211,3.685,0.00503600419719699
212,3.692,0.0151798528797108
213,3.700,0.0137969273334049
214,3.707,0.0122236250235816
215,3.715,0.025496118253712
216,3.722,0.013426949849588
217,3.730,0.014080696471478
218,3.737,0.0143393215087093
219,3.745,0.00904110025987506
220,3.752,0.0136640228003833
221,3.760,0.0122990573261073
222,3.767,0.0242101770963679
223,3.775,0.0129779480488393
224,3.783,0.0169435319530515
225,3.790,0.0115411422864436
226,3.798,0.0140663284138541
227,3.805,0.0200614004574502
228,3.813,0.0239371840015127
229,3.820,0.012094312504966
230,3.828,0.01475958719421
231,3.835,0.0101582167401377
232,3.843,0.0143500975519272
233,3.850,0.00309272440355678
234,3.858,0.0130030921496813
235,3.865,0.0108658435781176
236,3.873,0.0128953317175016
237,3.881,0.0137789672613749
238,3.888,0.00697569197643121
239,3.896,0.017450005984296
240,3.903,0.0171949729614708
