#"+EI TIC Scan TOL-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0820688431739877
1,2.102,0.0768231550646135
2,2.110,0.0738647696740622
3,2.117,0.0774836971708174
4,2.125,0.0757199092063794
5,2.132,0.0712085471618807
6,2.140,0.0578466235986186
7,2.147,0.0540309388787389
8,2.155,0.0633663664116307
9,2.162,0.0568136481772147
10,2.170,0.0552641850451089
11,2.177,0.0568171616990562
12,2.185,0.0424679384983299
13,2.193,0.0541503986213502
14,2.200,0.0621050120705286
15,2.208,0.0670169156049594
16,2.215,0.0477487618261193
17,2.223,0.0488309265533043
18,2.230,0.0639390704717968
19,2.238,0.131581392964545
20,2.245,0.0789734304316175
21,2.253,0.0593468974249434
22,2.260,0.0473411932925041
23,2.268,0.0597333848275094
24,2.275,0.052804719756052
25,2.283,0.0614550105298493
26,2.291,0.0604079810210793
27,2.298,0.0591079779397207
28,2.306,0.0451909179255001
29,2.313,0.0508371475248064
30,2.321,0.0448641603942396
31,2.328,0.0443652402927452
32,2.336,0.0343341354352345
33,2.343,0.044997674224217
34,2.351,0.0534652618622558
35,2.358,0.0641990710880685
36,2.366,0.0499482264989044
37,2.373,0.0568839186140449
38,2.381,0.0459252439903756
39,2.388,0.0303216934922302
40,2.396,0.0281784451689092
41,2.404,0.0387963081739521
42,2.411,0.03469602818491
43,2.419,0.0563990525999166
44,2.426,0.0329919700917778
45,2.434,0.0415930715597939
46,2.441,0.216977541322443
47,2.449,0.367672493104801
48,2.456,0.103392407230111
49,2.464,0.0473903825982852
50,2.471,0.039305768840971
51,2.479,0.0396782021561711
52,2.486,0.0333046735356721
53,2.494,0.048367141670225
54,2.501,0.0649755594150422
55,2.509,0.0524779622247915
56,2.517,0.0905434578557096
57,2.524,0.086963179099211
58,2.532,0.078969916909776
59,2.539,0.0396114452411824
60,2.547,0.0302198013588265
61,2.554,0.0369622497726839
62,2.562,0.0448219981321415
63,2.569,0.0487711966819986
64,2.577,0.0426365875467224
65,2.584,0.0440349692396433
66,2.592,0.0285333108749017
67,2.599,0.0387646864773785
68,2.607,0.0317446698380418
69,2.615,0.0358906256110234
70,2.622,0.0344922439181025
71,2.630,0.0421552350544355
72,2.637,0.0524287729190104
73,2.645,0.0489328186867081
74,2.652,0.0473763285109192
75,2.660,0.0584614899208829
76,2.667,0.0362841400572725
77,2.675,0.0356692737350083
78,2.682,0.0455492971533341
79,2.690,0.0405987448786466
80,2.697,0.03574305769368
81,2.705,0.0378125220583293
82,2.712,0.0295311510778905
83,2.720,0.0325106175994909
84,2.728,0.0340917024281703
85,2.735,0.0321171031532418
86,2.743,0.0305149371935133
87,2.750,0.0589041936729131
88,2.758,0.068819352309654
89,2.765,0.0498744425402327
90,2.773,0.048008762442391
91,2.780,0.0528363414526256
92,2.788,0.0479138973526702
93,2.795,0.0768934255014437
94,2.803,0.0760045044755417
95,2.810,0.0559001324984222
96,2.818,0.0276970926766224
97,2.826,0.042151721532594
98,2.833,0.0655096147349517
99,2.841,0.0420919916612883
100,2.848,0.0401982033887145
101,2.856,0.0346117036607138
102,2.863,0.0405214473981334
103,2.871,0.0388209028268426
104,2.878,0.0537920193935162
105,2.886,0.0518490418151613
106,2.893,0.043226859216096
107,2.901,0.0533774238162181
108,2.908,0.0738893643269527
109,2.916,0.0695642189400541
110,2.923,0.0422887488844129
111,2.931,0.045514161934919
112,2.939,0.0451874044036585
113,2.946,0.0528082332778935
114,2.954,0.0566204044759317
115,2.961,0.0467860568415455
116,2.969,0.062238525900506
117,2.976,1.14555920177141
118,2.984,16.3162684036956
119,2.991,56.5391788779997
120,2.999,100
121,3.006,58.0342245838242
122,3.014,0.277589306610329
123,3.021,0.118261631663381
124,3.029,0.0572950006695016
125,3.037,0.0609771715594039
126,3.044,0.0432479403471451
127,3.052,0.049600387836595
128,3.059,0.0826696554088859
129,3.067,0.0829331695469992
130,3.074,0.0478787621342551
131,3.082,0.0529487741515539
132,3.089,0.0491471435190402
133,3.097,0.044474159469832
134,3.104,0.0516522845920367
135,3.112,0.0470284898486097
136,3.119,0.0385011723392652
137,3.127,0.0505384981682781
138,3.134,0.0642271792628006
139,3.142,0.0845810112906673
140,3.150,0.0756812604661228
141,3.157,0.0452014584910246
142,3.165,0.0306695321545397
143,3.172,0.0485709259370326
144,3.180,0.0500325510231007
145,3.187,0.0311965604307662
146,3.195,0.0474044366856513
147,3.202,0.0430055073400809
148,3.210,0.0338562964647892
149,3.217,0.0374892780489104
150,3.225,0.0300652063978
151,3.232,0.0296962866044415
152,3.240,0.0289514199740414
153,3.247,0.0177538258651494
154,3.255,0.0345554873112497
155,3.263,0.0345695413986157
156,3.270,0.0498217397126101
157,3.278,0.0493017384800666
158,3.285,0.0251427622978447
159,3.293,0.0149816571321981
160,3.300,0.0303919639290604
161,3.308,0.0372679261728953
162,3.315,0.0470038951957192
163,3.323,0.0507879582190253
