#"+EI TIC Scan TOL-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0804541830188995
1,2.102,0.0669356910422545
2,2.110,0.0733289252285778
3,2.117,0.0675548325017112
4,2.125,0.0490216367705718
5,2.133,0.0520865580284347
6,2.140,0.0595059935287745
7,2.148,0.0587363425432621
8,2.155,0.0579051194789087
9,2.163,0.049856280505972
10,2.170,0.04890875462603
11,2.178,0.049425275954085
12,2.185,0.052045509975874
13,2.193,0.0447457979621694
14,2.200,0.0562974040869494
15,2.208,0.0453820427768597
16,2.215,0.0430730898203224
17,2.223,0.0490353194547587
18,2.230,0.265060958068388
19,2.238,0.4255383195543
20,2.246,0.1448380534603
21,2.253,0.0838782747366682
22,2.261,0.0652424588741272
23,2.268,0.0869089892840638
24,2.276,0.0692309613146049
25,2.283,0.0628924578650292
26,2.291,0.057248350637938
27,2.298,0.0460080255784098
28,2.306,0.0408325502847196
29,2.313,0.0432372820305651
30,2.321,0.0365293461079434
31,2.328,0.0311554718935432
32,2.336,0.0407572955216917
33,2.344,0.0511492941616329
34,2.351,0.0489224373102169
35,2.359,0.0509885226224369
36,2.366,0.0513921618059501
37,2.374,0.0515974020687534
38,2.381,0.0357460124382441
39,2.389,0.0355544548596276
40,2.396,0.0358999426353466
41,2.404,0.0254395305744709
42,2.411,0.0367174830155131
43,2.419,0.0385680660517896
44,2.426,0.0361325482665236
45,2.434,0.033471266192174
46,2.441,0.191817549615978
47,2.449,0.38612534775397
48,2.457,0.106010016408959
49,2.464,0.0417732348225681
50,2.472,0.0371313842121664
51,2.479,0.0356912817014965
52,2.487,0.023482906735746
53,2.494,0.0198501540841273
54,2.502,0.0261783955205629
55,2.509,0.059930156738568
56,2.517,0.0848189592745167
57,2.524,0.81929176374246
58,2.532,1.47803433190703
59,2.539,0.395344056224886
60,2.547,0.216302712968414
61,2.554,0.165680202147976
62,2.562,0.148977065426833
63,2.570,0.134842852661778
64,2.577,0.104949608384475
65,2.585,0.100981629970278
66,2.592,0.0906169966987104
67,2.600,0.0793561476129018
68,2.607,0.0783983597198197
69,2.615,0.073339187241718
70,2.622,0.0662481361618634
71,2.630,0.058072732360198
72,2.637,0.151850429106079
73,2.645,0.176523729366085
74,2.652,0.101672605521716
75,2.660,0.0878257291245853
76,2.668,0.0637202602583359
77,2.675,0.108647353785982
78,2.683,0.352746439680058
79,2.690,0.167469213105412
80,2.698,0.0888656131227887
81,2.705,0.122566064275093
82,2.713,0.227416473199213
83,2.720,0.112813731120889
84,2.728,0.0778681557075778
85,2.735,0.0546520613134761
86,2.743,0.057740927268666
87,2.750,0.0709686622063397
88,2.758,0.0856091342863095
89,2.765,0.0713859840740397
90,2.773,0.0523944184226396
91,2.781,0.0616302302487888
92,2.788,0.0453375740532523
93,2.796,0.0698124753925477
94,2.803,0.0828383907384647
95,2.811,0.0602790651853337
96,2.818,0.0484332813505357
97,2.826,0.0569610142700134
98,2.833,0.066118150662088
99,2.841,0.0554935463909697
100,2.848,0.0406136273377294
101,2.856,0.0347677005188816
102,2.863,0.0462406312095869
103,2.871,0.044554240383553
104,2.879,0.0481527863247045
105,2.886,0.0423855349399313
106,2.894,0.0329239588246985
107,2.901,0.0442532213314415
108,2.909,0.0461003836966713
109,2.916,0.0613394732098175
110,2.924,0.0386227967885372
111,2.931,0.0549428183524475
112,2.939,0.0651569420979591
