#"+EI TIC Scan TOL-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0741414064807331
1,2.102,0.0687562417167197
2,2.110,0.0779963819874775
3,2.117,0.0755968564169529
4,2.125,0.0785038226409163
5,2.132,0.180597735194023
6,2.140,0.127827840884863
7,2.148,0.0995921121221986
8,2.155,0.0936562365715075
9,2.163,0.0708646773000003
10,2.170,0.0840384660470279
11,2.178,0.0817018788521236
12,2.185,0.0695311704665449
13,2.193,0.0645433041986348
14,2.200,0.0754159085870445
15,2.208,0.0738542501419654
16,2.215,0.0551104151525398
17,2.223,0.0579347747585015
18,2.230,0.114178080672207
19,2.238,0.134188550470991
20,2.246,0.0886565693581686
21,2.253,0.0581707936670777
22,2.261,0.0740942026990178
23,2.268,0.0734058142156706
24,2.276,0.0659594176500919
25,2.283,0.0662505076373359
26,2.291,0.0545793726082434
27,2.298,0.0464760567471276
28,2.306,0.0554801781093092
29,2.313,0.053698235349559
30,2.321,0.0364019829994007
31,2.328,0.0406424560568195
32,2.336,0.0472037817152375
33,2.343,0.280689420672707
34,2.351,0.326901922971925
35,2.359,0.145316842010359
36,2.366,0.116723151236354
37,2.374,0.0916618767940387
38,2.381,0.0707860043304749
39,2.389,0.0683510759236639
40,2.396,0.0561725002411326
41,2.404,0.0502326910419653
42,2.411,0.0640870009753875
43,2.419,0.0762065719307747
44,2.426,0.0629934466989845
45,2.434,0.0668916923389678
46,2.441,0.312087802810293
47,2.449,0.350712297198786
48,2.457,0.0858754798854459
49,2.464,0.0557909363389345
50,2.472,0.0558578083630311
51,2.479,0.0382075276500085
52,2.487,0.047341459411907
53,2.494,0.040036674191474
54,2.502,0.05365496521632
55,2.509,0.0680757205303251
56,2.517,0.0833382766182518
57,2.524,0.092118180017286
58,2.532,0.0856827311101086
59,2.539,0.0457758673183516
60,2.547,0.0387149683034473
61,2.554,0.0328144955890426
62,2.562,0.048450748282215
63,2.570,0.0558892775508412
64,2.577,0.048246198561449
65,2.585,0.043871981455837
66,2.592,0.0366891393381684
67,2.600,0.0339670545925897
68,2.607,0.0417714131695089
69,2.615,0.0394072904352708
70,2.622,0.0383688072375356
71,2.630,0.0396393756953707
72,2.637,0.0780396521207164
73,2.645,0.0779806473935724
74,2.652,0.051365581803131
75,2.660,0.0426918869129561
76,2.667,0.046161364869026
77,2.675,0.045811270154638
78,2.683,0.055098614207111
79,2.690,0.0373303240398003
80,2.698,0.0421529770717071
81,2.705,0.0239913220567695
82,2.713,0.0405283802510077
83,2.720,0.0345885710518403
84,2.728,0.0467946822737055
85,2.735,0.0437382374076438
86,2.743,0.0395371008349877
87,2.750,0.0626984230632642
88,2.758,0.0810016894233476
89,2.765,0.0534700837379353
90,2.773,0.0483091369370693
91,2.781,0.0404221717421484
92,2.788,0.0401861528335722
93,2.796,0.0821621157238472
94,2.803,0.0675918817677439
95,2.811,0.0312174343076771
96,2.818,0.0362013669271109
97,2.826,0.0409768161773024
98,2.833,0.0567153437308579
99,2.841,0.0415235933155039
100,2.848,0.0317484768519735
101,2.856,0.0490171936627979
102,2.863,0.0464878576925564
103,2.871,0.0504608426535889
104,2.878,0.0431481901362034
105,2.886,0.0348206563119402
106,2.894,0.0419366264055123
107,2.901,0.0516960082751376
