#"+EI TIC Scan ACE-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.119028097429445
1,2.102,0.110026358948577
2,2.110,0.105017215767348
3,2.117,0.0823725767579896
4,2.125,0.0679431165564141
5,2.132,0.0840376913875625
6,2.140,0.0808960524593904
7,2.147,0.0724738842639538
8,2.155,0.0520463315845797
9,2.162,0.0750083543216739
10,2.170,0.0651970573468698
11,2.177,0.0660250148974862
12,2.185,0.064042516540177
13,2.193,0.0561815195734915
14,2.200,0.0510711815805204
15,2.208,0.0644104976737843
16,2.215,0.0545210047080886
17,2.223,0.051305769553195
18,2.230,0.0500500339347602
19,2.238,0.0716459267133374
20,2.245,0.0528880884277063
21,2.253,0.0618944266727445
22,2.260,0.0408643048870884
23,2.268,0.0499534388871882
24,2.275,0.0400777452140029
25,2.283,0.0507307990319336
26,2.291,0.0471889806209636
27,2.298,0.0514759608274884
28,2.306,0.033412686931541
29,2.313,0.0341946468404565
30,2.321,0.0346546232574656
31,2.328,0.0334770836299223
32,2.336,0.0366003235014141
33,2.343,0.0498338450187659
34,2.351,0.0436977596158645
35,2.358,0.0461586334468632
36,2.366,0.0310622074406245
37,2.373,0.0403077334225074
38,2.381,0.0581364193457801
39,2.388,0.103968469536567
40,2.396,0.357746658328827
41,2.404,0.217210063640037
42,2.411,0.0445533157515014
43,2.419,0.0402893343658271
44,2.426,0.0429111999427789
45,2.434,0.0317797706511587
46,2.441,0.0349030105226505
47,2.449,0.0462092308527342
48,2.456,0.0243465517522917
49,2.464,0.0402157381391056
50,2.471,0.0343556385864097
51,2.479,0.0317107741886073
52,2.486,0.0227504335852701
53,2.494,0.0326491260793059
54,2.502,0.0240981644871067
55,2.509,0.0342314449538172
56,2.517,0.0413886780024788
57,2.524,0.0197743861672212
58,2.532,0.0408643048870884
59,2.539,0.0264210453930027
60,2.547,0.0328699147594703
61,2.554,0.0437069591442047
62,2.562,0.0302940468242193
63,2.569,0.0323823397574406
64,2.577,0.0370648996825933
65,2.584,0.0405147228101615
66,2.592,0.0429985954620107
67,2.599,0.0339048616977408
68,2.607,0.0419820475804205
69,2.615,0.0416784631451945
70,2.622,0.0311312039031759
71,2.630,0.0475753608112512
72,2.637,0.0347006208991665
73,2.645,0.0412736838982265
74,2.652,0.0362737402453376
75,2.660,0.0330355062695936
76,2.667,0.0308368189962901
77,2.675,0.0331642996663561
78,2.682,0.0351697968445158
79,2.690,0.0340244555661631
80,2.697,0.0275525873788451
81,2.705,0.0290981081399957
82,2.713,0.0399213532322198
83,2.720,0.0374788784579015
84,2.728,0.0573912575502254
85,2.735,0.0447143074974546
86,2.743,0.0496774530369828
87,2.750,0.0344844319831722
88,2.758,0.0539966315926982
89,2.765,0.0495440598760502
90,2.773,0.0634905448397661
91,2.780,0.0556571464581011
92,2.788,0.0273593972837013
93,2.795,0.0343694378789199
94,2.803,0.0483895190693573
95,2.810,0.0301468543707764
96,2.818,0.0277733760590095
97,2.826,0.0348524131167795
98,2.833,0.0375432751562827
99,2.841,0.0424972211674707
100,2.848,0.0476489570379727
101,2.856,0.0436885600875243
102,2.863,0.0523269171989552
103,2.871,0.0456802579731737
104,2.878,0.0508089950228252
105,2.886,0.0451512850936132
106,2.893,0.0494106667151175
107,2.901,0.0322765451815285
108,2.908,0.0478927445389875
109,2.916,0.0416600640885142
110,2.923,0.035431983402211
111,2.931,0.0472073796776439
112,2.939,0.0422718327231363
113,2.946,0.0544336091888569
114,2.954,0.223654333242335
115,2.961,6.86595298259058
116,2.969,43.9360779972811
117,2.976,100
118,2.984,92.48898068996
119,2.991,1.48672657552847
120,2.999,0.144989166405438
121,3.006,0.115283889394991
122,3.014,0.0732144462953384
123,3.021,0.0723634899238716
124,3.029,0.0618024313893427
125,3.037,0.0932280201994044
126,3.044,0.093108426330982
127,3.052,0.0672025545250295
128,3.059,0.064396698381274
129,3.067,0.0624831964865161
130,3.074,0.0413150817757574
131,3.082,0.0508825912495466
132,3.089,0.0564437061311866
133,3.097,0.0532560695613136
134,3.104,0.0347926161825683
135,3.112,0.0586285941119799
136,3.119,0.05307667875868
137,3.127,0.0753441371060906
138,3.134,0.0663423986252225
139,3.142,0.0448385011300471
140,3.150,0.0413794784741386
141,3.157,0.0529938830036184
142,3.165,0.0637711304541416
143,3.172,0.0544934061230681
144,3.180,0.044631511742393
145,3.187,0.0487942983163253
146,3.195,0.0339968569811426
147,3.202,0.0280263630883645
148,3.210,0.0363197378870385
149,3.217,0.0337024720742568
150,3.225,0.0228424288686719
151,3.232,0.0356113742048445
152,3.240,0.0367199173698364
153,3.248,0.0244753451490542
154,3.255,0.0405009235176512
155,3.263,0.0492082770916335
156,3.270,0.0317981697078391
157,3.278,0.0182840625761117
158,3.285,0.0317797706511587
159,3.293,0.0387254145479961
160,3.300,0.0275571871430152
161,3.308,0.0389370036998203
162,3.315,0.0519957341787087
163,3.323,0.046149433918523
164,3.330,0.0358137638283285
165,3.338,0.0212831088150111
166,3.345,0.0341348499062453
167,3.353,0.0229252246237335
168,3.361,0.0382608383668169
169,3.368,0.0270144149709444
170,3.376,0.0203079588109518
171,3.383,0.0352847909487681
172,3.391,0.0185692479546574
173,3.398,0.00800818942012843
174,3.406,0.0123871649100551
175,3.413,0.026991416150094
176,3.421,0.0171019231843983
177,3.428,0.0228240298119915
178,3.436,0.0157495925183916
179,3.443,0.0238819755711125
180,3.451,0.0245443416116056
181,3.459,0.0185370496054667
182,3.466,0.013900487322015
183,3.474,0.024466145620714
184,3.481,0.0340290553303332
185,3.489,0.0603443061474238
186,3.496,0.0695714330726264
187,3.504,0.0385736223303831
188,3.511,0.0273869958687218
189,3.519,0.0330309065054235
190,3.526,0.0158461875659635
191,3.534,0.0397511619579264
192,3.541,0.0175343010163869
193,3.549,0.0290199121491041
194,3.556,0.0178470849799531
195,3.564,0.0197283885255203
196,3.572,0.0179344804991848
197,3.579,0.0235783911358865
198,3.587,0.0105702580628691
199,3.594,0.0334172866957111
200,3.602,0.0239647713261741
201,3.609,0.0178838830933138
202,3.617,0.020979524379785
203,3.624,0.0120053844839375
204,3.632,0.0181414698868389
205,3.639,0.0171985182319702
206,3.647,0.019815784044752
207,3.654,0.0197375880538605
208,3.662,0.0199031795639838
209,3.669,0.0201837651783593
210,3.677,0.0226492387735281
211,3.685,0.0245443416116056
212,3.692,0.0121065792956795
213,3.700,0.0117661967470928
214,3.707,0.0281689557776373
215,3.715,0.0224192505650235
216,3.722,0.0145030564282969
217,3.730,0.015823188745113
218,3.737,0.0236933852401387
219,3.745,0.0142086715214111
220,3.752,0.0176538948848093
221,3.760,0.0192224144668103
222,3.767,0.0124515616084363
223,3.775,0.00972390145557237
224,3.783,0.014558253598338
225,3.790,0.0208185326338319
226,3.798,0.0216096920710875
227,3.805,0.0219454748555042
228,3.813,0.0080725861185097
229,3.820,0.0167477413433013
230,3.828,0.0139556844920561
231,3.835,0.0175618996014074
232,3.843,0.0369177072291504
233,3.850,0.0158461875659635
234,3.858,0.0175940979505981
235,3.865,0.00906613517924936
236,3.873,0.00659606181991049
237,3.880,0.00646266865897785
238,3.888,0.0153770116206142
239,3.896,0.017994277433396
240,3.903,0.00958590853046964
241,3.911,0.0118535922663245
242,3.918,0.00884994626325508
243,3.926,0.0205057486702657
244,3.933,0.00732742432295496
245,3.941,0.0257908777017002
246,3.948,0.0264578435063634
247,3.956,0.0234127996257632
248,3.963,0.0225710427826365
249,3.971,0.0532422702688033
250,3.978,0.0699394142062336
251,3.986,0.0203401571601424
252,3.994,0.0401283426198739
253,4.001,0.0244615458565439
254,4.009,0.0186888418230797
255,4.016,0.0151010257704087
256,4.024,0.0177872880457419
257,4.031,0.0144800576074465
258,4.039,0.0294568897452628
259,4.046,0.0158967849718345
260,4.054,0.03538138599634
261,4.061,0.022796431226971
262,4.069,0.0354503824588913
263,4.076,0.0198065845164118
264,4.084,0.0257862779375301
265,4.091,0.0319315628687717
266,4.099,0.0201331677724883
267,4.107,0.0233576024557221
268,4.114,0.0345902265590843
269,4.122,0.0207863342846412
270,4.129,0.010515060892828
271,4.137,0.0243971491581627
272,4.144,0.00790699460838643
273,4.152,0.0258230760508909
274,4.159,0.0136888981701908
275,4.167,0.0170697248352077
276,4.174,0.0279941647391738
277,4.182,0.012686149581111
278,4.189,0.0139142866145253
279,4.197,0.0231644123605783
280,4.205,0.0270880111976659
281,4.212,0.0217936826378912
282,4.220,0.0220788680164368
283,4.227,0.0238267784010714
284,4.235,0.0265958364314662
285,4.242,0.0189786269657955
