#"+EI TIC Scan ACE-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0833625379743516
1,2.102,0.0800004500932764
2,2.110,0.0697145483032663
3,2.117,0.0652635250760939
4,2.125,0.0586119450036833
5,2.132,0.0562298989340956
6,2.140,0.0453586943955583
7,2.148,0.0544059322293828
8,2.155,0.0602408107922204
9,2.163,0.0620602402663245
10,2.170,0.0441109559781552
11,2.178,0.056102856477051
12,2.185,0.0416971492943064
13,2.193,0.0440383602884154
14,2.200,0.0374548386751359
15,2.208,0.0483578038279344
16,2.215,0.0439975252129368
17,2.223,0.0487071705848073
18,2.230,0.0355129039745959
19,2.238,0.0414838994556957
20,2.245,0.0411073093151704
21,2.253,0.0367651796226077
22,2.261,0.0305355619968098
23,2.268,0.0266698415181646
24,2.276,0.0493968296373355
25,2.283,0.0242832582179682
26,2.291,0.0335800437352733
27,2.298,0.0428904409444046
28,2.306,0.0239928754590089
29,2.313,0.0408486871704723
30,2.321,0.0364793340942572
31,2.328,0.0329811292949198
32,2.336,0.0265790969059899
33,2.343,0.0230355198005651
34,2.351,0.0433713873889309
35,2.358,0.030340461080634
36,2.366,0.0277406279418269
37,2.374,0.0185935710346102
38,2.381,0.0302224930848068
39,2.389,0.186602683245586
40,2.396,0.26575013398442
41,2.404,0.0821556346324272
42,2.411,0.0546827032965158
43,2.419,0.0466971774251361
44,2.426,0.0292243023508844
45,2.434,0.028797802673663
46,2.441,0.0297823817157592
47,2.449,0.026629006442686
48,2.456,0.0296099669526271
49,2.464,0.0418468779043947
50,2.472,0.0341880326368442
51,2.479,0.0292333768121018
52,2.487,0.0402497727301188
53,2.494,0.0376998491280078
54,2.502,0.0368604614653912
55,2.509,0.0380582903460981
56,2.517,0.0290337386653174
57,2.524,0.024442061289274
58,2.532,0.0299275730952388
59,2.539,0.0383758964887098
60,2.547,0.0340972880246695
61,2.554,0.0324638850055236
62,2.562,0.031919417332475
63,2.569,0.0284938082228775
64,2.577,0.0277315534806094
65,2.585,0.0242968699097944
66,2.592,0.0332125280559655
67,2.600,0.0210300638715027
68,2.607,0.0364158128657348
69,2.615,0.0395328902939381
70,2.622,0.045277024244601
71,2.630,0.0205037451208891
72,2.637,0.0269738359689501
73,2.645,0.0407715542501237
74,2.652,0.0281671276190483
75,2.660,0.0243876145219692
76,2.667,0.0326272253074382
77,2.675,0.0339021871084937
78,2.683,0.0291426321999271
79,2.690,0.0254946987905014
80,2.698,0.0347687981547628
81,2.705,0.0230536687230001
82,2.713,0.0352633562911153
83,2.720,0.053239863962937
84,2.728,0.0474775810898392
85,2.735,0.0378677266605311
86,2.743,0.0333985545109237
87,2.750,0.0457352845360836
88,2.758,0.0412570379252587
89,2.765,0.0537752571747681
90,2.773,0.0427543240261424
91,2.780,0.0410256391642131
92,2.788,0.0295645946465398
93,2.796,0.0420419788205705
94,2.803,0.0388840663168885
95,2.811,0.0365292436309533
96,2.818,0.0375319715954845
97,2.826,0.0319784013303886
98,2.833,0.0275273781032162
99,2.841,0.0464158691273944
100,2.848,0.0275364525644337
101,2.856,0.0363568288678212
102,2.863,0.0314747687328186
