#"+EI TIC Scan ACE-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0909320052372668
1,2.102,0.083070358016092
2,2.110,0.0987307951991062
3,2.117,0.0825899489625993
4,2.125,0.0990944693424044
5,2.133,0.0890642466741551
6,2.140,0.076070753208661
7,2.148,0.0682719632468217
8,2.155,0.0702519669158897
9,2.163,0.0608592964494718
10,2.170,0.0681956365747714
11,2.178,0.0526339750849987
12,2.185,0.0432233454016278
13,2.193,0.0496123368326568
14,2.200,0.0516462181525838
15,2.208,0.0419527308022032
16,2.215,0.0395237467093102
17,2.223,0.0350070036456312
18,2.231,0.0444490619586699
19,2.238,0.0353392491592617
20,2.246,0.0337812870885891
21,2.253,0.0497200921343748
22,2.261,0.0333861843156232
23,2.268,0.0421098739505419
24,2.276,0.0321155697161986
25,2.283,0.0402241561704771
26,2.291,0.0342751655547966
27,2.298,0.0400759926306149
28,2.306,0.035307820529594
29,2.313,0.0278502556898616
30,2.321,0.0338980219987836
31,2.328,0.0233739208643268
32,2.336,0.0291433193104774
33,2.344,0.0404980342290104
34,2.351,0.0429315081261416
35,2.359,0.0284922976959312
36,2.366,0.030611485296385
37,2.374,0.0269567846464499
38,2.381,0.0484674367519032
39,2.389,0.0943218074371452
40,2.396,0.351991672670283
41,2.404,0.180059109170757
42,2.411,0.0407853817002583
43,2.419,0.0344233290946588
44,2.426,0.0459935546166277
45,2.434,0.0432098759889131
46,2.442,0.0465502903421707
47,2.449,0.0489927438477784
48,2.457,0.0336959808080624
49,2.464,0.0338306749352099
50,2.472,0.0332425105799992
51,2.479,0.0294890342368226
52,2.487,0.0271363768159799
53,2.494,0.0473629449092938
54,2.502,0.0346882275447155
55,2.509,0.0375437430402422
56,2.517,0.0241955550399265
57,2.524,0.0378086414902989
58,2.532,0.0335523070724384
59,2.539,0.0310380166990187
60,2.547,0.0337723074801126
61,2.555,0.0281735215950155
62,2.562,0.0316800587050884
63,2.570,0.0389041537244318
64,2.577,0.017833502434327
65,2.585,0.0197865672779655
66,2.592,0.037539253236004
67,2.600,0.0157322740508262
68,2.607,0.0355816985881272
69,2.615,0.0316576096838971
70,2.622,0.0251922915808179
71,2.630,0.0373821100876652
72,2.637,0.0221975921539055
73,2.645,0.0344008800734676
74,2.652,0.0337723074801126
75,2.660,0.0367894559282163
76,2.668,0.0195171790236705
77,2.675,0.0407808918960201
78,2.683,0.0436453870000233
79,2.690,0.039483338471166
80,2.698,0.041068239367268
81,2.705,0.028433930240834
82,2.713,0.0394743588626895
83,2.720,0.045710696949618
84,2.728,0.0339653690623574
85,2.735,0.041535179008046
86,2.743,0.0376649677546749
87,2.750,0.0387649697930461
88,2.758,0.0271273972075034
89,2.766,0.0517270346288723
90,2.773,0.0638629754848607
91,2.781,0.028128623552633
92,2.788,0.0449160015994479
93,2.796,0.0294935240410609
94,2.803,0.0349396565820575
95,2.811,0.0438608976034592
96,2.818,0.0378221109030137
97,2.826,0.0377233352097722
98,2.833,0.0233514718431356
99,2.841,0.0504833588548772
100,2.848,0.039178031782965
101,2.856,0.0291433193104774
102,2.863,0.0490825399325434
103,2.871,0.037503334802098
104,2.879,0.0449743690545451
105,2.886,0.0533209151334509
106,2.894,0.0497829493937103
107,2.901,0.0372968038071385
108,2.909,0.0453425330020816
109,2.916,0.0516776467822516
110,2.924,0.0447678380595856
111,2.931,0.0338755729775924
112,2.939,0.0432368148143426
113,2.946,0.0511343804694234
114,2.954,0.314254868047796
115,2.961,8.10516971325326
116,2.969,46.0770515060465
117,2.977,100
118,2.984,83.2728751260625
119,2.992,1.06361666482435
120,2.999,0.124210434251172
121,3.007,0.0828997454550385
122,3.014,0.072074827436619
123,3.022,0.0708670700965299
124,3.029,0.0582327609700958
125,3.037,0.0820107642158651
126,3.044,0.0801474954569916
127,3.052,0.0412029334944155
128,3.059,0.0543805089336778
129,3.067,0.0557992870729646
130,3.074,0.0391510929575355
131,3.082,0.0331078164528517
132,3.090,0.0586772515896825
133,3.097,0.0422266088607364
134,3.105,0.0348004726506718
135,3.112,0.0370947626164173
136,3.120,0.0513633604855741
137,3.127,0.0867879159253626
138,3.135,0.065434406968248
139,3.142,0.0158849273949267
140,3.150,0.0303869950844725
141,3.157,0.048427028513759
142,3.165,0.0683617593315867
143,3.172,0.0407853817002583
144,3.180,0.0396315020110282
145,3.188,0.0410906883884593
146,3.195,0.0424915073107931
147,3.203,0.0353706777889295
148,3.210,0.0244155554476007
149,3.218,0.0365963943459716
150,3.225,0.0328159791773655
151,3.233,0.0255694351368308
152,3.240,0.0194633013728115
153,3.248,0.0440270203602745
154,3.255,0.0503935627701122
155,3.263,0.06363399546871
156,3.270,0.0313433233872197
157,3.278,0.0281151541399183
158,3.285,0.0342257777081758
159,3.293,0.0258343335868875
160,3.301,0.0119473690779819
161,3.308,0.0375302736275275
162,3.316,0.035253942878735
163,3.323,0.0379298662047317
164,3.331,0.0208820795120984
165,3.338,0.0169355415866771
166,3.346,0.0128632891425848
167,3.353,0.0234816761660448
168,3.361,0.0292196459825277
169,3.368,0.0352404734660202
170,3.376,0.025986986930988
171,3.383,0.0222828984344322
172,3.391,0.0130608405290678
173,3.398,0.02008289435769
174,3.406,0.0208820795120984
175,3.414,0.0138196174453319
176,3.421,0.0156245187491082
177,3.429,0.0269298458210204
178,3.436,0.0132179836774065
179,3.444,0.0209449367714339
180,3.451,0.0219955509631842
181,3.459,0.01544043677534
182,3.466,0.0125983906925281
183,3.474,0.0170028886502508
184,3.481,0.0343963902692293
185,3.489,0.0645319563163599
186,3.496,0.0661033877997472
187,3.504,0.0315139359482731
188,3.512,0.00629919534626403
189,3.519,0.0225477968844889
190,3.527,0.0236702479440513
191,3.534,0.00244694330984597
192,3.542,0.0266873963921549
193,3.549,0.0203792214374144
194,3.557,0.00856654648658002
195,3.564,0.0117138992575929
196,3.572,0.00854409746538877
197,3.579,0.00739021777615865
198,3.587,0.02829025650521
199,3.594,0.00670776753194473
200,3.602,0.0137881888156642
201,3.609,0.008692261005251
202,3.617,0.00230326957422199
203,3.625,0.013101248767212
204,3.632,0.0253045366867741
205,3.640,0.0102502230759236
206,3.647,0.0190951374252751
207,3.655,0.00283755627857368
208,3.662,0.00815348449666107
209,3.670,0.0119204302525524
210,3.677,0.0110045101879495
211,3.685,0.0198988123839217
212,3.692,0.0257220884809313
213,3.700,0.0265751512861987
214,3.707,0.0123604310679008
215,3.715,0.0111616533362882
216,3.723,0.0160645195644567
217,3.730,0.00893022062987823
218,3.738,0.0123290024382331
219,3.745,0.0180579926462394
220,3.753,0.0157637026804939
221,3.760,0.017402481227455
222,3.768,0.0233694310600886
223,3.775,0.0140530872657209
224,3.783,0.023989024044967
225,3.790,0.0196473833465798
226,3.798,0.00587715374786858
227,3.805,0.0150183951769445
228,3.813,0.026256375185283
229,3.820,0.015584110510964
230,3.828,0.0249812707816201
231,3.836,0.008728179439157
232,3.843,0.00811756606275507
233,3.851,0.013244922502836
234,3.858,0.0114310415905832
235,3.866,0.0206351402789946
236,3.873,0.0247118825273252
237,3.881,0.0188302389752183
238,3.888,0.0185384016997321
239,3.896,0.00981920186905163
240,3.903,0.0137567601859964
241,3.911,0.00339429200411661
242,3.918,0.0106677748700808
243,3.926,0.017815543217374
244,3.934,0.0134873719317015
245,3.941,0.0268220905193024
246,3.949,0.0146726802505993
247,3.956,0.02213473489457
248,3.964,0.0150677830235653
249,3.971,0.0580801076259954
250,3.979,0.0580756178217571
251,3.986,0.0217800403597483
252,3.994,0.0126298193221958
253,4.001,0.0108383874311343
254,4.009,0.0156245187491082
255,4.016,0.0165000305755669
256,4.024,0.0211065697240108
257,4.031,0.00518572389517816
258,4.039,0.0297359734699263
259,4.047,0.0289682169451857
260,4.054,0.00494776427055093
261,4.062,0.0178604412597565
262,4.069,0.0249947401943349
263,4.077,0.0168861537400563
264,4.084,0.0107306321294163
265,4.092,0.0232706553668471
266,4.099,0.0274147446787514
267,4.107,0.019705750801677
268,4.114,0.00718817658543743
269,4.122,0.0320841410865308
270,4.129,0.00629021573778753
271,4.137,0.0278188270601938
272,4.145,0.0227139196413042
273,4.152,0.0203702418289379
274,4.160,0.0168592149146268
275,4.167,0.0200424861195457
276,4.175,0.0132045142646917
277,4.182,0.0179232985190919
278,4.190,0.0146367618166933
279,4.197,0.0210482022689136
280,4.205,0.0160779889771714
281,4.212,0.00703552324133694
282,4.220,0.00431470187295776
283,4.227,0.0218608568360367
284,4.235,0.0233604514516121
285,4.242,0.0142416590437274
286,4.250,0.00791103506779559
287,4.258,0.006550624383606
288,4.265,0.011103285881191
289,4.273,0.0106812442827955
290,4.280,0.00662246125141799
291,4.288,0.0102143046420176
292,4.295,0.0202265680933139
293,4.303,0.0152653344100483
294,4.310,0.0137432907732817
295,4.318,0.0151845179337598
296,4.325,0.0161857442788894
297,4.333,0.0224759600166769
298,4.340,0.0120775734008911
299,4.348,0.00981920186905163
300,4.355,0.0221392246988082
301,4.363,0.00453021247639373
302,4.371,0.0117632871042137
303,4.378,0.0161677850619364
304,4.386,0.0118306341677874
305,4.393,0.0151620689125685
306,4.401,0.0195890158914825
307,4.408,0.0173216647511665
308,4.416,0.056724186746044
309,4.423,0.137293723801431
310,4.431,0.0622601153718056
311,4.438,0.03052168921162
312,4.446,0.0261755587089945
313,4.453,0.0214971826927385
314,4.461,0.0168726843273416
315,4.469,0.0151126810659478
316,4.476,0.024438004468792
317,4.484,0.00848124020605328
318,4.491,0.0115567561092542
319,4.499,0.0240159628703965
320,4.506,0.0153910489287192
321,4.514,0.0131057385714503
322,4.521,0.0222828984344322
323,4.529,0.0206396300832329
324,4.536,0.0248824950883787
325,4.544,0.0139363523555264
326,4.551,0.0181971765776252
327,4.559,0.0194453421558585
328,4.566,0.0156649269872525
329,4.574,0.0159567642627387
330,4.582,0.0299559738776006
331,4.589,0.0317967936152829
332,4.597,0.0187718715201211
333,4.604,0.0134290044766042
334,4.612,0.0181343193182897
335,4.619,0.011318796484627
336,4.627,0.0147669661396026
337,4.634,0.0162216627127954
338,4.642,0.00342123082954611
339,4.649,0.00775389191945686
340,4.657,0.0282139298331598
341,4.664,0.00896613906378422
342,4.672,0.00185877895463529
343,4.680,0.0105016521132655
344,4.687,0.0183363605090109
345,4.695,0.0192298315524225
346,4.702,0.0165539082264259
347,4.710,0.0139318625512882
348,4.717,0.00798287193560759
349,4.725,0.0213849375867823
350,4.732,0.0271902544668389
351,4.740,0.00592654159448932
352,4.747,0.0146457414251698
353,4.755,0.0223143270640999
354,4.762,0.0061061337640193
355,4.770,0.0130249220951618
356,4.777,0.0225612662972037
357,4.785,0.0144841084725928
358,4.793,0.0116690012152104
359,4.800,0.0257535171105991
360,4.808,0.0124726761738571
361,4.815,0.0380241520937349
362,4.823,0.0161183972153157
363,4.830,0.0151934975422363
364,4.838,0.0255514759198778
365,4.845,0.00773144289826562
366,4.853,0.0139273727470499
367,4.860,0.013191044851977
368,4.868,0.0136759437097079
369,4.875,0.0111077756854292
370,4.883,0.0146367618166933
371,4.891,0.021991061158946
372,4.898,0.0120820632051294
373,4.906,0.0200694249449752
374,4.913,0.00906042495278746
375,4.921,0.0210077940307693
376,4.928,0.0104477744624066
377,4.936,0.0234277985151858
378,4.943,0.0167110513747646
379,4.951,0.00182735032496754
380,4.958,0.0181118702970984
381,4.966,0.0212996313062556
382,4.973,0.0126747173645783
383,4.981,0.0130249220951618
384,4.988,0.0150543136108505
385,4.996,0.012813901295964
386,5.004,0.0246490252679897
387,5.011,0.0178649310639947
388,5.019,0.0187045244565474
389,5.026,0.0108114486057048
390,5.034,0.0299694432903153
391,5.041,0.0171735012113043
392,5.049,0.0134020656511747
393,5.056,0.0172812565130223
394,5.064,0.0115343070880629
395,5.071,0.0183004420751049
396,5.079,0.00893022062987823
397,5.086,0.017222889057925
398,5.094,0.0151665587168068
399,5.101,0.0115477765007777
400,5.109,0.0115567561092542
401,5.117,0.0164506427289461
402,5.124,0.0138016582283789
403,5.132,0.0091996088841732
404,5.139,0.0134200248681277
405,5.147,0.0121134918347971
406,5.154,0.0231359612396996
407,5.162,0.00910981279940821
408,5.169,0.0190322801659396
409,5.177,0.0320212838271953
410,5.184,0.023863309526296
411,5.192,0.0144526798429251
412,5.199,0.0180939110801454
413,5.207,0.0143628837581601
414,5.215,0.017707787915656
415,5.222,0.000314286296677464
416,5.230,0.0163024791890839
417,5.237,0.0124412475441893
418,5.245,0.0197102406059152
419,5.252,0.0129710444443028
420,5.260,0.00154000285371957
421,5.267,0.0157457434635409
422,5.275,0.0142147202182979
423,5.282,0.00814450488818457
424,5.290,0.0192881990075198
425,5.297,0.0196788119762475
426,5.305,0.0073947075803969
427,5.312,0.00880450611120724
428,5.320,0.0184665648319201
429,5.328,0.00981471206481338
430,5.335,0.00583225570548608
431,5.343,0.0126657377561018
432,5.350,0.0128947177722525
433,5.358,0.00858899550777127
434,5.365,0.00478613131797395
435,5.373,0.0161992136916041
436,5.380,0.00078571574169366
437,5.388,0.0227273890540189
438,5.395,0.0243033103416445
439,5.403,0.00992246736653136
440,5.410,0.00765511622621537
441,5.418,0.0168816639358181
442,5.426,0.0131596162223092
443,5.433,0.0127690032535815
444,5.441,0.0251429037341971
445,5.448,0.0130339017036383
446,5.456,0.0101649167953968
447,5.463,0
448,5.471,0.0215016724969768
449,5.478,0.0347780236294805
450,5.486,0.0172722769045458
451,5.493,0.0106453258488895
452,5.501,0.00856205668234177
453,5.508,0.0151934975422363
454,5.516,0.026328212053095
455,5.523,0.0139992096148619
456,5.531,0.0199886084686867
457,5.539,0.0237465746161015
458,5.546,0.0166392145069526
459,5.554,0.011175122749003
460,5.561,0.0107351219336545
461,5.569,0.0134694127147485
462,5.576,0.0271318870117416
463,5.584,0.013280840936742
464,5.591,0.0191804437058018
465,5.599,0.00981920186905163
466,5.606,0.0193196276371875
467,5.614,0.0215331011266445
468,5.621,0.0124906353908101
469,5.629,0.0160690093686949
470,5.637,0.0158804375906884
471,5.644,0.0245188209450804
472,5.652,0.0163922752738489
473,5.659,0.0118261443635491
474,5.667,0.0220404490055667
475,5.674,0.0277963780390026
476,5.682,0.0290086251833299
477,5.689,0.0273563772236541
478,5.697,0.020046975923784
479,5.704,0.021649836036839
480,5.712,0.019651873150818
481,5.719,0.0194633013728115
482,5.727,0.0315363849694644
483,5.734,0.0249543319561906
484,5.742,0.0253673939461096
485,5.750,0.0234726965575683
486,5.757,0.021542080735121
487,5.765,0.0078930758508426
488,5.772,0.0116106337601132
489,5.780,0.0212502434596348
490,5.787,0.0129530852273498
491,5.795,0.0162037034958424
492,5.802,0.0160465603475037
493,5.810,0.00580531688005659
494,5.817,0.0256906598512636
495,5.825,0.0217890199682248
496,5.832,0.0140800260911504
497,5.840,0.0227184094455424
498,5.847,0.0221077960691405
499,5.855,0.0183588095302021
500,5.863,0.0227633074879249
501,5.870,0.0290759722469037
502,5.878,0.013442473889319
503,5.885,0.0281016847272035
504,5.893,0.0153102324524307
505,5.900,0.0188796268218391
506,5.908,0.0194857503940028
507,5.915,0.0146681904463611
508,5.923,0.0180804416674307
509,5.930,0.0280478070763445
510,5.938,0.0233290228219443
511,5.945,0.0320482226526248
512,5.953,0.0223277964768147
513,5.961,0.0215555501478358
514,5.968,0.00808164762884907
515,5.976,0.0164057446865636
516,5.983,0.0261216810581355
517,5.991,0.0258702520207935
518,5.998,0.017169011407066
519,6.006,0.0150408441981358
520,6.013,0.0259824971267498
521,6.021,0.0270151521015472
522,6.028,0.010833897626896
523,6.036,0.0366772108222601
524,6.043,0.0322502638433461
525,6.051,0.0310559759159717
526,6.058,0.0343739412480381
527,6.066,0.0217531015343188
528,6.074,0.026543722656531
529,6.081,0.0285820937806962
530,6.089,0.0289727067494239
531,6.096,0.0196204445211503
532,6.104,0.0243033103416445
533,6.111,0.0189828923193188
534,6.119,0.0257490273063608
535,6.126,0.024420045251839
536,6.134,0.0414139542936133
537,6.141,0.0483776406671382
538,6.149,0.0615507263021622
539,6.156,0.0424870175065549
540,6.164,0.0379927234640672
541,6.172,0.0326139379866443
542,6.179,0.0272710709431274
543,6.187,0.0180535028420012
544,6.194,0.0244155554476007
545,6.202,0.0158445191567824
546,6.209,0.0317518955729004
547,6.217,0.030719240598103
548,6.224,0.0428327324329001
549,6.232,0.0331976125376167
550,6.239,0.02829025650521
551,6.247,0.0202804457441729
552,6.254,0.0206037116493269
553,6.262,0.0333098576435729
554,6.269,0.024330249167074
555,6.277,0.0200200370983545
556,6.285,0.0235939212720011
557,6.292,0.0327037340714093
558,6.300,0.0333502658817172
559,6.307,0.0344188392904206
560,6.315,0.0202355477017904
561,6.322,0.0183902381598699
562,6.330,0.019669832367771
563,6.337,0.0300727087877951
564,6.345,0.0213939171952588
565,6.352,0.0252057609935326
566,6.360,0.023773513441531
567,6.367,0.0161543156492217
568,6.375,0.0239126973729168
569,6.383,0.0274820917423251
570,6.390,0.0142910468903481
571,6.398,0.0102906313140678
572,6.405,0.0337947565013039
573,6.413,0.0178604412597565
574,6.420,0.0261441300793268
575,6.428,0.0189335044726981
576,6.435,0.0213041211104938
577,6.443,0.0193510562668553
578,6.450,0.0164371733162314
579,6.458,0.028739236929035
580,6.465,0.0226286133607774
581,6.473,0.032465774446782
582,6.480,0.0216184074071713
583,6.488,0.0221392246988082
584,6.496,0.0248735154799022
585,6.503,0.0276302552821873
586,6.511,0.0351057793388727
587,6.518,0.0158175803313529
588,6.526,0.0179277883233302
589,6.533,0.0159792132839299
590,6.541,0.0174114608359315
