#"+EI TIC Scan ACE-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0724508510191808
1,2.102,0.0782152369794072
2,2.110,0.0720152218511943
3,2.117,0.0785452590763667
4,2.125,0.0597692019066829
5,2.132,0.0556285246634974
6,2.140,0.0553249043342946
7,2.147,0.0634742499818818
8,2.155,0.056653793311385
9,2.162,0.06174933448844
10,2.170,0.0502557649249963
11,2.178,0.0490588847866898
12,2.185,0.0503965743530324
13,2.193,0.0440953524484185
14,2.200,0.0528827408167941
15,2.208,0.0433605032458553
16,2.215,0.0479808126032887
17,2.223,0.0408435347197107
18,2.230,0.0393606354307059
19,2.238,0.0493537045266403
20,2.245,0.0466475233315722
21,2.253,0.0392770298328095
22,2.260,0.0520950880787174
23,2.268,0.0482096279238473
24,2.275,0.0408303338358323
25,2.283,0.0459918794322793
26,2.291,0.0443725710098645
27,2.298,0.0405267135066295
28,2.306,0.0290815471840733
29,2.313,0.0252048876184554
30,2.321,0.0388986044949626
31,2.328,0.0308724670969069
32,2.336,0.0276118487789468
33,2.343,0.0297503919672446
34,2.351,0.0281882873749695
35,2.358,0.0351495534735024
36,2.366,0.0351803555358853
37,2.373,0.0347535269571509
38,2.381,0.0470655513210542
39,2.389,0.205638968762792
40,2.396,0.285521917405502
41,2.404,0.0942367097131356
42,2.411,0.0460666844409234
43,2.419,0.0307932617936367
44,2.426,0.0359636079793359
45,2.434,0.0407115258809269
46,2.441,0.0400866840440169
47,2.449,0.0341374857094932
48,2.456,0.0327909955538983
49,2.464,0.0344367057440698
50,2.471,0.0375873166963767
51,2.479,0.0354399729188268
52,2.486,0.0456574570406936
53,2.494,0.0324785746354433
54,2.502,0.0309604729894295
55,2.509,0.0414991786190036
56,2.517,0.0222918925759593
57,2.524,0.0372572945994172
58,2.532,0.0405223132120034
59,2.539,0.03465232018075
60,2.547,0.0210026062505041
61,2.554,0.0235063738927704
62,2.562,0.0466431230369461
63,2.569,0.0352331590713988
64,2.577,0.0415651830383955
65,2.584,0.0389250062627193
66,2.592,0.0346347190022455
67,2.599,0.0413715700748459
68,2.607,0.0469643445446533
69,2.615,0.0396950578222915
70,2.622,0.0313829012735377
71,2.630,0.0348415328496735
72,2.637,0.0252312893862121
73,2.645,0.0347843290195338
74,2.652,0.0298163963866365
75,2.660,0.0254029008766311
76,2.667,0.0357655947211602
77,2.675,0.0326985893667496
78,2.682,0.0358800023814395
79,2.690,0.0322497593148847
80,2.697,0.042550849034648
81,2.705,0.0380845499891291
82,2.713,0.0399458746159808
83,2.720,0.0447861987047205
84,2.728,0.0422428284108191
85,2.735,0.0354223717403222
86,2.743,0.0421152198666614
87,2.750,0.0371604881176424
88,2.758,0.0360296123987278
89,2.765,0.0513954412331632
90,2.773,0.0512370306266226
91,2.780,0.0414375744942378
92,2.788,0.0393430342522014
93,2.795,0.0362980303709215
94,2.803,0.0483416367626311
95,2.810,0.0416091859846568
96,2.818,0.0359592076847097
97,2.826,0.0388722027272058
98,2.833,0.032570980822592
99,2.841,0.0395938510458906
100,2.848,0.0345511134043491
101,2.856,0.0251300826098112
102,2.863,0.0384365735592192
103,2.871,0.0504977811294333
104,2.878,0.0531335576104834
105,2.886,0.0513118356352668
106,2.893,0.0459698779591486
107,2.901,0.0433341014780986
108,2.908,0.0340406792277184
109,2.916,0.0411251535757828
110,2.924,0.0433341014780986
111,2.931,0.0433253008888463
112,2.939,0.037838133490066
113,2.946,0.0616261262389085
114,2.954,1.15617301272024
115,2.961,16.7356009488971
116,2.969,59.6544686246012
117,2.976,100
118,2.984,13.7438494331826
119,2.991,0.154635153751355
120,2.999,0.0991474385158933
121,3.006,0.0895503959363103
122,3.014,0.0710383564441941
123,3.021,0.0744265833063119
124,3.029,0.0781448322653892
125,3.037,0.0783560464074433
126,3.044,0.0594875830506107
127,3.052,0.0539256106431862
128,3.059,0.0533359711632852
129,3.067,0.0583259052693132
130,3.074,0.0514746465364335
131,3.082,0.0526099225499743
132,3.089,0.0470127477855407
133,3.097,0.0338778683265517
134,3.104,0.0325313781709568
135,3.112,0.0492260959824826
