#"+EI TIC Scan ACE-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.112019276715814
1,2.102,0.0861295068175088
2,2.110,0.0942589554929223
3,2.117,0.0877701931936496
4,2.125,0.0951946254421802
5,2.132,0.0804850234491945
6,2.140,0.0783090468230132
7,2.147,0.0750929533695172
8,2.155,0.0761548299630937
9,2.163,0.0676467613547247
10,2.170,0.0665674769481388
11,2.178,0.0653271702712155
12,2.185,0.0552088789594724
13,2.193,0.0566711352522662
14,2.200,0.0695050453934836
15,2.208,0.0484589994650579
16,2.215,0.0698749614199344
17,2.223,0.0511833222010369
18,2.230,0.0618107920433065
19,2.238,0.0331096603439749
20,2.245,0.0438024094850299
21,2.253,0.0388194230110747
22,2.260,0.0541382984593911
23,2.268,0.039998802342465
24,2.276,0.0450296603021962
25,2.283,0.027830741048859
26,2.291,0.0506741436705105
27,2.298,0.0387802554318034
28,2.306,0.046840072855179
29,2.313,0.0290971594452966
30,2.321,0.0288578020164166
31,2.328,0.0270604453231908
32,2.336,0.0438763926903201
33,2.343,0.0471751732556109
34,2.351,0.0394983277184432
35,2.358,0.042183482875151
36,2.366,0.0470533185645448
37,2.374,0.0406428914238146
38,2.381,0.0381796858829774
39,2.389,0.10707545782113
40,2.396,0.383729126073823
41,2.404,0.193997020130569
42,2.411,0.0526586343535878
43,2.419,0.047884541635746
44,2.426,0.0375878202406561
45,2.434,0.0387889593383081
46,2.441,0.0389282218423837
47,2.449,0.0291319750713155
48,2.456,0.037035122177606
49,2.464,0.0374093901573092
50,2.471,0.039554903110724
51,2.479,0.0471664693491062
52,2.487,0.0370481780373631
53,2.494,0.0442854762960421
54,2.502,0.0403730703221681
55,2.509,0.0416786562978769
56,2.517,0.050308579597312
57,2.524,0.0483023291479729
58,2.532,0.0378097698565265
59,2.539,0.0380969987711825
60,2.547,0.0514836069754499
61,2.554,0.0564361297766386
62,2.562,0.0385757136289424
63,2.569,0.03326633066106
64,2.577,0.0313035997442444
65,2.584,0.0346502517953113
66,2.592,0.0386845124602514
67,2.600,0.0339017158359049
68,2.607,0.0437327782329921
69,2.615,0.0356468490901023
70,2.622,0.0276349031525027
71,2.630,0.0431887840764468
72,2.637,0.0343064474883746
73,2.645,0.0348373857851629
74,2.652,0.0363605694234898
75,2.660,0.0507220151562865
76,2.667,0.0448468782655969
77,2.675,0.0337624533318293
78,2.682,0.0361125080881051
79,2.690,0.036243066685676
80,2.698,0.0489681779955843
81,2.705,0.0344326541326931
82,2.713,0.0398334281188752
83,2.720,0.0527587292783922
84,2.728,0.0573065204271111
85,2.735,0.0509483167254093
86,2.743,0.0515793499470019
87,2.750,0.0411303101880792
88,2.758,0.0392633222428157
89,2.765,0.0426012703873778
90,2.773,0.0711848993488956
91,2.780,0.0408822488526946
92,2.788,0.054952113717583
93,2.795,0.0422008906881604
94,2.803,0.0465528439405231
95,2.811,0.0554743481078665
96,2.818,0.0337363416123151
97,2.826,0.04197894107229
98,2.833,0.0442071411374996
99,2.841,0.0436065715886736
100,2.848,0.0388803503566078
101,2.856,0.0424620078833022
102,2.863,0.0442376048102662
103,2.871,0.039903059370913
104,2.878,0.0376400436796844
105,2.886,0.0597087986224153
106,2.893,0.0512747132193365
107,2.901,0.0434455493183362
108,2.909,0.0497428256745049
109,2.916,0.0592997150166932
110,2.924,0.0463657099506715
111,2.931,0.0507611827355577
112,2.939,0.0443333477818181
113,2.946,0.0528327124836824
114,2.954,0.265164511666455
115,2.961,7.52992794732117
116,2.969,42.1862855330455
117,2.976,96.4183076576795
118,2.984,100
119,2.991,1.8338043017143
120,2.999,0.121402087927908
121,3.006,0.0948725809015054
122,3.014,0.0813205984736481
123,3.022,0.0823476594412057
124,3.029,0.0628639647303782
125,3.037,0.0887015111896552
126,3.044,0.08585533376261
127,3.052,0.0631294338787723
128,3.059,0.060257144732213
129,3.067,0.0682299230905414
130,3.074,0.0537248629004167
131,3.082,0.0420094047450565
132,3.089,0.0649833659642788
133,3.097,0.0400988972672693
134,3.104,0.0388803503566078
135,3.112,0.0430408176658664
136,3.120,0.0568016938498371
137,3.127,0.0927009562285764
138,3.135,0.0651443882346162
139,3.142,0.0496688424692147
140,3.150,0.0349418326632196
141,3.157,0.0438285212045441
142,3.165,0.0717375974119456
143,3.172,0.0379751440801163
144,3.180,0.0573021684738588
145,3.187,0.0361951951999
146,3.195,0.0524236288779603
147,3.202,0.0243535304002213
148,3.210,0.0391936909907779
149,3.217,0.035990653397039
150,3.225,0.035594625651074
151,3.233,0.0319607446853512
152,3.240,0.0255067980120974
153,3.248,0.0470141509852735
154,3.255,0.0573805036324013
155,3.263,0.0462482072128577
156,3.270,0.0287228914655934
157,3.278,0.0402860312571209
158,3.285,0.0259419933373337
159,3.293,0.0362778823116949
160,3.300,0.0221122744752545
161,3.308,0.0382667249480246
162,3.315,0.0584641399922396
163,3.323,0.0374442057833281
164,3.330,0.0252848483962269
165,3.338,0.0277524058903165
166,3.346,0.034658955701816
167,3.353,0.0242577874286693
168,3.361,0.0175470755135261
169,3.368,0.0202278787169815
170,3.376,0.0296455055550943
171,3.383,0.0195837896356318
172,3.391,0.0244492733717733
173,3.398,0.0270560933699385
174,3.406,0.0178647681009486
175,3.413,0.0153885067003543
176,3.421,0.0231436873960645
177,3.428,0.0182694997534183
178,3.436,0.0342324642830845
179,3.444,0.0204759400523662
180,3.451,0.0217554143085608
181,3.459,0.0274564730691558
182,3.466,0.0309641473905601
183,3.474,0.0192486892351999
