#"+EI TIC Scan ACE-PEEK-2Hour.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0622589451455011
1,2.102,0.0718240449154729
2,2.110,0.0625825210475093
3,2.117,0.0661516612999642
4,2.125,0.0615529613593012
5,2.132,0.070946467847905
6,2.140,0.070250289392069
7,2.147,0.0575327759101075
8,2.155,0.0673920355909959
9,2.162,0.0551991072835024
10,2.170,0.0584250609732212
11,2.177,0.0482226147295967
12,2.185,0.047590170921126
13,2.193,0.0552530366005037
14,2.200,0.0405303330591273
15,2.208,0.0421335045736228
16,2.215,0.0535272984564596
17,2.223,0.0393929147369164
18,2.230,0.0348089227917992
19,2.238,0.0341666736529646
20,2.245,0.0506984606464782
21,2.253,0.0698335628516038
22,2.260,0.0429669576545532
23,2.268,0.0431483562662851
24,2.275,0.0325095728214676
25,2.283,0.0398047386121996
26,2.291,0.0368729448333974
27,2.298,0.0289306272386488
28,2.306,0.0276853502824352
29,2.313,0.0279157755459865
30,2.321,0.0446289611512321
31,2.328,0.0233710049223249
32,2.336,0.0347598961399797
33,2.343,0.0386330016337151
34,2.351,0.0221747546179306
35,2.358,0.0215962401264613
36,2.366,0.0308867906462443
37,2.373,0.0320830409506385
38,2.381,0.0442220399411308
39,2.388,0.20914279399653
40,2.396,0.256424097011193
41,2.404,0.0715004690134646
42,2.411,0.0464233366078234
43,2.419,0.0351324986938074
44,2.426,0.0478304015150412
45,2.434,0.0443102879144057
46,2.441,0.0442759692581321
47,2.449,0.0302053201859542
48,2.456,0.0408588116263175
49,2.464,0.0372700607131348
50,2.471,0.0402802971348482
51,2.479,0.0366768382261196
52,2.486,0.0380691951377916
53,2.494,0.0233072702749596
54,2.501,0.0416334327250646
55,2.509,0.0253026550040106
56,2.517,0.0403636424429412
57,2.524,0.0345245682112464
58,2.532,0.0500660168380075
59,2.539,0.0350246400598047
60,2.547,0.0317300490575386
61,2.554,0.0296611243507584
62,2.562,0.0326027234599246
63,2.569,0.0451633516560639
64,2.577,0.0364071916411128
65,2.584,0.0373632113515917
66,2.592,0.0345343735416103
67,2.599,0.0401773411660273
68,2.607,0.0357159158504587
69,2.615,0.0435846934674781
70,2.622,0.0375593179588695
71,2.630,0.0315339424502609
72,2.637,0.0325291834821954
73,2.645,0.0247633618339968
74,2.652,0.031352543838529
75,2.660,0.0423639298371742
76,2.667,0.0371867154050418
77,2.675,0.032999839339662
78,2.682,0.0291022205200169
79,2.690,0.0393242774243692
80,2.697,0.0206108044248907
81,2.705,0.0353335079662671
82,2.712,0.0313574465037109
83,2.720,0.0466047352195553
84,2.728,0.0418001233412506
85,2.735,0.0536988917378276
86,2.743,0.0451290329997903
87,2.750,0.0235965275206943
88,2.758,0.0308769853158804
89,2.765,0.065475093504856
90,2.773,0.0535174931260957
91,2.780,0.0495365289983576
92,2.788,0.0227581717745819
93,2.795,0.0383976737049818
94,2.803,0.0451388383301542
95,2.810,0.0387800815891734
96,2.818,0.030651462717511
97,2.826,0.0311074105794318
98,2.833,0.035862995805917
99,2.841,0.0387653735936276
100,2.848,0.0371180780924946
101,2.856,0.035000126733895
102,2.863,0.0378240618786944
103,2.871,0.024052475382615
104,2.878,0.0484285266672383
105,2.886,0.0432758255610157
106,2.893,0.0419962299485284
107,2.901,0.0517721443213238
108,2.908,0.0430208869715546
109,2.916,0.0423296111809006
110,2.923,0.0338970270679577
111,2.931,0.0390301175134525
112,2.939,0.0393438880850969
113,2.946,0.0565963668603563
114,2.954,1.75171736684325
115,2.961,19.5203193164665
116,2.969,65.8440680864491
117,2.976,100
118,2.984,8.10676279028129
119,2.991,0.154987954396781
120,2.999,0.0948616686054256
121,3.006,0.0808890728368865
122,3.014,0.0713975130446438
123,3.021,0.0583221050044004
124,3.029,0.0674459649079973
125,3.037,0.0928172572245552
126,3.044,0.0700492801196093
127,3.052,0.0489335011809785
128,3.059,0.0647102777364728
129,3.067,0.0586947075582281
130,3.074,0.0444818811957738
131,3.082,0.0510465498743962
132,3.089,0.0454673168973444
133,3.097,0.0325929181295607
134,3.104,0.0401430225097537
135,3.112,0.0557138871276064
136,3.119,0.0735988097113365
137,3.127,0.0684412059399319
138,3.134,0.0616804306540317
139,3.142,0.0503552740837421
140,3.150,0.0527673853532584
141,3.157,0.0630335662442481
142,3.165,0.0515711350488641
143,3.172,0.0485216773056952
144,3.180,0.0499385475432769
145,3.187,0.0418736633189798
146,3.195,0.0363434569937475
147,3.202,0.0363238463330197
148,3.210,0.0392164187903664
149,3.217,0.0414716447740604
150,3.225,0.0456291048483486
151,3.232,0.0251996990351898
152,3.240,0.0313427385081651
153,3.247,0.0633571421462564
154,3.255,0.223635072274355
155,3.263,0.384731747487838
156,3.270,0.170544111019088
157,3.278,0.0387849842543554
158,3.285,0.0451535463257
159,3.293,0.022581675828032
160,3.300,0.035951243779192
161,3.308,0.0536204490949165
162,3.315,0.0409470595995925
163,3.323,0.0284403607204545
164,3.330,0.0378779911956958
165,3.338,0.0288668925912836
166,3.345,0.0363140410026558
167,3.353,0.0185516850484744
168,3.361,0.0285776353455489
169,3.368,0.0161444764441401
170,3.376,0.0276951556127991
171,3.383,0.0189193849371201
172,3.391,0.0306073387308735
173,3.398,0.0126243628435046
174,3.406,0.0170122481813441
175,3.413,0.0238710767708831
176,3.421,0.0244839099186261
177,3.428,0.0251408670530065
178,3.436,0.0250428137493676
179,3.443,0.0412951488275105
180,3.451,0.0198116700002339
181,3.458,0.0111437579585577
182,3.466,0.0263371173574007
183,3.474,0.0246064765481746
184,3.481,0.0474381883004857
185,3.489,0.0789819360811105
186,3.496,0.0381966644325221
187,3.504,0.0189046769415743
188,3.511,0.0221159226357473
189,3.519,0.0238220501190637
190,3.526,0.032999839339662
191,3.534,0.0232876596142318
192,3.541,0.0349511000820755
193,3.549,0.0174289747218093
194,3.556,0.010074976948894
195,3.564,0.0278177222423477
196,3.572,0.0212432482333614
197,3.579,0.0207186630588934
198,3.587,0.02118931891636
199,3.594,0.0191105888792159
200,3.602,0.0316516064146275
201,3.609,0.0108937220342786
202,3.617,0.0184536317448355
203,3.624,0.021968842680289
204,3.632,0.0161199631182304
205,3.639,0.0207382737196212
206,3.647,0.0205421671123434
207,3.654,0.0135411612325281
208,3.662,0.0321712889239135
209,3.669,0.0140853570677238
210,3.677,0.0252095043655537
211,3.685,0.0131244346920629
212,3.692,0.0147128982110126
213,3.700,0.0254007083076495
214,3.707,0.0128351774463282
215,3.715,0.019453775441952
216,3.722,0.0155512539571249
217,3.730,0.0162670430736887
218,3.737,0.0178211879363648
219,3.745,0.0199881659467838
220,3.752,0.0182526224723758
221,3.760,0.0243466352935316
222,3.767,0.028484484707092
223,3.775,0.0229591810470416
224,3.783,0.0170024428509802
225,3.790,0.0168994868821594
226,3.798,0.00997692364525511
227,3.805,0.0200224846030574
228,3.813,0.0186203223610216
229,3.820,0.0203509631702476
230,3.828,0.0233219782705054
231,3.835,0.0206009990945268
232,3.843,0.0106583941055453
233,3.850,0.0117958124277562
234,3.858,0.0218364707203765
235,3.865,0.00859437206394703
