#"+EI TIC Scan ACE-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0806251714086505
1,2.102,0.0830038572915819
2,2.110,0.0854280247401524
3,2.117,0.0713605764879408
4,2.125,0.0734481803507811
5,2.132,0.0646520455561554
6,2.140,0.0587530864927482
7,2.148,0.0740849222697302
8,2.155,0.0650932167428559
9,2.163,0.0482377485169598
10,2.170,0.0541458038934949
11,2.178,0.05688834230154
12,2.185,0.0435076656904807
13,2.193,0.0405104305148559
14,2.200,0.0491792169256918
15,2.208,0.0443809117507537
16,2.215,0.0579298701546783
17,2.223,0.0491018982641051
18,2.230,0.0503389968494919
19,2.238,0.0506391751827108
20,2.245,0.0462502040985258
21,2.253,0.0286079047870712
22,2.261,0.0417247883174231
23,2.268,0.04530418753323
24,2.276,0.0423524339232444
25,2.283,0.0642790967179138
26,2.291,0.0335335583457991
27,2.298,0.0548143829083915
28,2.306,0.0469597165224977
29,2.313,0.0369628683949965
30,2.321,0.0374904545564115
31,2.328,0.0345114120070424
32,2.336,0.040501334201728
33,2.343,0.0404331118532692
34,2.351,0.0340838852900337
35,2.358,0.0400874519544111
36,2.366,0.0366354011223941
37,2.374,0.0313367987254246
38,2.381,0.0480376296281473
39,2.389,0.173530365539891
40,2.396,0.285969892113178
41,2.404,0.101432987688595
42,2.411,0.0365990158698827
43,2.419,0.0354892656682857
44,2.426,0.0427435753877417
45,2.434,0.034998064759382
46,2.441,0.0430255610947049
47,2.449,0.0347979458705695
48,2.456,0.0320781482453439
49,2.464,0.0416565659689643
50,2.472,0.0413609357923093
51,2.479,0.035352820971368
52,2.487,0.0336654548861528
53,2.494,0.0382909301116618
54,2.502,0.0296130473876981
55,2.509,0.0414473507670239
56,2.517,0.0356484511480229
57,2.524,0.0430983315997277
58,2.532,0.0558195255090183
59,2.539,0.0436122732914509
60,2.547,0.0507210420008614
61,2.554,0.029676721579593
62,2.562,0.0427390272311778
63,2.569,0.0277664958227456
64,2.577,0.0383546043035567
65,2.585,0.0485470231633066
66,2.592,0.038454663747963
67,2.600,0.0459045441996677
68,2.607,0.0432939023319763
69,2.615,0.0343840636232525
70,2.622,0.0425843899080044
71,2.630,0.0357667032186849
72,2.637,0.0348707163755922
73,2.645,0.036639949278958
74,2.652,0.0231683095366202
75,2.660,0.0339292479668603
76,2.667,0.0326330233461425
77,2.675,0.0268432200402694
78,2.683,0.030199759584444
79,2.690,0.0269023460756004
80,2.698,0.0312230948113265
81,2.705,0.02973129945836
82,2.713,0.0319917332706294
83,2.720,0.059526273108615
84,2.728,0.0371129575616059
85,2.735,0.0451359057403648
86,2.743,0.0442808523063474
87,2.750,0.051566999121751
88,2.758,0.0466595381892788
89,2.765,0.0564562674279674
90,2.773,0.0605405120223697
91,2.780,0.0461092112450442
92,2.788,0.0334562396842124
93,2.796,0.0379225294299841
94,2.803,0.0588122125280792
95,2.811,0.0333743728660618
96,2.818,0.0344113525626361
97,2.826,0.0273980951410679
98,2.833,0.0423842710191919
99,2.841,0.0365671787739352
100,2.848,0.0498614404102801
101,2.856,0.0552691985647837
102,2.863,0.0348343311230808
103,2.871,0.0471325464719267
104,2.878,0.0567200605086749
105,2.886,0.0359804665771893
106,2.894,0.0442717559932196
107,2.901,0.0441216668266102
108,2.909,0.0493293060923012
109,2.916,0.0486334381380211
110,2.924,0.0365080527386043
111,2.931,0.039568962106124
112,2.939,0.0314186655435752
113,2.946,0.044189889175069
114,2.954,1.14161003832732
115,2.961,16.6636588191257
116,2.969,60.2881029775417
117,2.976,100
118,2.984,10.3784566558405
119,2.991,0.141916129264067
120,2.999,0.0982265373110298
121,3.007,0.0997001400377406
122,3.014,0.071169553912256
123,3.022,0.0564198821754561
124,3.029,0.0656799289396018
125,3.037,0.0839180367609302
126,3.044,0.0612409281332137
127,3.052,0.0624825748751645
128,3.059,0.0597809698761946
129,3.067,0.060813401416205
130,3.074,0.0408060606915108
131,3.082,0.0442808523063474
132,3.089,0.0530678907878453
133,3.097,0.0436486585439623
134,3.104,0.0387957754902572
135,3.112,0.050980286925005
136,3.120,0.0727068308308618
137,3.127,0.0773459505260625
138,3.135,0.0462911375076011
139,3.142,0.0333379876135504
140,3.150,0.0382818337985339
141,3.157,0.0686134899233317
