#"+EI TIC Scan ACE-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0923452628682477
1,2.102,0.087635360952987
2,2.110,0.0773992352715245
3,2.117,0.0838335024449527
4,2.125,0.0909419230570795
5,2.132,0.0682224935651596
6,2.140,0.0816963901835004
7,2.148,0.076541638720255
8,2.155,0.066447681451035
9,2.163,0.0631961522807138
10,2.170,0.0620221163602593
11,2.178,0.0457552983530248
12,2.185,0.0555603327199454
13,2.193,0.0744503872369454
14,2.200,0.0570324636983278
15,2.208,0.059467671017708
16,2.215,0.0583945288091676
17,2.223,0.0461221845781668
18,2.230,0.0483051576177619
19,2.238,0.0372985708635011
20,2.246,0.0557437758325164
21,2.253,0.0383075079826417
22,2.261,0.0506440573030423
23,2.268,0.046241422601338
24,2.276,0.0472641179539214
25,2.283,0.0365785566466599
26,2.291,0.0506302990695995
27,2.298,0.0255444534255135
28,2.306,0.0175646780286745
29,2.313,0.0405317557225652
30,2.321,0.0474888357668209
31,2.328,0.0472228432535929
32,2.336,0.0330472767296679
33,2.343,0.0343772392958078
34,2.351,0.0362346008105893
35,2.359,0.0357668208735332
36,2.366,0.0461130124225383
37,2.374,0.0378259698121428
38,2.381,0.027952144278008
39,2.389,0.109226615302595
40,2.396,0.347322017186327
41,2.404,0.182489208385643
42,2.411,0.0502817571557145
43,2.419,0.0372618822409869
44,2.426,0.0474704914555638
45,2.434,0.0293875866338762
46,2.441,0.0426367654393176
47,2.449,0.0390871412110685
48,2.456,0.0412196673947065
49,2.464,0.0339599062147087
50,2.472,0.0429715491197597
51,2.479,0.0410041217374356
52,2.487,0.0398438440504239
53,2.494,0.0452508297934545
54,2.502,0.0288739459186774
55,2.509,0.03904586651074
56,2.517,0.0237146083776176
57,2.524,0.0322538852677983
58,2.532,0.0452600019490831
59,2.539,0.0551521717944749
60,2.547,0.0391375880670255
61,2.554,0.0296077183689614
62,2.562,0.0308092707563016
63,2.570,0.031616420451614
64,2.577,0.0257508269271559
65,2.585,0.0391651045339112
66,2.592,0.0404583784775368
67,2.600,0.0307221352778303
68,2.607,0.036097018476161
69,2.615,0.0204860095963678
70,2.622,0.0290390447199913
71,2.630,0.0281585177796504
72,2.637,0.0427284869956031
73,2.645,0.0349275686335208
74,2.652,0.0296810956139898
75,2.660,0.0355283448271909
76,2.667,0.0329601412511967
77,2.675,0.0283190305031501
78,2.683,0.0307863403672302
79,2.690,0.0300296375278748
80,2.698,0.0283190305031501
81,2.705,0.0332995110094531
82,2.713,0.0300800843838318
83,2.720,0.0516667526556257
84,2.728,0.0550604502381894
85,2.735,0.0444711965650277
86,2.743,0.0329417969399396
87,2.750,0.0359686082973613
88,2.758,0.0316255926072426
89,2.765,0.0542624726985055
90,2.773,0.0517676463675397
91,2.781,0.046975195051622
92,2.788,0.0305845529434021
93,2.796,0.0332307198422389
94,2.803,0.0606187765490911
95,2.811,0.0670071829443766
96,2.818,0.0377663508005572
97,2.826,0.0346661621981071
98,2.833,0.0413664218847633
99,2.841,0.0560785595129585
100,2.848,0.051354899364255
101,2.856,0.0361016045539753
102,2.863,0.0331573425972105
103,2.871,0.0444390940203278
104,2.878,0.0379635521465711
105,2.886,0.0574727271684982
106,2.894,0.0636593461399556
107,2.901,0.0740376402336607
108,2.909,0.0539597915627633
109,2.916,0.0519281590910394
110,2.924,0.0439804862389003
111,2.931,0.0306808605775018
112,2.939,0.0445537459656847
113,2.946,0.0577983386933118
114,2.954,0.357117879397619
115,2.961,8.50604158426058
116,2.969,45.4068802632409
117,2.976,100
118,2.984,88.0045081144914
119,2.992,1.07388515314634
120,2.999,0.118164880962618
121,3.007,0.0972294357404509
122,3.014,0.0756978004024283
123,3.022,0.0728039853016206
124,3.029,0.0660028319030503
125,3.037,0.080389358006432
126,3.044,0.0836592314880103
127,3.052,0.0575231740244553
128,3.059,0.0715978468364662
129,3.067,0.0549733147597182
130,3.074,0.0433246771114589
