#"+EI TIC Scan ACE-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0931501041061576
1,2.102,0.0825450625889137
2,2.110,0.0889877497829576
3,2.117,0.078641610687731
4,2.125,0.0765504757406688
5,2.132,0.0723980792029311
6,2.140,0.0626842594845542
7,2.148,0.0735432245310842
8,2.155,0.0747879477138593
9,2.163,0.0646260276496833
10,2.170,0.0639240037745982
11,2.178,0.0431271688367917
12,2.185,0.0560075643321485
13,2.193,0.0613300006616948
14,2.200,0.0562913612178212
15,2.208,0.0437146781790616
16,2.215,0.0537969359595399
17,2.223,0.0435752691825908
18,2.230,0.059502747029381
19,2.238,0.0520742390745792
20,2.245,0.0493209113942807
21,2.253,0.0416384799101927
22,2.261,0.0416733321593104
23,2.268,0.0403240522291822
24,2.276,0.0306799370090407
25,2.283,0.030196984414124
26,2.291,0.0347974812976608
27,2.298,0.020428396875705
28,2.306,0.0360770567295536
29,2.313,0.030047617632191
30,2.321,0.0334282857966081
31,2.328,0.037884394790943
32,2.336,0.0380984871783803
33,2.343,0.0275780868375652
34,2.351,0.0414144297372932
35,2.358,0.0340307318170713
36,2.366,0.0412899574190157
37,2.374,0.0279863560415154
38,2.381,0.0349119958304761
39,2.389,0.110441798561269
40,2.396,0.329468268695107
41,2.404,0.179638449738103
42,2.411,0.0346879456575766
43,2.419,0.0285390131346675
44,2.426,0.0359276899476206
45,2.434,0.0189994546618792
46,2.441,0.0349817003287115
47,2.449,0.0373765477323708
48,2.456,0.0406476802567037
49,2.464,0.0362762124387976
50,2.472,0.0328557131325316
51,2.479,0.043485649113431
52,2.487,0.0457560241988128
53,2.494,0.0379690359673717
54,2.502,0.0478720536095304
55,2.509,0.0451137470365008
56,2.517,0.0202342200591921
57,2.524,0.0393282736829621
58,2.532,0.0500179563766347
59,2.539,0.0266968228241604
60,2.547,0.0376404290471191
61,2.554,0.0278817992941623
62,2.562,0.0293904037916857
63,2.569,0.0265374982567652
64,2.577,0.0400502131289717
65,2.585,0.0500378719475591
66,2.592,0.0428782242002367
67,2.600,0.0407323214331324
68,2.607,0.040956371606032
69,2.615,0.0415986487683439
70,2.622,0.0275034034465987
71,2.630,0.0359127532694273
72,2.637,0.0483550062044472
73,2.645,0.0370628774903115
74,2.652,0.0420268335432186
75,2.660,0.0500129774839036
76,2.667,0.0250488093301662
77,2.675,0.0463385546483515
78,2.683,0.0297439051755938
79,2.690,0.0416633743738482
80,2.698,0.0295746228227364
81,2.705,0.0362562968678732
82,2.713,0.0423653982489334
83,2.720,0.0481359349242788
84,2.728,0.0480413359623879
85,2.735,0.0516958432270156
86,2.743,0.0427139207401104
87,2.750,0.0424201660689755
88,2.758,0.040214516589098
89,2.765,0.0425247228163286
90,2.773,0.0526169383822691
91,2.780,0.0367890383901009
92,2.788,0.0345933466956856
93,2.796,0.0379092892545985
94,2.803,0.0466173726412931
95,2.811,0.0449394857909123
96,2.818,0.0422110525742693
97,2.826,0.0376105556907325
98,2.833,0.0456763619151152
99,2.841,0.0393282736829621
100,2.848,0.0481707871733965
101,2.856,0.0355891252419057
102,2.863,0.0388602577662387
103,2.871,0.0283099840690369
104,2.878,0.0310981639984532
105,2.886,0.0456962774860396
106,2.894,0.0467916338868817
107,2.901,0.0606678079284585
108,2.909,0.0503266477259629
109,2.916,0.0364604314698483
110,2.924,0.053403603433783
111,2.931,0.0269507463534465
112,2.939,0.0297837363174427
113,2.946,0.0446457311197774
114,2.954,0.302666889123594
115,2.961,8.30314506198149
116,2.969,46.4820811891109
117,2.976,100
118,2.984,70.332789688036
119,2.991,0.744717880254344
120,2.999,0.127121089210456
121,3.007,0.0899934861146399
122,3.014,0.0696746248790191
123,3.022,0.0644667030822881
124,3.029,0.063620291318001
125,3.037,0.0865331556665251
126,3.044,0.0775462542868889
127,3.052,0.0603143065445504
128,3.059,0.0629979297266135
129,3.067,0.0678274556757809
130,3.074,0.041553838733764
131,3.082,0.0508942414973084
132,3.089,0.058462158448581
133,3.097,0.0540060494542461
134,3.104,0.0410758650315784
135,3.112,0.037884394790943
136,3.120,0.0577302612171093
137,3.127,0.0704463532523397
138,3.135,0.0564457068924853
139,3.142,0.0447702034380549
140,3.150,0.0410858228170406
141,3.157,0.056281403432359
142,3.165,0.058462158448581
143,3.172,0.0518701044726041
144,3.180,0.0502868165841141
145,3.187,0.0469111273124281
146,3.195,0.0291464380478618
147,3.202,0.0357633864874942
148,3.210,0.0335876103640034
149,3.218,0.0351708982524933
150,3.225,0.0370927508466981
151,3.233,0.019238441512972
152,3.240,0.0465177947866711
153,3.248,0.0200898321699902
154,3.255,0.0441279262757429
155,3.263,0.0602744754027016
156,3.270,0.0383175584585488
157,3.278,0.0287033165947939
158,3.285,0.0197960774988552
159,3.293,0.0270453453153374
160,3.300,0.0249542103682753
161,3.308,0.023355985801592
162,3.315,0.0540906906306748
163,3.323,0.0313022986004283
164,3.331,0.0269208729970599
165,3.338,0.0295497283590809
166,3.346,0.0204483124466294
167,3.353,0.0257110020634025
168,3.361,0.0237841705764667
169,3.368,0.0115510311361529
170,3.376,0.02171793009306
171,3.383,0.0312774041367728
172,3.391,0.00633315155395972
173,3.398,0.0204632491248227
174,3.406,0.0084890121065262
175,3.413,0.0228630754212131
176,3.421,0.026179017980126
177,3.429,0.0201495788827634
178,3.436,0.0233858591579786
179,3.444,0.0224398695390695
180,3.451,0.0343195075954751
181,3.459,0.0258703266307977
182,3.466,0.0189695813054926
183,3.474,0.0262835747274791
184,3.481,0.0446457311197774
185,3.489,0.0760476075748277
186,3.496,0.052661748416849
187,3.504,0.029948039777569
188,3.511,0.0311280373548398
189,3.519,0.0133434325193491
190,3.526,0.0208067927232686
191,3.534,0.0217129512003289
192,3.542,0.0213096608891098
193,3.549,0.0297687996392493
194,3.557,0.013736765045106
195,3.564,0.0266818861459671
196,3.572,0.0131492557028362
197,3.579,0.0214341332073873
198,3.587,0.0209910117543193
199,3.594,0.0220614736915059
200,3.602,0.0286136965256341
201,3.609,0.0301820477359307
202,3.617,0.0166245228291443
203,3.624,0.0158527944558237
204,3.632,0.0194027449730983
205,3.640,0.0198508453188973
206,3.647,0.0323329293957661
207,3.655,0.0280261871833642
208,3.662,0.0228680543139442
209,3.670,0.0170676442822122
210,3.677,0.0211304207507901
211,3.685,0.0259250944508398
212,3.692,0.0281606172871039
213,3.700,0.00352007716088799
214,3.707,0.0231767456632724
215,3.715,0.0299679553484934
216,3.722,0.0166842695419175
217,3.730,0.0288377466985336
218,3.737,0.0343294653809373
219,3.745,0.0160519501650677
220,3.753,0.021419196529194
221,3.760,0.014379042207418
222,3.768,0.0180534650429701
223,3.775,0.0270403664226063
224,3.783,0.0372719909850177
225,3.790,0.0142993799237204
226,3.798,0.0162062958397318
227,3.805,0.0257408754197891
228,3.813,0.0241526086385681
229,3.820,0.0246106667698293
230,3.828,0.00815542629354247
231,3.835,0.0131193823464496
232,3.843,0.0275233190175231
233,3.850,0.0279266093287422
234,3.858,0.0186409743852399
235,3.866,0.0248596114063843
236,3.873,0
237,3.881,0.022808307601171
238,3.888,0.0205578480867136
239,3.896,0.0190741380528457
240,3.903,0.0265126037931097
241,3.911,0.0285888020619786
242,3.918,0.0254072896068054
243,3.926,0.0195919428968801
244,3.933,0.0229477165976418
245,3.941,0.0251832394339059
246,3.948,0.0116705245616994
247,3.956,0.0284344563873144
248,3.964,0.0253823951431499
249,3.971,0.0691817144986402
250,3.979,0.0570879840547973
251,3.986,0.0336722515404321
252,3.994,0.0124721262914065
253,4.001,0.0124820840768687
254,4.009,0.0252081338975614
255,4.016,0.0299331030993757
256,4.024,0.0215536266329337
257,4.031,0.0155490819992266
258,4.039,0.0275731079448341
259,4.046,0.0203437556992763
260,4.054,0.0188451089872151
261,4.061,0.0224747217881872
262,4.069,0.0216432467020935
263,4.077,0.0138263851142658
264,4.084,0.026179017980126
265,4.092,0.0239434951438619
266,4.099,0.0249591892610064
267,4.107,0.0270503242080685
268,4.114,0.0188002989526351
269,4.122,0.0119344058764477
270,4.129,0.02325640794697
271,4.137,0.0207968349378064
272,4.144,0.0340506473879957
273,4.152,0.0137517017232993
274,4.159,0.0203885657338562
275,4.167,0.0301073643449642
276,4.175,0.0260396089836551
277,4.182,0.0302318366632417
278,4.190,0.016460219369018
279,4.197,0.0295845806081986
280,4.205,0.0299131875284513
281,4.212,0.0368039750682942
282,4.220,0.0320790058664799
283,4.227,0.0176850269808687
284,4.235,0.0208466238651174
285,4.242,0.0246853501607958
286,4.250,0.0292261003315594
287,4.257,0.00581036781719418
288,4.265,0.0259151366653776
289,4.272,0.0164552404762869
290,4.280,0.0128306065680458
291,4.288,0.0136023349413663
292,4.295,0.0166892484346486
293,4.303,0.01497650933515
294,4.310,0.0244861944515518
295,4.318,0.0194525339004093
296,4.325,0.0277573269758848
297,4.333,0.00771230484047453
298,4.340,0.0232713446251633
299,4.348,0.0233360702306676
300,4.355,0.0261342079455461
301,4.363,0.015320052933596
302,4.370,0.00721939446009559
303,4.378,0.0178045204064151
304,4.386,0.0250488093301662
305,4.393,0.0429977176257831
306,4.401,0.0198657819970906
307,4.408,0.0239186006802064
308,4.416,0.0476878345784797
309,4.423,0.123058312741878
310,4.431,0.0703318387195244
311,4.438,0.0364703892553105
312,4.446,0.0303762245524436
313,4.453,0.021966874729615
314,4.461,0.0232763235178944
315,4.468,0.0242023975658791
316,4.476,0.017899119368306
317,4.483,0.0178294148700706
318,4.491,0.0297737785319805
