#"+EI TIC Scan ACE-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0879301937566435
1,2.102,0.0858368579139974
2,2.110,0.0829414970135664
3,2.117,0.0795215411067855
4,2.125,0.0687219458318329
5,2.132,0.0623814081108542
6,2.140,0.0753298252387399
7,2.148,0.0602779839027014
8,2.155,0.0742957677743003
9,2.163,0.171325667218013
10,2.170,0.102709649224
11,2.178,0.0702150239268287
12,2.185,0.0821394719557815
13,2.193,0.0639249280333836
14,2.200,0.0490546772764662
15,2.208,0.0426788302762139
16,2.215,0.0480307081775332
17,2.223,0.0438289039439809
18,2.230,0.0406510688093615
19,2.238,0.0387342793630832
20,2.245,0.0401516947167785
21,2.253,0.0476372619227708
22,2.261,0.0488831750628518
23,2.268,0.0407015106368952
24,2.276,0.0546032783051667
25,2.283,0.0536247068510141
26,2.291,0.0337556709855128
27,2.298,0.0357582115385983
28,2.306,0.0311730494157903
29,2.313,0.0345173425812707
30,2.321,0.0384164958496212
31,2.328,0.0278287562503099
32,2.336,0.0409032779470297
33,2.343,0.0417355681013348
34,2.351,0.042749448834761
35,2.358,0.021513439443098
36,2.366,0.0307846473437813
37,2.374,0.0211906117468827
38,2.381,0.0207063702025598
39,2.389,0.106260753882369
40,2.396,0.364381673737518
41,2.404,0.185741941527127
42,2.411,0.0385022469564284
43,2.419,0.0454632191560709
44,2.426,0.0299523571894762
45,2.434,0.0422147654629044
46,2.441,0.0302600523374314
47,2.449,0.0249132186188654
48,2.456,0.0347443308051721
49,2.464,0.0450748170840619
50,2.472,0.0359347579349661
51,2.479,0.0471984180232282
52,2.487,0.301531156630601
53,2.494,0.701171667814134
54,2.502,0.557790773049759
55,2.509,0.444866653750196
56,2.517,0.323110170449493
57,2.524,0.275548571268022
58,2.532,0.219245403374972
59,2.539,0.181873053355297
60,2.547,0.154523494466557
61,2.554,0.129660717675225
62,2.562,0.134321542539333
63,2.569,0.112273419724379
64,2.577,0.106447388644243
65,2.585,0.083753610436858
66,2.592,0.0803437428955839
67,2.600,0.0663612683032585
68,2.607,0.0808784262674404
69,2.615,0.0763588385204262
70,2.622,0.0681822182772229
71,2.630,0.0621191106076793
72,2.637,0.0691355688176088
73,2.645,0.121221799928847
74,2.652,0.230695698225108
75,2.660,0.133363147816194
76,2.667,0.0727421594862641
77,2.675,0.0961875209239006
78,2.683,0.153751734505292
79,2.690,0.0867649875406164
80,2.698,0.0656954361798144
81,2.705,0.0605301930403696
82,2.713,0.0583208409943961
83,2.720,0.0638896187541101
84,2.728,0.0609589485744055
85,2.735,0.0552186686010771
86,2.743,0.0520105683699375
87,2.750,0.0506284622955158
88,2.758,0.0564090957308711
89,2.765,0.0551783151390502
90,2.773,0.0717686322148648
91,2.780,0.0541543460401173
92,2.788,0.0404190364027068
93,2.796,0.0379272101225449
94,2.803,0.0477835432226184
95,2.811,0.0660687057035634
96,2.818,0.0303861569062655
97,2.826,0.0382803029152804
98,2.833,0.0513346478809867
99,2.841,0.0424619304178192
100,2.848,0.0520458776492111
101,2.856,0.0301137710375839
102,2.863,0.0231780197517082
103,2.871,0.0273848681680139
104,2.878,0.0486713193872105
105,2.886,0.0545578806603864
106,2.894,0.0410899127089042
107,2.901,0.0278237120675565
108,2.909,0.0490294563626993
109,2.916,0.0520660543802245
110,2.924,0.0413269892983123
111,2.931,0.0408679686677562
112,2.939,0.0270418637407851
113,2.946,0.0403332852958996
114,2.954,0.248072907810448
115,2.961,7.16279499578735
116,2.969,43.6818458399893
117,2.976,100
118,2.984,90.2544674182869
119,2.991,1.31885202269459
120,2.999,0.104858471076934
121,3.007,0.0777762538741215
122,3.014,0.0662502962826845
123,3.022,0.0592489706210151
124,3.029,0.0496246699275963
125,3.037,0.082230267245342
126,3.044,0.0611758484328002
127,3.052,0.0483989335185288
128,3.059,0.0439600526955684
129,3.067,0.0642326231813388
130,3.074,0.0479399128879727
131,3.082,0.0293924529038528
132,3.089,0.0416447728117743
133,3.097,0.0344568123882304
134,3.104,0.0251956928530538
135,3.112,0.0346787564293784
136,3.120,0.0583006642633826
137,3.127,0.0613927482911948
138,3.135,0.0516272104806819
139,3.142,0.0239699564439863
140,3.150,0.0351478654254413
141,3.157,0.0313546399949114
142,3.165,0.0513296036982334
143,3.172,0.041432917136133
144,3.180,0.0499828069030852
145,3.187,0.0253671950666682
146,3.195,0.0283785721704266
147,3.202,0.0151880342703794
148,3.210,0.0357582115385983
149,3.218,0.0240405750025334
150,3.225,0.0295639551174672
151,3.233,0.0193141757626313
152,3.240,0.0320709139458891
153,3.248,0.019435236148712
154,3.255,0.0515616361048881
155,3.263,0.0343307078193963
156,3.270,0.0112888810020289
157,3.278,0.0214781301638245
158,3.285,0.00846413866014501
159,3.293,0.0223104203181295
160,3.300,0.0270368195580317
161,3.308,0.040449301499227
162,3.315,0.0425123722453529
163,3.323,0.0403332852958996
164,3.331,0.0153292713874736
165,3.338,0.027677430767709
166,3.346,0.0135688516065495
167,3.353,0.0263255897898074
168,3.361,0.0288577695319962
169,3.368,0.0196117825450797
170,3.376,0.00379826961328319
171,3.383,0.030739249699001
172,3.391,0.0228249269589727
173,3.398,0.00368729759270918
174,3.406,0.0216597207429456
175,3.413,0.0164137706794469
176,3.421,0.00962934487617212
177,3.429,0.0139976071405855
178,3.436,0.0126104568834103
179,3.444,0.0201716868307032
180,3.451,0.0249838371774125
181,3.459,0.0218211345910532
182,3.466,0.0255084321837624
183,3.474,0.00813626678117634
184,3.481,0.030088550123817
185,3.489,0.0670926748024963
186,3.496,0.0588958778282796
187,3.504,0.0177151698298148
188,3.511,0.0145524672434555
189,3.519,0
190,3.526,0.0120253316840201
191,3.534,0.00889289419418096
192,3.542,0.00896855693548142
193,3.549,0.00587647290766921
194,3.557,0.0238942937026859
195,3.564,0.0134679679514822
196,3.572,0.0265929314757357
197,3.579,0.0115713552362173
198,3.587,0.0152536086461731
199,3.594,0.00913501496634244
200,3.602,0.0117983434601187
201,3.609,0.0143557441160743
202,3.617,0.016111119714245
203,3.624,0.00913501496634244
204,3.632,0.0274453983610542
205,3.640,0.0139622978613119
206,3.647,0.0219068856978604
207,3.655,0.00698619311340932
208,3.662,0.0178059651193754
209,3.670,0.0108349045542262
210,3.677,0.0208879607816809
211,3.685,0.0105372977717777
212,3.692,0.0136646910788634
213,3.700,0.00998748185166098
214,3.707,0.00751078811975919
215,3.715,0.0105171210407642
216,3.722,0.0179219813227028
217,3.730,0.00855493394970556
218,3.737,0.0175537559817072
219,3.745,0.0218110462255465
220,3.753,0.00423711351282587
221,3.760,0.00323836532765977
222,3.768,0.015889175673097
223,3.775,0.00439348317818016
224,3.783,0.0172208399199851
225,3.790,0.0173620770370793
