#"+EI TIC Scan ACE-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.255208808665898
1,2.102,0.224547951244038
2,2.110,0.210471891976506
3,2.117,0.176154152105246
4,2.125,0.173270232447993
5,2.132,0.154506673674863
6,2.140,0.136733049705711
7,2.147,0.124686582798848
8,2.155,0.102483113588148
9,2.162,0.12056411457406
10,2.170,0.1039567151685
11,2.177,0.0871911070043131
12,2.185,0.0878781850417777
13,2.193,0.0884432163225875
14,2.200,0.0832584892898773
15,2.208,0.0852338386475881
16,2.215,0.0836743523125532
17,2.223,0.062722992420128
18,2.230,0.0697610220538941
19,2.238,0.0652814540596345
20,2.245,0.0636360829699165
21,2.253,0.0384221270950625
22,2.260,0.043855467891329
23,2.268,0.0510788277852008
24,2.275,0.0575473058879107
25,2.283,0.10683159432526
26,2.290,0.24735261373752
27,2.298,0.166842436597501
28,2.306,0.113259390175751
29,2.313,0.0981662746027615
30,2.321,0.0648475100359726
31,2.328,0.0841128165864616
32,2.336,0.0627681949225927
33,2.343,0.0621896028910436
34,2.351,0.0695756917937885
35,2.358,0.0670353111552679
36,2.366,0.0655255475729443
37,2.373,0.0536644109261862
38,2.381,0.0535785261715031
39,2.388,0.216366298297913
40,2.396,0.294064879784623
41,2.404,0.0852835614002994
42,2.411,0.0423592650597448
43,2.419,0.0439323121455191
44,2.426,0.0502787434915742
45,2.434,0.0515624945615739
46,2.441,0.0339787211027747
47,2.449,0.0501883384866446
48,2.456,0.0449584089514696
49,2.464,0.0496142667053419
50,2.471,0.0403206321985833
51,2.479,0.037292064533443
52,2.486,0.0472592163269269
53,2.494,0.0464094092805891
54,2.501,0.0399002489256608
55,2.509,0.0304619664110149
56,2.517,0.0434215238676671
57,2.524,0.0447640381908711
58,2.532,0.0378435350635134
59,2.539,0.0403296726990762
60,2.547,0.0411297569927028
61,2.554,0.0427480065809419
62,2.562,0.0491667619309406
63,2.569,0.0347019611422112
64,2.577,0.0469654000609058
65,2.584,0.0453064682204484
66,2.592,0.0286493460621772
67,2.599,0.0386164978556611
68,2.607,0.0438283463898502
69,2.615,0.0410981152409775
70,2.622,0.0359359894594997
71,2.630,0.0390097596271047
72,2.637,0.0450714152076316
73,2.645,0.0201422350983057
74,2.652,0.0478332881082296
75,2.660,0.028685508064149
76,2.667,0.0270401369744311
77,2.675,0.0369168837629854
78,2.682,0.038426647345309
79,2.690,0.0308326269312261
80,2.697,0.0316779137273174
81,2.705,0.0315513467204161
82,2.712,0.0358003819521053
83,2.720,0.0427208850794631
84,2.728,0.0505409180058699
85,2.735,0.0391950898872103
86,2.743,0.0360670767166475
87,2.750,0.037499996044781
88,2.758,0.0298472123774939
89,2.765,0.0578411221539318
90,2.773,0.0500256094777714
91,2.780,0.0434802871208714
92,2.788,0.0336939453372466
93,2.795,0.0283374487951702
94,2.803,0.0459483437554483
95,2.810,0.0321344590022117
96,2.818,0.022641933484608
97,2.825,0.0342047336150986
98,2.833,0.0446329509337232
99,2.841,0.0447504774401317
100,2.848,0.0347833256466478
101,2.856,0.0370072887679149
102,2.863,0.0365281422417883
103,2.871,0.0383000803384076
104,2.878,0.0535559249202707
105,2.886,0.0540938346996016
106,2.893,0.0406551307168226
107,2.901,0.0523444978542146
108,2.908,0.0359857122122109
109,2.916,0.056679417840587
110,2.923,0.0413422087542873
