#"+EI TIC Scan ACN-ASA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.13457718385238
1,2.102,0.117873032029288
2,2.110,0.111183162871637
3,2.117,0.11859810987255
4,2.125,0.379728738802336
5,2.132,0.349726932948084
6,2.140,0.110642774667695
7,2.148,0.116723852051286
8,2.155,0.0882953283097751
9,2.163,0.182377598651629
10,2.170,0.635092946771078
11,2.178,0.383087354095185
12,2.185,0.190394497069591
13,2.193,0.128591871466956
14,2.200,0.109240501480253
15,2.208,0.113584128182818
16,2.215,0.109637242186944
17,2.223,0.114418651738272
18,2.230,0.099650320949551
19,2.238,0.0951220046076645
20,2.246,0.0654827376750447
21,2.253,0.0751550024898899
22,2.261,0.093110939646162
23,2.268,0.0752507674880567
24,2.276,0.0589433563716558
25,2.283,0.0756680292657834
26,2.291,0.0882542861677037
27,2.298,0.131273291415626
28,2.306,0.0948073481851165
29,2.313,0.0714064868473615
30,2.321,0.0712970411351709
31,2.328,0.0731370971713756
32,2.336,0.0641967505568051
33,2.343,0.055536858579723
34,2.351,0.1105880518116
35,2.359,0.192343998817986
36,2.366,0.179367841566387
37,2.374,0.0874129222552383
38,2.381,0.0784110124275606
39,2.389,0.276904492199257
40,2.396,0.414470912065843
41,2.404,0.190079840647043
42,2.411,0.0495173444092394
43,2.419,0.0593537777923705
44,2.426,0.0568160053409508
45,2.434,0.0607150088377413
46,2.441,0.0899506947066581
47,2.449,0.0863047844193084
48,2.457,0.172623249552641
49,2.464,0.154338975259797
50,2.472,0.168443791418362
51,2.479,0.0945200531906161
52,2.487,0.0431216106031006
53,2.494,0.0397424742392155
54,2.502,0.031670852965158
55,2.509,0.0394825406727628
56,2.517,0.0287294994500353
57,2.524,0.0508785754546101
58,2.532,0.0472326651672604
59,2.539,0.0429232402497551
60,2.547,0.13658140845687
61,2.554,0.696320982384713
62,2.562,0.754313529131712
63,2.570,0.977534899501475
64,2.577,1.04508342499412
65,2.585,0.262402935334001
66,2.592,0.137395410941288
67,2.600,0.102140210901887
68,2.607,0.0693064972447042
