#"+EI TIC Scan ACN-BLANK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.152158777251121
1,2.102,0.139026259918101
2,2.110,0.122620452800276
3,2.117,0.124909787739949
4,2.125,0.105709548861951
5,2.132,0.113745180097191
6,2.140,0.105001101373457
7,2.148,0.110793315561797
8,2.155,0.106916533471979
9,2.163,0.111403367565778
10,2.170,0.107506906379058
11,2.178,0.100691379151781
12,2.185,0.0885362569649244
13,2.193,0.0997008646076821
14,2.200,0.0833868932754033
15,2.208,0.0764073735739378
16,2.215,0.100980005906353
17,2.223,0.0780013804230507
18,2.230,0.0569578661351736
19,2.238,0.0720648528574245
20,2.246,0.0677092127429762
21,2.253,0.0767943958130229
22,2.261,0.079890573725703
23,2.268,0.0716778306183395
24,2.276,0.0646327139271986
25,2.283,0.0607493721384133
26,2.291,0.0686538093943023
27,2.298,0.0707791518597862
28,2.306,0.0512246892375413
29,2.313,0.0763220974873598
30,2.321,0.0601852380272047
31,2.328,0.047584056310555
32,2.336,0.0644228035602373
33,2.343,0.0615234166165834
34,2.351,0.0653674002115634
35,2.359,0.048574570854654
36,2.366,0.050568719340787
37,2.374,0.065688825460973
38,2.381,0.210435142878771
39,2.389,0.407573775950333
40,2.396,0.230547179913257
41,2.404,0.0902680174923557
42,2.411,0.0557508815251458
43,2.419,0.0626648042369358
44,2.426,0.0560788664735229
45,2.434,0.0349631954970028
46,2.441,0.0581123731534611
47,2.449,0.0597719769922495
48,2.457,0.0587421042543452
49,2.464,0.0406766932977325
50,2.472,0.0508376669984562
51,2.479,0.0533697107999277
52,2.487,0.0581648507452015
53,2.494,0.0606181781590625
54,2.502,0.0589651340192417
55,2.509,0.0700313461774863
56,2.517,0.0576335151288305
57,2.524,0.0405717381142519
58,2.532,0.0470592803931516
59,2.539,0.0556196875457949
60,2.547,0.0535337032741163
61,2.554,0.0383086419704496
62,2.562,0.0536976957483049
63,2.570,0.0426118044931576
64,2.577,0.0506277566314949
65,2.585,0.0418902376067279
66,2.592,0.0445075574947775
67,2.600,0.0483384216918225
68,2.607,0.0488697573081934
69,2.615,0.0367015157234016
70,2.622,0.0324508307924339
71,2.630,0.0462589971191114
72,2.637,0.037685470568533
73,2.645,0.0554556950716063
74,2.652,0.0388990148775285
75,2.660,0.0452947213708826
76,2.667,0.0407488499863755
77,2.675,0.0566430005847316
78,2.683,0.0484105783804654
79,2.690,0.0433136922826847
80,2.698,0.0454193556512659
81,2.705,0.0432349758950742
82,2.713,0.0545963745068582
83,2.720,0.0579155821844349
84,2.728,0.0544455014306047
85,2.735,0.0547603669810468
86,2.743,0.0479973173455102
87,2.750,0.0490534288792846
88,2.758,0.0469871237045087
89,2.765,0.0805137451276196
90,2.773,0.0510738161612878
91,2.781,0.0393450744073214
92,2.788,0.0478530039682243
93,2.796,0.0477742875806138
94,2.803,0.0459441315686694
95,2.811,0.0358553145565886
96,2.818,0.0364456874636675
97,2.826,0.0318145399925823
98,2.833,0.0431431401095286
99,2.841,0.0496110032915257
100,2.848,0.0451963258863695
101,2.856,0.036137381612193
102,2.863,0.0456095869213247
103,2.871,0.0465476238736833
104,2.878,0.0629009533997673
105,2.886,0.0559935903869448
106,2.894,0.0506146372335598
107,2.901,0.0634913263068462
108,2.909,0.0658069000423888
109,2.916,0.0576203957308954
110,2.924,0.0550883519294239
111,2.931,0.283680741550353
112,2.939,5.64040963483337
113,2.946,27.5948299601393
114,2.954,55.6524794809336
115,2.961,80.8863163498791
116,2.969,100
117,2.976,34.3428382059433
118,2.984,0.868989561026257
119,2.992,0.211583090198091
120,2.999,0.150709083779294
121,3.007,0.118192655997185
122,3.014,0.113174486287015
123,3.022,0.103000393188356
124,3.029,0.10200331894529
125,3.037,0.107526585475961
126,3.044,0.0961323883693389
127,3.052,0.0695393687549206
128,3.059,0.0602311559199774
129,3.067,0.0731734419829393
130,3.074,0.0679322425078726
131,3.082,0.0673484292997613
132,3.089,0.0595423875283855
133,3.097,0.0600671634457889
134,3.105,0.0710415398184879
135,3.112,0.073750695492083
136,3.120,0.0790312531609549
137,3.127,0.0872111977734807
138,3.135,0.061011760097115
139,3.142,0.0425396478045147
140,3.150,0.0573776868690964
141,3.157,0.0797659394453197
142,3.165,0.0601327604354643
143,3.172,0.0604607453838414
144,3.180,0.0667318175968123
145,3.187,0.0596014248190933
146,3.195,0.0441664531484653
147,3.203,0.0540191209977145
148,3.210,0.044743706657609
149,3.218,0.0398042533350494
150,3.225,0.0418771182087929
151,3.233,0.0422182225551051
152,3.240,0.0364128889688298
153,3.248,0.0548587624655599
154,3.255,0.0536714569524347
155,3.263,0.0459900494614422
156,3.270,0.039522186279445
157,3.278,0.0301877346486317
158,3.285,0.0432152967981716
159,3.293,0.0417852824232473
160,3.300,0.0443894829133617
161,3.308,0.0508311072994887
162,3.316,0.0514411593034702
163,3.323,0.0348254418186844
164,3.331,0.0328772112253242
165,3.338,0.0378363436447865
166,3.346,0.0183409183132495
167,3.353,0.0292628170942082
168,3.361,0.0187279405523345
169,3.368,0.00856696685161082
170,3.376,0.0258845721259237
171,3.383,0.0282919816470118
172,3.391,0.0268160493793147
173,3.398,0.0192002388779976
174,3.406,0.035533889307179
175,3.414,0.0305485180918465
176,3.421,0.025090848550851
177,3.429,0.0154743298644333
178,3.436,0.0222570585968725
179,3.444,0.0238182669511477
180,3.451,0.020256350411772
181,3.459,0.0447961842493494
182,3.466,0.0254647513920009
183,3.474,0.0493026974400512
184,3.481,0.0492174213534732
185,3.489,0.0858139818933941
186,3.496,0.0425593269014173
187,3.504,0.0290201082324091
188,3.511,0.0316571072173613
189,3.519,0.0202497907128044
190,3.527,0.0336906138972995
191,3.534,0.0342941062023134
192,3.542,0.0232934910337443
193,3.549,0.00932133223287823
194,3.557,0.0278459221172189
195,3.564,0.00826522069910385
196,3.572,0.0173766425650207
197,3.579,0.0447502663565766
198,3.587,0.023326289528582
199,3.594,0.0130538009454101
200,3.602,0.026783250884477
201,3.609,0.0292956155890459
202,3.617,0.024329923470616
203,3.624,0.0170355382187085
204,3.632,0.0346614493444958
205,3.640,0.0139459200049959
206,3.647,0.0230770209678154
207,3.655,0.023254132839939
208,3.662,0.010889100286121
209,3.670,0.0222898570917102
210,3.677,0.00733374344571278
211,3.685,0.0179932542679697
212,3.692,0.0172585679836049
213,3.700,0.0204662607787334
214,3.707,0.0173504037691505
215,3.715,0.0325492262769471
216,3.722,0.0235689983903811
217,3.730,0.0256615423610272
218,3.738,0.0220340288319761
219,3.745,0.017501276845404
220,3.753,0.0331002409902207
221,3.760,0.0238051475532126
222,3.768,0.0420083121881437
223,3.775,0.020112037034486
224,3.783,0.029997503378573
225,3.790,0.0190231270058739
226,3.798,0.0151135464212185
227,3.805,0.0226899987287303
228,3.813,0.0182556422266714
229,3.820,0.0196331790098554
230,3.828,0.0306272344794571
231,3.835,0.0158482327055833
232,3.843,0.0278656012141216
233,3.851,0.0174619186515988
234,3.858,0.0264880644309376
235,3.866,0.0282526234532066
236,3.873,0.0150873076253483
237,3.881,0.0252286022291694
238,3.888,0.024946535173565
239,3.896,0.0285281308098434
240,3.903,0.0173832022639883
241,3.911,0.0264946241299051
242,3.918,0.0259304900186965
243,3.926,0.0237723490583749
244,3.933,0.0158679118024859
245,3.941,0.0184393137977626
246,3.949,0.0235427595945109
247,3.956,0.0328444127304865
248,3.964,0.0487451230278101
249,3.971,0.0733177553602252
250,3.979,0.0392138804279705
251,3.986,0.024402080159259
252,3.994,0.0221127452195866
