#"+EI TIC Scan ACN-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.411352402238831
1,2.102,0.384352437613116
2,2.110,0.352379217471079
3,2.117,0.355074401105731
4,2.125,0.312360553324409
5,2.132,0.30838194891135
6,2.140,0.285737593552351
7,2.147,0.241684175333567
8,2.155,0.251398066350127
9,2.163,0.238299153030521
10,2.170,0.233125363017573
11,2.178,0.204160160324924
12,2.185,0.198264446124121
13,2.193,0.195673540427714
14,2.200,0.168585340623484
15,2.208,0.180256448327113
16,2.215,0.160275191083306
17,2.223,0.159320646879366
18,2.230,0.136580034961986
19,2.238,0.14384740511971
20,2.245,0.141104093205867
21,2.253,0.140197677281118
22,2.260,0.12333673680481
23,2.268,0.12647309633204
24,2.276,0.107558682610282
25,2.283,0.0884597771516289
26,2.291,0.11898914891796
27,2.298,0.118467759226733
28,2.306,0.102649598132879
29,2.313,0.0870560356752474
30,2.321,0.0921095049902207
31,2.328,0.0804624614261869
32,2.336,0.0904169938386979
33,2.343,0.0902084379622069
34,2.351,0.0596710448160108
35,2.358,0.10387686925223
36,2.366,0.0728662146939968
37,2.373,0.136307308046575
38,2.381,0.333994214820414
39,2.389,0.304467515537212
40,2.396,0.136892868776723
41,2.404,0.0495159779068739
42,2.411,0.0419437953142789
43,2.419,0.0491389730532171
44,2.426,0.0774143370774728
45,2.434,0.05516302933186
46,2.441,0.0452486038186741
47,2.449,0.0484892412841491
48,2.456,0.0596148951569555
49,2.464,0.0444865727314956
50,2.471,0.0551469865721299
51,2.479,0.043050745735654
52,2.487,0.0427619760605126
53,2.494,0.0284197488618264
54,2.502,0.0360240169738815
55,2.509,0.0689517813198587
56,2.517,0.0376282929468889
57,2.524,0.0448715989650174
58,2.532,0.0661041914677705
59,2.539,0.0561576804351246
60,2.547,0.0304170724482206
61,2.554,0.044791385166367
62,2.562,0.0304812434871409
63,2.569,0.0283234923034459
64,2.577,0.0280427440081696
65,2.584,0.0256363300486585
66,2.592,0.032237925677584
67,2.600,0.0246817858447191
68,2.607,0.0466764094346507
69,2.615,0.0412138497465605
70,2.622,0.0418716028954935
