#"+EI TIC Scan ACN-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.116250562772229
1,2.102,0.0994943872493191
2,2.110,0.111097387132754
3,2.117,0.102943205187022
4,2.125,0.0911396926327902
5,2.132,0.0970748676883723
6,2.140,0.0812209991840471
7,2.147,0.0738621841658085
8,2.155,0.0711084768202006
9,2.162,0.0581687257981206
10,2.170,0.0715095021617939
11,2.178,0.072050886372945
12,2.185,0.0694709566753609
13,2.193,0.0659753524478052
14,2.200,0.054526078945314
15,2.208,0.0559697701750502
16,2.215,0.054405771342836
17,2.223,0.0497939799145121
18,2.230,0.0399488077783945
19,2.238,0.0487446302706761
20,2.245,0.049252595703361
21,2.253,0.0577810679679137
22,2.260,0.0484505450201742
23,2.268,0.0492860144818271
24,2.275,0.0531559090282033
25,2.283,0.0436048221425875
26,2.291,0.0340537352569717
27,2.298,0.0451821884861882
28,2.306,0.0397416113519046
29,2.313,0.0617178000712221
30,2.321,0.0466258797159243
31,2.328,0.0509502696494397
32,2.336,0.0576540766097425
33,2.343,0.0417400543041783
34,2.351,0.0463785807552751
35,2.358,0.0322290699527218
36,2.366,0.0501482189662529
37,2.373,0.0528818750447812
38,2.381,0.058629904940953
39,2.388,0.229961298381034
40,2.396,0.362988087943253
41,2.404,0.161152033519302
42,2.411,0.0595188444481517
43,2.419,0.0540782673138681
44,2.426,0.0363462634597472
45,2.434,0.0376495958199257
46,2.441,0.0332316333067052
47,2.449,0.0446207530079574
48,2.456,0.0335390860685935
49,2.464,0.0303041483130735
50,2.471,0.0430433866643568
51,2.479,0.0404634569667726
52,2.486,0.0459641879022953
53,2.494,0.0355241615094808
54,2.502,0.0441863088878979
55,2.509,0.0526011573056658
56,2.517,0.0297560803462292
57,2.524,0.0350496148552619
58,2.532,0.0482968186392301
59,2.539,0.0485508013555726
60,2.547,0.0397282438405181
61,2.554,0.0245293833941288
62,2.562,0.0296691915222173
63,2.569,0.0418469943952698
64,2.577,0.0374223481263561
65,2.584,0.0561301803116876
66,2.592,0.0455564788050086
67,2.599,0.0484104424860149
68,2.607,0.0362326396129624
69,2.615,0.0522134994754589
70,2.622,0.0480428359228876
71,2.630,0.0318614633895945
72,2.637,0.0312933441556706
73,2.645,0.0433642069376315
74,2.652,0.0295823026982054
75,2.660,0.0435647196084282
76,2.667,0.0464855208463667
77,2.675,0.0248769386901764
78,2.682,0.0342609316834616
79,2.690,0.0319550359692996
80,2.697,0.0388459880890127
81,2.705,0.0396413550165062
82,2.713,0.0581353070196545
83,2.720,0.0468397598981075
84,2.728,0.0661357625844426
85,2.735,0.0483168699063098
86,2.743,0.0397015088177452
87,2.750,0.0349426747641704
88,2.758,0.0426356775670702
89,2.765,0.0785875994409172
90,2.773,0.0595388957152314
91,2.780,0.0426757801012295
92,2.788,0.0342074616379158
93,2.795,0.0526345760841319
94,2.803,0.0591512378850244
95,2.810,0.0513446112353399
96,2.818,0.0436315571653604
97,2.826,0.0534098917445458
98,2.833,0.0453359148671323
99,2.841,0.0479759983659554
100,2.848,0.0551142494463177
101,2.856,0.0569589660176473
102,2.863,0.0276974835927165
103,2.871,0.0548936855084413
104,2.878,0.0567384020797709
105,2.886,0.0620920903900426
106,2.893,0.0561769666015402
107,2.901,0.0471338451486093
108,2.908,0.0571260599099778
109,2.916,0.0509970559392922
110,2.924,0.039694825062052
111,2.931,0.0506695519103243
112,2.939,0.287648793769243
113,2.946,3.87151869900963
114,2.954,23.5911779237154
115,2.961,59.5209832499735
116,2.969,100
117,2.976,92.1057292619102
118,2.984,7.73581225811488
119,2.991,0.28135937966192
120,2.999,0.149689392505425
121,3.006,0.125494196895957
122,3.014,0.121864917554537
123,3.021,0.106031100317291
124,3.029,0.0940203913365693
125,3.037,0.106712843398
126,3.044,0.0860734058173271
127,3.052,0.0839011852170296
