#"+EI TIC Scan ACN-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.153096371573882
1,2.102,0.13628815284138
2,2.110,0.142670193560978
3,2.117,0.134952208026356
4,2.125,0.114470141052539
5,2.132,0.102969398731898
6,2.140,0.119298419867707
7,2.147,0.10280240563002
8,2.155,0.10484262570079
9,2.162,0.093813820407196
10,2.170,0.0954401880080947
11,2.178,0.0726855627348068
12,2.185,0.092368967047469
13,2.193,0.0754591003399108
14,2.200,0.0852463482238904
15,2.208,0.071233448805433
16,2.215,0.0623392509880183
17,2.223,0.068125924996573
18,2.230,0.0891452741242591
19,2.238,0.0640672665639732
20,2.245,0.0452841728875227
21,2.253,0.0703549198781618
22,2.260,0.0871994414588982
23,2.268,0.0686051225932664
24,2.275,0.0662890008759151
25,2.283,0.0600086081313733
26,2.291,0.0521236294948735
27,2.298,0.070790554056974
28,2.306,0.0593333751542145
29,2.313,0.0650547040359474
30,2.321,0.0719159423522387
31,2.328,0.0610976935784037
32,2.336,0.0585637547716464
33,2.343,0.0407898802761107
34,2.351,0.0449501866837668
35,2.358,0.0521018477859328
36,2.366,0.0500688882848095
37,2.373,0.0703258775995744
38,2.381,0.127132574516678
39,2.389,0.337318805223893
40,2.396,0.227647900707935
41,2.404,0.105946232287114
42,2.411,0.0558846045719517
43,2.419,0.0580772966053061
44,2.426,0.0292600956768826
45,2.434,0.0448993626962387
46,2.441,0.0693747429758345
47,2.449,0.0538080816529471
48,2.456,0.0558192594451298
49,2.464,0.0366005315898673
50,2.471,0.0509909806299619
51,2.479,0.0459448847253878
52,2.486,0.0648586686554819
53,2.494,0.0380236032406536
54,2.502,0.0434109459186305
55,2.509,0.0539823353244719
56,2.517,0.0475857734655803
57,2.524,0.051651692467827
58,2.532,0.0652797816950003
59,2.539,0.0554054069752583
60,2.547,0.0521817140520484
61,2.554,0.0507368606923215
62,2.562,0.0705436946889804
63,2.569,0.0636824563726891
64,2.577,0.0595802345222081
65,2.584,0.0471210970081806
66,2.592,0.0480504499229799
67,2.599,0.0387278784963999
68,2.607,0.057583577869319
69,2.615,0.0455237716858694
70,2.622,0.0456544619395131
71,2.630,0.0320554149909272
72,2.637,0.033398620375598
73,2.645,0.0368764332364483
74,2.652,0.0710446739946144
75,2.660,0.0587380084431712
76,2.667,0.0563710627382919
77,2.675,0.0548608642517431
78,2.682,0.0598924390170234
79,2.690,0.0669424521441333
80,2.697,0.0479923653658049
81,2.705,0.036506144184458
82,2.713,0.0686922494290288
83,2.720,0.0628329697240054
84,2.728,0.0665503813832024
85,2.735,0.0733607957119656
86,2.743,0.0441442634529643
87,2.750,0.0577287892622564
88,2.758,0.0666157265100242
89,2.765,0.0713931813376641
90,2.773,0.0678064599321108
91,2.780,0.05714068312086
92,2.788,0.0438393195277958
93,2.795,0.0405575420474109
94,2.803,0.0801712100407289
95,2.810,0.0714222236162516
96,2.818,0.0505335647422091
97,2.826,0.059638319079383
98,2.833,0.073948901853362
99,2.841,0.0451389614945854
100,2.848,0.0590502129379866
101,2.856,0.0574238453370879
102,2.863,0.0532707994990788
103,2.871,0.0458504973199785
104,2.878,0.0475639917566396
105,2.886,0.0797718787101511
106,2.893,0.0429753117398184
107,2.901,0.0659840569507466
108,2.908,0.0543381032371685
109,2.916,0.0509909806299619
110,2.924,0.0729033798242129
111,2.931,0.136455145943258
112,2.939,1.74077965739405
113,2.946,11.4210067447788
114,2.954,37.7246057220259
115,2.961,75.2748779062608
116,2.969,100
117,2.976,40.0678892304261
118,2.984,1.26023885531601
119,2.991,0.198511234715049
120,2.999,0.153372273220463
121,3.006,0.136629399614783
122,3.014,0.116735438782362
123,3.021,0.0782616802236023
124,3.029,0.10231594746368
125,3.037,0.117214636379055
126,3.044,0.097640140611096
127,3.052,0.0829883110637141
128,3.059,0.102323208033327
129,3.067,0.076061727620601
130,3.074,0.0713133150715486
131,3.082,0.0834675086604075
132,3.089,0.0793798079492202
133,3.097,0.0635009421315174
134,3.104,0.0783778493379522
135,3.112,0.0870324483570202
136,3.119,0.0993754167566977
137,3.127,0.0906554726108079
138,3.135,0.0585201913537652
139,3.142,0.0621286944682591
140,3.150,0.0605458902852416
141,3.157,0.0781309899699587
142,3.165,0.0759382979366042
143,3.172,0.0648949715037162
144,3.180,0.0468451953615996
145,3.187,0.0474478226422897
146,3.195,0.0491685776485977
147,3.202,0.0478544145425144
148,3.210,0.0674506920194142
149,3.217,0.0463587371952594
150,3.225,0.0355913124089525
151,3.232,0.0644375556159635
152,3.240,0.0607709679442946
153,3.248,0.044325777694136
154,3.255,0.0560806399524171
155,3.263,0.0642705625140855
156,3.270,0.0580192120481312
157,3.278,0.044492770796014
158,3.285,0.0449066232658855
159,3.293,0.0769620382568127
160,3.300,0.0579611274909562
161,3.308,0.0585129307841183
162,3.315,0.0729687249510347
163,3.323,0.0326507817019705
164,3.330,0.0614389403518065
165,3.338,0.041886226292788
166,3.345,0.0381325117853566
167,3.353,0.0293980465001731
168,3.361,0.0338487756937039
169,3.368,0.0443039959851954
170,3.376,0.0410948242012793
