#"+EI TIC Scan ACN-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.1074908427058
1,2.102,0.10573033755819
2,2.110,0.10187589825774
3,2.117,0.103129591317402
4,2.125,0.0829904794015563
5,2.132,0.0770754488487897
6,2.140,0.0950072607500179
7,2.147,0.0774288835943327
8,2.155,0.073714484476079
9,2.162,0.0708670007714213
10,2.170,0.0714138243399973
11,2.178,0.0738811989786936
12,2.185,0.0692198614855889
13,2.193,0.0597438091569741
14,2.200,0.094153682496631
15,2.208,0.0671926131337952
16,2.215,0.0630247505684298
17,2.223,0.0558026783151646
18,2.230,0.0590769511465156
19,2.238,0.0616510230668853
20,2.245,0.0551958375256474
21,2.253,0.0497942876409338
22,2.260,0.0667124753662651
23,2.268,0.0644918381914384
24,2.275,0.0457064480368234
25,2.283,0.0633048309328223
26,2.291,0.0500743680053263
27,2.298,0.0578966124680041
28,2.306,0.0492474640723578
29,2.313,0.0650853418207464
30,2.321,0.0513347296450928
31,2.328,0.0362837443490452
32,2.336,0.0654121022458711
33,2.343,0.0554625807298307
34,2.351,0.0535820411403379
35,2.358,0.0586901735004497
36,2.366,0.0290216606151525
37,2.373,0.056389513364368
38,2.381,0.0809298881492396
39,2.389,0.224271017497287
40,2.396,0.353061305057131
41,2.404,0.167561412287899
42,2.411,0.060677410371616
43,2.419,0.0356368920789005
44,2.426,0.0514214211864524
45,2.434,0.0456664365561959
46,2.441,0.0483805486587618
47,2.449,0.058316733014593
48,2.456,0.0480271139132188
49,2.464,0.0504611456513922
50,2.471,0.0523083423403622
51,2.479,0.0705269031860875
52,2.486,0.0405449670358748
53,2.494,0.0575165034020428
54,2.502,0.0565362221266689
55,2.509,0.0387244446673232
56,2.517,0.0538087728638937
57,2.524,0.0554492435696216
58,2.532,0.0521016163571201
59,2.539,0.0527017885665327
60,2.547,0.0640450433244312
61,2.554,0.059343694350699
62,2.562,0.0454597105729537
63,2.569,0.0434791422818921
64,2.577,0.0412718422672746
65,2.584,0.0559093755968379
66,2.592,0.0509479519990269
67,2.600,0.0478670679907088
68,2.607,0.0539554816261946
69,2.615,0.054142201869123
70,2.622,0.0449328927446915
71,2.630,0.0518282045728321
72,2.637,0.0397980860641613
73,2.645,0.0460398770420526
74,2.652,0.0651520276217923
75,2.660,0.0549024200010456
76,2.667,0.0366305105144836
77,2.675,0.0429389872934207
78,2.682,0.0410317733835095
79,2.690,0.0395913600809192
80,2.697,0.0335496265061655
81,2.705,0.0422587921227531
82,2.713,0.0420053860787789
83,2.720,0.0649252958982364
84,2.728,0.0687463922981634
85,2.735,0.0535286924995012
86,2.743,0.055715986773805
87,2.750,0.0534153266377232
88,2.758,0.0484272287194939
89,2.765,0.0752349207399243
90,2.773,0.0815834089994889
91,2.780,0.0539954931068221
92,2.788,0.0464866719090598
93,2.795,0.0485872746420039
94,2.803,0.0599638723004254
95,2.810,0.0527818115277877
96,2.818,0.0432524105583362
97,2.826,0.0474402788640154
98,2.833,0.0502010710273134
99,2.841,0.0378908721542501
100,2.848,0.06229787533703
101,2.856,0.0427322613101786
102,2.863,0.041698631393968
103,2.871,0.0570897142753494
104,2.878,0.0550557973434511
105,2.886,0.0637049457390974
106,2.893,0.0436658625248205
107,2.901,0.0448728755237503
108,2.908,0.0482471770566701
109,2.916,0.0478870737310226
110,2.924,0.0524217082021401
111,2.931,0.0494008414147633
112,2.939,0.100355461993895
113,2.946,2.03088272795074
114,2.954,18.6785328270192
115,2.961,57.7729969986055
116,2.969,100
117,2.976,93.9160676503445
118,2.984,7.30504272692645
119,2.991,0.260001269697652
120,2.999,0.168548362143378
121,3.006,0.133178213268661
122,3.014,0.101062331484981
123,3.021,0.102902859593846
124,3.029,0.0930600353594791
125,3.037,0.104209901294345
126,3.044,0.0935268359668001
127,3.052,0.0779757071629086
128,3.059,0.0921931199458831
129,3.067,0.0802563615586766
130,3.074,0.0736544672551377
131,3.082,0.0651320218814785
132,3.089,0.0773288548927639
133,3.097,0.0493208184535083
134,3.104,0.0717739276656449
135,3.112,0.048633954702736
136,3.119,0.0988083514096311
137,3.127,0.0899724827710564
138,3.135,0.0701067826394987
139,3.142,0.0569430055130485
140,3.150,0.057449817600997
141,3.157,0.0537020755822204
142,3.165,0.0622111837956704
143,3.172,0.0498076248011429
144,3.180,0.0527484686272648
145,3.187,0.0480071081729051
146,3.195,0.0372706942045238
147,3.202,0.0443860691761156
148,3.210,0.0425188667468319
149,3.217,0.0502544196681501
150,3.225,0.044492766457789
151,3.232,0.0431723875970812
152,3.240,0.0396180344013376
153,3.248,0.0502810939885685
154,3.255,0.0485205888409581
155,3.263,0.0365304818129149
156,3.270,0.0488340121058736
157,3.278,0.0316424125962543
158,3.285,0.049340824193822
159,3.293,0.0497276018398879
160,3.300,0.0442860404745468
161,3.308,0.0542488991507963
162,3.315,0.0567762910104339
163,3.323,0.0479204166315455
164,3.330,0.0504944885519152
165,3.338,0.0342564959972515
166,3.346,0.0294884612224734
167,3.353,0.0459665226609022
168,3.361,0.0296351699847743
169,3.368,0.0434991480222058
170,3.376,0.0372773627846283
171,3.383,0.0389778507112974
172,3.391,0.0354568404160767
173,3.398,0.0358169437417243
174,3.406,0.0235334191890793
175,3.413,0.0488940293268148
176,3.421,0.0239868826361911
177,3.428,0.0363704358904048
178,3.436,0.0286548887094004
179,3.443,0.0257073763031739
180,3.451,0.047960428112173
181,3.459,0.0328160826946612
182,3.466,0.0430590217353033
183,3.474,0.0397180631029063
184,3.481,0.051541455628335
185,3.489,0.0925598918516353
186,3.496,0.0754749896236894
187,3.504,0.0362904129291498
188,3.511,0.0355035204768088
189,3.519,0.00972945837258904
190,3.526,0.0232600074047913
191,3.534,0.0250938669335521
192,3.541,0
193,3.549,0.0200457517943815
194,3.557,0.0258407479052656
195,3.564,0.0278679962570594
196,3.572,0.030635457000462
197,3.579,0.0367638821165753
198,3.587,0.0333562376831325
199,3.594,0.0209193357880821
200,3.602,0.0271077781251367
201,3.609,0.0311956177292471
202,3.617,0.0214128107158214
203,3.624,0.0242469572602699
204,3.632,0.0409984304829866
205,3.639,0.0224130977315091
206,3.647,0.0147508991913413
207,3.654,0.0292950723994405
208,3.662,0.0381576153584335
209,3.670,0.0257473877838014
210,3.677,0.0184853040499087
211,3.685,0.0134772003913656
212,3.692,0.00906926894223516
213,3.700,0.0323959621480724
214,3.707,0.0307088113816124
215,3.715,0.0420320603991972
216,3.722,0.0472869015216099
217,3.730,0.0405516356159794
218,3.737,0.0289149633334792
219,3.745,0.0442860404745468
220,3.752,0.0370973111218045
221,3.760,0.0452863274902345
222,3.767,0.0439125999886901
223,3.775,0.0380509180767602
224,3.783,0.034296507477879
225,3.790,0.0369972824202358
226,3.798,0.0300953020119906
227,3.805,0.0342831703176698
228,3.813,0.0323026020266082
229,3.820,0.0394179769982
230,3.828,0.0379508893751914
231,3.835,0.0344965648810165
232,3.843,0.0392379253353762
233,3.850,0.0340364328538002
234,3.858,0.0394113084180954
235,3.865,0.0357502579406784
236,3.873,0.0263742343136324
237,3.881,0.0207859641859904
238,3.888,0.0408583903007903
239,3.896,0.0424921924264135
240,3.903,0.0379708951155051
241,3.911,0.0322292476454577
242,3.918,0.0329361171365437
243,3.926,0.042725592730074
244,3.933,0.0262742056120636
245,3.941,0.0320358588224248
246,3.948,0.0298352273879118
247,3.956,0.045713116616928
248,3.963,0.0511013293414324
249,3.971,0.0856245685428672
250,3.978,0.0752749322205518
251,3.986,0.0327894083742429
252,3.994,0.0263608971534232
253,4.001,0.025947445186939
254,4.009,0.0257207134633831
255,4.016,0.0291150207366167
256,4.024,0.0270210865837771
257,4.031,0.0294617869020551
258,4.039,0.0350233827092787
259,4.046,0.03291611139623
260,4.054,0.0256273533419189
