#"+EI TIC Scan ACN-PEEK-2Hour.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.111117136728229
1,2.102,0.115747347777055
2,2.110,0.130644893257778
3,2.117,0.111695913109333
4,2.125,0.0965605143213062
5,2.132,0.106637566107363
6,2.140,0.0850642711350106
7,2.148,0.0820831763501505
8,2.155,0.0729099671318443
9,2.163,0.0708882140197716
10,2.170,0.0901464034677109
11,2.178,0.0621431407546102
12,2.185,0.084176285454414
13,2.193,0.0635385468241192
14,2.200,0.0684462533981309
15,2.208,0.0577190692387806
16,2.215,0.0605495235956824
17,2.223,0.0551185397456048
18,2.230,0.0630786970966674
19,2.238,0.0671697739822733
20,2.246,0.0510829619650362
21,2.253,0.0663135020759837
22,2.261,0.0517727365562139
23,2.268,0.0689140315691595
24,2.276,0.0560303107569317
25,2.283,0.0548331157768416
26,2.291,0.0423458171434515
27,2.298,0.0503456167123979
28,2.306,0.0543574091622362
29,2.313,0.0530492159720716
30,2.321,0.0335293878860993
31,2.328,0.0389048726311396
32,2.336,0.0428770228630942
33,2.343,0.0399752125140016
34,2.351,0.0339020247342069
35,2.359,0.0322449800266649
36,2.366,0.0380089585069662
37,2.374,0.046127684729564
38,2.381,0.223383897775088
39,2.389,0.407736067821809
40,2.396,0.226499776100753
41,2.404,0.0571799350755612
42,2.411,0.057156149744831
43,2.419,0.0620955700931497
44,2.426,0.0456995487764192
45,2.434,0.0383895237986505
46,2.441,0.0466985326670904
47,2.449,0.0491325648451543
48,2.456,0.0401496382726903
49,2.464,0.0327127581976935
50,2.472,0.0355273556674418
51,2.479,0.0500919065179417
52,2.487,0.0737028114895199
53,2.494,0.0622620674082616
54,2.502,0.0648863822321677
55,2.509,0.0448749906444366
56,2.517,0.0527320782290014
57,2.524,0.0525417955831592
58,2.532,0.0589321211060242
59,2.539,0.0374063967951328
60,2.547,0.0250538817025476
61,2.554,0.0481732231723669
62,2.562,0.0708961424633484
63,2.570,0.0611917275253996
64,2.577,0.0543256953879292
65,2.585,0.0641173232052224
66,2.592,0.034124021154356
67,2.600,0.048331792043902
68,2.607,0.0580362069818508
69,2.615,0.0384529513472646
70,2.622,0.0432575881547784
71,2.630,0.0487995702149306
72,2.637,0.0648229546835536
73,2.645,0.0562126649591971
74,2.652,0.048006725857255
75,2.660,0.0501315487358255
76,2.667,0.0407759853152539
77,2.675,0.0421079638361489
78,2.683,0.0559034556597036
79,2.690,0.0423696024741818
80,2.698,0.0677406219197997
81,2.705,0.0582978456198838
82,2.713,0.0650845933215865
83,2.720,0.0771278991146783
84,2.728,0.0575367150365152
85,2.735,0.0568469404453375
86,2.743,0.0543494807186595
87,2.750,0.0613740817276649
88,2.758,0.0762636987648119
89,2.765,0.0737345252638269
90,2.773,0.0673838419588457
91,2.781,0.0476261605655708
92,2.788,0.0734728866257939
93,2.796,0.0583374878377676
94,2.803,0.0591858313004804
95,2.811,0.043336872590546
96,2.818,0.028478969327706
97,2.826,0.0666464967062074
98,2.833,0.0660597918815275
99,2.841,0.0480463680751388
100,2.848,0.0558162427803593
101,2.856,0.0624523500541037
102,2.863,0.0505596846889703
