#"+EI TIC Scan ACN-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.126432180356617
1,2.102,0.110225879111538
2,2.110,0.108498580736502
3,2.117,0.0884194947137094
4,2.125,0.0940680634348813
5,2.132,0.0937529072401378
6,2.140,0.0867952281715698
7,2.147,0.0896437553163668
8,2.155,0.0922256118348424
9,2.162,0.0938195748967182
10,2.170,0.0901589144808514
11,2.178,0.0657282486921776
12,2.185,0.0950014106270063
13,2.193,0.0703889239567497
14,2.200,0.0773708458095287
15,2.208,0.0710556005225532
16,2.215,0.0723283466936327
17,2.223,0.0673585759303699
18,2.230,0.0531826078629652
19,2.238,0.0723950143502131
20,2.245,0.0495886151036788
21,2.253,0.0800496734648484
22,2.260,0.0632373026144934
23,2.268,0.0449400612312122
24,2.275,0.0526129024340058
25,2.283,0.0540795908787737
26,2.291,0.047994652041803
27,2.298,0.0451521855930588
28,2.306,0.0482431405799662
29,2.313,0.0477037386312706
30,2.321,0.0524553243366341
31,2.328,0.0443279309298835
32,2.336,0.0659040088777076
33,2.343,0.0540492873985099
34,2.351,0.0440794423917204
35,2.358,0.0402672645745346
36,2.366,0.0382126886126491
37,2.373,0.0554614295788028
38,2.381,0.0654130924974341
39,2.389,0.194415007980422
40,2.396,0.330277631395133
41,2.404,0.199760541898955
42,2.411,0.0825103160622688
43,2.419,0.0727222919370621
44,2.426,0.0676373679487968
45,2.434,0.0417339530193024
46,2.441,0.0742192838620937
47,2.449,0.0476067674944264
48,2.456,0.0524007780721593
49,2.464,0.0447339975654184
50,2.471,0.0454794631799078
51,2.479,0.0541947441037761
52,2.486,0.0424794186337918
53,2.494,0.0375217692626345
54,2.502,0.0416309211864055
55,2.509,0.0489764848023501
56,2.517,0.0421945659193121
57,2.524,0.0695464872054161
58,2.532,0.0498552857300002
59,2.539,0.0457703765904403
60,2.547,0.0493158837813046
61,2.554,0.0522431999747875
62,2.562,0.0618494032184114
63,2.569,0.0526007810419003
64,2.577,0.0417581958035134
65,2.584,0.0368126678244616
66,2.592,0.0457643158943875
67,2.600,0.0525098706011089
68,2.607,0.0423460833206311
69,2.615,0.0445582373798884
70,2.622,0.0450127895838453
71,2.630,0.0627645683223781
72,2.637,0.0469582730167812
73,2.645,0.0452188532496392
74,2.652,0.0533583680484953
75,2.660,0.0378429861534308
76,2.667,0.0445279338996246
77,2.675,0.0589402691130868
78,2.682,0.051146213989238
