#"+EI TIC Scan ACN-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.120739700493421
1,2.102,0.117082845541049
2,2.110,0.107750246964683
3,2.117,0.10630274187937
4,2.125,0.0988493604313057
5,2.132,0.0884120869214106
6,2.140,0.122498292197948
7,2.147,0.090576995842867
8,2.155,0.0848504625667567
9,2.162,0.0769780664887336
10,2.170,0.077327245347033
11,2.178,0.0859106965546839
12,2.185,0.0632140707652223
13,2.193,0.074216379154911
14,2.200,0.0719498909292221
15,2.208,0.0698738638989692
16,2.215,0.0600651123340131
17,2.223,0.0608142597027282
18,2.230,0.0760828988701842
19,2.238,0.0724577874503849
20,2.245,0.0657662507840653
21,2.253,0.0601095532796148
22,2.260,0.0565161853923882
23,2.268,0.0577097422171207
24,2.276,0.0591826421284927
25,2.283,0.0540973282103504
26,2.291,0.0726799921783936
27,2.298,0.0658233891426961
28,2.306,0.0513800818221296
29,2.313,0.0672454994019518
30,2.321,0.0589096477483678
31,2.328,0.0549924958288998
32,2.336,0.0637346646994141
33,2.343,0.0755178639903906
34,2.351,0.0619062372232281
35,2.358,0.055208351850394
36,2.366,0.0499198793237866
37,2.373,0.0513229434634987
38,2.381,0.0663058908378007
39,2.389,0.206580561276446
40,2.396,0.354943483814608
41,2.404,0.199495404806225
42,2.411,0.0743433532852017
43,2.419,0.0553734182197719
44,2.426,0.0709214004738675
45,2.434,0.0703627143005884
46,2.441,0.0527767972553272
47,2.449,0.059969881736295
48,2.456,0.0633664397215711
49,2.464,0.0661598705879664
50,2.471,0.0593921494434724
51,2.479,0.0567891797725132
52,2.487,0.0525165002882313
53,2.494,0.0504849142035802
54,2.502,0.0508848827139959
55,2.509,0.0544211122425917
56,2.517,0.0394254674552607
57,2.524,0.068470799759257
58,2.532,0.0570558254461236
59,2.539,0.0670613869130303
60,2.547,0.0619887704079171
61,2.554,0.0645790426658473
62,2.562,0.064813944806885
63,2.569,0.0632140707652223
64,2.577,0.0654107232192513
65,2.584,0.0575065836086556
66,2.592,0.0625792001137688
67,2.600,0.060515870496545
68,2.607,0.0518879783432923
69,2.615,0.0641663767424025
70,2.622,0.0484660255319581
71,2.630,0.0532529502439173
72,2.637,0.047621647565525
73,2.645,0.0492469164332459
74,2.652,0.0686168200090913
75,2.660,0.0813650226902771
76,2.667,0.0570621741526381
77,2.675,0.0596397489975392
78,2.682,0.0405555372148479
79,2.690,0.0651250314260973
80,2.697,0.0598238614864608
81,2.705,0.0470947049248186
82,2.713,0.0616141967235595
83,2.720,0.0748639472193935
84,2.728,0.0545290402533388
85,2.735,0.0552464440894812
86,2.743,0.0594556365086177
87,2.750,0.061322156223891
88,2.758,0.071105512962789
89,2.765,0.074216379154911
90,2.773,0.0805968292020184
91,2.780,0.0434568960919902
92,2.788,0.0694992902146117
93,2.795,0.0588271145636788
94,2.803,0.0809333106472887
95,2.811,0.084367960871652
96,2.818,0.0547321988618039
97,2.826,0.0526371257120074
98,2.833,0.069099321704196
99,2.841,0.062153836777295
100,2.848,0.0480533596085134
101,2.856,0.0685215894113733
102,2.863,0.0646171349049345
103,2.871,0.0648329909264286
104,2.878,0.0637283159928996
105,2.886,0.0782541564981551
106,2.893,0.0835743725573352
107,2.901,0.0592905701392398
108,2.908,0.0793397853121405
109,2.916,0.0634934138518618
110,2.924,0.0558114789692748
111,2.931,0.0626680820049723
112,2.939,0.0735624623839139
113,2.946,1.14985867779299
114,2.954,13.8009515441324
115,2.961,50.212954662617
116,2.969,87.9073330099725
117,2.976,100
118,2.984,14.7739162123109
119,2.991,0.38800119863579
120,2.999,0.150153257775261
121,3.006,0.136973343051087
122,3.014,0.132129279980497
123,3.022,0.0985636686381517
