#"+EI TIC Scan ACN-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.129475828672159
1,2.102,0.112570454723676
2,2.110,0.106722726086214
3,2.117,0.0936039410602664
4,2.125,0.076711994732076
5,2.132,0.083828633487196
6,2.140,0.084560438793147
7,2.147,0.0675879267432005
8,2.155,0.071374515665736
9,2.162,0.0735632177734428
10,2.170,0.156915170740249
11,2.178,0.233157198762081
12,2.185,0.119767659200552
13,2.193,0.0912406798887549
14,2.200,0.0859300560630002
15,2.208,0.072421870048565
16,2.215,0.0879441991069021
17,2.223,0.0781487501033927
18,2.230,0.0562751566466183
19,2.238,0.0661780266124692
20,2.245,0.0618744743086655
21,2.253,0.0700854641176388
22,2.260,0.0604578603677879
23,2.268,0.059450788845837
24,2.276,0.0494539255379373
25,2.283,0.0420955896175492
26,2.291,0.0443312883962802
27,2.298,0.0266202572302364
28,2.306,0.0571143829149108
29,2.313,0.0537910468924727
30,2.321,0.0352340756479901
31,2.328,0.0463185761995967
32,2.336,0.0409676695129641
33,2.343,0.0438680354961828
34,2.351,0.0378994582760869
35,2.358,0.0473793582027184
36,2.366,0.0597126274415442
37,2.373,0.0480708806477914
38,2.381,0.0779137667482708
39,2.389,0.256480975210465
40,2.396,0.331165399278346
41,2.404,0.156216934485029
42,2.411,0.0557111965943258
43,2.419,0.0429348158858416
44,2.426,0.0407729690187203
45,2.434,0.0239078779311152
46,2.441,0.0294669127322844
47,2.449,0.0349990922928682
48,2.456,0.0402425780171594
49,2.464,0.038335855935599
50,2.471,0.0295944751250649
51,2.479,0.0209672290870185
52,2.486,0.174418073791756
53,2.494,2.34446921691193
54,2.502,2.81310659274672
55,2.509,1.72206544729552
56,2.517,1.22876153298307
57,2.524,0.881879104152143
58,2.532,0.631165291857384
59,2.539,0.459956419315578
60,2.547,0.373865231809066
61,2.554,0.330896846872492
62,2.562,0.309687920620206
63,2.569,0.239918005579445
64,2.577,0.225597448537302
65,2.584,0.201400876769895
66,2.592,0.182098672599168
67,2.600,0.178553780841901
68,2.607,0.161024022549808
69,2.615,0.123983931972453
70,2.622,0.128723881935769
71,2.630,0.22017268993906
72,2.637,0.60831819592939
73,2.645,0.487812017612741
74,2.652,1.69947347615308
75,2.660,2.65616456676589
76,2.667,0.935388171018469
77,2.675,0.549928189086675
78,2.682,0.965298195220412
79,2.690,1.35886845980898
80,2.697,0.50925592722015
81,2.705,0.278649976313678
82,2.713,0.259106074977683
83,2.720,0.222146550122084
84,2.728,0.220199545179645
85,2.735,0.199004046547651
86,2.743,0.17105445490844
87,2.750,0.160795753004833
88,2.758,0.144185786702789
89,2.765,0.151040586862201
90,2.773,0.135021435853035
91,2.780,0.122533748980844
92,2.788,0.114222052019675
93,2.795,0.118572600994503
94,2.803,0.118572600994503
95,2.811,0.0886625767925605
96,2.818,0.0996799392427037
97,2.826,0.0940403387197785
98,2.833,0.0934830924776323
99,2.841,0.0991764034817282
100,2.848,0.0887028596534385
101,2.856,0.0808879846430992
102,2.863,0.0875816533589998
103,2.871,0.102647443327386
104,2.878,0.0923216033223155
105,2.886,0.0811968199098309
106,2.893,0.0908848479509989
107,2.901,0.086024049405049
108,2.908,0.109226977270799
109,2.916,0.0864805884950001
110,2.924,0.081754066151977
111,2.931,0.08928696113617
112,2.939,1.40186369998614
113,2.946,12.1338623636694
114,2.954,32.7585797122622
115,2.961,56.5688388438497
116,2.969,87.3844016169003
117,2.976,100
118,2.984,15.4041458583311
119,2.991,0.379330273268186
120,2.999,0.169248439979074
121,3.006,0.104225188711776
122,3.014,0.107561952354506
123,3.022,0.112113915633725
124,3.029,0.0976725100089482
125,3.037,0.102882426682508
126,3.044,0.107978208583579
127,3.052,0.0824120195463183
128,3.059,0.0753625188926618
129,3.067,0.0693603726218342
130,3.074,0.0838152058669033
131,3.082,0.0673126605272006
132,3.089,0.0721130347818334
133,3.097,0.0394704898503304
134,3.104,0.067755771996859
135,3.112,0.0727508467457357
136,3.119,0.0820024771273916
137,3.127,0.0661511713718839
138,3.135,0.0816130761389039
139,3.142,0.0412899323999884
140,3.150,0.0483730021043767
141,3.157,0.0647412712411525
142,3.165,0.084896129300464
143,3.172,0.0710388251584191
144,3.180,0.0712670947033946
145,3.187,0.0710388251584191
146,3.195,0.0371005148686725
147,3.202,0.0530726692068144
148,3.210,0.0499104646278884
149,3.217,0.038335855935599
150,3.225,0.0378121787441845
151,3.232,0.0493465045755959
152,3.240,0.0566309885843743
153,3.248,0.0291647912756991
154,3.255,0.0563154395074964
155,3.263,0.0679974691621272
156,3.270,0.0428878192148172
157,3.278,0.027284924434724
158,3.285,0.0581684511078861
159,3.293,0.0387252569240867
160,3.300,0.0325284101590153
161,3.308,0.0434383516468171
162,3.315,0.0547779769839846
163,3.323,0.0460433099835968
164,3.330,0.0341061555434051
165,3.338,0.0286948245654554
166,3.346,0.0120244339720942
167,3.353,0.0313333519529668
168,3.361,0.0176908897356048
169,3.368,0.00394100655590133
170,3.376,0.0366909724497458
171,3.383,0.026573260559212
172,3.391,0.0297891756193087
173,3.398,0.0300845832657476
174,3.406,0.0177647416472145
175,3.413,0.00439754564585242
176,3.421,0.0243912722616517
177,3.428,0.0170799330122879
178,3.436,0.0268619543955047
179,3.443,0.0229679445106277
180,3.451,0.0306418295078938
181,3.459,0.0251432189980417
182,3.466,0.0300040175439916
183,3.474,0.024713535148676
184,3.481,0.0332870707055516
185,3.489,0.0840837582727569
186,3.496,0.0586182763876908
187,3.504,0.0414644914637932
188,3.511,0.0257407481010659
189,3.519,0.0139445836739473
190,3.526,0.00876152224097315
191,3.534,0.0198997332737505
192,3.541,0.0238944503108226
193,3.549,0.0213364886450672
194,3.557,0.0186509645865313
195,3.564,0.00765374356682712
196,3.572,0.0175230444819463
197,3.579,0.0112389181849725
198,3.587,0.008956222735217
199,3.594,0.0185099745734582
200,3.602,0.0261637181402853
201,3.609,0.0253110642517002
202,3.617,0.0118565887184357
203,3.624,0.027976446879797
204,3.632,0.0241160060456518
205,3.639,0.0212156400624331
206,3.647,0.0174357649500439
207,3.654,0.0144414056247764
208,3.662,0.0242771374891639
209,3.670,0.0172343506456537
210,3.677,0.0200205818563846
211,3.685,0.02004743709697
212,3.692,0.00563288671277891
213,3.700,0
214,3.707,0.0223905568380425
215,3.715,0.0184495502821412
216,3.722,0.0258280276329684
217,3.730,0.000234983355121885
218,3.737,0.00997672187746061
219,3.745,0.0230887930932618
220,3.752,0.0241092922355054
221,3.760,0.0109367967283872
222,3.768,0.0368185348425262
223,3.775,0.0278086016261385
224,3.783,0.0246061141863346
225,3.790,0.00825798647999768
226,3.798,0.00400143084721839
227,3.805,0.0124876868721916
228,3.813,0.0207188181116039
229,3.820,0.0159452990975565
230,3.828,0.00223569877873108
231,3.835,0.00790215454224168
232,3.843,0.00211485019609697
233,3.850,0.000557246242146185
234,3.858,0.017576754963117
235,3.865,0.0303195666208695
236,3.873,0.0177781692675072
237,3.881,0.0198527366027261
238,3.888,0.0190269379547264
239,3.896,0.00887565701346092
240,3.903,0.0203159895028236
241,3.911,0.0366842586395995
242,3.918,0.0224174120786278
243,3.926,0.0184898331430192
244,3.933,0.0249955151748222
245,3.941,0.0233976283599934
246,3.948,0.0302457147092598
247,3.956,0.0163816967570686
248,3.963,0.0366775448294531
249,3.971,0.127434830387672
250,3.979,0.119942218264357
251,3.986,0.0714752228179311
252,3.994,0.0479634596854499
253,4.001,0.0564832847611549
254,4.009,0.244698238403639
255,4.016,0.236869935773007
256,4.024,0.0894682340101212
257,4.031,0.0774303724177343
258,4.039,0.0734625106212477
259,4.046,0.0788134173078803
260,4.054,0.0596790583908125
261,4.061,0.032642544931503
262,4.069,0.0341732936448685
263,4.076,0.0707702727525655
264,4.084,0.0591822364399834
265,4.092,0.046264865718426
266,4.099,0.0440023116991096
267,4.107,0.0287015383756017
268,4.114,0.0493129355248642
269,4.122,0.0437606145338414
270,4.129,0.0595783512386174
271,4.137,0.075308808411491
272,4.144,0.0805455803256359
273,4.152,0.0320852986893568
274,4.159,0.0514882100122782
275,4.167,0.039423493179306
276,4.174,0.0402761470678911
277,4.182,0.0231693588150179
278,4.189,0.0199668713752139
279,4.197,0.0276474701826264
280,4.205,0.0266202572302364
281,4.212,0.0142399913203862
282,4.220,0.0296347579859429
283,4.227,0.0234446250310178
284,4.235,0.0120512892126795
285,4.242,0.0334146330983321
286,4.250,0.0124742592518989
287,4.257,0.0146763889798983
288,4.265,0.0216050410509208
289,4.272,0.00678094824780297
290,4.280,0.0121721377953137
291,4.287,0.00918449228019254
292,4.295,0.0112456319951188
293,4.303,0.0259623038358951
294,4.310,0.0105541095500458
295,4.318,0.00656610632312011
296,4.325,0.00396114798634035
297,4.333,0.0179661559516047
298,4.340,0.0288223869582358
299,4.348,0.0325888344503323
300,4.355,0.0286746831350163
301,4.363,0.026177145760578
302,4.370,0.0154551909568737
303,4.378,0.0196043256273116
304,4.385,0.0207926700232137
305,4.393,0.0367715381715019
306,4.400,0.034381421759405
307,4.408,0.0345962636840878
308,4.416,0.0905088745828038
309,4.423,0.18699304019585
310,4.431,0.0785515787121731
311,4.438,0.0120042925416552
312,4.446,0.0361538676380386
313,4.453,0.00788201311180266
314,4.461,0.0193089179808726
315,4.468,0.026177145760578
316,4.476,0.0267478196230169
317,4.483,0.0252372123400905
318,4.491,0.0187315303082874
319,4.498,0.0145353989668252
320,4.506,0.0293662055800893
321,4.514,0.0645667121773477
322,4.521,0.072717277695004
323,4.529,0.0738183425590037
324,4.536,0.0567249819264231
325,4.544,0.0478493249129622
326,4.551,0.0402895746881838
327,4.559,0.0333072121359906
328,4.566,0.055912610898716
329,4.574,0.0431362301902318
330,4.581,0.0415719124261347
331,4.589,0.0339450240998929
332,4.596,0.01573717098302
333,4.604,0.0352810723190145
334,4.611,0.0340323036317953
335,4.619,0.0368386762729653
336,4.627,0.0435256311787195
