#"+EI TIC Scan ACN-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.274360720369747
1,2.102,0.285504951680558
2,2.110,0.247910136176022
3,2.117,0.23028144009708
4,2.125,0.2313822910926
5,2.132,0.22608915822373
6,2.140,0.230485022130498
7,2.147,0.234579283024795
8,2.155,0.1744170221121
9,2.162,0.178662084512633
10,2.170,0.163559313663137
11,2.178,0.158183239965837
12,2.185,0.16895046751106
13,2.193,0.143887257174702
14,2.200,0.180984427708661
15,2.208,0.155219990368308
16,2.215,0.150831666536852
17,2.223,0.163084288918495
18,2.230,0.118665705256797
19,2.238,0.120618584762548
20,2.245,0.114963528278713
21,2.253,0.123136969916683
22,2.260,0.115574274378967
23,2.268,0.123317931724166
24,2.275,0.093971958610717
25,2.283,0.114352782178459
26,2.291,0.140139839744747
27,2.298,0.199525472900328
28,2.306,0.176053218454757
29,2.313,0.146111579391677
30,2.321,0.125881557330171
31,2.328,0.132531903755161
32,2.336,0.140290641250983
33,2.343,0.106933348071667
34,2.351,0.1059305180552
35,2.358,0.124320761740632
36,2.366,0.10876558637243
37,2.373,0.111103009719082
38,2.381,0.226692364248673
39,2.389,0.381173427236426
40,2.396,0.279254229247093
41,2.404,0.108456443284647
42,2.411,0.0914535734565824
43,2.419,0.106578964532014
44,2.426,0.0897796767373672
45,2.434,0.0845317843203681
46,2.441,0.0865676046545488
47,2.449,0.0863263222445718
48,2.456,0.059355472854334
49,2.464,0.0681924411197404
50,2.471,0.0988654674880624
51,2.479,0.115310371743055
52,2.486,0.0717211963656535
53,2.494,0.0885581845368588
54,2.502,0.0759964190674329
55,2.509,0.0777758768410131
56,2.517,0.0811161302041317
57,2.524,0.0811990710325613
58,2.532,0.0818701377353097
59,2.539,0.0755590946993497
60,2.547,0.085052049516881
61,2.554,0.0888974879258889
62,2.562,0.0809427084719608
63,2.569,0.0836722157348252
64,2.577,0.0689238284249831
65,2.584,0.0859040780271122
66,2.592,0.0668880080908024
67,2.600,0.0798116971751937
68,2.607,0.0758305374105738
69,2.615,0.0759059381636916
70,2.622,0.0708013071776163
71,2.630,0.0851048300440634
72,2.637,0.0816665557018917
73,2.645,0.0841170801782202
74,2.652,0.0670011092204791
75,2.660,0.0457833372931295
76,2.667,0.0876684556500687
77,2.675,0.0712160113197643
78,2.682,0.0540321796842171
79,2.690,0.0926976858830261
80,2.697,0.0595288945865049
81,2.705,0.0714723738803648
82,2.713,0.0541226605879585
83,2.720,0.0897495164361201
84,2.728,0.0712687918469467
85,2.735,0.0857155761443176
86,2.743,0.091672235640624
87,2.750,0.101587434675615
88,2.758,0.0928484873892617
89,2.765,0.0866957859348491
90,2.773,0.0911368902934876
91,2.780,0.0680944201406872
92,2.788,0.060931348594496
93,2.795,0.0840039790485435
94,2.803,0.076132140423045
95,2.811,0.0547861872153951
96,2.818,0.047653275970451
97,2.826,0.0721434405831132
98,2.833,0.0627560468199468
99,2.841,0.0729728488674091
100,2.848,0.0918079569962361
101,2.856,0.0677626568269689
102,2.863,0.0685694448853294
103,2.871,0.0670915901242205
104,2.878,0.0904205831388685
105,2.886,0.080249021543277
106,2.893,0.0660661398818184
107,2.901,0.0691726509102718
108,2.908,0.0568747880767583
109,2.916,0.0806109451582424
110,2.924,0.0530444298183739
111,2.931,0.121199170561555
112,2.939,2.34990971136818
113,2.946,14.3619886104146
114,2.954,41.1116348112308
115,2.961,82.1127471985416
116,2.969,100
117,2.976,23.0528679166553
118,2.984,0.508879682792048
119,2.991,0.154601704192742
120,2.999,0.107551634247233
121,3.006,0.101331072115014
122,3.014,0.0834535535507836
123,3.021,0.098910707939933
124,3.029,0.134205800474376
125,3.037,0.101655295353421
126,3.044,0.0962264411289393
127,3.052,0.0862132211148951
128,3.059,0.091845657372795
129,3.067,0.0920039989543424
130,3.074,0.0800906799617296
131,3.082,0.0666316455302019
132,3.089,0.0797212162714524
133,3.097,0.0574855341770125
134,3.104,0.0528257676343323
135,3.112,0.0856401753911998
136,3.119,0.0931727106276683
137,3.127,0.087864497608175
138,3.135,0.0669784889945438
139,3.142,0.0708842480060459
140,3.150,0.0754610737202965
141,3.157,0.0733347724823745
142,3.165,0.0704167633367156
143,3.172,0.0712386315456996
144,3.180,0.0696401355796022
145,3.187,0.0716457956125357
146,3.195,0.0596419957161816
147,3.202,0.0495458348737079
148,3.210,0.072150980658425
149,3.217,0.068893668123736
150,3.225,0.0630576498324181
151,3.232,0.0589332286368743
152,3.240,0.0626957262174526
153,3.248,0.0649351285850513
154,3.255,0.0704243034120273
155,3.263,0.0586768660762737
156,3.270,0.0635703749536191
157,3.278,0.0565807251395988
158,3.285,0.0564073034074279
159,3.293,0.0515741151325768
160,3.300,0.0558267176084208
161,3.308,0.0722942420893488
162,3.315,0.061994499213457
163,3.323,0.0547937272907069
164,3.330,0.061926638535651
165,3.338,0.038974649286592
166,3.346,0.0993027918561456
167,3.353,0.10300496883423
168,3.361,0.0606523658079602
169,3.368,0.0663375825930425
170,3.376,0.042405383553452
171,3.383,0.0565430247630399
172,3.391,0.0478493179285573
173,3.398,0.0610218294982374
