#"+EI TIC Scan EA-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.109122572982202
1,2.102,0.105334658830091
2,2.110,0.10430483080567
3,2.117,0.093881830904519
4,2.125,0.101849635273399
5,2.132,0.0883264610426749
6,2.140,0.093710786803577
7,2.147,0.0785769472889831
8,2.155,0.0947905026907731
9,2.163,0.0678368031173358
10,2.170,0.0760397931250106
11,2.178,0.0697289784840062
12,2.185,0.0593772469582479
13,2.193,0.0709975555659924
14,2.200,0.0675695467096139
15,2.208,0.0686350089217316
16,2.215,0.0750919237322906
17,2.223,0.0633433320488396
18,2.230,0.0597300254164407
19,2.238,0.0551688493913217
20,2.245,0.0595981789219646
21,2.253,0.0632720636734472
22,2.260,0.0485088197108941
23,2.268,0.0456794652078125
24,2.276,0.0513951889142897
25,2.283,0.0413249674713318
26,2.291,0.043370369845096
27,2.298,0.0422051319074289
28,2.306,0.0375513069942997
29,2.313,0.0305670062058363
30,2.321,0.0453765746123945
31,2.328,0.0480990265523873
32,2.336,0.0423441052394443
33,2.343,0.0408973572189769
34,2.351,0.0591919491822275
35,2.358,0.0375085459690642
36,2.366,0.028076176485869
37,2.374,0.0414675042221167
38,2.381,0.0382141028854498
39,2.389,0.0478139530508174
40,2.396,0.0784237202818892
41,2.404,0.282137244503765
42,2.411,0.265396303124071
43,2.419,0.077629077896263
44,2.426,0.0647936434880767
45,2.434,0.0320707689266177
46,2.441,0.0347575866789144
47,2.449,0.0309090944077202
48,2.456,0.0471119595532014
49,2.464,0.0423619223332924
50,2.471,0.048159604671471
51,2.479,0.0490362056887985
52,2.487,0.0407655107245008
53,2.494,0.0437587824909851
54,2.502,0.0360867418799842
55,2.509,0.0357731610282573
56,2.517,0.0337028147231056
57,2.524,0.0403521541472244
58,2.532,0.0392546211661801
59,2.539,0.0356448779525508
60,2.547,0.0399352341511783
61,2.554,0.033727758654493
62,2.562,0.0371557675108715
63,2.569,0.0426434324160927
64,2.577,0.0332787678895203
65,2.585,0.0483555927038003
66,2.592,0.0435057797583418
67,2.600,0.0318712174755188
68,2.607,0.0309411651766469
69,2.615,0.039739246118849
70,2.622,0.0332146263516671
71,2.630,0.0486763003930665
72,2.637,0.042896435148736
73,2.645,0.0423512320769835
74,2.652,0.0363290543563186
75,2.660,0.0290774971601334
76,2.667,0.0377686755392468
77,2.675,0.04560819683242
78,2.682,0.0256067272785194
79,2.690,0.0407868912371185
80,2.698,0.0319888102949164
81,2.705,0.0245091942974752
82,2.713,0.050197880207696
83,2.720,0.0319496126884505
84,2.728,0.046338697680193
85,2.735,0.0523644388196275
86,2.743,0.0412216283270127
87,2.750,0.0386630936504225
88,2.758,0.0478638409135922
89,2.765,0.0308200089384796
90,2.773,0.0506254904600509
91,2.780,0.0486477930429095
92,2.788,0.0460037363158483
93,2.796,0.0509319444742386
94,2.803,0.033054272507034
95,2.811,0.0660836010826806
96,2.818,0.0408724132875895
97,2.826,0.0400136293641101
98,2.833,0.0439155729168485
99,2.841,0.0539180894031837
100,2.848,0.0554753034055094
101,2.856,0.0612587320686095
102,2.863,0.0464028392180462
103,2.871,0.0409329914066731
104,2.878,0.0492179400460493
105,2.886,0.060268101650654
106,2.893,0.0522860436066958
107,2.901,0.0460037363158483
108,2.909,0.0412216283270127
109,2.916,0.0455725626447238
110,2.924,0.0490896569703429
111,2.931,0.0460821315287801
112,2.939,0.043153001300149
113,2.946,0.0368920745219193
114,2.954,0.0744255644223709
115,2.961,1.89157671231715
116,2.969,20.4720368195233
117,2.976,63.8772034489047
118,2.984,100
119,2.991,16.3421199875793
120,2.999,0.147290351423646
121,3.006,0.101026485537615
122,3.014,0.071371714536803
123,3.022,0.0663722380030202
124,3.029,0.0579803868005552
125,3.037,0.0769662820051129
126,3.044,0.0798205804395819
127,3.052,0.0575634668045092
128,3.059,0.0521185629245234
129,3.067,0.0449311472661914
130,3.074,0.0673094171394314
131,3.082,0.041503138409813
132,3.089,0.0595518544779595
133,3.097,0.0523430583070098
134,3.104,0.0488865421004743
135,3.112,0.0414318700344205
136,3.120,0.0472081718599813
137,3.127,0.0620605012917749
138,3.135,0.0748389209996473
