#"+EI TIC Scan EA-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.121440128297833
1,2.102,0.104879527723998
2,2.110,0.117634568134984
3,2.117,0.097247027846823
4,2.125,0.0883616862531152
5,2.132,0.094330857025404
6,2.140,0.094852518081435
7,2.147,0.0759615463966412
8,2.155,0.0836752885694271
9,2.163,0.0764960351835582
10,2.170,0.0785698516767961
11,2.178,0.0600508841876966
12,2.185,0.0758717522804392
13,2.193,0.0830980406795567
14,2.200,0.0751020884272787
15,2.208,0.0679570423237725
16,2.215,0.0763036192202681
17,2.223,0.0615046936881107
18,2.230,0.0691243658343992
19,2.238,0.0648356278081774
20,2.245,0.0594992917595982
21,2.253,0.063685407938732
22,2.261,0.0464021785249846
23,2.268,0.0581780354783395
24,2.276,0.0534061195887447
25,2.283,0.0515118913279109
26,2.291,0.055193450092195
27,2.298,0.0520164487427605
28,2.306,0.0538422624388689
29,2.313,0.0473685342517305
30,2.321,0.0474626042782278
31,2.328,0.0571261615456868
32,2.336,0.0392485806008877
33,2.343,0.0493097975258129
34,2.351,0.0434346967800215
35,2.358,0.0362169602014946
36,2.366,0.0467955622721554
37,2.374,0.0411043256690634
38,2.381,0.0401251422114315
39,2.389,0.0541244725183611
40,2.396,0.159795043646996
41,2.404,0.397668209286824
42,2.411,0.163450946949508
43,2.419,0.0538422624388689
44,2.426,0.0545606153684853
45,2.434,0.0432037976240733
46,2.441,0.0484118563637924
47,2.449,0.0607735130276083
48,2.456,0.0527476294032629
49,2.464,0.0439734614772338
50,2.472,0.0566301559514279
51,2.479,0.0385558831330433
52,2.487,0.0464834208205959
53,2.494,0.0456068592100521
54,2.502,0.0497331126450512
55,2.509,0.0426821365680424
56,2.517,0.0428104138769024
57,2.524,0.0485102023005851
58,2.532,0.0549539991156562
59,2.539,0.0584003828136969
60,2.547,0.0365504812045308
61,2.554,0.0508063661291805
62,2.562,0.0497929753891859
63,2.569,0.0337155526787231
64,2.577,0.0419167486251773
65,2.585,0.0453802359643993
66,2.592,0.0446661589450782
67,2.600,0.0423699951164829
68,2.607,0.0437169068595136
69,2.615,0.0355798495674895
70,2.622,0.040971772449908
71,2.630,0.0476165370488599
72,2.637,0.0590973561918367
73,2.645,0.040296178623245
74,2.652,0.0544024066875579
75,2.660,0.044815815805415
76,2.667,0.0362725470353339
77,2.675,0.0462610734852385
78,2.683,0.050088013199564
79,2.690,0.043212349444664
80,2.698,0.0407494251145506
81,2.705,0.0322745709091949
82,2.713,0.0374270428150746
83,2.720,0.0438323564374877
84,2.728,0.0592812203345361
85,2.735,0.0663749555144983
86,2.743,0.0540945411462937
87,2.750,0.050545535601165
88,2.758,0.0518838955236051
