#"+EI TIC Scan EA-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.128377861744641
1,2.102,0.12462046091309
2,2.110,0.104230649407614
3,2.117,0.109096001766416
4,2.125,0.0952663143234835
5,2.132,0.0943729462936044
6,2.140,0.105658286553401
7,2.148,0.0845896905154182
8,2.155,0.0872829323702009
9,2.163,0.0922271113198751
10,2.170,0.063959019982278
11,2.178,0.0875369291630096
12,2.185,0.0725379806221468
13,2.193,0.0781959781447146
14,2.200,0.072735047099326
15,2.208,0.0693017111413591
16,2.215,0.0750779485502345
17,2.223,0.0601972398956791
18,2.230,0.0568295927634387
19,2.238,0.057560928356526
20,2.246,0.0569040400992619
21,2.253,0.0616555318268054
22,2.261,0.0550165811733899
23,2.268,0.0530196408713071
24,2.276,0.0679047287809109
25,2.283,0.0627853796292996
26,2.291,0.0479002917196958
27,2.298,0.0410292405487137
28,2.306,0.0403373182510622
29,2.313,0.0614497068395293
30,2.321,0.0549903056430993
31,2.328,0.07603700540584
32,2.336,0.0476638119470807
33,2.343,0.0415459926444281
34,2.351,0.0434597271005907
35,2.359,0.0440728228073705
36,2.366,0.0478652576793084
37,2.374,0.0370966695152261
38,2.381,0.0439633414311598
39,2.389,0.0596892463100616
40,2.396,0.161975506476174
41,2.404,0.378367636184103
42,2.411,0.164222064316017
43,2.419,0.060718371246442
44,2.426,0.048609731037541
45,2.434,0.0458332833368382
46,2.441,0.0407752437559049
47,2.449,0.0478083273636788
48,2.457,0.0507030149506892
49,2.464,0.0386556843124662
50,2.472,0.0533524642549876
51,2.479,0.0498621979813911
52,2.487,0.0489600714414152
53,2.494,0.0461880029957608
54,2.502,0.0582265751238869
55,2.509,0.0434509685904938
56,2.517,0.0447121940444409
57,2.524,0.0267441105807444
58,2.532,0.054977167877954
59,2.539,0.0411737559653117
60,2.547,0.0529758483208228
61,2.554,0.045934006202952
62,2.562,0.0464288620234243
63,2.570,0.0485396629567662
64,2.577,0.0403373182510622
65,2.585,0.0463631731976979
66,2.592,0.0420058144245129
67,2.600,0.045574907288981
68,2.607,0.0354851036574049
69,2.615,0.0330064452999952
70,2.622,0.0432495228582662
71,2.630,0.0560938779153029
72,2.637,0.0342063611832642
73,2.645,0.0391811949182774
74,2.652,0.0473353678184487
75,2.660,0.0312678810457696
76,2.668,0.0496476144840182
77,2.675,0.0455223562283999
78,2.683,0.0534050153155687
79,2.690,0.0588615671059089
80,2.698,0.0498840942566333
81,2.705,0.0481323922372624
82,2.713,0.0492709985498535
83,2.720,0.0428028388433266
84,2.728,0.0465208263794413
85,2.735,0.047738259282904
86,2.743,0.0490213810120931
87,2.750,0.0424831532247915
88,2.758,0.0444012669360025
89,2.765,0.0467135136015721
90,2.773,0.0679353835662499
91,2.781,0.0473266093083518
92,2.788,0.0420452277199487
93,2.796,0.0415591304095733
94,2.803,0.0383535157141247
95,2.811,0.0538298030552661
96,2.818,0.043442210080397
97,2.826,0.0464638960638117
98,2.833,0.0454084955971408
99,2.841,0.0468711667833154
100,2.848,0.0544910705675786
101,2.856,0.0471251635761242
102,2.863,0.0491308623883038
103,2.871,0.0424962909899367
104,2.878,0.0498972320217786
105,2.886,0.0634247508663699
106,2.894,0.0687718212804994
107,2.901,0.0606745786959577
108,2.909,0.0508300133470935
109,2.916,0.0449924663675402
110,2.924,0.0558705359078332
111,2.931,0.0513423861877595
112,2.939,0.0436524143227215
113,2.946,0.0368076386820299
114,2.954,0.216160029190362
115,2.961,6.353869908273
116,2.969,36.6018750043245
117,2.976,86.6217086504388
118,2.984,100
119,2.992,2.01327054415835
120,2.999,0.118196093757048
121,3.007,0.102461430368049
122,3.014,0.0797900269823421
123,3.022,0.0912811922294148
124,3.029,0.0691177824293252
125,3.037,0.0957392738687136
126,3.044,0.102308156441354
127,3.052,0.0530108823612102
128,3.059,0.0656669294511646
129,3.067,0.0776310542434675
130,3.074,0.0551654758450364
131,3.082,0.0543903477014648
132,3.089,0.0628247929247354
133,3.097,0.0507687037764156
134,3.105,0.0385987539968366
135,3.112,0.0466959965813783
136,3.120,0.064799836951576
137,3.127,0.0884084009176466
138,3.135,0.0703133190575458
139,3.142,0.0434903818859297
140,3.150,0.0370266014344513
141,3.157,0.0655749650951476
142,3.165,0.061497878645062
143,3.172,0.0528619876895637
144,3.180,0.0603767893526647
145,3.187,0.0613314669532218
146,3.195,0.0424174643990651
147,3.203,0.0353055542004194
148,3.210,0.0370266014344513
149,3.218,0.0447078147893924
150,3.225,0.0345479430770415
151,3.233,0.0294855242410598
152,3.240,0.0349158005011094
153,3.248,0.0445370238425038
154,3.255,0.0552048891404722
155,3.263,0.0563522539631601
156,3.270,0.0472171279321412
157,3.278,0.0366937780507708
158,3.285,0.0385418236812071
159,3.293,0.0265995951641463
160,3.300,0.0398468416856383
161,3.308,0.0316444969799343
162,3.316,0.0629298950458977
163,3.323,0.0398074283902025
164,3.331,0.0311802959448011
165,3.338,0.0350559366626591
166,3.346,0.0276593748858657
167,3.353,0.0239151118194605
168,3.361,0.0188395552183335
169,3.368,0.0385199274059649
170,3.376,0.0240245931956712
171,3.383,0.0232801198374386
172,3.391,0.0224874746736732
173,3.398,0.0166586862042168
174,3.406,0.029231527448251
175,3.414,0.0207226348891571
176,3.421,0.0282418158073065
177,3.429,0.0205036721367358
178,3.436,0.0272302078911198
179,3.444,0.0294198354153334
180,3.451,0.0341581893777315
181,3.459,0.0357566174704074
182,3.466,0.024607034117112
183,3.474,0.0145829193112623
184,3.481,0.0351697972939182
185,3.489,0.0936372314454686
186,3.496,0.0569916252002305
187,3.504,0.0385243066610133
188,3.511,0.0230918118703562
189,3.519,0.0270813132194733
190,3.527,0.0269937281185047
191,3.534,0.0193081355085152
192,3.542,0.021090492313225
193,3.549,0.0258857765912527
194,3.557,0.0256974686241703
195,3.564,0.012345119981516
196,3.572,0.0163608968609237
197,3.579,0.00930153772285919
198,3.587,0.0123889125320003
199,3.594,0.0209328391314816
200,3.602,0.0215459348382614
201,3.609,0.0228728491179348
202,3.617,0.0282242987871128
203,3.624,0.013759619362158
204,3.632,0.0190716557359001
205,3.640,0.0207576689295445
206,3.647,0.0124327050824846
207,3.655,0.0167681675804274
208,3.662,0.0194219961397743
209,3.670,0.0136851720263347
210,3.677,0.0273440685223789
211,3.685,0.0285615014258417
212,3.692,0.0252157505688433
213,3.700,0.00621416291371808
214,3.707,0.0041997055914416
215,3.715,0.0204992928816873
216,3.722,0.0142500959275818
217,3.730,0.0253471282202961
218,3.738,0.0261748074244489
219,3.745,0.0150252240711534
220,3.753,0.0149245012050396
221,3.760,0.0203460189549924
222,3.768,0.0209722524269175
223,3.775,0.0234684278045209
224,3.783,0.0221984438404771
225,3.790,0.00922709038703593
226,3.798,0.0131202481250876
227,3.805,0.0228071602922084
228,3.813,0.0230173645345329
229,3.820,0.0146179533516497
230,3.828,0.0303394789755031
231,3.835,0.0190716557359001
232,3.843,0.0105715216869031
233,3.851,0.0190103461652221
234,3.858,0.0150777751317346
235,3.866,0.0195227190058881
236,3.873,0.0175520542340959
237,3.881,0.019049759460658
238,3.888,0.00973946322770191
239,3.896,0.01634337984073
240,3.903,0.0205255684119779
241,3.911,0.0182001839812631
242,3.918,0.0335100596305643
243,3.926,0.0198730594097623
244,3.933,0.0132691427967342
245,3.941,0.0188702100036724
246,3.949,0.0208671503057552
247,3.956,0.0333786819791115
248,3.964,0.0502169176403137
249,3.971,0.0798776120833106
250,3.979,0.0479528427802769
251,3.986,0.0242698314783831
252,3.994,0.0140355124302089
253,4.001,0.0216072444089394
254,4.009,0.0261791866794973
255,4.016,0.015984280926759
256,4.024,0.0169083037419771
257,4.031,0.019049759460658
258,4.039,0.0187826249027039
259,4.046,0.0162470362296646
260,4.054,0.0213620061262275
261,4.062,0.0187870041577523
262,4.069,0.0213182135757432
263,4.077,0.0197942328188906
264,4.084,0.0206744630836244
265,4.092,0.0205518439422685
266,4.099,0.027037520668989
267,4.107,0.0152003942730905
268,4.114,0.0247427910236132
269,4.122,0.0170747154338173
270,4.129,0.0133961411931385
271,4.137,0.0210072864673049
272,4.144,0.0187388323522196
273,4.152,0.0146705044122308
274,4.160,0.0151259469372673
275,4.167,0.0196365796371472
276,4.175,0.0199737822758761
277,4.182,0.0126297715596638
278,4.190,0.031035780528203
279,4.197,0.00811038034968702
280,4.205,0.0261091185987225
281,4.212,0.0215678311135035
282,4.220,0.0229823304941455
283,4.227,0.0269324185478268
284,4.235,0.0148018820636837
285,4.242,0.00199256104703434
286,4.250,0.0120823646786104
287,4.257,0.00336764713224045
288,4.265,0.0122794311557896
289,4.273,0.0122925689209349
290,4.280,0.0158485240202577
291,4.288,0.0138428252080781
292,4.295,0.0115568540727992
293,4.303,0.0146442288819403
294,4.310,0.0222115816056223
295,4.318,0.017665914865355
296,4.325,0.0158485240202577
297,4.333,0.0130501800443128
298,4.340,0.0210948715682734
299,4.348,0.0116225428985256
300,4.355,0.00529451935354838
301,4.363,0.0125246694385016
302,4.371,0.0193869620993868
303,4.378,0.0239282495846058
304,4.386,0.0230129852794845
305,4.393,0.0170265436282846
306,4.401,0.0191373445616265
307,4.408,0.0187913834128008
308,4.416,0.0892754934172352
309,4.423,0.111973172333233
310,4.431,0.04257073832576
311,4.438,0.0311189863741231
312,4.446,0.0215284178180677
313,4.453,0.0220451699137821
314,4.461,0.0255179191671848
315,4.468,0.0182439765317474
316,4.476,0.0314342927376098
317,4.484,0.0229604342189034
318,4.491,0.0270944509846186
319,4.499,0.0156426990329817
320,4.506,0.0205737402175106
321,4.514,0.0273046552269431
322,4.521,0.0323057644922468
323,4.529,0.0197241647381157
324,4.536,0.00945481164955415
325,4.544,0.0135406566097366
326,4.551,0.0139785821145794
327,4.559,0.0115480955627023
328,4.566,0.0224830954186248
329,4.574,0.0305058906673433
330,4.581,0.0112546854744577
331,4.589,0.0111889966487313
332,4.597,0.0122706726456928
333,4.604,0.00985770311400944
334,4.612,0.00659077884788281
335,4.619,0.0130676970645065
336,4.627,0.0144865757001969
337,4.634,0.0138909970136108
338,4.642,0.00813665587997758
339,4.649,0.0122049838199664
340,4.657,0.0143683358138894
341,4.664,0.0135406566097366
342,4.672,0.0110707567624238
343,4.679,0.0122093630750148
344,4.687,0.00553537838121188
345,4.695,0.0160850037928728
346,4.702,0.0113597875956199
347,4.710,0.00656450331759225
348,4.717,0.00843882447831905
349,4.725,0.0268054201514224
350,4.732,0.0228509528426927
351,4.740,0.016435344196747
352,4.747,0.0263237020960954
353,4.755,0.0245194490161434
354,4.762,0.0123801540219035
355,4.770,0.0144296453845673
356,4.777,0.0224261651029953
357,4.785,0.0269674525882142
358,4.792,0.00962122334139437
359,4.800,0.00767245484484431
360,4.808,0.0239589043699448
361,4.815,0.0229166416684191
362,4.823,0.0119991588326903
363,4.830,0.0158660410404514
364,4.838,0.0245413452913856
365,4.845,0.0158660410404514
366,4.853,0.0163521383508269
367,4.860,0.021778035355828
368,4.868,0.0163214835654879
369,4.875,0.0189928291450284
370,4.883,0.0212437662399199
371,4.890,0.0212437662399199
372,4.898,0.00959056855605538
373,4.906,0.0208014614800288
374,4.913,0.0139041347787561
375,4.921,0.0123976710420972
376,4.928,0.0185461451300888
377,4.936,0.0110050679366973
378,4.943,0.000770748888523172
379,4.951,0.0138472044631265
380,4.958,0.0136632757510926
381,4.966,0.0209591146617722
382,4.973,0.0257850537251389
383,4.981,0.0290125646958296
384,4.988,0.0192512051928856
385,4.996,0.0157434218990955
386,5.003,0.0139391688191435
387,5.011,0.00471207843210758
388,5.019,0.0154456325558024
389,5.026,0.015625182012788
390,5.034,0.0135187603344945
391,5.041,0.00985770311400944
392,5.049,0.0172674026559481
393,5.056,0.0167199957748947
394,5.064,0.0134705885289618
395,5.071,0.0156339405228848
396,5.079,0.0309700917024766
397,5.086,0.0240158346855743
398,5.094,0.0178104302819531
399,5.101,0.025745640429703
400,5.109,0.0149463974802817
401,5.117,0.0140924427458385
402,5.124,0.0185943169356215
403,5.132,0.0144340246396158
404,5.139,0.0124502221026783
405,5.147,0.0177097074158393
406,5.154,0.0126998396404386
407,5.162,0.0208496332855615
408,5.169,0.0138734799934171
409,5.177,0.0062667139742992
410,5.184,0
411,5.192,0.0160368319873401
412,5.199,0.0212306284747747
413,5.207,0.0215021422877771
414,5.214,0.027129485025006
415,5.222,0.0142500959275818
416,5.230,0.0235428751403442
417,5.237,0.0165842388683935
418,5.245,0.00570179007305211
419,5.252,0.00581127144926278
420,5.260,0.0171097494742047
421,5.267,0.0195796493215176
422,5.275,0.0186162132108637
423,5.282,0.0150471203463956
424,5.290,0.0102211812830289
425,5.297,0.0123144651961771
426,5.305,0.0155857687173521
427,5.312,0.00666522618370607
428,5.320,0.0143902320891315
429,5.327,0.0181651499408757
430,5.335,0.0167725468354759
431,5.343,0.00966501589187865
432,5.350,0.00123494992365645
433,5.358,0.00520693425257984
434,5.365,0.0110619982523269
435,5.373,0.0200044370612151
436,5.380,0.0308168177757816
437,5.388,0.0317014272955639
438,5.395,0.0115612333278476
439,5.403,0.017933049423309
440,5.410,0.0222378571359129
441,5.418,0.0219751018330073
442,5.425,0.0128443550570367
443,5.433,0.00864902872064355
444,5.441,0.0120823646786104
445,5.448,0.0164616197270375
446,5.456,0.0269280392927783
447,5.463,0.0291658386225246
448,5.471,0.0338998133298743
449,5.478,0.0289424966150548
450,5.486,0.0205211891569295
451,5.493,0.0126560470899544
452,5.501,0.0170396813934299
453,5.508,0.021572210368552
454,5.516,0.0135932076703178
455,5.523,0.0207708066946898
456,5.531,0.0167462713051853
457,5.538,0.0202146413035396
458,5.546,0.0139742028595309
459,5.554,0.023100570380453
460,5.561,0.013431175233526
461,5.569,0.0106459690227263
462,5.576,0.00667836394885135
463,5.584,0.000236479772615064
464,5.591,0.0124546013577267
465,5.599,0.0245325867812887
466,5.606,0.0144077491093252
467,5.614,0.00948108717984471
468,5.621,0.0302518938745345
469,5.629,0.0265645611237589
470,5.636,0.0226889204059009
471,5.644,0.016794443110718
472,5.652,0.0116488184288161
473,5.659,0.00644626343128472
474,5.667,0.0164222064316017
475,5.674,0.00860961542520771
476,5.682,0.0115130615223149
477,5.689,0.00751042240805251
478,5.697,0.0209021843461426
479,5.704,0.0105540046667094
480,5.712,0.0203285019347987
481,5.719,0.015020844816105
482,5.727,0.0319948373838085
483,5.734,0.027847682852948
484,5.742,0.0199431274905371
485,5.749,0.0131158688700392
486,5.757,0.0197898535638421
487,5.765,0.0109131035806804
488,5.772,0.0243705543444969
489,5.780,0.0238406644836372
490,5.787,0.0121436742492884
491,5.795,0.0157302841339502
492,5.802,0.0266915595201633
493,5.810,0.0240377309608164
494,5.817,0.0117364035297847
495,5.825,0.0190891727560938
496,5.832,0.0221809268202833
497,5.840,0.0181388744105851
498,5.847,0.0112853402597967
499,5.855,0.0166236521638293
500,5.863,0.0100547695911887
501,5.870,0.0152398075685264
502,5.878,0.0122268800952085
503,5.885,0.0147931235535868
504,5.893,0.00109043450705835
505,5.900,0.0234202559989882
506,5.908,0.0156602160531754
507,5.915,0.0222159608606708
508,5.923,0.00717321976932362
509,5.930,0.0213357305959369
510,5.938,0.00799214046337949
511,5.945,0.00994528821497798
512,5.953,0.0161287963433571
513,5.960,0.0199694030208277
514,5.968,0.0183228031226191
515,5.976,0.0120736061685136
516,5.983,0.00655136555244697
517,5.991,0.0152047735281389
518,5.998,0.0122706726456928
519,6.006,0.0179680834636965
520,6.013,0.00261879451895942
521,6.021,0.0154237362805603
522,6.028,0.0194964434755975
523,6.036,0.0139347895640951
524,6.043,0.0294066976501881
525,6.051,0.0188220381981397
526,6.058,0.016886407466735
527,6.066,0.0152135320382358
528,6.074,0.0258551218059137
529,6.081,0.0113554083405715
530,6.089,0.0088023026473385
531,6.096,0.0172717819109965
532,6.104,0.0168513734263475
533,6.111,0.0291570801124277
534,6.119,0.0295774885970767
535,6.126,0.0156208027577395
536,6.134,0.0331422022064964
537,6.141,0.0247296532584679
538,6.149,0.020065746631893
539,6.156,0.0187344530971712
540,6.164,0.0071863575344689
541,6.171,0.0284169860092436
542,6.179,0.0138691007383687
543,6.187,0.0110357227220363
544,6.194,0.0199387482354887
545,6.202,0.0109612753862131
546,6.209,0.0357478589603106
547,6.217,0.0184060089685392
548,6.224,0.0304095470562779
549,6.232,0.0243617958344
550,6.239,0.0178804983627279
551,6.247,0.0236173224761674
552,6.254,0.00563172199227727
553,6.262,0.016763788325379
554,6.269,0.0178717398526311
555,6.277,0.00944167388440886
556,6.284,0.00508869436627231
557,6.292,0.0185592828952341
558,6.300,0.0181520121757304
559,6.307,0.0053777251994685
560,6.315,0.0088023026473385
561,6.322,0.0125640827339374
562,6.330,0.0159930394368558
563,6.337,0.0246902399630321
564,6.345,0.0203941907605251
565,6.352,0.0106853823181622
566,6.360,0.00615723259808853
567,6.367,0.019829266859278
568,6.375,0.0145347475057296
569,6.382,0.0139960991347731
570,6.390,0.0240377309608164
571,6.398,0.0196322003820988
572,6.405,0.0130063874938285
573,6.413,0.0219225507724261
574,6.420,0.0135143810794461
575,6.428,0.0167594090703306
576,6.435,0.00799651971842791
577,6.443,0.0188307967082366
578,6.450,0.0186862812916385
579,6.458,0.0206963593588666
580,6.465,0.00902564465480829
581,6.473,0.0155726309522068
582,6.480,0.0105321083914672
583,6.488,0.018537386619992
584,6.495,0.0138778592484655
585,6.503,0.0079614856780405
586,6.511,0.0109525168761162
587,6.518,0.0166236521638293
588,6.526,0.0159580053964684
589,6.533,0.0143683358138894
590,6.541,0.0179987382490354
591,6.548,0.0179155324031153
592,6.556,0.0152879793740591
593,6.563,0.0182790105721348
594,6.571,0.0305277869425854
595,6.578,0.018804521177946
596,6.586,0.00501424703044905
597,6.593,0.0120604684033683
598,6.601,0.0190804142459969
599,6.609,0.00857458138482029
600,6.616,0.0180337722894229
601,6.624,0.0243705543444969
602,6.631,0.00580251293916593
603,6.639,0.0289074625746674
604,6.646,0.0234333937641335
605,6.654,0.0189446573394957
606,6.661,0.0281629892164348
607,6.669,0.0149463974802817
608,6.676,0.00830306757181781
609,6.684,0.017994358993987
610,6.691,0.0216160029190362
611,6.699,0.0189402780844473
612,6.706,0.0130808348296518
613,6.714,0.0202671923641207
614,6.722,0.0151697394877515
615,6.729,0.0169871303328488
616,6.737,0.0208978050910942
617,6.744,0.0259864994573665
618,6.752,0.0149420182252333
619,6.759,0.0235691506706347
620,6.767,0.0105540046667094
621,6.774,0.0178279473021468
622,6.782,0.0139917198797246
623,6.789,0.00896871433917873
624,6.797,0.00937598505868246
625,6.804,0.0258113292554294
626,6.812,0.00846510000860962
627,6.820,0.0113992008910558
628,6.827,0.0202978471494597
629,6.835,0.0213313513408885
630,6.842,0.0167375127950884
631,6.850,0.02280278103716
632,6.857,0.0286096732313744
633,6.865,0.0105364876465156
634,6.872,0.0158747995505483
635,6.880,0.0137421023419643
636,6.887,0.0253120941799087
637,6.895,0.0214057986767117
638,6.902,0.00907819571538941
639,6.910,0.0171404042595437
640,6.917,0.00843882447831905
641,6.925,0.0134224167234291
642,6.933,0.023161879951131
643,6.940,0.0122225008401601
644,6.948,0.0268842467422941
645,6.955,0.0190628972258032
646,6.963,0.0215941066437941
647,6.970,0.0173243329715777
648,6.978,0.0119947795776419
649,6.985,0.00936284729353717
650,6.993,0.0253734037505867
651,7.000,0.0171754382999312
652,7.008,0.0244712772106107
653,7.015,0.0296913492283358
654,7.023,0.0476287779066933
655,7.030,0.0694549850680541
656,7.038,0.0544078647216585
657,7.046,0.045513597718303
658,7.053,0.0240158346855743
659,7.061,0.0342851877741359
660,7.068,0.0275148594692676
661,7.076,0.0273922403279116
662,7.083,0.0263149435859985
663,7.091,0.0230129852794845
664,7.098,0.0314824645431425
665,7.106,0.019737302503261
666,7.113,0.0332910968781429
667,7.121,0.0294198354153334
668,7.128,0.0299628630413383
669,7.136,0.0172936781862387
670,7.144,0.0260259127528024
671,7.151,0.0191329653065781
672,7.159,0.0488724863404466
673,7.166,0.0547669636356295
674,7.174,0.041576647429767
675,7.181,0.0407708645008565
676,7.189,0.0324896932042808
677,7.196,0.0307379911849099
678,7.204,0.0191767578570623
679,7.211,0.0306109927885055
680,7.219,0.0415372341343312
681,7.226,0.0718372998143984
682,7.234,0.0777273978545329
683,7.241,0.0783667690916033
684,7.249,0.0549859263880509
685,7.257,0.0402584916601905
686,7.264,0.0409591724679388
687,7.272,0.0340793627868598
688,7.279,0.0329976867898983
689,7.287,0.0247734458089522
690,7.294,0.0246989984731289
691,7.302,0.0356865493896326
692,7.309,0.0268492127019067
693,7.317,0.0254303340662163
694,7.324,0.0352748994150804
695,7.332,0.0285483636606964
696,7.339,0.0252770601395213
697,7.347,0.0285439844056479
698,7.355,0.0246946192180805
699,7.362,0.02015771098791
700,7.370,0.0253339904551509
701,7.377,0.0246026548620635
702,7.385,0.0142851299679693
703,7.392,0.0234815655696662
704,7.400,0.0153930814952213
705,7.407,0.021778035355828
706,7.415,0.0190804142459969
707,7.422,0.0227546092316273
708,7.430,0.0239501458598479
709,7.437,0.0232494650520996
710,7.445,0.0102693530885616
711,7.452,0.0293103540391227
712,7.460,0.0141975448670007
713,7.468,0.0277600977519795
714,7.475,0.0299059327257088
715,7.483,0.0280797833705147
716,7.490,0.0332210287973681
717,7.498,0.0337859526986152
718,7.505,0.0300285518670647
719,7.513,0.0156383197779332
720,7.520,0.0184804563043624
721,7.528,0.0218918959870872
722,7.535,0.0198555423895685
723,7.543,0.0312985358311086
724,7.550,0.0348282154001409
725,7.558,0.0313905001871256
726,7.566,0.0289775306554422
727,7.573,0.0238669400139278
728,7.581,0.019500822730646
729,7.588,0.0212174907096294
730,7.596,0.018178287706021
731,7.603,0.0280885418806115
732,7.611,0.0311496411594621
733,7.618,0.0203854322504282
734,7.626,0.0228465735876443
735,7.633,0.0180994611151493
736,7.641,0.0105496254116609
737,7.648,0.0135713113950756
738,7.656,0.012047330638223
739,7.663,0.0240158346855743
740,7.671,0.0197110269729705
741,7.679,0.0293804221198975
742,7.686,0.0223998895727047
743,7.694,0.0224349236130921
744,7.701,0.0202671923641207
745,7.709,0.0338472622692932
746,7.716,0.021449591227196
747,7.724,0.0337903319536636
748,7.731,0.0205299476670263
749,7.739,0.0178279473021468
750,7.746,0.0178016717718562
751,7.754,0.0315525326239174
752,7.761,0.0257325026645577
753,7.769,0.0294899034961082
754,7.777,0.0248566516548723
755,7.784,0.0324896932042808
756,7.792,0.0149245012050396
757,7.799,0.0180074967591323
758,7.807,0.0260565675381413
759,7.814,0.0280710248604178
760,7.822,0.0227984017821116
761,7.829,0.0199080934501497
762,7.837,0.0245851378418698
763,7.844,0.0218130693962155
764,7.852,0.0243355203041095
765,7.859,0.0262974265658048
766,7.867,0.0217517598255375
767,7.874,0.0224261651029953
768,7.882,0.0242829692435284
769,7.890,0.0261748074244489
770,7.897,0.0228202980573537
771,7.905,0.031364224656835
772,7.912,0.0333086138983366
773,7.920,0.0213532476161306
774,7.927,0.0224655783984311
775,7.935,0.0150077070509597
776,7.942,0.0227984017821116
777,7.950,0.0224042688277531
778,7.957,0.0280535078402241
779,7.965,0.0292753199987353
780,7.972,0.035301174945371
781,7.980,0.0295117997713503
782,7.987,0.0247997213392428
783,7.995,0.0471558183614632
784,8.003,0.0517890702026991
785,8.010,0.0387520279235316
786,8.018,0.0181739084509725
787,8.025,0.0361989222302985
788,8.033,0.0318284256919683
789,8.040,0.0255617117176691
790,8.048,0.0391023683274057
791,8.055,0.0330283415752373
792,8.063,0.0327524485071864
793,8.070,0.0281717477265316
794,8.078,0.0226889204059009
795,8.085,0.0264769760227903
796,8.093,0.0324064873583607
797,8.101,0.0399475645517522
798,8.108,0.0208715295608036
799,8.116,0.0289249795948611
800,8.123,0.0303745130158905
801,8.131,0.0314693267779973
802,8.138,0.0221809268202833
803,8.146,0.0366193307149476
804,8.153,0.0465164471243928
805,8.161,0.0214276949519539
806,8.168,0.0298665194302729
807,8.176,0.0388921640850812
808,8.183,0.0362208185055407
809,8.191,0.0346486659431553
810,8.198,0.0334837841002737
811,8.206,0.0324677969290386
812,8.214,0.0405037299429024
813,8.221,0.0265032515530809
814,8.229,0.0274929631940254
815,8.236,0.0395359145772
816,8.244,0.0356821701345841
817,8.251,0.0439896169614504
818,8.259,0.0360850615990394
