#"+EI TIC Scan EA-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.116938165286021
1,2.102,0.108686612036445
2,2.110,0.0896847957504501
3,2.117,0.0828460304472146
4,2.125,0.0772094060443354
5,2.132,0.0865032989869693
6,2.140,0.0883373810252773
7,2.148,0.067585015150244
8,2.155,0.0687544694400166
9,2.163,0.0581676394565161
10,2.170,0.0671019796827292
11,2.178,0.0623043116181652
12,2.185,0.0560974874528813
13,2.193,0.0456159809923728
14,2.200,0.039877664912122
15,2.208,0.0571507226828008
16,2.215,0.0461970762916387
17,2.223,0.0555962927572645
18,2.230,0.0519862382105751
19,2.238,0.0503519076813898
20,2.246,0.0461280712248508
21,2.253,0.0419768716807201
22,2.261,0.0433206545602725
23,2.268,0.0400229387369385
24,2.276,0.0309978023702151
25,2.283,0.0529922594474292
26,2.291,0.0468508085033128
27,2.298,0.0369903476438946
28,2.306,0.0517429045540075
29,2.313,0.0435022468412931
30,2.321,0.038210647772353
31,2.328,0.0391404002511784
32,2.336,0.0433097590234112
33,2.343,0.0425724943624676
34,2.351,0.0365399987869636
35,2.359,0.0368632330471802
36,2.366,0.0346587027555902
37,2.374,0.0329953174614416
38,2.381,0.0276092904063708
39,2.389,0.0399139833683262
40,2.396,0.0667896409593738
41,2.404,0.267144036455014
42,2.411,0.254385362790507
43,2.419,0.0741404964950874
44,2.426,0.0443738897901919
45,2.434,0.0289821280508865
46,2.441,0.0227208262012965
47,2.449,0.0425180166781615
48,2.456,0.038501195421986
49,2.464,0.031949345922763
50,2.472,0.0403425411515348
51,2.479,0.029207302479352
52,2.487,0.0387554246154148
53,2.494,0.0481110589335957
54,2.502,0.0285862568782616
55,2.509,0.0441777701266897
56,2.517,0.0371646762336744
57,2.524,0.0370520890194416
58,2.532,0.0337689005785893
59,2.539,0.03201108729831
60,2.547,0.0424816982219573
61,2.554,0.0401173667230692
62,2.562,0.029683074255626
63,2.570,0.0330134766895437
64,2.577,0.0326030781344371
65,2.585,0.0233418718023869
66,2.592,0.0367724369066699
67,2.600,0.0363329835866001
68,2.607,0.0344371601727451
69,2.615,0.0369031833490047
70,2.622,0.0346223842993861
71,2.630,0.0351490019143458
72,2.637,0.0338742241015813
73,2.645,0.0385593049519125
74,2.652,0.034894772720917
75,2.660,0.0343608914147165
76,2.667,0.0373353729778338
77,2.675,0.0388752755208884
78,2.683,0.0265996373238963
79,2.690,0.0300172040527039
80,2.698,0.031825863171669
81,2.705,0.0257897357505445
82,2.713,0.0308016827067128
83,2.720,0.0282848136917674
84,2.728,0.0470796147773987
85,2.735,0.0503555395270102
86,2.743,0.0327810385698373
87,2.750,0.0448932437139108
88,2.758,0.0413340350059072
89,2.765,0.039568958034387
90,2.773,0.0514015110656888
91,2.781,0.0520625069686038
92,2.788,0.0345315881588758
93,2.796,0.0344771104745696
94,2.803,0.0412432388653969
95,2.811,0.057019976240466
96,2.818,0.0453653836445643
97,2.826,0.0413158757778051
98,2.833,0.0285935205695024
99,2.841,0.0378365676734506
100,2.848,0.0456050854555115
101,2.856,0.037284527139148
102,2.863,0.0518482280769995
103,2.871,0.0322834757198409
104,2.878,0.0324251176990369
105,2.886,0.0476352871573217
106,2.894,0.0467672760540433
107,2.901,0.0362748740566735
108,2.909,0.0412105522548132
109,2.916,0.0362421874460898
110,2.924,0.0355230820132482
111,2.931,0.0517211134802851
112,2.939,0.0435058786869135
113,2.946,0.0359116894946323
114,2.954,0.0475299636343298
115,2.961,1.88079483667772
116,2.969,19.7075129448058
117,2.976,60.5912063574731
118,2.984,100
119,2.992,20.2923817316713
120,2.999,0.139586354574909
121,3.007,0.0717180554662727
122,3.014,0.0706393973170104
123,3.022,0.0538856934700505
124,3.029,0.0456849860591606
125,3.037,0.0611058025634293
126,3.044,0.0765520419870409
127,3.052,0.0604557021973756
128,3.059,0.0472575752127989
129,3.067,0.0417335380241525
130,3.074,0.0529305180718822
131,3.082,0.0458774738770424
132,3.089,0.0387082106223494
133,3.097,0.0423327925515205
134,3.105,0.033307656184797
135,3.112,0.0355666641606932
136,3.120,0.031473574146489
137,3.127,0.0549352968543496
138,3.135,0.0597874426032198
139,3.142,0.0334492981639931
140,3.150,0.0329226805490334
141,3.157,0.0322108388074326
142,3.165,0.049127975707311
143,3.172,0.0414429903745196
144,3.180,0.0342265131267612
145,3.187,0.040044729810661
146,3.195,0.0378184084453485
147,3.203,0.0140225559404101
148,3.210,0.0196846032626322
149,3.218,0.0186822138713985
150,3.225,0.0263417762848471
151,3.233,0.0236578423713628
152,3.240,0.0311793946512357
153,3.248,0.0287533217768006
154,3.255,0.0321055152844407
155,3.263,0.043545828988738
156,3.270,0.022760776503121
157,3.278,0.0278054100698731
158,3.285,0.0239520218666161
159,3.293,0.0217547552662669
160,3.300,0.0236723697538444
161,3.308,0.0468471766576924
162,3.316,0.0476062323923584
163,3.323,0.0317713854873628
164,3.331,0.0201894298038694
165,3.338,0.0266976971556475
166,3.346,0.0179957950491407
167,3.353,0.00448896118682904
168,3.361,0.00646831704995349
169,3.368,0.0104270287762024
170,3.376,0.0134886746342096
171,3.383,0.0182064420951246
172,3.391,0.0108773776331335
173,3.398,0.0214315210060503
174,3.406,0.0203637583936492
175,3.413,0.0150394727141254
176,3.421,0.020599828358976
177,3.429,0.0272642650724317
178,3.436,0.0321999432705714
179,3.444,0.0184679349797942
180,3.451,0.0299373034490548
181,3.459,0.0227280898925373
182,3.466,0.0256480937713484
183,3.474,0.0232183890512929
184,3.481,0.0248636151173395
185,3.489,0.0717870605330605
186,3.496,0.069745963294389
187,3.504,0.0149014625805498
188,3.511,0.0155878814028076
189,3.519,0.0157985284487915
190,3.527,0.0174510182060789
191,3.534,0.0142223074495328
192,3.542,0.0130710123878622
193,3.549,0.0133615600374952
194,3.557,0.00936289800942173
195,3.564,0.0214060980867074
196,3.572,0.0194013193042401
197,3.579,0.00628309292331249
198,3.587,0.0112369303495542
199,3.594,0.0102272772670798
200,3.602,0.0132780275882257
201,3.609,0.0161471856283511
202,3.617,0.0246820228363189
203,3.624,0.00313428277041542
204,3.632,0.0161217627090082
205,3.640,0.00962075904847098
206,3.647,0.0113858360199911
207,3.655,0.0208722167805069
208,3.662,0.0126860367520986
209,3.670,0.0158711653611998
210,3.677,0.0199243050735794
211,3.685,0.0183589796111819
212,3.692,0.00756876627293828
213,3.700,0.0135249930904137
214,3.707,0.0174038042130136
215,3.715,0.00811717496162047
216,3.722,0.0089524994543152
217,3.730,0.00895976314555602
218,3.738,0.0101401129721899
219,3.745,0.0116436970590404
220,3.753,0.0212499287250297
221,3.760,0.0134596198692463
222,3.768,0.0204581863797799
223,3.775,0.00987862008752022
224,3.783,0.0120686229966286
225,3.790,0.0190345028965785
226,3.798,0.00578553007331607
227,3.805,0.0127259870539231
228,3.813,0.0137247445995364
229,3.820,0.0110262833035704
230,3.828,0.0130492213141398
231,3.835,0.00695498436308868
232,3.843,0.012769569201368
233,3.851,0.00664264563973326
234,3.858,0.00926847002329103
235,3.866,0.00353741763428114
236,3.873,0.019550224974677
237,3.881,0.00772130378899558
238,3.888,0.0202148527232123
239,3.896,0.0201785342670082
240,3.903,0.0196628121889097
241,3.911,0.0137683267469813
242,3.918,0.0141569342283654
243,3.926,0.00769951271527311
244,3.933,0.00730000969702781
245,3.941,0.00679518315579056
246,3.949,0.00608697325981025
247,3.956,0.0150104179491622
248,3.964,0.0137719585926017
249,3.971,0.0637170995645054
250,3.979,0.0622897842356835
251,3.986,0.0241481415301183
252,3.994,0.0067770239276885
253,4.001,0.0145818601659536
254,4.009,0.0108882731699947
255,4.016,0.0100928989791245
256,4.024,0.0129911117842132
257,4.031,0.00671891439776191
258,4.039,0.0099040430068631
259,4.046,0.0104270287762024
260,4.054,0.0172912169987808
261,4.062,0.0197681357119017
262,4.069,0.00697677543681115
263,4.077,0.0192705728619052
264,4.084,0.022266845498745
265,4.092,0.00676249654520685
266,4.099,0.012337379572539
267,4.107,0.0237341111293914
268,4.114,0.00730364154264822
269,4.122,0.0093520024725605
270,4.129,0.00609423695105107
271,4.137,0.0164159422042615
272,4.144,0.0200550515159142
273,4.152,0.0190562939703009
274,4.159,0.0121921057477226
275,4.167,0.0136884261433322
276,4.175,0.0138845458068345
277,4.182,0.00920309680212361
278,4.190,0.0202439074881756
279,4.197,0.0200078375228488
280,4.205,0.00349746733245661
281,4.212,0.0103217052532105
282,4.220,0.00573831608025071
283,4.227,0.0154934534166769
284,4.235,0.0241481415301183
285,4.242,0.0159801207298121
286,4.250,0.0081861800284083
287,4.257,0.0144547455692391
288,4.265,0.0101510085090511
289,4.273,0.0150939503984316
290,4.280,0.0137610630557405
291,4.288,0.0106449395134271
292,4.295,0.0107248401170762
293,4.303,0.0197826630943833
294,4.310,0.0224012237867003
295,4.318,0.00893070838059272
296,4.325,0.0219290838560467
297,4.333,0.0101982225021165
298,4.340,0.00331950689705643
299,4.348,0.00825518509519612
300,4.355,0.00943553492182997
301,4.363,0.0142477303688757
302,4.370,0.0147816116750762
303,4.378,0.0122465834320287
304,4.386,0.011454841086779
305,4.393,0.0141278794634021
306,4.401,0.00292363572443153
307,4.408,0.0189800252122723
308,4.416,0.0566749509065268
309,4.423,0.117304981693682
310,4.431,0.0523239998532734
311,4.438,0.0199279369191998
312,4.446,0.0108047407207252
313,4.453,0.0296867061012464
314,4.461,0.0201785342670082
315,4.468,0.0227099306644353
316,4.476,0.0128276787312946
317,4.484,0.0151520599283582
318,4.491,0.0225682886852392
319,4.499,0.0165140020360127
320,4.506,0.00869827026088637
321,4.514,0.002698461295966
322,4.521,0.0146690244608434
323,4.529,0.0173166399181237
324,4.536,0.010979069310505
325,4.544,0.00484851390324981
326,4.551,0.0133361371181523
327,4.559,0.0311866583424765
328,4.566,0.0120323045404244
329,4.574,0.0016851763678711
330,4.581,0.00887259885066614
331,4.589,0.0168590273699518
332,4.597,0.011226034812693
333,4.604,0.00700946204739486
334,4.612,0.0140516107053734
335,4.619,0.0117962345750977
336,4.627,0.0151520599283582
337,4.634,0.0168844502892947
338,4.642,0.0157731055294486
339,4.649,0.0155261400272606
340,4.657,0.00426741860398392
341,4.664,0.0113858360199911
342,4.672,0.00950090814299738
343,4.679,0.0160709168703224
344,4.687,0.00771767194337517
345,4.695,0.0217220686556832
346,4.702,0.00428194598646556
347,4.710,0.0103217052532105
348,4.717,0.00407493078610209
349,4.725,0.00942463938496873
350,4.732,0.0126569819871353
351,4.740,0.0172258437776134
352,4.747,0.0093846890831442
