#"+EI TIC Scan EA-PEEK-2Hour.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0995323547822496
1,2.102,0.0988735859324976
2,2.110,0.101943359143927
3,2.117,0.0819831111385175
4,2.125,0.0782949018640559
5,2.132,0.0881047318783893
6,2.140,0.0871546706801076
7,2.147,0.0877641439016468
8,2.155,0.0869933395332296
9,2.162,0.0738538139041636
10,2.170,0.0736700756535525
11,2.178,0.0792852958490571
12,2.185,0.0677321931642918
13,2.193,0.0536515691784373
14,2.200,0.0578058462105465
15,2.208,0.0648058254167542
16,2.215,0.0710036303093184
17,2.223,0.0580612871931033
18,2.230,0.0595670445639649
19,2.238,0.0636630631263682
20,2.245,0.060871138001229
21,2.253,0.0514422287503576
22,2.260,0.0472521003522755
23,2.268,0.04552675336483
24,2.275,0.0492777025297441
25,2.283,0.0490222615471872
26,2.291,0.0557309484048652
27,2.298,0.0359902900160399
28,2.306,0.0544134107053613
29,2.313,0.0435325211325877
30,2.321,0.0444781009101228
31,2.328,0.0515004872200636
32,2.336,0.0398084604921532
33,2.343,0.0356721091430305
34,2.351,0.0411977009236029
35,2.358,0.0554486188978286
36,2.366,0.0383251102250247
37,2.373,0.0350671173422379
38,2.381,0.0456432703042419
39,2.389,0.0388091036656588
40,2.396,0.175492436437321
41,2.404,0.405577540409867
42,2.411,0.159695428305514
43,2.419,0.0536650134406771
44,2.426,0.0584825407432849
45,2.434,0.0422597976405499
46,2.441,0.0286138714671168
47,2.449,0.0347713435729615
48,2.456,0.041601028790798
49,2.464,0.0457418615606673
50,2.471,0.0469966593697186
51,2.479,0.0424524987326542
52,2.486,0.0506445358574607
53,2.494,0.0494255894143823
54,2.502,0.0399921987427643
55,2.509,0.0471579905165967
56,2.517,0.04306645337494
57,2.524,0.0420984664936719
58,2.532,0.0464320003556455
59,2.539,0.0439582561035158
60,2.547,0.0468666981680669
61,2.554,0.0288872381326601
62,2.562,0.0363263965720358
63,2.569,0.0404493036589187
64,2.577,0.0443391768669778
65,2.584,0.045849415658586
66,2.592,0.0487085620949244
67,2.600,0.0452444238577934
68,2.607,0.0352867069588218
69,2.615,0.0294070829392671
70,2.622,0.0417533970961828
71,2.630,0.0335792856543627
72,2.637,0.041081183984191
73,2.645,0.0373481605022633
74,2.652,0.0345069397489114
75,2.660,0.0404851550248916
76,2.667,0.0415696588455717
77,2.675,0.0413142178630148
78,2.682,0.0470459549979314
79,2.690,0.0332386976776202
80,2.697,0.0391900244291208
81,2.705,0.037294383453304
82,2.713,0.0293801944147874
83,2.720,0.0406778561169959
84,2.728,0.0547584801028504
85,2.735,0.0549108484082352
86,2.743,0.0532572041527354
87,2.750,0.045629826042002
88,2.758,0.0453833479009384
89,2.765,0.0480946074526385
90,2.773,0.0776137259105709
91,2.780,0.039360318417492
92,2.788,0.0437431479076784
93,2.795,0.0351164129704506
94,2.803,0.0523116243752003
95,2.811,0.0561656462172865
96,2.818,0.0312220583416449
97,2.826,0.037097200940453
98,2.833,0.0435235582910945
99,2.841,0.0515945970557424
100,2.848,0.0470369921564382
101,2.856,0.0415786216870649
102,2.863,0.0466022943440168
103,2.871,0.0411842566613631
104,2.878,0.0417533970961828
105,2.886,0.0536067549709712
106,2.893,0.0478033151041088
107,2.901,0.0546464445841851
108,2.908,0.0516662997876882
109,2.916,0.049855805806057
110,2.924,0.0482873085447429
111,2.931,0.0459255998112784
112,2.939,0.0402028255178551
113,2.946,0.0633090308873858
114,2.954,0.383134585310835
115,2.961,8.64932129779077
116,2.969,41.887028581426
117,2.976,90.0341269152696
118,2.984,100
119,2.991,1.6280239730914
120,2.999,0.124646236646262
121,3.006,0.094481793600818
122,3.014,0.081884519882092
123,3.021,0.0710439630960379
124,3.029,0.0607501396410705
125,3.037,0.0934869181950701
126,3.044,0.0762558554243475
127,3.052,0.0796393280880395
128,3.059,0.0659934019146063
129,3.067,0.0850663286121865
130,3.074,0.0589127571349596
131,3.082,0.0387642894581926
132,3.089,0.0734728931407016
133,3.097,0.0638333571147394
134,3.104,0.0426362369832653
135,3.112,0.0491791112733186
136,3.119,0.081561857588336
137,3.127,0.0958307012455482
138,3.135,0.0597463013938294
139,3.142,0.0449576129300102
140,3.150,0.0373302348192769
141,3.157,0.068283407916125
142,3.165,0.0651912276009628
143,3.172,0.0500126555321884
144,3.180,0.0516035598972356
145,3.187,0.0506579801197005
146,3.195,0.0455401976270698
147,3.202,0.0493090724749704
148,3.210,0.0412469965518156
149,3.217,0.0356631463015372
150,3.225,0.0309531730968482
151,3.232,0.0295504884031586
152,3.240,0.035492852313166
153,3.248,0.0624261910003033
154,3.255,0.206884788767337
155,3.263,0.375794018127885
156,3.270,0.195291353295852
157,3.278,0.0590292740743715
158,3.285,0.0351657085986633
159,3.293,0.03134753812255
160,3.300,0.0477719451588825
161,3.308,0.0591189024893037
162,3.315,0.0517917795685933
163,3.323,0.0350671173422379
164,3.330,0.0453923107424316
165,3.338,0.0229179856981731
166,3.346,0.029384675835534
167,3.353,0.0173117283441616
168,3.361,0.0225505091969509
169,3.368,0.0308142490537032
170,3.376,0.0268840430589246
171,3.383,0.0192342578444581
172,3.391,0.0279192512513919
173,3.398,0.0211926387107275
174,3.406,0.0181542354445247
175,3.413,0.033749579642734
176,3.421,0.0295549698239053
177,3.428,0.0337540610634806
178,3.436,0.035654183460044
179,3.443,0.0273949250240383
180,3.451,0.0377245998449787
181,3.459,0.0352015599646362
182,3.466,0.0255351354141944
183,3.474,0.0318584200876638
184,3.481,0.0493852566276628
185,3.489,0.0860208712312148
186,3.496,0.0445946178495347
187,3.504,0.0284570217409854
