#"+EI TIC Scan EA-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.119094381537236
1,2.102,0.112698785733229
2,2.110,0.10988891741278
3,2.117,0.118066892375281
4,2.125,0.109647771997219
5,2.132,0.109002970125176
6,2.140,0.0866236271027946
7,2.147,0.0874833629321857
8,2.155,0.0818426571247173
9,2.162,0.0979889153840133
10,2.170,0.0872317329333395
11,2.178,0.0785767094313597
12,2.185,0.072348866959917
13,2.193,0.0780472379754542
14,2.200,0.0731876336227375
15,2.208,0.0670489101092195
16,2.215,0.072715827374901
17,2.223,0.0545827405830487
18,2.230,0.06431767616341
19,2.238,0.0572300978625762
20,2.245,0.062341332214139
21,2.253,0.0746659598659588
22,2.260,0.0585983359813022
23,2.268,0.0671694828169999
24,2.275,0.0521555595525117
25,2.283,0.0435424743836729
26,2.291,0.0480403606130483
27,2.298,0.0531096566314701
28,2.306,0.0574502741115666
29,2.313,0.0575970582775602
30,2.321,0.0573978511951403
31,2.328,0.0316791683964045
32,2.336,0.0521293480942986
33,2.343,0.0486851624850916
34,2.351,0.0454821222914455
35,2.358,0.0529576301738339
36,2.366,0.0447482014614775
37,2.373,0.039998685233256
38,2.381,0.0433904479260367
39,2.389,0.0518148105957408
40,2.396,0.148472183902527
41,2.404,0.368643190601284
42,2.411,0.156996150113441
43,2.419,0.0659899671974085
44,2.426,0.0532407139225358
45,2.434,0.0317053798546176
46,2.441,0.0527741499663419
47,2.449,0.0407640598130798
48,2.456,0.0455869681242981
49,2.464,0.0470181137427357
50,2.471,0.0396107556517015
51,2.479,0.0509603170579924
52,2.486,0.0404495223145221
53,2.494,0.0437154700078797
54,2.502,0.0483653826948912
55,2.509,0.0354431337958118
56,2.517,0.0424625623052915
57,2.524,0.0444808445877035
58,2.532,0.056611507448746
59,2.539,0.0423944125139373
60,2.547,0.0476524310314937
61,2.554,0.046378554162335
62,2.562,0.0331365254730552
63,2.569,0.0391704031537207
64,2.577,0.0542944145427042
65,2.584,0.0528056037161976
66,2.592,0.0441925185473589
67,2.599,0.0353644994211724
68,2.607,0.037796922743352
69,2.615,0.0442030031306441
70,2.622,0.0409527823122144
71,2.630,0.0355060412955233
72,2.637,0.0324130892263725
73,2.645,0.0362714158753471
74,2.652,0.0417024300171103
75,2.660,0.043033972094338
76,2.667,0.0422685975145142
77,2.675,0.0270764363341766
78,2.682,0.0350866579641131
79,2.690,0.048438774777888
80,2.697,0.0217030874004823
81,2.705,0.0363343233750587
82,2.713,0.0441505802142179
83,2.720,0.0430916373024069
84,2.728,0.0426250733462129
85,2.735,0.050514722268369
86,2.743,0.0469866599928799
87,2.750,0.0465410652032565
88,2.758,0.0471019904090177
89,2.765,0.0617856493000204
90,2.773,0.0577281155686259
91,2.780,0.0453825187502356
92,2.788,0.0406067910638009
93,2.795,0.0413407118937689
94,2.803,0.0491884224827839
95,2.810,0.0499380701876798
96,2.818,0.0398466587756198
97,2.826,0.0428400073035607
98,2.833,0.0455345452078718
99,2.841,0.0437783775075912
100,2.848,0.0590544153542109
101,2.856,0.0448111089611891
102,2.863,0.0422948089727273
103,2.871,0.0372674512874465
104,2.878,0.0406959100217256
105,2.886,0.0617174995086662
106,2.893,0.0417443683502513
107,2.901,0.0376396539940732
