#"+EI TIC Scan EA-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0942254684413632
1,2.102,0.0764812560736433
2,2.110,0.0833841637170241
3,2.117,0.0811169559018731
4,2.125,0.0824414415670816
5,2.132,0.0717637497778565
6,2.140,0.0750827550330261
7,2.147,0.0620560489610929
8,2.155,0.0653205165712245
9,2.162,0.0739686288558212
10,2.170,0.0599797229035749
11,2.178,0.0577904260099067
12,2.185,0.0550440660276361
13,2.193,0.0606887122890688
14,2.200,0.0540195374101366
15,2.208,0.0483826822408521
16,2.215,0.0531274573591579
17,2.223,0.0458427862005111
18,2.230,0.0488501477697492
19,2.238,0.0512848640660884
20,2.245,0.0440975815592952
21,2.253,0.0489903874284184
22,2.260,0.0527612760281885
23,2.268,0.0513471928032747
24,2.276,0.0434236520884685
25,2.283,0.0304787524840923
26,2.291,0.0369570456053916
27,2.298,0.0331588881831025
28,2.306,0.0254028559494844
29,2.313,0.0337510111863722
30,2.321,0.0445962114567854
31,2.328,0.0432055015083165
32,2.336,0.0331588881831025
33,2.343,0.028530979447021
34,2.351,0.0342223722613435
35,2.358,0.0402916330448578
36,2.366,0.0316668940367059
37,2.373,0.0464232225655583
38,2.381,0.0397968986934416
39,2.389,0.0421225396997048
40,2.396,0.0628195759916249
41,2.404,0.273634842886004
42,2.411,0.249712294444694
43,2.419,0.0575917531601254
44,2.426,0.0291620579110321
45,2.434,0.0381062316972637
46,2.441,0.0445338827195991
47,2.449,0.0278336766997495
48,2.456,0.0265598331335048
49,2.464,0.0372180471923592
50,2.471,0.0451883344600551
51,2.479,0.0196218655754567
52,2.487,0.0339886394968949
53,2.494,0.0290685648052527
54,2.502,0.0281024693788653
55,2.509,0.025145749908591
56,2.517,0.0242887297722796
57,2.524,0.0390606404854287
58,2.532,0.0378296479259996
59,2.539,0.0263105181847597
60,2.547,0.0301943776206799
61,2.554,0.0290841469895493
62,2.562,0.0310630843952137
63,2.569,0.0283362021433139
64,2.577,0.0222981057283927
65,2.584,0.0248224195844372
66,2.592,0.0349235705546891
67,2.600,0.0378452301102962
68,2.607,0.03478333089602
69,2.615,0.0333341877564389
70,2.622,0.0397657343248485
71,2.630,0.0344171495650506
72,2.637,0.0309812779276568
73,2.645,0.0309734868355085
74,2.652,0.0458622639308818
75,2.660,0.0274869730991508
76,2.667,0.0382971134548967
77,2.675,0.0291971178256994
78,2.682,0.0320642397362684
79,2.690,0.0347210021588337
80,2.698,0.0259209635773454
81,2.705,0.0354806336432915
82,2.713,0.0274908686452249
83,2.720,0.0311916374156605
84,2.728,0.0577748438256101
85,2.735,0.0384178753831951
86,2.743,0.0396605545808466
87,2.750,0.0287919810339886
88,2.758,0.0368908213221312
89,2.765,0.0320408664598236
90,2.773,0.0494383752269448
91,2.780,0.054576600498739
92,2.788,0.0357961728752971
93,2.795,0.0320174931833787
94,2.803,0.0317487005042629
95,2.811,0.0523093926835879
96,2.818,0.0448883774123461
97,2.826,0.0323057635928653
98,2.833,0.0318967312550803
99,2.841,0.0291542668188838
100,2.848,0.0367427905713138
101,2.856,0.034374298558235
102,2.863,0.0266961772460998
103,2.871,0.044339105415892
104,2.878,0.0312929216135882
105,2.886,0.0436495937607688
106,2.893,0.0466218954153396
107,2.901,0.0544246742018474
108,2.909,0.0481801138449967
109,2.916,0.0511134600388261
110,2.924,0.0345262248551266
111,2.931,0.0538559244750226
112,2.939,0.0345067471247559
113,2.946,0.0413278483005797
114,2.954,0.0618184206505702
115,2.961,1.76744041820713
116,2.969,19.1877186521317
117,2.976,61.6271960848827
118,2.984,100
119,2.991,18.9399307574476
120,2.999,0.151676981942819
121,3.006,0.0667229131579159
122,3.014,0.0713040753411077
123,3.022,0.0655425626974506
124,3.029,0.0558192796963905
125,3.037,0.0463803715587428
126,3.044,0.0748022757156878
127,3.052,0.0480944118313656
128,3.059,0.0524613189804795
129,3.067,0.043739191320474
130,3.074,0.0471906451421645
131,3.082,0.0350482280290617
132,3.089,0.0448260486751598
133,3.097,0.0464465958420032
134,3.104,0.0409460847853137
135,3.112,0.0332445901967336
136,3.119,0.0443430009619662
137,3.127,0.0632753548822996
138,3.135,0.0753632343503643
139,3.142,0.032270703678198
140,3.150,0.0285153972627244
141,3.157,0.0350170636604686
142,3.165,0.0535209075126463
143,3.172,0.0490410295273822
144,3.180,0.0406383366454565
145,3.187,0.0393177465263221
146,3.195,0.0297385987300052
147,3.202,0.0263962201983908
148,3.210,0.0333069189339199
149,3.217,0.0243121030487245
150,3.225,0.0337938621931878
151,3.233,0.0214839365988969
152,3.240,0.0265052954884668
153,3.248,0.0296256278938551
154,3.255,0.0378802900249634
155,3.263,0.0463414160980013
156,3.270,0.0264741311198737
157,3.278,0.0252937806594084
158,3.285,0.0217916847387542
159,3.293,0.0274597042766318
160,3.300,0.0264195934748357
161,3.308,0.0353287073464
162,3.315,0.0432366658769096
163,3.323,0.0298243007436364
164,3.330,0.0268442079969172
165,3.338,0.0245029848063575
166,3.346,0.0274635998227059
167,3.353,0.0192634753366356
168,3.361,0.015644513033757
169,3.368,0.0195634323843446
170,3.376,0.0183636041935086
171,3.383,0.015480900098643
172,3.391,0.0300930934227522
173,3.398,0.00891300941763846
174,3.406,0.0260650987820887
175,3.413,0.00947007250624086
176,3.421,0.0204438257971008
177,3.428,0.0166924149277014
178,3.436,0.0236537557621944
179,3.444,0.0195049991932324
180,3.451,0.0309734868355085
181,3.459,0.0211333374522241
182,3.466,0.0132838121128265
183,3.474,0.0179857362243168
184,3.481,0.0163496068731768
185,3.489,0.0657022800864905
186,3.496,0.0651179481753691
187,3.504,0.0264936088502444
188,3.511,0.0241290123832398
189,3.519,0.0211450240904465
190,3.526,0.0214371900460072
191,3.534,0.0194972081010841
192,3.541,0.00689511655123255
193,3.549,0.015971738903985
194,3.557,0.00639648665374228
195,3.564,0.00781836097080436
196,3.572,0.0248925394137717
197,3.579,0.0168521323167412
198,3.587,0.0143862516518089
199,3.594,0.0227811534415864
200,3.602,0.00994143358121212
201,3.609,0.00900260697734374
202,3.617,0.0247951507619182
203,3.624,0.0189440405585559
204,3.632,0.01326822992853
205,3.639,0.00710937158531039
206,3.647,0.000354494692746984
207,3.655,0.0218851778445336
208,3.662,0.0113321435296811
209,3.670,0.0155782887504966
210,3.677,0.00720676023716396
211,3.685,0.0196413433058274
212,3.692,0.0035410513813957
213,3.700,0.0163963534260665
214,3.707,0.00876887421289518
215,3.715,0.021296950387338
216,3.722,0.0159951121804299
217,3.730,0.0129799595190434
218,3.737,0.012477434075479
219,3.745,0.0220293130492769
220,3.752,0.0175572261561611
221,3.760,0.0144446848429211
222,3.768,0.01381360637891
223,3.775,0.0101751663456607
224,3.783,0.015617244211238
225,3.790,0.0245692090896179
