#"+EI TIC Scan EA-PLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0786188096111387
1,2.102,0.0744856941870259
2,2.110,0.0627817723659257
3,2.117,0.068614017634817
4,2.125,0.0558096045429427
5,2.132,0.0588673213311198
6,2.140,0.0579245551936162
7,2.147,0.0405568672232548
8,2.155,0.0441092673839623
9,2.163,0.0386641656240079
10,2.170,0.0353877844465239
11,2.178,0.0470343516737074
12,2.185,0.0409475953943114
13,2.193,0.0448118611594403
14,2.200,0.0283976933129419
15,2.208,0.0312976849678484
16,2.215,0.036757125376282
17,2.223,0.0271609848816158
18,2.230,0.0388899993375544
19,2.238,0.0335488527790738
20,2.245,0.0153531078590419
21,2.253,0.0310395892952239
22,2.260,0.0208125482674754
23,2.268,0.0191385110575355
24,2.276,0.0284299552720199
25,2.283,0.0176329529672256
26,2.291,0.0244473956569381
27,2.298,0.0207731169841578
28,2.306,0.00857809645264704
29,2.313,0.0157545900164579
30,2.321,0.0224077229107801
31,2.328,0.0168837585841904
32,2.336,0.023379166345242
33,2.343,0.0179842498549646
34,2.351,0.0227160038530816
35,2.358,0.0145178815851319
36,2.366,0.0249492483537081
37,2.374,0.0186151503880468
38,2.381,0.014582405503288
39,2.389,0.00976820427641588
40,2.396,0.0438045711037806
41,2.404,0.258389614918389
42,2.411,0.256550683250939
43,2.419,0.0531605392364211
44,2.426,0.0210527206295011
45,2.434,0.0273473873118447
46,2.441,0.0206118071887674
47,2.449,0.00653483904436923
48,2.456,0.0250926348384995
49,2.464,0.015284999278766
50,2.471,0.0122093591799899
51,2.479,0.02692439718171
52,2.487,0.0151559514424537
53,2.494,0.0136360547036646
54,2.502,0.016873004597831
55,2.509,0.0151416127939746
56,2.517,0.00801171983772091
57,2.524,0.0101732710959517
58,2.532,0.0179340645852876
59,2.539,0.0236695239769446
60,2.547,0.0259923850305657
61,2.554,0.0140948914549971
62,2.562,0.0209308421174284
63,2.569,0.0273115406906468
64,2.577,0.00806907443163748
65,2.584,0.0109403887895858
66,2.592,0.0245800281553702
67,2.600,0.029616478433669
68,2.607,0.0134424829491962
69,2.615,0.00897240928582346
70,2.622,0
71,2.630,0.0108113409532735
72,2.637,0.0049683416980229
73,2.645,0.0269960904241057
74,2.652,0.022608463989488
75,2.660,0.0120480493845995
76,2.667,0.0167260334509198
77,2.675,0.0211889377900529
78,2.682,0.0201278778025964
79,2.690,0.0215940046095887
80,2.698,0.0144605269912153
81,2.705,0.00745251254703435
82,2.713,0.0262433113789507
83,2.720,0.0172959947279657
84,2.728,0.0263042506349871
85,2.735,0.0317672757055404
86,2.743,0.0221675505487544
87,2.750,0.0188373994394736
88,2.758,0.00464213744512241
89,2.765,0.0148655938107511
90,2.773,0.0317421830707019
91,2.780,0.045252774600174
92,2.788,0.0289927472248263
