#"+EI TIC Scan EA-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.101735170816859
1,2.102,0.0995030332618537
2,2.110,0.0899561914186153
3,2.117,0.0898199576711267
4,2.125,0.0828929955872841
5,2.132,0.0860578103366343
6,2.140,0.0676662544256755
7,2.147,0.0808774347590556
8,2.155,0.0617034080932906
9,2.162,0.0779781011586575
10,2.170,0.0594572978462353
11,2.178,0.0603550433104549
12,2.185,0.0675020752940867
13,2.193,0.0659965177256873
14,2.200,0.0556811778196927
15,2.208,0.0569806381803531
16,2.215,0.0648158252474529
17,2.223,0.0506964199308156
18,2.230,0.0533721904584119
19,2.238,0.0550978179266006
20,2.245,0.0632858154679657
21,2.253,0.0646516461158641
22,2.260,0.0503191572454626
23,2.268,0.0522962931705533
24,2.276,0.0495820977398193
25,2.283,0.0408037539593369
26,2.291,0.0549930227362248
27,2.298,0.0436297309264719
28,2.306,0.0460819383812664
29,2.313,0.0301845080012525
30,2.321,0.0456068668515626
31,2.328,0.0463648853952812
32,2.336,0.0481918148808332
33,2.343,0.0384738075599809
34,2.351,0.0443004201448773
35,2.358,0.0437380192898603
36,2.366,0.0282318242872495
37,2.373,0.0443039133178898
38,2.381,0.0526211582607184
39,2.389,0.0387218228438704
40,2.396,0.0594572978462353
41,2.404,0.283848252651982
42,2.411,0.283991472745496
43,2.419,0.0721095704976109
44,2.426,0.0500292238854228
45,2.434,0.043014932476267
46,2.441,0.0418586922091203
47,2.449,0.0477796204653549
48,2.456,0.0452820017613976
49,2.464,0.0492781916877293
50,2.471,0.0439650755356746
51,2.479,0.0473639328768641
52,2.487,0.0581333852744872
53,2.494,0.0504414183009011
54,2.502,0.0413661548143539
55,2.509,0.0300412879077389
56,2.517,0.0396964181143656
57,2.524,0.0431791116078558
58,2.532,0.0489952446737146
59,2.539,0.0356862554959838
60,2.547,0.0454671399310615
61,2.554,0.0380022292032897
62,2.562,0.0349352232982903
63,2.569,0.0436332240994844
64,2.577,0.0334680906330286
65,2.584,0.0294055304194588
66,2.592,0.0309390333719585
67,2.600,0.0467596139456968
68,2.607,0.036594480479241
69,2.615,0.0222235667057017
70,2.622,0.0375551030576861
71,2.630,0.046284542415993
72,2.637,0.0369088660503685
73,2.645,0.0241587845546421
74,2.652,0.0353474177137686
75,2.660,0.0376179801719116
76,2.667,0.0463055014540682
77,2.675,0.0316481474935017
78,2.682,0.0339012440865821
79,2.690,0.0407199178070363
80,2.698,0.0337580239930684
81,2.705,0.0381000380476404
82,2.713,0.0484083916076099
83,2.720,0.0396684727302654
84,2.728,0.039175935335499
85,2.735,0.0506929267578031
86,2.743,0.0433712361235449
87,2.750,0.0408142334783745
88,2.758,0.0528726667176204
89,2.765,0.0427040400781521
90,2.773,0.0655214461959835
91,2.780,0.0609488827225846
92,2.788,0.0534001358425121
93,2.795,0.0356792691499587
94,2.803,0.0513775886682585
95,2.811,0.0660349426288251
96,2.818,0.0429206168049288
97,2.826,0.0440873365911131
98,2.833,0.0429101372858912
99,2.841,0.0338663123564568
100,2.848,0.0451841929170468
101,2.856,0.0466373528902583
102,2.863,0.0584512640186273
103,2.871,0.0494947684145061
104,2.878,0.046151801841517
105,2.886,0.0597018199571122
106,2.893,0.06980058313633
107,2.901,0.0527364329701318
108,2.908,0.0445693944668419
109,2.916,0.0556706983006552
110,2.924,0.035343924540756
111,2.931,0.0449955615743703
112,2.939,0.0403915595438587
113,2.946,0.0459526909798029
114,2.954,0.0814782605172104
115,2.961,2.13016484842354
116,2.969,21.1835652637199
117,2.976,63.5935220922933
118,2.984,100
119,2.991,21.4694744884493
120,2.999,0.144344895223673
121,3.006,0.072944438847605
122,3.014,0.0823794991544425
123,3.022,0.0644315762160748
124,3.029,0.0576513273987584
125,3.037,0.0698914056346557
126,3.044,0.0899841368027155
127,3.052,0.0535433559360258
128,3.059,0.056463648574499
129,3.067,0.0568199522217768
130,3.074,0.0608825124353466
131,3.082,0.0406954655959486
132,3.089,0.0495401796636689
133,3.097,0.0543013744797443
134,3.104,0.035839955108535
135,3.112,0.0402727916614327
136,3.119,0.0511679982875069
137,3.127,0.0701324345725201
138,3.135,0.0914862011981025
139,3.142,0.0519190304852003
140,3.150,0.0397872406126914
141,3.157,0.0352007044472424
142,3.165,0.0636525986342811
143,3.172,0.0511924504985946
144,3.180,0.0426516424829641
145,3.187,0.04401397995785
146,3.195,0.0327519901654604
147,3.202,0.0334052135188031
148,3.210,0.0367586596108298
149,3.217,0.0446043261969672
150,3.225,0.0309460197179836
151,3.233,0.0184125149490339
152,3.240,0.028982856484943
153,3.248,0.0265865397983489
154,3.255,0.0409853989559884
155,3.263,0.0632718427759156
156,3.270,0.0312499257700735
157,3.278,0.0270930498851654
158,3.285,0.0265655807602737
159,3.293,0.0256922875071418
160,3.300,0.0255665332786908
161,3.308,0.0358504346275726
162,3.315,0.0419320488423834
163,3.323,0.0362556426970258
164,3.330,0.0308377313545952
165,3.338,0.0334401452489284
166,3.346,0.021821851809261
167,3.353,0.0289374452357801
168,3.361,0.0267053076807748
169,3.368,0.0242356343609177
170,3.376,0.0364617399047649
171,3.383,0.022258498435827
172,3.391,0.0175706602530147
173,3.398,0.0230863804397961
174,3.406,0.0199599905935837
175,3.413,0.0148669443413182
176,3.421,0.0287837456232289
177,3.428,0.0182972402396205
178,3.436,0.0176684690973655
179,3.444,0.0189015591707878
180,3.451,0.0326332222830345
181,3.459,0.0305058799184051
182,3.466,0.0205608163517385
183,3.474,0.0273375719960424
184,3.481,0.036276601735101
185,3.489,0.0828510775111338
186,3.496,0.0716344989679071
187,3.504,0.0216052750824843
188,3.511,0.0331502118888886
189,3.519,0.0170851092042734
190,3.526,0.0352041976202549
191,3.534,0.0250006392506613
192,3.541,0.0206865705801895
193,3.549,0.0181575133191194
194,3.557,0.0218463040203487
195,3.564,0.027295653919892
196,3.572,0.020372185009062
197,3.579,0.0250670095378993
198,3.587,0.0195023849289426
199,3.594,0.0139098149358856
200,3.602,0.0175566875609646
201,3.609,0.0151987957775084
202,3.617,0.0197189616557193
203,3.624,0.018049224955731
204,3.632,0.0158799645149513
205,3.639,0.021193080667006
206,3.647,0.0194849190638799
207,3.654,0.0260241389433319
208,3.662,0.020001908669734
209,3.670,0.0231772029381218
210,3.677,0.0196071801193184
211,3.685,0.0173226449691252
212,3.692,0.0205817753898137
213,3.700,0.0271419543073408
214,3.707,0.0128094654369394
215,3.715,0.0208507497117783
216,3.722,0.0297618340667367
217,3.730,0.0210533537465049
218,3.737,0.0127256292846387
219,3.745,0.00995204991269163
220,3.752,0.0241727572466922
221,3.760,0.0127430951497013
222,3.768,0.0243264568592434
223,3.775,0.0303347144407912
224,3.783,0.0233833001458609
225,3.790,0.014845985303243
226,3.798,0.0118663087235569
227,3.805,0.0156738673072121
228,3.813,0.0148424921302305
229,3.820,0.0109580837402996
230,3.828,0.010563355189884
231,3.835,0.0152442070266712
232,3.843,0.0319799989296918
233,3.850,0.0245709789701204
234,3.858,0.0258809188498183
235,3.865,0.0147237242478046
236,3.873,0.0167218192109705
237,3.881,0.0135325522505326
238,3.888,0.02201397632495
239,3.896,0.0111711672940638
240,3.903,0.010622739131097
241,3.911,0.0257062601991919
242,3.918,0.0215843160444091
243,3.926,0.0289129930246924
244,3.933,0.0126382999593255
